oli	بود	olla	بود#باش	V;IND;SG;3;PST;FIN;ACT	V;SG;3;PST
parempi	بهترش	hyvä	بهترش	ADJ;NOM;CMPR;SG	ADJ;CMPR
tanskan	دانمارکی	tanska	دانمارکی	N;GEN;SG	N;SG
tanskan	دانمارک	tanska	دانمارک	N;GEN;SG	N;SG
sanoi	گفت	sanoa	گفت#گو	V;IND;SG;3;PST;FIN;ACT	V;SG;3;PST
viides	پنجم	viides	پنجم	ADJ;NOM;SG	ADJ
viides	پنجمین	viides	پنجمین	ADJ;NOM;SG	ADJ;RL
nainen	زن	nainen	زن	N;NOM;SG	N;SG
nainen	زنی	nainen	زن	N;NOM;SG	N;SG
nainen	نسوان	nainen	نسوان	N;NOM;SG	N;SG
nainen	زن	nainen	زن	N;NOM;SG	N;SG
nainen	مؤنث	nainen	مؤنث	N;NOM;SG	N;SG
nainen	مونث	nainen	مونث	N;NOM;SG	N;SG
nainen	ماده	nainen	ماده	N;NOM;SG	N;SG
mestari	قهرمان	mestari	قهرمان	N;NOM;SG	N;SG
mestari	master	mestari	master	N;NOM;SG	N;SG
mestari	استادی	mestari	استاد	N;NOM;SG	N;SG
mestari	ارباب	mestari	ارباب	N;NOM;SG	N;SG
mestari	استاد	mestari	استاد	N;NOM;SG	N;SG
mestari	قهرمان	mestari	قهرمان	N;NOM;SG	N;SG
mestari	پهلوان	mestari	None	N;NOM;SG	N;SG
mestari	champion	mestari	None	N;NOM;SG	N;SG
club	باشگاه	club	باشگاه	N;NOM;SG	N;SG
club	چماق	club	چماق	N;NOM;SG	N;SG
club	کلاب	club	کلاب	N;NOM;SG	N;SG
club	کلوب	club	کلوب	N;NOM;SG	N;SG
club	کلوپ	club	کلوپ	N;NOM;SG	N;SG
aktiivisena	فعال	aktiivinen	فعال	ADJ;FRML;SG	ADJ
elävä	زنده	elää	زنده	ADJ;NOM;SG	ADJ
ammatti	حرفه	ammatti	None	N;NOM;SG	N;SG
ammatti	شغلی	ammatti	شغلی	N;NOM;SG	N;SG
ammatti	شغل	ammatti	شغل	N;NOM;SG	N;SG
ammatti	اشغال	ammatti	اشغال	N;NOM;SG	N;SG
radan	شیار	rata	شیار	N;GEN;SG	N;SG
entiset	سابق	entinen	سابق	ADJ;NOM;PL	ADJ
auton	خودرو	auto	خودرو	N;GEN;SG	N;SG
auton	خودروی	auto	خودرو	N;GEN;SG	N;SG
auton	ماشین	auto	ماشین	N;GEN;SG	N;SG
alueilla	نواحی	alue	ناحیه	N;AT+ESS
;PL	N;PL
alueilla	مناطق	alue	منطقه	N;AT+ESS
;PL	N;PL
lyhyt	کوتاه	lyhyt	کوتاه	ADJ;NOM;SG	ADJ
paikka	نقطه	paikka	نقطه	N;NOM;SG	N;SG
paikka	محل	paikka	محل	N;NOM;SG	N;SG
paikka	مکانی	paikka	مکان	N;NOM;SG	N;SG
paikka	مکان	paikka	مکان	N;NOM;SG	N;SG
paikka	جای	paikka	جا	N;NOM;SG	N;SG
paikka	جایی	paikka	جا	N;NOM;SG	N;SG
muoto	شکل	muoto	شکل	N;NOM;SG	N;SG
muoto	فرم	muoto	None	N;NOM;SG	N;SG
muoto	شکل	muoto	شکل	N;NOM;SG	N;SG
muoto	قالب	muoto	قالب	N;NOM;SG	N;SG
muoto	قالبی	muoto	قالبی	N;NOM;SG	N;SG
elämän	زندگى	elämä	زندگى	N;GEN;SG	N;SG
elämän	زندگی	elämä	زندگی	N;GEN;SG	N;SG
sopimus	معامله	sopimus	معامله	N;NOM;SG	N;SG
sopimus	توافقنامه	sopimus	توافقنامه	N;NOM;SG	N;SG
sopimus	موافقتنامه	sopimus	موافقتنامه	N;NOM;SG	N;SG
sopimus	قرارداد	sopimus	قرارداد	N;NOM;SG	N;SG
sopimus	توافق	sopimus	توافق	N;NOM;SG	N;SG
sopimus	قرارداد	sopimus	قرارداد	N;NOM;SG	N;SG
sopimus	عهدنامه	sopimus	عهدنامه	N;NOM;SG	N;SG
sopimus	معاهده	sopimus	معاهده	N;NOM;SG	N;SG
sopimus	پیمان	sopimus	پیمان	N;NOM;SG	N;SG
edellinen	قبلی	edellinen	قبل	ADJ;NOM;SG	ADJ
suomea	فنلاند	suomi	None	N;PRT;SG	N;SG
käytöstä	رفتاری	käyttö	رفتار	N;IN+ABL;SG	N;SG
käytöstä	رفتار	käyttö	رفتار	N;IN+ABL;SG	N;SG
uran	حرفه	ura	None	N;GEN;SG	N;SG
uran	شغل	ura	شغل	N;GEN;SG	N;SG
joitakin	برخی	jokin	برخی	PRO;PRT;PL	PRO
bonus	پاداش	bonus	پاداش	N;NOM;SG	N;SG
bonus	جایزه	bonus	جایزه	N;NOM;SG	N;SG
kuopion	کووپیو	kuopio	کووپیو	N;GEN;SG	N;SG
useimmiten	غالبا	useimmiten	غالبا	ADV	ADV
äänestys	رای	äänestys	None	N;NOM;SG	N;SG
äänestys	رای	äänestys	None	N;NOM;SG	N;SG
stadium	ورزشگاه	stadium	ورزشگاه	N;NOM;SG	N;SG
suuntaan	قبله	suunta	قبله	N;IN+ALL;SG	N;SG
internet	اینترنت	internet	اینترنت	N;NOM;SG	N;SG
internet	اینترنتی	internet	اینترنتی	N;NOM;SG	N;SG
albert	آلبرت	albert	آلبرت	N;NOM;SG	N;SG
albert	آلبر	albert	آلبر	N;NOM;SG	N;SG
lontoossa	لندن	lonto	لندن	N;IN+ESS;SG	N;SG
lontoossa	london	lonto	None	N;IN+ESS;SG	N;SG
alueet	نواحی	alue	ناحیه	N;NOM;PL	N;PL
alueet	مناطق	alue	منطقه	N;NOM;PL	N;PL
alueet	نواحی	alue	ناحیه	N;NOM;PL	N;PL
alueet	مناطق	alue	منطقه	N;NOM;PL	N;PL
viikkoa	هفته	viikko	هفته	N;PRT;SG	N;SG
viikkoa	هفتۀ	viikko	هفتۀ	N;PRT;SG	N;SG
viikkoa	هفته	viikko	هفته	N;PRT;SG	N;SG
tehtävä	تکلیف	tehtävä	تکلیف	N;NOM;SG	N;SG
tehtävä	مأموریت	tehtävä	مأموریت	N;NOM;SG	N;SG
tehtävä	ماموریت	tehtävä	ماموریت	N;NOM;SG	N;SG
kuukautta	ماه	kuu#kausi	ماه	N;PRT;SG	N;SG
kuukautta	ماهه	kuu#kausi	ماهه	N;PRT;SG	N;SG
kuukautta	ماه	kuu#kausi	ماه	N;PRT;SG	N;SG
henkilöä	شخص	henkilö	شخص	N;PRT;SG	N;SG
italiassa	ایتالیا	italia	ایتالیا	N;IN+ESS;SG	N;SG
käyttäjän	کاربر	käyttäjä	کاربر	N;GEN;SG	N;SG
ongelmia	مسائلی	ongelma	مسأله	N;PRT;PL	N;PL
ongelmia	مسائل	ongelma	مسأله	N;PRT;PL	N;PL
ongelmia	مشکلات	ongelma	مشکل	N;PRT;PL	N;PL
ongelmia	مسائل	ongelma	مسأله	N;PRT;PL	N;PL
maailmassa	جهان	maailma	جهان	N;IN+ESS;SG	N;SG
maailmassa	دنیا	maailma	دنیا	N;IN+ESS;SG	N;SG
maailmassa	جهانی	maailma	جهانی	N;IN+ESS;SG	N;SG
pop	پاپ	pop	پاپ	N;NOM;SG	N;SG
pop	pop	pop	pop	N;NOM;SG	N;SG
ongelma	مشکل	ongelma	مشکل	N;NOM;SG	N;SG
ongelma	مسئله	ongelma	مسئله	N;NOM;SG	N;SG
ongelma	مشکلی	ongelma	مشکل	N;NOM;SG	N;SG
otto	اوتو	otto	اوتو	N;NOM;SG	N;SG
otto	اتو	otto	اتو	N;NOM;SG	N;SG
otto	آتو	otto	آتو	N;NOM;SG	N;SG
koneen	ماشینی	kone	ماشینی	N;GEN;SG	N;SG
koneen	ماشین	kone	ماشین	N;GEN;SG	N;SG
koneen	دستگاه	kone	دستگاه	N;GEN;SG	N;SG
ukrainan	اوکراین	ukraina	None	N;GEN;SG	N;SG
ukrainan	اوکراینی	ukraina	اوکراینی	N;GEN;SG	N;SG
nobelin	نوبل	nobelin	نوبل	N;GEN;SG	N;SG
itävallan	اتریش	itä#valta	اتریش	N;GEN;SG	N;SG
itävallan	اتریشی	itä#valta	اتریشی	N;GEN;SG	N;SG
itävallan	اتریش	itä#valta	اتریش	N;GEN;SG	N;SG
max	max	max	max	N;NOM;SG	N;SG
max	مکس	max	مکس	N;NOM;SG	N;SG
max	ماکس	max	None	N;NOM;SG	N;SG
max	بیشینه	max	بیشینه	N;NOM;SG	N;SG
taistelun	رزم	taistelu	رزم	N;GEN;SG	N;SG
taistelun	کارزار	taistelu	کارزار	N;GEN;SG	N;SG
taistelun	بتل	taistelu	بتل	N;GEN;SG	N;SG
taistelun	نبرد	taistelu	None	N;GEN;SG	N;SG
useat	چندین	usea	چندین	ADJ;NOM;PL	ADJ
useat	چندگانه	usea	چندگانه	ADJ;NOM;PL	ADJ
useat	چندین	usea	چندین	ADJ;NOM;PL	ADJ
tavoitteena	هدفگیری	tavoite	هدفگیری	N;FRML;SG	N;SG
puolivälissä	midway	puoli#väli	None	N;IN+ESS;SG	N;SG
puolivälissä	میدوی	puoli#väli	میدوی	N;IN+ESS;SG	N;SG
puolivälissä	مید	puoli#väli	مید	N;IN+ESS;SG	N;SG
täytyy	باید	täytyä	بایست#باید	V;IND;SG;3;PRS;FIN;ACT	V;NFIN
tietoja	اطلاعات	tieto	اطلاع	N;PRT;PL	N;PL
tietoja	اطلاعات	tieto	اطلاع	N;PRT;PL	N;PL
tietoja	معلومات	tieto	معلوم	N;PRT;PL	N;PL
uudestaan	دوباره	uudestaan	دوباره	ADV	ADV
ääni	صوت	ääni	صوت	N;NOM;SG	N;SG
ääni	صدا	ääni	صدا	N;NOM;SG	N;SG
ääni	صدا	ääni	صدا	N;NOM;SG	N;SG
ääni	صدای	ääni	صدا	N;NOM;SG	N;SG
ääni	صدا	ääni	صدا	N;NOM;SG	N;SG
lähteet	منابع	lähteä	منبع	N;NOM;PL	N;PL
listan	فهرست	lista	فهرست	N;GEN;SG	N;SG
alexander	اسکندر	alexander	اسکندر	N;NOM;SG	N;SG
alexander	الکساندر	alexander	الکساندر	N;NOM;SG	N;SG
vaikutus	ضربه	vaikutus	ضربه	N;NOM;SG	N;SG
vaikutus	اصابت	vaikutus	اصابت	N;NOM;SG	N;SG
vaikutus	برخوردی	vaikutus	برخوردی	N;NOM;SG	N;SG
vaikutus	برخورد	vaikutus	برخورد	N;NOM;SG	N;SG
vaikutus	تاثیر	vaikutus	None	N;NOM;SG	N;SG
vaikutus	تأثیر	vaikutus	تأثیر	N;NOM;SG	N;SG
vaikutus	نفوذ	vaikutus	نفوذ	N;NOM;SG	N;SG
vaikutus	اثر	vaikutus	اثر	N;NOM;SG	N;SG
vaikutus	جلوه	vaikutus	جلوه	N;NOM;SG	N;SG
vaikutus	تأثیر	vaikutus	تأثیر	N;NOM;SG	N;SG
syytä	سرزنش	syy	سرزنش	N;PRT;SG	N;SG
syytä	ملامت	syy	ملامت	N;PRT;SG	N;SG
syytä	مقصر	syy	None	N;PRT;SG	N;SG
kirjallisuuden	ادبی	kirjallisuus	ادبی	N;GEN;SG	N;SG
kirjallisuuden	ادبیات	kirjallisuus	ادبیات	N;GEN;SG	N;SG
kirjallisuuden	literature	kirjallisuus	literature	N;GEN;SG	N;SG
naiset	بانوان	nainen	None	N;NOM;PL	N;PL
naiset	خانمها	nainen	خانم	N;NOM;PL	N;PL
naiset	زنانی	nainen	None	N;NOM;PL	N;PL
naiset	زنها	nainen	None	N;NOM;PL	N;PL
naiset	زنان	nainen	زن	N;NOM;PL	N;PL
espanja	اسپانیای	espanja	اسپانیا	N;NOM;SG	N;SG
espanja	اسپانیا	espanja	اسپانیا	N;NOM;SG	N;SG
espanja	اسپانیا	espanja	اسپانیا	N;NOM;SG	N;SG
espanja	اسپانیایی	espanja	اسپانیایی	N;NOM;SG	N;SG
ulkonäkö	ظاهر	ulko#näkö	ظاهر	N;NOM;SG	N;SG
ulkonäkö	ظاهرش	ulko#näkö	ظاهرش	N;NOM;SG	N;SG
ulkonäkö	ظاهر	ulko#näkö	ظاهر	N;NOM;SG	N;SG
lapin	لاپلند	lappi	لاپلند	N;GEN;SG	N;SG
lääni	شهرستان	lääni	شهرستان	N;NOM;SG	N;SG
lääni	کانتی	lääni	کانت#کان	N;NOM;SG	N;SG
toisinaan	گاهی	toisinaan	گاه	ADV	ADV
toisinaan	گهگاه	toisinaan	گهگاه	ADV	ADV
menee	میرود	mennä	میرود	V;IND;SG;3;PRS;FIN;ACT	V;SG;3;PRS
varmaan	احتمالا	varmaan	احتمالا	ADV	ADV
varmaan	احتمالاً	varmaan	احتمالاً	ADV	ADV
tarina	داستان	tarina	داستان	N;NOM;SG	N;SG
tarina	داستانی	tarina	داستان	N;NOM;SG	N;SG
tarina	قصه	tarina	None	N;NOM;SG	N;SG
rooli	نقشی	rooli	نقش	N;NOM;SG	N;SG
rooli	رل	rooli	رل	N;NOM;SG	N;SG
rooli	نقش	rooli	نقش	N;NOM;SG	N;SG
pro	پرو	pro	پرو	N;NOM;SG	N;SG
pro	pro	pro	pro	N;NOM;SG	N;SG
todella	واقعآ	todella	واقعآ	ADV	ADV
todella	واقعا	todella	None	ADV	ADV
talo	خانه	talo	خانه	N;NOM;SG	N;SG
englannissa	انگلستان	englanti	انگلستان	N;IN+ESS;SG	N;SG
englannissa	انگلیس	englanti	انگلیس	N;IN+ESS;SG	N;SG
asukkaita	ساکنین	asukas	ساکنین	N;PRT;PL	N;PL
asukkaita	یاران	asukas	یار	N;PRT;PL	N;PL
lännessä	وست	länsi	None	N;IN+ESS;SG	N;SG
lännessä	باختر	länsi	باخت#باز	N;IN+ESS;SG	N;SG
lännessä	غرب	länsi	غرب	N;IN+ESS;SG	N;SG
englanniksi	انگلیسی	englanti	انگلیسی	N;TRANS;SG	N;SG
englanniksi	english	englanti	english	N;TRANS;SG	N;SG
vuosia	سالهای	vuosi	سال	N;PRT;PL	N;PL
vuosia	سالها	vuosi	سال	N;PRT;PL	N;PL
historiaa	تاریخچه	historia	تاریخچه	N;PRT;SG	N;SG
historiaa	تاریخ	historia	تاریخ	N;PRT;SG	N;SG
html	html	html	html	N;NOM;SG	N;SG
pohjoiseen	شمالی	pohjoinen	شمالی	N;IN+ALL;SG	N;SG
pohjoiseen	نورث	pohjoinen	نورث	N;IN+ALL;SG	N;SG
pohjoiseen	شمال	pohjoinen	شمال	N;IN+ALL;SG	N;SG
eläkkeelle	بازنشستگی	eläke	بازنشستگی	N;AT+ALL;SG	N;SG
eläkkeelle	بازنشست	eläke	بازنشست	N;AT+ALL;SG	N;SG
laki	قانون	laki	قانون	N;NOM;SG	N;SG
heimo	قبیله	heimo	None	N;NOM;SG	N;SG
heimo	قبیله	heimo	None	N;NOM;SG	N;SG
valmentaja	trainer	valmentaja	None	N;NOM;SG	N;SG
valmentaja	مربی	valmentaja	مربی	N;NOM;SG	N;SG
valmentaja	coach	valmentaja	coach	N;NOM;SG	N;SG
valmentaja	دلیجان	valmentaja	دلیج	N;NOM;SG	N;SG
valmentaja	مربیگری	valmentaja	None	N;NOM;SG	N;SG
valmentaja	مربی	valmentaja	مربی	N;NOM;SG	N;SG
kanada	کانادا	kanada	کانادا	N;NOM;SG	N;SG
unkarin	مجارستان	unkari	مجارستان	N;GEN;SG	N;SG
unkarin	مجاری	unkari	مجاری	N;GEN;SG	N;SG
unkarin	مجارستانی	unkari	مجارستانی	N;GEN;SG	N;SG
unkarin	مجارستان	unkari	مجارستان	N;GEN;SG	N;SG
tasolla	تراز	taso	تراز	N;AT+ESS
;SG	N;SG
tasolla	لول	taso	None	N;AT+ESS
;SG	N;SG
tasolla	سطح	taso	سطح	N;AT+ESS
;SG	N;SG
yorkin	یورک	yorkki	یورک	N;GEN;SG	N;SG
tapa	کشتن	tapa	کشتن	N;NOM;SG	N;SG
tapa	راه	tapa	راه	N;NOM;SG	N;SG
voimakkaasti	شدیدا	voimakkaasti	شدیدا	ADV	ADV
tuki	پشتیبان	tuki	پشتیب	N;NOM;SG	N;SG
tuki	پشتیبانی	tuki	پشتیبانی	N;NOM;SG	N;SG
tuki	حمایت	tuki	حمایت	N;NOM;SG	N;SG
suuret	بزرگ	suuri	بزرگ	ADJ;NOM;PL	ADJ
suuret	درشت	suuri	درشت	ADJ;NOM;PL	ADJ
aasian	آسیایی	aasia	آسیایی	N;GEN;SG	N;SG
aasian	آسیا	aasia	آسیا	N;GEN;SG	N;SG
teksti	متن	teksti	متن	N;NOM;SG	N;SG
show	نمایش	show	نمایش	N;NOM;SG	N;SG
lapset	کودکان	lapsi	کودک	N;NOM;PL	N;PL
lapset	فرزندان	lapsi	فرزند	N;NOM;PL	N;PL
lapset	اطفال	lapsi	None	N;NOM;PL	N;PL
lähetti	ارسالی	lähettää	ارسالی	N;NOM;SG	N;SG
ohjelma	برنامۀ	ohjelma	برنامۀ	N;NOM;SG	N;SG
ohjelma	پروگرام	ohjelma	پروگرام	N;NOM;SG	N;SG
ohjelma	برنامه	ohjelma	برنامه	N;NOM;SG	N;SG
ohjelma	برنامه	ohjelma	برنامه	N;NOM;SG	N;SG
henkilöitä	اشخاص	henkilö	شخص	N;PRT;PL	N;PL
raja	راجا	raja	راجا	N;NOM;SG	N;SG
raja	حد	raja	حد	N;NOM;SG	N;SG
raja	محدودیت	raja	محدودیت	N;NOM;SG	N;SG
raja	مرز	raja	مرز	N;NOM;SG	N;SG
raja	لبه	raja	لبه	N;NOM;SG	N;SG
raja	مرزی	raja	مرز	N;NOM;SG	N;SG
raja	مرز	raja	مرز	N;NOM;SG	N;SG
raja	لبۀ	raja	لبۀ	N;NOM;SG	N;SG
raja	مرزی	raja	مرز	N;NOM;SG	N;SG
liike	تجارت	liike	تجارت	N;NOM;SG	N;SG
liike	کسب	liike	کسب	N;NOM;SG	N;SG
liike	b	liike	b	N;NOM;SG	N;SG
liike	جنبش	liike	جنبش	N;NOM;SG	N;SG
liike	تحرک	liike	تحرک	N;NOM;SG	N;SG
liike	نهضت	liike	نهضت	N;NOM;SG	N;SG
yhdistys	انجمن	yhdistys	انجمن	N;NOM;SG	N;SG
rakentaa	بسازم	rakentaa	None	V;SG;NFIN;ACT	V;SBJV;SG;1;PRS
rakentaa	بساز	rakentaa	None	V;SG;NFIN;ACT	V;IMP;SG;2
rakentaa	بسازی	rakentaa	بسازی	V;SG;NFIN;ACT	V;SBJV;SG;2;PRS
useimmat	بیشترین	usea	بیش	ADJ;NOM;RL;PL	ADJ;RL
viidenneksi	پنجم	viides	پنجم	ADJ;TRANS;SG	ADJ
viidenneksi	پنجمین	viides	پنجمین	ADJ;TRANS;SG	ADJ;RL
kisat	بازیهای	kisa	None	N;NOM;PL	N;PL
kisat	بازیها	kisa	بازی	N;NOM;PL	N;PL
joki	ریور	joki	ریور	N;NOM;SG	N;SG
joki	رودخانه	joki	رودخانه	N;NOM;SG	N;SG
talli	اصطبل	talli	اصطبل	N;NOM;SG	N;SG
talli	پایدار	talli	پایدار	N;NOM;SG	N;SG
paavi	پاپ	paavi	پاپ	N;NOM;SG	N;SG
paavi	پوپ	paavi	پوپ	N;NOM;SG	N;SG
luultavasti	احتمالا	luultavasti	احتمالا	ADV	ADV
luultavasti	احتمالاً	luultavasti	احتمالاً	ADV	ADV
henkilöt	اشخاص	henkilö	شخص	N;NOM;PL	N;PL
henkilöt	افراد	henkilö	فرد	N;NOM;PL	N;PL
henkilöt	مردمان	henkilö	مردم	N;NOM;PL	N;PL
henkilöt	آدمها	henkilö	آدم	N;NOM;PL	N;PL
high	رفیع	high	None	N;NOM;SG	N;SG
vettä	آب	vesi	آب	N;PRT;SG	N;SG
brasilian	برزیل	brasilia	برزیل	N;GEN;SG	N;SG
brasilian	برزیلی	brasilia	برزیلی	N;GEN;SG	N;SG
brasilian	برزیل	brasilia	برزیل	N;GEN;SG	N;SG
power	قدرت	power	قدرت	N;NOM;SG	N;SG
power	پاور	power	پاور	N;NOM;SG	N;SG
power	توان	power	توان	N;NOM;SG	N;SG
power	power	power	power	N;NOM;SG	N;SG
power	قدرتش	power	قدرتش	N;NOM;SG	N;SG
video	ویدیویی	video	ویدیویی	N;NOM;SG	N;SG
video	ویدئویی	video	ویدئویی	N;NOM;SG	N;SG
video	ویدیوی	video	ویدیو	N;NOM;SG	N;SG
video	ویدئو	video	ویدئو	N;NOM;SG	N;SG
video	ویدیو	video	ویدیو	N;NOM;SG	N;SG
video	ویدئوی	video	ویدئوی	N;NOM;SG	N;SG
edward	ادوارد	edward	ادوارد	N;NOM;SG	N;SG
tutkimuksen	تحصیل	tutkimus	تحصیل	N;GEN;SG	N;SG
tutkimuksen	مطالعه	tutkimus	مطالعه	N;GEN;SG	N;SG
tutkimuksen	سروی	tutkimus	سروی	N;GEN;SG	N;SG
tutkimuksen	نظرسنجی	tutkimus	None	N;GEN;SG	N;SG
tutkimuksen	تحقیق	tutkimus	تحقیق	N;GEN;SG	N;SG
tutkimuksen	پژوهش	tutkimus	پژوهش	N;GEN;SG	N;SG
seurakunta	قصبه	seura#kunta	قصبه	N;NOM;SG	N;SG
seurakunta	پاریش	seura#kunta	پاریش	N;NOM;SG	N;SG
seurakunta	پریش	seura#kunta	پریش	N;NOM;SG	N;SG
seurakunta	جماعت	seura#kunta	جماعت	N;NOM;SG	N;SG
seurakunta	آدینه	seura#kunta	آدینه	N;NOM;SG	N;SG
seurakunta	کلیسا	seura#kunta	None	N;NOM;SG	N;SG
seurakunta	چرچ	seura#kunta	چرچ	N;NOM;SG	N;SG
seurakunta	کلیسای	seura#kunta	None	N;NOM;SG	N;SG
elämää	زندگى	elämä	زندگى	N;PRT;SG	N;SG
elämää	زندگی	elämä	زندگی	N;PRT;SG	N;SG
osasto	وزارت	osasto	وزارت	N;NOM;SG	N;SG
osasto	اداره	osasto	اداره	N;NOM;SG	N;SG
osasto	بخش	osasto	بخش	N;NOM;SG	N;SG
osasto	کوپه	osasto	کوپه	N;NOM;SG	N;SG
käyttäjät	کاربران	käyttäjä	کاربر	N;NOM;PL	N;PL
piirikunta	شهرستان	piiri#kunta	شهرستان	N;NOM;SG	N;SG
piirikunta	کانتی	piiri#kunta	کانت#کان	N;NOM;SG	N;SG
piirikunta	منطقه	piiri#kunta	منطقه	N;NOM;SG	N;SG
piirikunta	ناحیه	piiri#kunta	ناحیه	N;NOM;SG	N;SG
piirikunta	بخش	piiri#kunta	بخش	N;NOM;SG	N;SG
ottelu	تطبیق	ottelu	None	N;NOM;SG	N;SG
ottelu	مسابقه	ottelu	مسابقه	N;NOM;SG	N;SG
ottelu	کبریت	ottelu	کبریت	N;NOM;SG	N;SG
ottelu	تطابق	ottelu	تطابق	N;NOM;SG	N;SG
ottelu	بجنگ	ottelu	بجنگ	N;NOM;SG	N;SG
tien	جاده	tie	جاده	N;GEN;SG	N;SG
ulos	بیرون	ulos	بیرون	ADV	ADV;ESS
jakso	بخش	jaksaa	بخش	N;NOM;SG	N;SG
jakso	قسمت	jaksaa	قسمت	N;NOM;SG	N;SG
jakso	اپیزود	jaksaa	اپیزود	N;NOM;SG	N;SG
jakso	دوره	jaksaa	دوره	N;NOM;SG	N;SG
jakso	پریود	jaksaa	پریود	N;NOM;SG	N;SG
jakso	دورۀ	jaksaa	دورۀ	N;NOM;SG	N;SG
vaikea	دشوار	vaikea	دشوار	ADJ;NOM;SG	ADJ
yksin	تنها	yksin	تنها	ADV	ADV
kesto	دوام	kesto	دوام	N;NOM;SG	N;SG
laivasto	ناوگان	laivasto	ناوه	N;NOM;SG	N;SG
tekijä	فاکتور	tekijä	فاکتور	N;NOM;SG	N;SG
tekijä	عامل	tekijä	عامل	N;NOM;SG	N;SG
tekijä	مؤلف	tekijä	مؤلف	N;NOM;SG	N;SG
tekijä	نویسندۀ	tekijä	نویسندۀ	N;NOM;SG	N;SG
tekijä	نویسنده	tekijä	نویسنده	N;NOM;SG	N;SG
blues	بلوز	blues	بلوز	N;NOM;SG	N;SG
välttämättä	الزاماً	välttämättä	الزاماً	ADV	ADV
välttämättä	لزوما	välttämättä	لزوماً	ADV	ADV
välttämättä	لزوماً	välttämättä	لزوماً	ADV	ADV
kehitys	توسعه	kehitys	توسعه	N;NOM;SG	N;SG
kehitys	تکامل	kehitys	تکامل	N;NOM;SG	N;SG
kehitys	فرگشت	kehitys	فرگشت	N;NOM;SG	N;SG
kehitys	تحول	kehitys	تحول	N;NOM;SG	N;SG
kehitys	evolution	kehitys	evolution	N;NOM;SG	N;SG
kehitys	اوولوشن	kehitys	اوولوشن	N;NOM;SG	N;SG
suurimmat	بزرگترین	suuri	بزرگ	ADJ;NOM;RL;PL	ADJ;RL
osat	قطعات	osa	قطعه	N;NOM;PL	N;PL
osat	قطعات	osa	قطعه	N;NOM;PL	N;PL
osat	اجزای	osa	اجزا	N;NOM;PL	N;PL
berliinin	برلین	berliini	برلین	N;GEN;SG	N;SG
operaatio	عمل	operaatio	عمل	N;NOM;SG	N;SG
tutkimus	تحصیل	tutkimus	تحصیل	N;NOM;SG	N;SG
tutkimus	مطالعه	tutkimus	مطالعه	N;NOM;SG	N;SG
tutkimus	تحقیق	tutkimus	تحقیق	N;NOM;SG	N;SG
tutkimus	سروی	tutkimus	سروی	N;NOM;SG	N;SG
tutkimus	نظرسنجی	tutkimus	None	N;NOM;SG	N;SG
tutkimus	تحقیق	tutkimus	تحقیق	N;NOM;SG	N;SG
tutkimus	پژوهش	tutkimus	پژوهش	N;NOM;SG	N;SG
kone	ماشینی	kone	ماشینی	N;NOM;SG	N;SG
kone	ماشین	kone	ماشین	N;NOM;SG	N;SG
kone	دستگاه	kone	دستگاه	N;NOM;SG	N;SG
kone	هواپیمای	kone	هواپیما	N;NOM;SG	N;SG
kone	هواپیمایی	kone	هواپیمایی	N;NOM;SG	N;SG
kone	هواپیما	kone	هواپیما	N;NOM;SG	N;SG
maailmaa	جهان	maailma	جهان	N;PRT;SG	N;SG
maailmaa	دنیا	maailma	دنیا	N;PRT;SG	N;SG
maailmaa	جهانی	maailma	جهانی	N;PRT;SG	N;SG
kantaa	حمل	kanta	حمل	N;PRT;SG	N;SG
erät	موارد	erä	مورد	N;NOM;PL	N;PL
lapsi	کودک	lapsi	کودک	N;NOM;SG	N;SG
lapsi	فرزند	lapsi	فرزند	N;NOM;SG	N;SG
lapsi	بچه	lapsi	بچه	N;NOM;SG	N;SG
albumia	آلبوم	albumi	آلبوم	N;PRT;SG	N;SG
maakunnan	استانی	maa#kunta	استانی	N;GEN;SG	N;SG
aku	دونالد	aku	دونالد	N;NOM;SG	N;SG
kalifornia	california	kaliforni	california	N;NOM;SG	N;SG
kalifornia	کالیفرنیا	kaliforni	None	N;NOM;SG	N;SG
työn	شغل	työ	شغل	N;GEN;SG	N;SG
työn	کار	työ	کار	N;GEN;SG	N;SG
työn	ایوب	työ	ایوب	N;GEN;SG	N;SG
työn	کار	työ	کار	N;GEN;SG	N;SG
työn	کاری	työ	کار	N;GEN;SG	N;SG
palkinnot	جوایز	palkinto	جایزه	N;NOM;PL	N;PL
palkinnot	جوایز	palkinto	جایزه	N;NOM;PL	N;PL
sanan	سخن	sana	سخن	N;GEN;SG	N;SG
sanan	کلمه	sana	کلمه	N;GEN;SG	N;SG
sanan	واژه	sana	واژه	N;GEN;SG	N;SG
sanan	کلام	sana	کلام	N;GEN;SG	N;SG
kerro	بگو	kertoa	None	V;IMP;SG;2;FIN;ACT	V;IMP;SG;2
israelin	اسراییل	israeli	اسراییل	N;GEN;SG	N;SG
israelin	اسرائیل	israeli	اسرائیل	N;GEN;SG	N;SG
israelin	اسرائیلی	israeli	اسرائیلی	N;GEN;SG	N;SG
israelin	اسراییل	israeli	اسراییل	N;GEN;SG	N;SG
israelin	اسرائیل	israeli	اسرائیل	N;GEN;SG	N;SG
pelaajan	بازیکن	pelaaja	بازیکن	N;GEN;SG	N;SG
