और	en	और	en		CONJ
प्रत्यक्ष	rechtstreeks	प्रत्यक्ष	rechtstreeks	PROPN;NOM;MASC;SG;3	ADJ
प्रत्यक्ष	directe	प्रत्यक्ष	direct	PROPN;NOM;MASC;SG;3	ADJ
प्रत्यक्ष	direct	प्रत्यक्ष	direct	PROPN;NOM;MASC;SG;3	ADJ
प्रत्यक्ष	rechtstreekse	प्रत्यक्ष	rechtstreeks	PROPN;NOM;MASC;SG;3	ADJ
मित्र	vrienden	मित्र	vriend	N;NOM;MASC;SG;3	N;PL
बिंदु	punten	बिंदु	punt	N;NOM;MASC;SG;3	N;PL
बुद्ध	boeddha	बुद्ध	boeddha	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
बुद्ध	buddha	बुद्ध	buddha	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
स्टेडियम	stadions	स्टेडियम	stadion	N;NOM;MASC;SG;3	N;PL
रिलीज़	loslaten	रिलीज़	loslaten	N;NOM;MASC;SG;3	V;NFIN
रिलीज़	releases	रिलीज़	releas	N;NOM;MASC;SG;3	N;PL
शांति	peace	शान्ति	peace	N;NOM;FEM;SG;3	
आय	inkomsten	आय	inkomsten	N;NOM;FEM;SG;3	N;PL
आय	ontvangsten	आय	ontvangst	N;NOM;FEM;SG;3	N;PL
आय	verdiensten	आय	verdienste	N;NOM;FEM;SG;3	N;PL
आय	inkomsten	आय	inkomsten	N;NOM;FEM;SG;3	N;PL
आय	inkomsten	आय	inkomsten	N;NOM;FEM;SG;3	N;PL
रन	runs	रन	run	N;NOM;MASC;SG;3	N;PL
रन	loopt	रन	lopen	N;NOM;MASC;SG;3	V;SG;PRS;FIN
फाइनल	definitief	फाइनल	definitief	N;NOM;MASC;SG;3	ADJ
फाइनल	finales	फाइनल	finale	N;NOM;MASC;SG;3	N;PL
दैनिक	dagelijkse	दैनिक	dagelijks	N;NOM;MASC;SG;3	ADJ
दैनिक	dagelijks	दैनिक	dagelijks	N;NOM;MASC;SG;3	ADJ
न्याय	justice	न्याय	justice	N;NOM;MASC;SG;3	
फूल	bloemen	फूल	bloem	N;NOM;MASC;SG;3	N;PL
फूल	bloemetjes	फूल	bloem	N;NOM;MASC;SG;3	N;PL
प्रसार	spread	प्रसार	spread	N;NOM;MASC;SG;3	
प्रसार	verspreid	प्रसार	verspreiden	N;NOM;MASC;SG;3	V;V.PTCP
प्रसार	verspreiden	प्रसार	verspreiden	N;NOM;MASC;SG;3	V;NFIN
दिल	heart	दिल	heart	N;NOM;MASC;SG;3	
दिल	harten	दिल	harten	N;NOM;MASC;SG;3	N;PL
दिल	hearts	दिल	hearts	N;NOM;MASC;SG;3	
दिल	hartjes	दिल	hartje	N;NOM;MASC;SG;3	N;PL
सुंदर	pretty	सुन्दर	pretty	ADJ	
यानि	betekend	यानि	betekenen	CONJ	V;SG;PRS;FIN
यानि	betekent	यानि	betekenen	CONJ	V;SG;PRS;FIN
अफ़्रीका	afrika	अफेरीका	afrika	PROPN;NOM;MASC;SG;3	PROPN;NEUT;SG
इच्छा	wens	इच्छा	wens	N;NOM;FEM;SG;3	ADJ
इच्छा	verlangens	इच्छा	verlangen	N;NOM;FEM;SG;3	N;PL
खंड	blokkeren	खंड	blokkeren	N;NOM;MASC;SG;3	V;NFIN
मिश्रण	mengen	मिश्रण	mengen	N;NOM;MASC;SG;3	V;NFIN
मिश्रण	mixen	मिश्रण	mixen	N;NOM;MASC;SG;3	V;NFIN
मिश्रण	meng	मिश्रण	meng	N;NOM;MASC;SG;3	V;SG;PRS;FIN
मिश्रण	mengen	मिश्रण	mengen	N;NOM;MASC;SG;3	V;NFIN
समर्पित	gewijd	समर्पित	wijden	ADJ	V;V.PTCP
समर्पित	opgedragen	समर्पित	dragen	ADJ	V;V.PTCP
पहुंच	toegang	पहुंच	toegang	V;ACT	N;MASC+FEM;SG
स्मारक	monumenten	स्मारक	monument	N;NOM;MASC;SG;3	N;PL
व्यास	diameter	व्यास	diameter		N;MASC+FEM;SG
प्यार	love	प्यार	love	N;NOM;MASC;SG;3	
प्यार	liefs	प्यार	lief	N;NOM;MASC;SG;3	N;PL
प्यार	liefhebbende	प्यार	liefhebbend	N;NOM;MASC;SG;3	ADJ
प्यार	liefdevol	प्यार	liefdevol	N;NOM;MASC;SG;3	ADJ
प्यार	liefdevolle	प्यार	liefdevol	N;NOM;MASC;SG;3	ADJ
लखनऊ	lucknow	लखनऊ	lucknow	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
आन्दोलन	bewegingen	आन्दोलन	beweging	N;NOM;MASC;SG;3	N;PL
हे	hé	हे	hé		INTJ
हे	hey	हे	hey		INTJ
हे	he	हे	he		INTJ
पक्षी	vogels	पक्षी	vogel	N;NOM;MASC;SG;3	N;PL
निवासी	inwoners	निवासी	inwoner	N;NOM;MASC;SG;3	N;PL
निवासी	bewoners	निवासी	bewoner	N;NOM;MASC;SG;3	N;PL
निवासी	ingezetene	निवासी	inzeten	N;NOM;MASC;SG;3	V;V.PTCP
निवासी	woonachtig	निवासी	woonachtig	N;NOM;MASC;SG;3	ADJ
निवासी	inwoners	निवासी	inwoner	N;NOM;MASC;SG;3	N;PL
निवासी	bewoners	निवासी	bewoner	N;NOM;MASC;SG;3	N;PL
निवासी	ingezetenen	निवासी	inzitten	N;NOM;MASC;SG;3	N;PL
अंततः	uiteindelijk	अंततः	uiteindelijk	ADV	ADJ
डेविड	david	डेविड	david	PROPN;NOM;MASC;SG;3	PROPN;MASC+FEM;SG
कह	say	कह	say	V;FIN;ACT	
खास	special	खास	special	ADJ;NOM	N;MASC+FEM;SG
बांग्लादेश	bangladesh	बांग्लादेश	bangladesh	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
तय	gerepareerd	तय	pepareren	ADJ	V;V.PTCP
धारावाहिक	seriële	धारावाहिक	seriel	N;NOM;MASC;SG;3	ADJ
धारावाहिक	afleveringen	धारावाहिक	aflevering	N;NOM;MASC;SG;3	N;PL
तारे	sterren	तारा	ster	N;NOM;MASC;SG;3	N;PL
बनाना	making	बना	making	V;MASC;NFIN;ACT	
पौराणिक	mythologische	पौराणिक	mythologisch	PROPN;NOM;SG;3	ADJ
बाकी	resterende	बाकी	resteren	ADJ	V;V.PTCP
बाकी	resterend	बाकी	resteren	ADJ	V;V.PTCP
बाकी	uitrusten	बाकी	uitrusten	ADJ	V;NFIN
बाकी	rusten	बाकी	rusten	ADJ	V;NFIN
बाकी	rest	बाकी	rest	ADJ	N;MASC+FEM;SG
बाकी	rust	बाकी	rust	ADJ	N;MASC+FEM;SG
बाकी	overgebleven	बाकी	overblijven	ADJ	V;V.PTCP
बाकी	resterend	बाकी	resteren	ADJ	V;V.PTCP
बाकी	resterende	बाकी	resteren	ADJ	V;V.PTCP
संत	heiligen	संत	heiligen	N;NOM;MASC;SG;3	N;PL
संत	heilige	संत	heilige	N;NOM;MASC;SG;3	ADJ
तुर्की	turkije	तुर्की	turkije	PROPN;NOM;MASC;SG;3	N;NEUT;SG
तुर्की	turkse	तुर्की	turks	PROPN;NOM;MASC;SG;3	ADJ
तुर्की	turks	तुर्की	turk	PROPN;NOM;MASC;SG;3	ADJ
संस्कार	rituelen	संस्कार	rituel	N;NOM;MASC;SG;3	N;PL
संस्कार	sacramenten	संस्कार	sacrament	N;NOM;MASC;SG;3	N;PL
शंकर	shankar	शंकर	shankar	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
वार्षिक	jaarlijks	वार्षिक	jaarlijks	PROPN;NOM;MASC;SG;3	ADJ
वार्षिक	jaarlijks	वार्षिक	jaarlijks	PROPN;NOM;MASC;SG;3	ADJ
परिसर	complexe	परिसर	complex	N;NOM;MASC;SG;3	ADJ
परिसर	ingewikkeld	परिसर	ingewikkeld	N;NOM;MASC;SG;3	ADJ
अधिकतम	max	अधिकतम	max	ADJ	N;MASC+FEM;SG
अधिकतम	maximum	अधिकतम	maximum	ADJ	N;NEUT;SG
अधिकतम	maximaliseren	अधिकतम	maximaliseren	ADJ	V;NFIN
अधिकतम	maximaliseren	अधिकतम	maximaliseren	ADJ	V;NFIN
वैश्विक	mondiale	वैश्विक	mondiaal	N;NOM;MASC;SG;3	ADJ
वैश्विक	globaal	वैश्विक	globaal	N;NOM;MASC;SG;3	ADJ
वैश्विक	wereldwijd	वैश्विक	wereldwijd	N;NOM;MASC;SG;3	ADJ
तभी	alleen	तभी	alleen	PRO;NOM	ADV
तभी	enkel	तभी	enkel	PRO;NOM	PRO
तभी	slechts	तभी	slechts	PRO;NOM	ADV
अनिवार्य	verplichte	अनिवार्य	verplichten		V;V.PTCP
अनिवार्य	verplicht	अनिवार्य	verplichten		V;V.PTCP
अनिवार्य	essentials	अनिवार्य	essential		N;PL
अनिवार्य	verplicht	अनिवार्य	verplichten		V;V.PTCP
अनिवार्य	verplichte	अनिवार्य	verplichten		V;V.PTCP
अनिवार्य	verplicht	अनिवार्य	verplichten		V;V.PTCP
अनिवार्य	essentiële	अनिवार्य	essentiel		ADJ
अनिवार्य	onmisbaar	अनिवार्य	onmisbaar		ADJ
अनिवार्य	essentieel	अनिवार्य	essentieel		ADJ
सामान्यतः	gewoonlijk	सामान्यतः	gewoonlijk	ADV	ADJ
सामान्यतः	normaal	सामान्यतः	normaal	ADV	ADJ
हरियाणा	haryana	हरियाणा	haryana	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
तारा	verhongeren	तारा	verhongeren	PROPN;NOM;MASC;SG;3	V;NFIN
तारा	ster	तारा	ster	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
तारा	star	तारा	star	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
द्वार	deuren	द्वार	deur	N;NOM;MASC;SG;3	N;PL
मुख्यतः	voornamelijk	मुख्यतः	voornamelijk	ADV	ADJ
मुख्यतः	hoofdzakelijk	मुख्यतः	hoofdzakelijk	ADV	ADJ
आनंद	enjoy	आनंद	enjoy	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
आनंद	genieten	आनंद	genieten	PROPN;NOM;MASC;SG;3	V;NFIN
आनंद	geniet	आनंद	genieten	PROPN;NOM;MASC;SG;3	V;SG;PRS;FIN
आनंद	anand	आनंद	anand	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
आनंद	ananda	आनंद	ananda	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
रे	ray	रे	ray	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
जिनकी	wiens	जो	wie	PRO;FEM;PL;3	DET
स्थायी	permanente	स्थायी	permanent	PROPN;NOM;SG;3	ADJ
स्थायी	blijvend	स्थायी	blijven	PROPN;NOM;SG;3	V;V.PTCP
स्थायी	permanent	स्थायी	permanent	PROPN;NOM;SG;3	ADJ
स्थायी	blijvende	स्थायी	blijven	PROPN;NOM;SG;3	V;V.PTCP
स्थायी	blijvend	स्थायी	blijven	PROPN;NOM;SG;3	V;V.PTCP
लकड़ी	houten	लकडी	houten	N;NOM;FEM;SG;3	ADJ
गोल	round	गोल	round	N;NOM;MASC;SG;3	
गोल	rond	गोल	rond	N;NOM;MASC;SG;3	ADP
पू	poep	पू	poep	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
पू	poepen	पू	poepen	PROPN;NOM;MASC;SG;3	V;NFIN
ऋण	schulden	ऋण	schuld	N;NOM;MASC;SG;3	N;PL
ऋण	leningen	ऋण	lening	N;NOM;MASC;SG;3	N;PL
ऋण	minus	ऋण	minus	N;NOM;MASC;SG;3	ADV
दास	das	दास	das	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
नोबेल	nobel	नोबेल	nobel	PROPN;NOM;MASC;SG;3	ADJ
जटिल	complex	जटिल	complex	ADJ	N;NEUT;SG
जटिल	ingewikkelde	जटिल	inwikkelen	ADJ	V;FIN
हमला	attack	हमला	attack	N;NOM;MASC;SG;3	
हमला	aanvallen	हमला	aanval	N;NOM;MASC;SG;3	N;PL
आपूर्ति	benodigdheden	आपूर्ति	benodigdheid	N;NOM;FEM;SG;3	N;PL
आपूर्ति	voorraden	आपूर्ति	voorraad	N;NOM;FEM;SG;3	N;PL
आपूर्ति	leveringen	आपूर्ति	levering	N;NOM;FEM;SG;3	N;PL
दर्ज	geregistreerd	दर्ज	registreren	ADJ	V;V.PTCP
दर्ज	opgenomen	दर्ज	opnemen	ADJ	V;V.PTCP
दर्ज	genoteerd	दर्ज	noteren	ADJ	V;V.PTCP
हस्ताक्षर	ondertekenen	हस्ताक्षर	ondertekenen	N;NOM;MASC;PL;3	V;NFIN
हस्ताक्षर	ondertekening	हस्ताक्षर	ondertekening	N;NOM;MASC;PL;3	N;MASC+FEM;SG
हस्ताक्षर	handtekening	हस्ताक्षर	handtekening	N;NOM;MASC;PL;3	N;MASC+FEM;SG
हस्ताक्षर	ondertekening	हस्ताक्षर	ondertekening	N;NOM;MASC;PL;3	N;MASC+FEM;SG
टिप्पणी	aantekeningen	टिप्पणी	aantekening	N;NOM;FEM;SG;3	N;PL
टिप्पणी	notities	टिप्पणी	notitie	N;NOM;FEM;SG;3	N;PL
टिप्पणी	noten	टिप्पणी	noten	N;NOM;FEM;SG;3	N;PL
टिप्पणी	opmerkingen	टिप्पणी	opmerking	N;NOM;FEM;SG;3	N;PL
टिप्पणी	commentaren	टिप्पणी	commentaar	N;NOM;FEM;SG;3	N;PL
टिप्पणी	reacties	टिप्पणी	reactie	N;NOM;FEM;SG;3	N;PL
स्मृति	geheugen	स्मृति	heugen	N;NOM;FEM;SG;3	N;PL
स्मृति	herinneringen	स्मृति	herinnering	N;NOM;FEM;SG;3	N;PL
वेद	veda	वेद	veda		N;MASC+FEM;SG
राजनैतिक	politieke	राजनैतिक	politiek	N;NOM;MASC;SG;3	ADJ
तीव्र	snel	तीव्र	snel		ADJ
तीव्र	vasten	तीव्र	vast		V;NFIN
तीव्र	snelle	तीव्र	snel		ADJ
तीव्र	fast	तीव्र	fast		N;MASC+FEM;SG
तीव्र	tropisch	तीव्र	tropisch		ADJ
तीव्र	tropische	तीव्र	tropisch		ADJ
तीव्र	intensief	तीव्र	intensief		ADJ
तीव्र	intens	तीव्र	intens		ADJ
तीव्र	heftig	तीव्र	heftig		ADJ
तीव्र	intense	तीव्र	intens		ADJ
सम्बन्धित	corresponderende	संबन्धित	corresponderen	ADJ	V;V.PTCP
सम्बन्धित	gerelateerd	संबन्धित	relateren	ADJ	V;V.PTCP
सम्बन्धित	gerelateerde	संबन्धित	relateren	ADJ	V;V.PTCP
चयन	selecties	चयन	selectie	N;NOM;MASC;SG;3	N;PL
यूनानी	griekse	यूनानी	grieks	PROPN;NOM;MASC;SG;3	ADJ
यूनानी	grieks	यूनानी	grieks	PROPN;NOM;MASC;SG;3	ADJ
यूनानी	griek	यूनानी	griek	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
यूनानी	griekenland	यूनानी	griekenland	PROPN;NOM;MASC;SG;3	N;NEUT;SG
जॉर्ज	joris	जॉर्ज	joris	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
जॉर्ज	george	जॉर्ज	georg	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
स्वर्ण	goud	स्वर्ण	goud		N;NEUT;SG
ठोस	stevig	ठोस	stevig	PROPN;NOM;MASC;SG;3	ADJ
ठोस	massief	ठोस	massief	PROPN;NOM;MASC;SG;3	ADJ
ठोस	solide	ठोस	solide	PROPN;NOM;MASC;SG;3	ADJ
ठोस	vaste	ठोस	vast	PROPN;NOM;MASC;SG;3	ADJ
ठोस	tastbare	ठोस	tastbaar	PROPN;NOM;MASC;SG;3	ADJ
ठोस	tastbaar	ठोस	tastbaar	PROPN;NOM;MASC;SG;3	ADJ
विदेश	buitenlands	विदेश	buitenlands	N;NOM;MASC;SG;3	ADJ
दवा	medicijnen	दवा	medicijn	N;NOM;FEM;SG;3	N;PL
दवा	medicijnen	दवा	medicijn	N;NOM;FEM;SG;3	N;PL
ऋषि	rishi	ऋषि	rishi	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
ऋषि	sage	ऋषि	sage	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
ऋषि	salie	ऋषि	salie	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
शेयर	aandelen	शेयर	aandeel	N;NOM;MASC;SG;3	N;PL
गर्म	heet	गर्म	heten	ADJ;NOM	V;SG;PRS;FIN
एशियाई	aziatische	एशियाई	aziatisch	PROPN;NOM;SG;3	ADJ
एशियाई	aziatisch	एशियाई	aziatisch	PROPN;NOM;SG;3	ADJ
अपेक्षाकृत	relatief	अपेक्षाकृत	relatief	ADV	ADJ
सफेद	wit	सफेद	wit		ADJ
सफेद	witte	सफेद	wit		ADJ
वैकल्पिक	alternatief	वैकल्पिक	alternatief	ADJ;NOM	N;NEUT;SG
वैकल्पिक	plaatsvervanger	वैकल्पिक	plaatsvervanger	ADJ;NOM	N;MASC+FEM;SG
वैकल्पिक	afwisselen	वैकल्पिक	afwisselen	ADJ;NOM	V;NFIN
जयपुर	jaipur	जयपुर	jaipur	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
हार	verslaan	हार	verslaan	N;NOM;FEM;SG;3	V;NFIN
समाधान	oplossingen	समाधान	oplossing	N;NOM;MASC;SG;3	N;PL
समाधान	solutions	समाधान	solution	N;NOM;MASC;SG;3	N;PL
जोड़ा	paar	जोड़	paar	V;PFV;MASC;SG;V.PTCP;ACT	N;NEUT;SG
जोड़ा	koppel	जोड़	koppel	V;PFV;MASC;SG;V.PTCP;ACT	N;NEUT;SG
हिमालय	himalaya	हिमालय	himalaya	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
राजमार्ग	autowegen	राजमार्ग	autoweg	N;NOM;MASC;SG;3	N;PL
राजमार्ग	snelwegen	राजमार्ग	snelwig	N;NOM;MASC;SG;3	N;PL
पेड़	bomen	पेड़	boom	N;NOM;MASC;SG;3	N;PL
कैरियर	vervoerder	कैरियर	vervoerd	N;NOM;MASC;SG;3	ADJ;CMPR
कैरियर	carrières	कैरियर	carrière	N;NOM;MASC;SG;3	N;PL
इंच	centimeters	इंच	centimeter	N;NOM;MASC;SG;3	N;PL
डिजिटल	digitaal	डिजिटल	digitaal	N;NOM	ADJ
श्रेष्ठ	superior	श्रेष्ठ	superior	PROPN;NOM;MASC;SG;3	
श्रेष्ठ	superieure	श्रेष्ठ	superieur	PROPN;NOM;MASC;SG;3	ADJ
श्रेष्ठ	superieur	श्रेष्ठ	superieur	PROPN;NOM;MASC;SG;3	ADJ
आग	vuren	आग	vuren	N;NOM;FEM;SG;3	V;NFIN
पौधे	plant	पौधा	plant	N;NOM;MASC;PL;3	N;MASC+FEM;SG
हाथों	handjes	हाथ	hand	V;MASC;SBJV;PL;FIN;ACT	N;PL
हाथों	handen	हाथ	hand	V;MASC;SBJV;PL;FIN;ACT	N;PL
हाथों	hands	हाथ	hands	V;MASC;SBJV;PL;FIN;ACT	N;MASC+FEM;SG
बाज़ार	markten	बाज़ार	markt	N;NOM;MASC;SG;3	N;PL
किरदार	personages	किरदार	personage	N;NOM;MASC;SG;3	N;PL
किरदार	tekens	किरदार	teken	N;NOM;MASC;SG;3	N;PL
किरदार	karakters	किरदार	karakter	N;NOM;MASC;SG;3	N;PL
निर्धारण	armaturen	निर्धारण	armatuur	N;NOM;MASC;SG;3	N;PL
नुकसान	verliezen	नुकसान	verliezen	N;NOM;MASC;SG;3	V;NFIN
नुकसान	verliezen	नुकसान	verliezen	N;NOM;MASC;SG;3	V;NFIN
नुकसान	beschadigingen	नुकसान	beschadiging	N;NOM;MASC;SG;3	N;PL
आकर्षित	aangetrokken	आकर्षित	aantrekken	ADJ	V;V.PTCP
आकर्षित	trekken	आकर्षित	trekken	ADJ	V;NFIN
आकर्षित	aantrekken	आकर्षित	aantrekken	ADJ	V;NFIN
महाराज	maharaj	महाराज	maharaj	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
रस	sappen	रस	sappen	N;NOM;MASC;SG;3	N;PL
ऑनलाइन	online	ऑनलाइन	online	N;NOM;MASC;SG;3	ADJ
सेट	instellen	सेट	instellen	N;NOM;MASC;SG;3	V;NFIN
सेट	ingesteld	सेट	instellen	N;NOM;MASC;SG;3	V;V.PTCP
सेट	verzamelingen	सेट	verzameling	N;NOM;MASC;SG;3	N;PL
सेट	sets	सेट	set	N;NOM;MASC;SG;3	N;PL
भेद	geheim	भेद	geheim	N;NOM;MASC;SG;3	ADJ
भेद	secret	भेद	secret	N;NOM;MASC;SG;3	
भेद	onderscheidingen	भेद	onderscheiding	N;NOM;MASC;SG;3	N;PL
फोन	telefoons	फोन	telefoon	N;NOM;MASC;SG;3	N;PL
मगध	magadha	मगध	magadha	PROPN;NOM;MASC;SG;3	N;NEUT;SG
शक्तिशाली	machtig	शक्तिशाली	machtig	N;NOM;MASC;SG;3	ADJ
शक्तिशाली	krachtig	शक्तिशाली	krachtig	N;NOM;MASC;SG;3	ADJ
शक्तिशाली	krachtige	शक्तिशाली	krachtig	N;NOM;MASC;SG;3	ADJ
कौन	who	कौन	who	PRO	
चिह्न	symbool	चिह्न	symbool		N;NEUT;SG
चिह्न	symbolen	चिह्न	symbol		N;PL
चिह्न	onderteken	चिह्न	onderteken		V;SG;PRS;FIN
चिह्न	ondertekenen	चिह्न	ondertekenen		V;NFIN
चिह्न	tekenen	चिह्न	tekenen		V;NFIN
चिह्न	teken	चिह्न	teken		N;NEUT;SG
चिह्न	icoon	चिह्न	icoon		N;NEUT;SG
चिह्न	pictogram	चिह्न	pictogram		N;NEUT;SG
जोड़	toevoeging	जोड़	toevoeging	V;SG;FIN;ACT	N;MASC+FEM;SG
आरोप	aanklachten	आरोप	aanklacht	N;NOM;MASC;SG;3	N;PL
महासागर	oceanen	महासागर	oceaan	PROPN;NOM;MASC;SG;3	N;PL
महासागर	oceaan	महासागर	oceaan	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
महसूस	feel	महसूस	feel	ADJ	
महसूस	voelen	महसूस	voelen	ADJ	V;NFIN
महसूस	voel	महसूस	voelen	ADJ	V;SG;PRS;FIN
अध्याय	hoofdstukken	अध्याय	hoofdstuk	N;NOM;MASC;SG;3	N;PL
दान	gedoneerd	दान	doneren	N;NOM;MASC;SG;3	V;V.PTCP
दान	geschonken	दान	schenken	N;NOM;MASC;SG;3	V;V.PTCP
दान	donaties	दान	donatie	N;NOM;MASC;SG;3	N;PL
दान	doneren	दान	doneren	N;NOM;MASC;SG;3	V;NFIN
दान	schenkingen	दान	schenking	N;NOM;MASC;SG;3	N;PL
दान	donaties	दान	donatie	N;NOM;MASC;SG;3	N;PL
दान	giften	दान	gift	N;NOM;MASC;SG;3	N;PL
करे	kare	कर	kaar	V;SBJV;SG;3;FIN;ACT	N;MASC+FEM;SG
अनुपात	helling	अनुपात	helling		N;MASC+FEM;SG
अनुपात	verloop	अनुपात	verloop		N;NEUT;SG
अनुपात	gradiënt	अनुपात	gradiënt		N;MASC+FEM;SG
अनुपात	hellingen	अनुपात	helling		N;PL
अनुपात	ratio	अनुपात	ratio		N;MASC+FEM;SG
अनुपात	verhouding	अनुपात	verhouding		N;MASC+FEM;SG
स्नातक	afgestudeerd	स्नातक	afstuderen	N;NOM;MASC;SG;3	V;V.PTCP
स्नातक	geslaagd	स्नातक	slagen	N;NOM;MASC;SG;3	V;V.PTCP
स्नातक	afstuderen	स्नातक	afstuderen	N;NOM;MASC;SG;3	N;PL
स्नातक	afstuderen	स्नातक	afstuderen	N;NOM;MASC;SG;3	N;PL
स्नातक	afgestudeerd	स्नातक	afstuderen	N;NOM;MASC;SG;3	V;V.PTCP
स्नातक	afgestudeerde	स्नातक	afstuderen	N;NOM;MASC;SG;3	V;V.PTCP
मूर्ति	standbeelden	मूर्ति	standbeeld	N;NOM;FEM;SG;3	N;PL
मराठी	marathi	मराठी	marathi	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
माइकल	michiel	माइकल	michiel	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
माइकल	michaël	माइकल	michaël	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
माइकल	michael	माइकल	michael	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
इलाज	genezen	इलाज	genezen	N;NOM;MASC;SG;3	V;V.PTCP
इलाज	behandelen	इलाज	behandelen	N;NOM;MASC;SG;3	V;NFIN
इलाज	behandel	इलाज	behandelen	N;NOM;MASC;SG;3	V;SG;PRS;FIN
अभ्यास	oefenen	अभ्यास	oefenen	N;NOM;MASC;SG;3	V;NFIN
अभ्यास	beoefenen	अभ्यास	beoefenen	N;NOM;MASC;SG;3	V;NFIN
शाही	koninklijke	शाही	koninklijk	PROPN;NOM;MASC;SG;3	ADJ
शाही	royal	शाही	royal	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
शाही	koninklijk	शाही	koninklijk	PROPN;NOM;MASC;SG;3	ADJ
शाही	shahi	शाही	shahi	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
पाकिस्तानी	pakistan	पाकिस्तानी	pakistan	N;NOM;MASC;SG;3	PROPN;NEUT;SG
पाकिस्तानी	pakistaanse	पाकिस्तानी	pakistaans	N;NOM;MASC;SG;3	ADJ
ब्लैक	zwarte	ब्लैक	zwart		ADJ
ब्लैक	black	ब्लैक	black		
ब्लैक	zwart	ब्लैक	zwart		ADJ
संसाधन	hulpbronnen	संसाधन	hulpbron	N;NOM;MASC;SG;3	N;PL
संसाधन	middelen	संसाधन	middel	N;NOM;MASC;SG;3	N;PL
संसाधन	informatiebronnen	संसाधन	informatiebron	N;NOM;MASC;SG;3	N;PL
संसाधन	bronnen	संसाधन	bron	N;NOM;MASC;SG;3	N;PL
देवनागरी	devanagari	देवनागरी	devanagari	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
मजबूत	sterken	मजबूत	sterken	ADJ	V;NFIN
प्रोग्राम	programmeren	प्रोग्राम	programmeren	N;NOM;MASC;SG;3	V;NFIN
मिश्रित	mixed	मिश्रित	mixed		ADJ
मिश्रित	vermengd	मिश्रित	vermengen		V;V.PTCP
मिश्रित	gemixt	मिश्रित	mixten		V;V.PTCP
मिश्रित	gemengde	मिश्रित	mengen		V;V.PTCP
मिश्रित	gemengd	मिश्रित	mengen		V;V.PTCP
मिश्रित	mixer	मिश्रित	mixer		N;MASC+FEM;SG
निरंतर	doorlopend	निरन्तर	doorlopen	ADV	V;V.PTCP
निरंतर	continue	निरन्तर	continue	ADV	ADJ
निरंतर	continu	निरन्तर	continu	ADV	ADJ
निरंतर	doorlopende	निरन्तर	doorlopen	ADV	V;V.PTCP
निरंतर	ononderbroken	निरन्तर	ononderbreken	ADV	V;V.PTCP
निरंतर	constante	निरन्तर	constant	ADV	ADJ
निरंतर	constant	निरन्तर	constant	ADV	ADJ
प्रबंध	managen	प्रबंध	managen	N;NOM;MASC;SG;3	V;NFIN
प्रबंध	beheren	प्रबंध	beheren	N;NOM;MASC;SG;3	V;NFIN
प्रबंध	managen	प्रबंध	managen	N;NOM;MASC;SG;3	V;NFIN
प्रबंध	beheren	प्रबंध	beheren	N;NOM;MASC;SG;3	V;NFIN
व्यंजन	medeklinkers	व्यंजन	medeklinker	N;NOM;MASC;SG;3	N;PL
जमा	deposito	जमा	deposito	V;FIN;ACT	N;MASC+FEM;SG
जमा	storting	जमा	storting	V;FIN;ACT	N;MASC+FEM;SG
जमा	stortingen	जमा	storting	V;FIN;ACT	N;PL
स्त्री	woman	स्त्री	woman	N;NOM;FEM;SG;3	
स्त्री	vrouwelijke	स्त्री	vrouwelijk	N;NOM;FEM;SG;3	ADJ
स्त्री	vrouwelijk	स्त्री	vrouwelijk	N;NOM;FEM;SG;3	ADJ
