douro	douro	douro	douro	N;MASC;SG	PROPN;NOM;MASC;SG
tanques	tank	tanque	tanka	N;MASC;PL	N;NOM;MASC;SG
tanques	tanke	tanque	tanek	N;MASC;PL	ADJ;NOM;FEM;PL
tanques	cisterne	tanque	cisteren	N;MASC;PL	ADJ;NOM;FEM;PL
tanques	tanki	tanque	tanek	N;MASC;PL	ADJ;NOM;MASC;PL
ideologia	ideologije	ideologia	ideologija	N;FEM;SG	N;NOM;FEM;PL
urss	zssr	ur	zssra	N;FEM;SG	PROPN;NOM;MASC;SG
reconhecer	prepoznavanje	reconhecer	prepoznavanje	V;NFIN	N;NOM;NEUT;SG
adotou	sprejeta	adotar	sprejet	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;SG;V.PTCP
adotou	sprejet	adotar	sprejet	V;IND;SG;3;PST;FIN	ADJ;NOM;INDF;MASC;SG;V.PTCP
adotou	sprejeto	adotar	sprejet	V;IND;SG;3;PST;FIN	ADJ;NOM;NEUT;SG;V.PTCP
imposto	davki	impor	davek	V;MASC;SG;V.PTCP	N;NOM;MASC;PL
imposto	davčna	impor	davčen	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG
imposto	davek	impor	davek	V;MASC;SG;V.PTCP	N;NOM;MASC;SG
avisado	opozorjen	avisar	opozorjen	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
rené	rené	rené	rené	N;MASC;SG	PROPN;NOM;MASC;SG
rené	rene	rené	rena	N;MASC;SG	PROPN;NOM;MASC;SG
rené	rené	rené	rené	N;MASC;SG	PROPN;NOM;MASC;SG
rené	rene	rené	rena	N;MASC;SG	PROPN;NOM;MASC;SG
assinar	podpisovanje	assinar	podpisovanje	V;NFIN	N;NOM;NEUT;SG
assinar	podpis	assinar	podpis	V;NFIN	N;NOM;MASC;SG
assinar	znak	assinar	znak	V;NFIN	N;NOM;MASC;SG
ofereceu	ponujena	oferecer	ponujen	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;SG;V.PTCP
ofereceu	ponujenih	oferecer	ponujen	V;IND;SG;3;PST;FIN	ADJ;GEN;MASC;PL;V.PTCP
ofereceu	ponujene	oferecer	ponujen	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;PL;V.PTCP
ofereceu	ponujeni	oferecer	ponujen	V;IND;SG;3;PST;FIN	ADJ;NOM;MASC;PL;V.PTCP
ofereceu	ponujeno	oferecer	ponujen	V;IND;SG;3;PST;FIN	ADJ;NOM;NEUT;SG;V.PTCP
intelectuais	intelektualna	intelectual	intelektualen	N;MASC;PL	ADJ;NOM;FEM;SG
intelectuais	intelektualne	intelectual	intelektualen	N;MASC;PL	ADJ;NOM;FEM;PL
intelectuais	intelektualno	intelectual	intelektualno	N;MASC;PL	ADJ;NOM;NEUT;SG
caridade	dobrodelna	caridade	dobrodelen	N;FEM;SG	ADJ;NOM;FEM;SG
integrada	integrirani	integrar	integriran	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
integrada	integriran	integrar	integriran	V;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
integrada	integrirana	integrar	integriran	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
integrada	integrirano	integrar	integrirano	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
integrada	celostni	integrar	celosten	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;SG
presa	aretirani	presa	aretiran	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
presa	aretirali	presa	aretirati	V;FEM;SG;V.PTCP	V;MASC;PL;V.PTCP
presa	aretirana	presa	aretiran	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
presa	aretiran	presa	aretiran	V;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
presa	plen	presa	plen	V;FEM;SG;V.PTCP	N;NOM;MASC;SG
internacionalmente	mednarodno	internacionalmente	mednaroden	ADV	ADJ;NOM;NEUT;SG
amaro	amaro	amaro	amara	N;MASC;SG	
arredores	okolico	arredores	okolica	N;MASC;PL	N;ACC;FEM;SG
arredores	okolica	arredores	okolica	N;MASC;PL	N;NOM;FEM;SG
malta	malta	malta	malta	N;FEM;SG	PROPN;NOM;FEM;SG
básicos	osnovno	básico	osnoven	N;MASC;PL	ADJ;NOM;NEUT;SG
básicos	osnovni	básico	osnoven	N;MASC;PL	ADJ;NOM;MASC;PL
iniciando	začetek	iniciar	začetek	V;V.MSDR	N;NOM;MASC;SG
iniciando	zagon	iniciar	zagon	V;V.MSDR	N;NOM;MASC;SG
forest	gozdni	forest	gozden	N;MASC;SG	ADJ;NOM;MASC;SG
forest	gozdovi	forest	gozd	N;MASC;SG	N;NOM;MASC;PL
salva	modrec	salvar	modrece	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
salva	sage	salvar	saga	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
salva	rešen	salvar	rešen	V;IND;SG;3;PRS;FIN	ADJ;NOM;INDF;MASC;SG;V.PTCP
salva	rešeno	salvar	rešen	V;IND;SG;3;PRS;FIN	ADJ;NOM;NEUT;SG;V.PTCP
salva	shranjeno	salvar	shranjen	V;IND;SG;3;PRS;FIN	ADJ;NOM;NEUT;SG;V.PTCP
salva	rešena	salvar	rešen	V;IND;SG;3;PRS;FIN	ADJ;NOM;FEM;SG;V.PTCP
salva	shranjena	salvar	shranjen	V;IND;SG;3;PRS;FIN	ADJ;NOM;FEM;SG;V.PTCP
extensa	obširno	extenso	obširen	ADJ;FEM;SG	ADV
extensa	obsežno	extenso	obsežno	ADJ;FEM;SG	ADV
extensa	obsežne	extenso	obsežen	ADJ;FEM;SG	ADJ;NOM;FEM;PL
her	njej	her	on	N;MASC;SG	PRO;DAT;FEM;SG;3
her	njo	her	on	N;MASC;SG	PRO;ACC;FEM;SG;3
her	njen	her	njen	N;MASC;SG	DET;NOM;MASC;SG;3
her	njena	her	njen	N;MASC;SG	DET;NOM;FEM;SG;3
justo	pravični	justo	pravičen	ADJ;MASC;SG	ADJ;NOM;MASC;PL
justo	pošteno	justo	pošteno	ADJ;MASC;SG	ADV
justo	sejem	justo	sejem	ADJ;MASC;SG	N;NOM;MASC;SG
anéis	prstana	anel	prstan	N;MASC;PL	N;NOM;MASC;SG
anéis	prstani	anel	prstan	N;MASC;PL	ADJ;NOM;MASC;PL;V.PTCP
átomos	atom	átomo	atom	N;MASC;PL	N;NOM;MASC;SG
ernst	ernst	ernst	ernst	PROPN;MASC;SG	N;NOM;MASC;SG
vanessa	vanessa	vanesso	vanessa	N;FEM;SG	PROPN;NOM;FEM;SG
comunistas	komunistično	comunista	komunističen	N;MASC;PL	ADJ;NOM;NEUT;SG
comunistas	komunist	comunista	komunist	N;MASC;PL	N;NOM;MASC;SG
comunistas	komunistična	comunista	komunističen	N;MASC;PL	ADJ;NOM;FEM;SG
comunistas	komunistični	comunista	komunističen	N;MASC;PL	ADJ;NOM;MASC;SG
sepultado	zakopan	sepultado	zakopan	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
sepultado	zakopano	sepultado	zakopan	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
sepultado	pokopani	sepultado	pokopan	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
sepultado	pokopan	sepultado	pokopan	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
sepultado	pokopana	sepultado	pokopan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
inspirada	navdih	inspirar	navdih	V;FEM;SG;V.PTCP	N;NOM;MASC;SG
joan	joan	joan	joan	N;FEM;SG	PROPN;NOM;MASC;SG
absurdo	neumnost	absurdo	neumnost	ADJ;MASC;SG	N;NOM;FEM;SG
absurdo	nesmisel	absurdo	nesmisel	ADJ;MASC;SG	N;NOM;MASC;SG
lara	lara	lara	lar	N;FEM;SG	PROPN;NOM;FEM;SG
inovação	inovacije	inovação	inovacija	N;FEM;SG	N;NOM;FEM;PL
inovação	inovacij	inovação	inovacija	N;FEM;SG	N;GEN;FEM;PL
nbc	nbc	nbc	nbce	N;FEM;SG	PROPN;NOM;MASC;SG
meridional	južno	meridional	južen	ADJ;MASC;SG	ADV
fundir	združevanje	fundir	združevanje	V;NFIN	N;NOM;NEUT;SG
suficientes	zadostno	suficiente	zadostno	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
suficientes	zadostna	suficiente	zadosten	ADJ;MASC;PL	ADJ;NOM;FEM;SG
promessa	obljubi	promessa	obljuba	N;FEM;SG	V;PFV;IND;SG;3;PRS;FIN
historicamente	zgodovinsko	historicamente	zgodovinski	ADV	ADJ;NOM;NEUT;SG
alternativas	alternativni	alternativa	alternativen	N;FEM;PL	ADJ;NOM;MASC;SG
alternativas	alternativno	alternativa	alternativen	N;FEM;PL	ADJ;NOM;NEUT;SG
alternativas	alternativa	alternativa	alternativa	N;FEM;PL	N;NOM;FEM;SG
dourado	zlat	dourar	zlat	V;MASC;SG;V.PTCP	N;NOM;MASC;SG
dourado	zlato	dourar	zlat	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG
dourado	zlata	dourar	zlat	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG
dourado	zlate	dourar	zlat	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;PL
dourado	zlati	dourar	zlat	V;MASC;SG;V.PTCP	ADJ;NOM;DEF;MASC;SG
dourado	zlat	dourar	zlat	V;MASC;SG;V.PTCP	N;NOM;MASC;SG
dourado	zlato	dourar	zlat	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG
dourado	zlate	dourar	zlat	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;PL
dourado	zlati	dourar	zlat	V;MASC;SG;V.PTCP	ADJ;NOM;DEF;MASC;SG
dourado	zlata	dourar	zlat	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG
harold	harold	harold	harold	N;MASC;SG	
fixa	popravljeno	fixo	popravljen	N;FEM;SG	ADJ;NOM;NEUT;SG;V.PTCP
fixa	fiksno	fixo	fiksen	N;FEM;SG	ADJ;NOM;NEUT;SG
fixa	popravil	fixo	popravilo	N;FEM;SG	V;PFV;MASC;SG;V.PTCP
fixa	fiksna	fixo	fiksen	N;FEM;SG	ADJ;NOM;FEM;SG
reitor	dean	reitor	dean	N;MASC;SG	PROPN;NOM;MASC;SG
noiva	zaročen	noiva	zaročen	N;FEM;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
noiva	zaročena	noiva	zaročen	N;FEM;SG	ADJ;NOM;FEM;SG;V.PTCP
emi	emi	eme	emi	N;MASC;SG	PROPN;NOM;MASC;SG
associadas	sodelavci	associar	sodelavec	V;FEM;PL;V.PTCP	N;NOM;MASC;PL
coletiva	kolektivna	coletivo	kolektiven	N;FEM;SG	ADJ;NOM;FEM;SG
coletiva	kolektivno	coletivo	kolektiven	N;FEM;SG	ADJ;NOM;NEUT;SG
pavilhão	zastave	pavilhão	zastava	N;MASC;SG	N;NOM;FEM;PL
spin	zavrti	spin	zavrt	N;MASC;SG	V;PFV;IND;SG;3;PRS;FIN
borda	platišča	borda	platišče	N;FEM;SG	N;NOM;NEUT;PL
borda	meje	borda	meja	N;FEM;SG	N;NOM;FEM;PL
funcionário	zaposleni	funcionário	zaposlen	N;MASC;SG	ADJ;NOM;MASC;PL;V.PTCP
funcionário	uradna	funcionário	uraden	N;MASC;SG	ADJ;NOM;FEM;SG
funcionário	uradno	funcionário	uradno	N;MASC;SG	ADV
funcionário	uradni	funcionário	uraden	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
ganho	pridobi	ganho	pridobiti	N;MASC;SG	V;PFV;IND;SG;3;PRS;FIN
loire	loire	loire	lošer	N;MASC;SG	PROPN;NOM;MASC;SG
acadêmica	akademske	acadêmico	akademski	N;FEM;SG	ADJ;NOM;FEM;PL
acadêmica	akademsko	acadêmico	akademski	N;FEM;SG	ADJ;NOM;NEUT;SG
acadêmica	akademski	acadêmico	akademski	N;FEM;SG	ADJ;NOM;MASC;SG
frequentes	pogosto	frequente	pogosto	ADJ;MASC;PL	ADV
fechada	zaprto	fechar	zaprt	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
fechada	zaprt	fechar	zaprt	V;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
fechada	zaprte	fechar	zaprt	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
fechada	zaprti	fechar	zaprt	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
fechada	zaprta	fechar	zaprt	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
cinza	gray	cinza	gray	N;FEM;SG	
cinza	siv	cinza	siv	N;FEM;SG	ADJ;NOM;INDF;MASC;SG
cinza	siva	cinza	siv	N;FEM;SG	ADJ;NOM;FEM;SG
cinza	sivo	cinza	siv	N;FEM;SG	ADJ;NOM;NEUT;SG
cinza	sivi	cinza	siv	N;FEM;SG	ADJ;NOM;DEF;MASC;SG
cinza	sive	cinza	siv	N;FEM;SG	ADJ;NOM;FEM;PL
cinza	sivo	cinza	siv	N;FEM;SG	ADJ;NOM;NEUT;SG
cinza	sivi	cinza	siv	N;FEM;SG	ADJ;NOM;DEF;MASC;SG
cinza	grey	cinza	grey	N;FEM;SG	
cinza	siva	cinza	siv	N;FEM;SG	ADJ;NOM;FEM;SG
frequente	pogosti	frequente	pogost	ADJ;MASC;SG	ADJ;NOM;MASC;PL
frequente	pogosto	frequente	pogosto	ADJ;MASC;SG	ADV
enviada	poslan	enviar	poslan	V;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
enviada	poslana	enviar	poslan	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
enviada	poslani	enviar	poslan	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
enviada	poslano	enviar	poslan	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
enviada	poslane	enviar	poslan	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
difíceis	težka	difícil	težek	ADJ;MASC;PL	ADJ;NOM;FEM;SG
difíceis	težavna	difícil	težaven	ADJ;MASC;PL	ADJ;NOM;FEM;SG
difíceis	težko	difícil	težek	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
exclusivo	izključno	exclusivo	izključno	ADJ;MASC;SG	ADV
exclusivo	ekskluzivno	exclusivo	ekskluzivno	ADJ;MASC;SG	ADV
crônica	kronična	crônico	kroničen	N;FEM;SG	ADJ;NOM;FEM;SG
crônica	kronični	crônico	kroničen	N;FEM;SG	ADJ;NOM;MASC;PL
crônica	kronično	crônico	kronično	N;FEM;SG	ADV
crônica	chronicle	crônico	chronicel	N;FEM;SG	PROPN;NOM;MASC;SG
telecomunicações	telekomunikacije	telecomunicação	telekomunikacija	N;FEM;PL	N;NOM;FEM;SG
apoiado	podprta	apoiar	podprt	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
apoiado	podprte	apoiar	podprt	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
apoiado	podprti	apoiar	podprt	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
apoiado	podprt	apoiar	podprt	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
apoiado	podprto	apoiar	podprt	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
eficaz	učinkoviti	eficaz	učinkovit	ADJ;FEM;SG	ADJ;NOM;MASC;PL
sweet	sladkih	sweet	sladek	N;MASC;SG	ADJ;GEN;MASC;PL
sweet	sladko	sweet	sladko	N;MASC;SG	ADV
sweet	sladki	sweet	sladek	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
sweet	sladka	sweet	sladka	N;MASC;SG	ADJ;NOM;FEM;SG
prestígio	prestižno	prestígio	prestižen	N;MASC;SG	ADJ;NOM;NEUT;SG
coletivo	kolektivna	coletivo	kolektiven	N;MASC;SG	ADJ;NOM;FEM;SG
coletivo	kolektivno	coletivo	kolektiven	N;MASC;SG	ADJ;NOM;NEUT;SG
leipzig	leipzig	leipzig	leipzig	N;MASC;SG	PROPN;NOM;MASC;SG
say	povej	say	povedati	N;MASC;SG	V;PFV;IMP;SG;2;FIN
secundárias	sekundarno	secundário	sekundaren	ADJ;FEM;PL	ADV
secundárias	sekundarni	secundário	sekundaren	ADJ;FEM;PL	ADJ;NOM;MASC;SG
secundárias	sekundarna	secundário	sekundarn	ADJ;FEM;PL	ADJ;NOM;FEM;SG
fenômenos	pojavi	fenômeno	pojaviti	N;MASC;PL	V;PFV;IND;SG;3;PRS;FIN
fenômenos	fenomen	fenômeno	fenomen	N;MASC;PL	N;NOM;MASC;SG
fenômenos	pojav	fenômeno	pojav	N;MASC;PL	N;NOM;MASC;SG
enterrado	zakopan	enterrar	zakopan	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
enterrado	zakopano	enterrar	zakopan	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
enterrado	pokopani	enterrar	pokopan	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
enterrado	pokopan	enterrar	pokopan	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
enterrado	pokopana	enterrar	pokopan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
líbia	libijski	líbia	libijski	N;FEM;SG	ADJ;NOM;MASC;SG
confrontos	soočenje	confronto	soočenje	N;MASC;PL	N;NOM;NEUT;SG
pátria	domovinska	pátria	domovinski	N;FEM;SG	ADJ;NOM;FEM;SG
competir	konkurenčnih	competir	konkurenčen	V;NFIN	ADJ;GEN;MASC;PL
temática	tematske	temático	tematski	N;FEM;SG	ADJ;NOM;FEM;PL
temática	tematska	temático	tematski	N;FEM;SG	ADJ;NOM;FEM;SG
temática	tematski	temático	tematski	N;FEM;SG	ADJ;NOM;MASC;SG
temática	tematskih	temático	tematski	N;FEM;SG	ADJ;GEN;MASC;PL
derivados	derivati	derivar	derivati	V;MASC;PL;V.PTCP	N;NOM;MASC;PL
oficina	delavnice	oficina	delavnica	N;FEM;SG	N;NOM;FEM;PL
estêvão	stephen	estêvão	stephen	N;MASC;SG	PROPN;NOM;MASC;SG
dinamarquês	dansko	dinamarquês	danski	N;MASC;SG	ADJ;NOM;NEUT;SG
dinamarquês	danske	dinamarquês	danski	N;MASC;SG	ADJ;NOM;FEM;PL
dinamarquês	danski	dinamarquês	danski	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
invenção	izumili	invenção	izumiti	N;FEM;SG	V;PFV;MASC;PL;V.PTCP
invenção	izumil	invenção	izumiti	N;FEM;SG	V;PFV;MASC;SG;V.PTCP
perdida	izgubljena	perder	izgubljen	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
perdida	izgubljeni	perder	izgubljen	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
perdida	izgubljeno	perder	izgubljen	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
perdida	izgubljen	perder	izgubljen	V;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
hebraico	hebrejsko	hebraico	hebrejski	N;MASC;SG	ADJ;NOM;NEUT;SG
jurisdição	pristojnosti	jurisdição	pristojnost	N;FEM;SG	N;NOM;FEM;PL
adolfo	adolfo	adolfo	adolfo	N;MASC;SG	PROPN;NOM;MASC;SG
adolfo	adolf	adolfo	adolf	N;MASC;SG	PROPN;NOM;MASC;SG
bactérias	bakterijske	bactéria	bakterijski	N;FEM;PL	ADJ;NOM;FEM;PL
bactérias	bakterija	bactéria	bakterija	N;FEM;PL	N;NOM;FEM;SG
progressivo	postopno	progressivo	postopno	ADJ;MASC;SG	ADV
tentaram	probal	tentar	probati	V;IND;PL;3;FIN	V;PFV;MASC;SG;V.PTCP
tentaram	poskusil	tentar	poskusiti	V;IND;PL;3;FIN	V;PFV;MASC;SG;V.PTCP
tentaram	poskušal	tentar	poskušati	V;IND;PL;3;FIN	V;IPFV;MASC;SG;V.PTCP
futuros	prihodnje	futuro	prihodnji	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
futuros	bodočnost	futuro	bodočnost	ADJ;MASC;PL	N;NOM;FEM;SG
futuros	prihodnosti	futuro	prihodnost	ADJ;MASC;PL	N;GEN;FEM;SG
futuros	prihodnost	futuro	prihodnost	ADJ;MASC;PL	N;NOM;FEM;SG
impróprio	neustrezno	impróprio	neustrezno	ADJ;MASC;SG	ADV
impróprio	neprimerno	impróprio	neprimerno	ADJ;MASC;SG	ADV
fiéis	zvesto	fiel	zvesto	N;MASC;PL	ADV
fiéis	zvesta	fiel	zvest	N;MASC;PL	N;NOM;FEM;SG
fiéis	zvest	fiel	zvest	N;MASC;PL	ADJ;NOM;INDF;MASC;SG
fiéis	zvesti	fiel	zvesti	N;MASC;PL	ADJ;NOM;MASC;PL
potências	powers	potências	powers	N;FEM;PL	
encontros	sej	encontro	seja	N;MASC;PL	
votado	glasovali	votar	glasovati	V;MASC;SG;V.PTCP	V;MASC;PL;V.PTCP
viajar	potovanja	viajar	potovanje	V;NFIN	N;NOM;NEUT;PL
viajar	potovanje	viajar	potovanje	V;NFIN	N;NOM;NEUT;SG
viajar	potovanja	viajar	potovanje	V;NFIN	N;NOM;NEUT;PL
viajar	potovanje	viajar	potovanje	V;NFIN	N;NOM;NEUT;SG
viajar	potujoči	viajar	potujoč	V;NFIN	ADJ;NOM;MASC;SG;V.PTCP
viajar	potovanje	viajar	potovanje	V;NFIN	N;NOM;NEUT;SG
incorporada	vgrajeni	incorporar	vgrajen	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
incorporada	vgrajeno	incorporar	vgrajen	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
primárias	primarno	primária	primaren	N;FEM;PL	ADV
primárias	primarne	primária	primaren	N;FEM;PL	ADJ;NOM;FEM;PL
primárias	primarna	primária	primaren	N;FEM;PL	ADJ;NOM;FEM;SG
primárias	primarni	primária	primaren	N;FEM;PL	ADJ;NOM;DEF;MASC;SG
meninos	fanta	menino	fant	N;MASC;PL	N;ACC;MASC;SG
observado	opažena	observar	opažen	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
observado	opaženi	observar	opažen	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
observado	opažene	observar	opažen	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
observado	opaženo	observar	opažen	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
pecuária	živine	pecuário	živina	N;FEM;SG	N;NOM;FEM;PL
hills	hribi	hills	hrib	N;MASC;SG	N;NOM;MASC;PL
absoluto	absolutno	absoluto	absolutno	ADJ;MASC;SG	ADV
crenças	verovanje	crença	verovanje	N;FEM;PL	N;NOM;NEUT;SG
crenças	prepričanje	crença	prepričanje	N;FEM;PL	N;NOM;NEUT;SG
moreno	moreno	moreno	moren	N;MASC;SG	ADJ;NOM;NEUT;SG;V.PTCP
compreender	razumevanje	compreender	razumevanje	V;NFIN	N;NOM;NEUT;SG
lobos	lobos	lobo	lobos	N;MASC;PL	
denis	denis	denis	denis	N;MASC;SG	PROPN;NOM;MASC;SG
vermelhas	rdeča	vermelho	rdeč	N;FEM;PL	ADJ;NOM;FEM;SG
vermelhas	rdeči	vermelho	rdeč	N;FEM;PL	ADJ;NOM;DEF;MASC;SG
vermelhas	rdeč	vermelho	rdeč	N;FEM;PL	ADJ;NOM;INDF;MASC;SG
vermelhas	rdeče	vermelho	rdeč	N;FEM;PL	ADJ;NOM;NEUT;SG
vermelhas	red	vermelho	red	N;FEM;PL	N;NOM;MASC;SG
negativa	negativen	negativa	negativen	N;FEM;SG	ADJ;NOM;INDF;MASC;SG
negativa	negativna	negativa	negativen	N;FEM;SG	ADJ;NOM;FEM;SG
negativa	negativno	negativa	negativen	N;FEM;SG	ADV
negativa	negativni	negativa	negativen	N;FEM;SG	ADJ;NOM;MASC;SG
julia	julia	julia	julia	N;FEM;SG	PROPN;NOM;FEM;SG
orgânica	organsko	orgânico	organski	N;FEM;SG	ADJ;NOM;NEUT;SG
orgânica	organska	orgânico	organski	N;FEM;SG	ADJ;NOM;FEM;SG
orgânica	organski	orgânico	organski	N;FEM;SG	ADJ;NOM;DEF;MASC;SG
orgânica	ekološko	orgânico	ekološki	N;FEM;SG	ADJ;NOM;NEUT;SG
realizando	opravljanje	realizar	opravljanje	V;V.MSDR	N;NOM;NEUT;SG
raro	redki	raro	redek	ADJ;MASC;SG	ADJ;NOM;MASC;PL
raro	redko	raro	redko	ADJ;MASC;SG	ADV
caracterizado	predstavljeni	caracterizado	predstavljen	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
caracterizado	predstavljeno	caracterizado	predstavljen	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
caracterizado	predstavljene	caracterizado	predstavljen	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
caracterizado	predstavljena	caracterizado	predstavljen	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
caracterizado	predstavljenih	caracterizado	predstavljen	V;MASC;SG;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
caracterizado	predstavljen	caracterizado	predstavljen	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
mariposa	vešča	mariposa	vešča	N;FEM;SG	ADJ;NOM;FEM;SG
perfeita	popolna	perfazer	popoln	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG
perfeita	popoln	perfazer	popoln	V;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
perfeita	popolno	perfazer	popoln	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG
bush	bush	bush	bush	PROPN;MASC;SG	N;NOM;MASC;SG
bush	grmovje	bush	grmovje	PROPN;MASC;SG	N;NOM;NEUT;SG
bush	grm	bush	grm	PROPN;MASC;SG	N;NOM;MASC;SG
redonda	okrogla	redonda	okrogel	N;FEM;SG	ADJ;NOM;FEM;SG
redonda	okrogle	redonda	okrogel	N;FEM;SG	ADJ;NOM;FEM;PL
redonda	okrogel	redonda	okrogeti	N;FEM;SG	ADJ;NOM;INDF;MASC;SG
redonda	okroglo	redonda	okrogel	N;FEM;SG	ADJ;NOM;NEUT;SG
quadrado	kvadratnih	quadrado	kvadraten	N;MASC;SG	ADJ;GEN;MASC;PL
renânia	porenje	renânia	porenje	N;FEM;SG	PROPN;NOM;NEUT;SG
atacou	napaden	atacar	napaden	V;IND;SG;3;PST;FIN	ADJ;NOM;INDF;MASC;SG
atacou	napadeni	atacar	napaden	V;IND;SG;3;PST;FIN	ADJ;NOM;MASC;PL;V.PTCP
atacou	napadena	atacar	napaden	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;SG;V.PTCP
atacou	napadli	atacar	napasti	V;IND;SG;3;PST;FIN	V;PFV;MASC;PL;V.PTCP
normais	normalno	normal	normalen	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
normais	običajno	normal	običajno	ADJ;MASC;PL	ADV
normais	normalen	normal	normalen	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
