категорија	kategooria
најдобра	parimat
најдобра	parim
болест	haigus
болест	haigused
болест	haigus
болест	haigus
војвода	vürst
војвода	duke
војвода	hertsog
превод	tõlge
превод	tõlkimine
томас	thomas
партии	peod
партии	osalised
поранешна	endised
поранешна	endine
гола	paljas
гола	paljalt
гола	alasti
гола	alasti
заедници	kogukonnad
христо	christo
продолжи	hoida
продолжи	hoia
продолжи	hoian
продолжи	jätka
продолжи	jätka
спортови	sport
спортови	spordi
учествувал	osalenud
учествувал	osales
учествувал	osalesid
златна	golden
златна	kuldsed
златна	kuldne
актер	näitleja
меѓународна	rahvusvaheline
меѓународна	rahvusvahelised
меѓународна	international
православна	õigeusu
мало	väikesed
мало	väike
мало	malo
мало	little
мало	väike
мало	vähe
такви	selline
такви	sellised
линии	read
линии	jooned
линии	liinid
точно	täpselt
возач	juht
возач	autojuht
метал	metallist
метал	metall
метал	metal
метал	metalli
двајцата	mõlemad
програми	programmid
програми	programmid
долг	võlg
долг	võla
мајкл	michael
вклучени	kaasatud
висина	kõrgus
висина	kõrgus
глас	hääl
глас	hääle
глас	häält
страници	lehekülgi
страници	lehed
страници	leheküljed
останува	jääb
останува	jääb
најмалку	vähim
чии	kelle
херцеговина	hertsegoviina
монголија	mongoolia
иста	sama
иста	samad
секое	iga
стапка	määr
азбука	tähestik
светлината	hele
светлината	valgus
светлината	valgust
светлината	kerge
океан	ookean
композитор	helilooja
композитор	koostaja
брод	laeva
брод	laev
брод	paat
тек	tek
тек	voo
тек	voolu
тек	vool
тек	voog
тек	oja
власти	võimud
власти	ametiasutused
власти	asutused
власти	ametivõimud
согласност	nõusolek
согласност	vastavus
фактори	tegureid
фактори	tegurid
теми	teemad
теми	teemad
примери	näited
примери	näiteid
почнува	algab
почнува	algab
почнува	alustab
првично	esialgu
првично	algselt
првично	algselt
првично	esialgu
источно	ida
борис	boris
борис	boriss
зголемува	suurendab
споредба	võrdlemine
споредба	võrdlus
подрачје	pindala
подрачје	valdkond
подрачје	piirkond
подрачје	ala
улоги	rollid
почнал	alustatud
почнал	alanud
почнал	käivitatud
почнал	algas
почнал	hakkas
почнал	alustas
денеска	täna
направени	tehtud
ефект	efekt
ефект	mõju
ефект	toime
ризик	risk
ризик	riski
главата	pea
цела	terve
цела	terved
цела	tervik
цела	tervelt
верува	usaldab
верува	usaldusväärne
верува	usaldatud
верува	usaldusväärsed
верува	usub
настан	sündmus
настан	üritus
трета	kolmas
трета	kolmanda
сопственост	omadus
сопственост	omand
сопственост	omanduses
сопственост	omandi
сопственост	omand
сопственост	omandiõigus
спортски	sportlik
спортски	sportlik
спортски	sport
спортски	spordi
тврди	nõuded
тврди	väited
зависи	sõltub
зависи	oleneb
страницата	leht
страницата	lehekülg
страницата	page
страницата	lehekülje
виена	viin
ништо	midagi
клетки	rakke
клетки	rakud
правила	reeglid
правила	eeskirjad
продолжува	jätkub
продолжува	jätkab
продолжува	jätkamine
продолжува	jätkuvad
симбол	sümbol
удар	puhu
удар	löök
удар	riigipööre
удар	insult
удар	streik
удар	löök
годишна	aastane
годишна	aastased
поврзува	ühendab
некогаш	millalgi
некогаш	kunagi
некогаш	ever
некогаш	mõnikord
некогаш	vahel
некогаш	vahest
стара	vana
стара	vanaks
стара	vanad
карактер	karakter
карактер	iseloomu
карактер	tegelane
карактер	iseloom
карактер	isiksus
карактер	isikupära
јувентус	juventus
константинопол	konstantinoopol
првак	tšempion
документи	dokumendid
документи	paberid
дејвид	david
црвена	punane
црвена	punased
рак	vähk
фридрих	friedrich
телевизија	televiisor
телевизија	televisiooni
телевизија	televisioon
традиција	traditsioon
традиција	traditsioonid
годишно	aastane
годишно	aastas
крст	rist
крст	cross
крст	risti
кит	vaal
кит	vaala
кит	keith
кит	komplekt
кит	kit
инструменти	instrumendid
брак	abielu
бизнис	äri
бизнис	äritegevus
отворен	avamine
отворен	ava
отворен	avada
отворен	avatud
долга	pikad
долга	pikka
долга	pikk
круг	ring
круг	circle
круг	ringi
круг	ümar
круг	ümmargused
круг	ümmargune
круг	voor
кула	tower
кула	torn
кула	kula
служи	teeni
служи	teenida
служи	teenib
служи	teenindab
точки	täpid
точки	punktid
точки	punktid
точки	täpid
култури	kultuurid
високи	vanem
проекти	projektid
дал	dahl
дал	andis
поени	punktid
ерусалим	jeruusalemma
трет	kolmas
трет	kolmanda
чиј	kelle
потреба	vaja
потреба	vajadus
потреба	vajalikkus
потреба	vajadus
езера	järved
намалување	vähenda
намалување	vähendada
намалување	vähendamine
намалување	vähendamise
намалување	vähenemine
намалување	vähenda
мрежи	võrgud
мрежи	võrgustikud
мрежи	võrgud
мрежи	võrk
мрежи	võrgu
мрежи	võrgustik
латински	ladina
внимание	tähelepanu
моментално	hetkel
моментално	praegu
словенија	sloveenia
база	baasi
база	baas
база	alus
избрана	valitud
западно	west
западно	lääs
западно	lääne
љубов	armastan
љубов	love
љубов	armastus
љубов	armastust
јасно	puhas
јасно	selge
јасно	ilmselgelt
јасно	selgesti
јасно	selgelt
ѓорѓи	georgi
ѓорѓи	georgie
мера	ulatus
мера	mõõt
мера	abinõu
мера	meede
карло	carlo
содржина	sisu
содржина	sisaldus
содржина	sisu
мир	peace
мир	rahu
најдобро	parima
најдобро	parimad
најдобро	parimat
најдобро	parim
екипи	meeskonnad
екипи	crews
екипи	meeskonnad
екипи	rühmad
израел	iisraeli
израел	iisrael
создадена	loodi
создадена	loodud
вообичаено	ühise
вообичаено	ühised
султанот	sultan
убиен	mõrvati
убиен	tapetud
убиен	mõrvatud
убиен	tapetud
убиен	tapeti
убиен	tappis
топ	kahur
топ	top
топ	ülal
топ	ülalt
топ	ülemine
шкотска	šotimaal
шкотска	šotimaa
просторот	kosmos
просторот	ruum
просторот	ruumi
приказна	jutt
нато	nato
одлука	otsus
назначен	omistatud
назначен	määratud
назначен	määratud
замена	vahetus
замена	asendaja
замена	asendus
замена	asendamine
странски	välismaised
странски	välismaa
закони	seadused
заеднички	ühine
заеднички	ühise
заеднички	vastastikused
заеднички	vastastikune
заеднички	vastastikuse
заеднички	ühise
заеднички	ühised
заеднички	ühiselt
долги	pikad
долги	pikka
долги	pikk
метод	meetod
мадрид	madrid
мадрид	madridi
мост	sild
недели	nädalad
недели	nädalaid
недели	nädalat
сцена	stseen
сцена	stseeni
сцена	maastik
сцена	maastiku
турнир	turniiri
турнир	turniir
едвард	edvard
едвард	edward
сопруга	naise
сопруга	naine
брегот	kalda
брегот	kaldal
брегот	shore
брегот	rannajoont
кучиња	koerad
клубови	klubid
знаци	märgid
знаци	tegelased
знаци	sildid
знаци	märgid
знаци	märke
император	imperaator
император	keiser
средно	keskmise
средно	keskmine
средно	keskmised
средно	andmekandja
средно	teisene
средно	teisesed
средно	teisese
средно	teisejärguline
залив	laht
залив	laht
залив	bay
опрема	seadmed
опрема	varustus
опрема	varustus
опрема	käik
петров	petrov
важни	tähtis
важни	tähtsad
важни	olulised
важни	oluline
опишува	kirjeldatakse
опишува	kirjeldab
златен	golden
златен	kuldsed
златен	kuldne
златен	kuld
златен	kulda
златен	kullast
компанија	äriühing
компанија	ettevõte
компанија	seltskond
секретар	sekretär
чарлс	charles
норвешка	norra
норвешка	norra
норвешка	norras
барање	päringu
барање	päring
барање	palve
барање	taotlus
барање	päring
барање	otsimine
барање	nõudlus
барање	nõudmine
идеи	ideid
идеи	ideed
географски	geograafiliselt
географски	geograafiline
географски	geograafilised
болести	haigused
болести	haigused
болести	haigus
арапски	araabia
арапски	araabia
лик	karakter
лик	iseloomu
лик	tegelane
лик	iseloom
владимир	vladimir
секунди	sekundid
секунди	sekundit
трговија	kauplemine
трговија	kaubandus
клима	kliima
членки	liikmed
членки	parlamendiliikmed
враќа	tagastab
тони	tony
тони	toni
статистика	statistika
статистика	statistika
тренер	treener
тренер	treeneri
тренер	koolitaja
тренер	treener
користејќи	kasutamine
користејќи	kasutades
учествува	osaleb
учествува	osale
учествува	osalema
елемент	kirje
елемент	element
елемент	element
градски	linn
градски	linna
градски	city
тврдина	loss
тврдина	castle
тврдина	lossi
тврдина	tivoli
тврдина	kindlus
тврдина	kindlus
луј	louis
револуционер	revolutsiooniline
хари	harry
весник	ajaleht
поврзан	ühendatud
поврзан	seotud
стари	vana
стари	vanaks
стари	vanad
светци	pühakud
светци	pühakute
минхен	müncheni
природа	loodus
опис	kirjeldus
изградени	ehitatud
изградени	konstrueeritud
изградени	ehitatud
наслов	pealkiri
наслов	pealkiri
наслов	ametinimetus
наслов	tiitel
змија	madu
змија	snake
змија	mao
змија	madu
змија	rästik
змија	viper
симболи	tähised
симболи	sümbolid
докази	tõendid
докази	tõendusmaterjal
докази	tõendeid
докази	asitõend
ричард	richard
фамилија	pere
фамилија	perekond
код	code
код	kood
облека	riietus
облека	rõivad
облека	riietus
облека	riided
облека	riideid
облека	riided
библиотека	raamatukogu
библиотека	teegi
постепено	järkjärguline
режија	suunatud
бои	värvid
бои	värvid
митологија	mütoloogia
важна	tähtis
важна	tähtsad
важна	olulised
важна	oluline
безбедност	turvalisus
безбедност	julgeolek
безбедност	turva
безбедност	julgeoleku
безбедност	turvalisus
безбедност	ohutus
сличен	sarnased
сличен	sarnane
полуостров	poolsaar
млади	noored
млади	noorus
млади	noorte
млади	noored
млади	young
млади	noor
горна	ülemised
горна	ülemine
горна	ülemiste
федерација	föderatsiooni
федерација	föderatsioon
изглед	välimus
страната	külg
градба	hoone
градба	ehitamine
градба	ehitis
градба	ehitamine
градба	ehitus
градба	konstruktsioon
реакција	reaktsioon
изјавил	teatab
изјавил	kinnitab
изјавил	deklareerib
навистина	tõepoolest
навистина	tõesti
пријател	sõber
пријател	sõbranna
велосипедисти	jalgratturid
лос	los
лос	põder
одржување	hooldamine
одржување	hooldus
атина	ateena
атина	ateena
атина	athena
северен	põhja
културно	kultuurilised
културно	kultuuriline
културно	kultuuriliselt
културно	viisakas
дома	kodu
дома	koju
дома	kodus
предизвикува	põhjused
предизвикува	põhjustab
основно	liht
основно	elementaarne
основно	hädavajalik
основно	põhi
основно	põhiline
успешно	edukas
успешно	edukad
успешно	edukalt
чешка	tšehhi
прогласен	deklareeritud
прогласен	kuulutatud
сестра	õde
приказни	lood
приказни	lugusid
приказни	lood
приказни	jutud
силно	tugevalt
силно	raske
силно	kõva
вистински	reaalne
вистински	ehtne
вистински	tõeline
христијанството	kristlus
деби	debüüt
деби	debbie
зошто	miks
посебна	erilised
посебна	special
посебна	eriline
полиња	põllud
полиња	väljad
милан	milano
трки	ralli
трки	võidusõit
трки	racing
книжевност	kirjandus
алберт	albert
балканот	balkani
балканот	balkanil
едноставно	lihtne
наследник	pärija
наследник	järglane
наследник	järeltulija
таков	selline
таков	sellised
конкуренција	konkurents
конкуренција	võistlus
конкуренција	konkurentsi
политичар	poliitik
сеуште	ikkagi
сеуште	ikka
објавена	avaldatud
јапонски	jaapani
јапонски	jaapanlased
бели	valge
бели	valged
нашата	meie
положба	asukoht
положба	positsioon
положба	asend
садови	nõud
садови	nõusid
честички	osakesed
честички	osakeste
честички	osakesed
честички	osake
второ	teine
второ	teiseks
букви	kirju
букви	kirjad
букви	tähed
помала	väiksemaks
помала	väiksem
помала	väiksemad
уефа	uefa
предизвика	provotseeris
предизвика	põhjustas
предизвика	põhjustatud
предизвика	põhjus
предизвика	käivitatud
носат	kanna
носат	kanda
правец	suund
откриени	katmata
откриени	avastatud
откриени	avastasin
откриени	avastas
откриени	paljastatud
откриени	taastus
назад	tagasi
сосема	täielikult
сосема	täiesti
сосема	täiesti
тела	kehad
тела	surnukehad
тела	laibad
живо	live
живо	elama
научни	teaduslikud
научни	teaduslik
уреди	edit
уреди	muuda
уреди	redigeerimine
источен	ida
зона	tsoon
зона	vöönd
дијалект	dialekt
банки	banks
банки	pangad
драма	draama
аргентина	argentina
аргентина	argentiina
технички	tehnilised
технички	tehniline
технички	tehniliselt
потребни	vajatakse
потребни	vajalik
потребни	vaja
потребни	vajas
потребни	nõutud
потребни	nõutavad
потребни	vajalik
потребни	nõutav
стапки	jalajäljed
стапки	määrad
затвор	vangla
затвор	vangla
одговор	vastus
одговор	vasta
одговор	vastus
објавен	avaldatud
младите	noored
младите	young
младите	noor
издадена	emiteeritud
издадена	väljastatud
охридски	ohridi
раскази	lugusid
раскази	lood
раскази	jutud
производ	toode
производ	toote
последица	tagajärjeks
последица	tagajärg
претставници	esindajad
хемиски	keemiline
хемиски	keemilised
хемиски	kemikaal
хемиски	keemiliselt
илија	ilja
мерки	meetmed
премногу	liiga
поделена	jagatud
професионален	professionaal
професионален	professionaalne
професионален	ametialane
филозофија	filosoofia
основните	põhi
основните	põhiline
киев	kiievi
уметнички	kunstiline
султан	sultan
достигне	reach
достигне	jõuab
нобеловата	nobeli
составена	koosneb
научници	teadlased
научници	teadlaste
меѓународен	rahvusvaheline
меѓународен	rahvusvahelised
меѓународен	international
родители	vanemad
родители	lapsevanemad
рекорд	rekord
рекорд	kirje
павле	paul
американска	ameeriklane
американска	ameerika
американска	american
дизајн	design
дизајн	disain
дизајн	kavandamine
дизајн	kujundus
добар	tubli
добар	hea
барселона	barcelona
домаќин	peremees
домаќин	võõrustaja
домаќин	vastuvõtva
домаќин	saatejuht
комисија	komisjon
комисија	komisjoni
комисија	komitee
комисија	paneeli
комисија	paneel
процеси	protsessid
лекови	ravimid
лекови	ravimid
граници	piirmäärad
граници	piirid
граници	piirangud
граници	piirid
изгледа	tundub
изгледа	paistab
кореја	korea
последен	viimasena
последен	viimane
знаење	teadmised
знаење	teadmine
ефекти	mõjud
ефекти	mõju
ефекти	toime
објави	postitust
објави	post
објави	postitus
објави	ametikohtade
објави	postitusi
објави	postitused
објави	ametikohad
објави	avalda
објави	avaldab
цена	price
цена	hind
ретко	harva
ретко	harv
ретко	harva
ретко	haruldased
ретко	haruldane
женски	tibud
женски	naised
женски	naissoost
женски	naiselik
записи	records
записи	kirjutised
подобро	parem
подобро	paremad
подобро	paremini
текстови	tekstid
намалува	vähendab
намалува	vähendab
намалува	väheneb
намалува	väheneb
споменик	monumendi
туристички	turist
птица	linnu
птица	lind
птица	linnuke
птица	bird
исклучок	erand
исклучок	erandi
продажба	müüa
продажба	müüa
продажба	müümine
продажба	müük
продажба	müük
слободно	vabalt
слободно	vabad
слободно	vaba
слободно	free
слободно	tasuta
ресурси	ressurss
ресурси	vahendid
ресурси	ressursid
движења	liikumised
христос	kristus
појас	vöö
средновековна	keskaja
бродови	paate
бродови	paadid
бродови	laevu
бродови	laevad
бродови	laevad
бродови	laevade
компании	äriühingud
компании	firmad
компании	ettevõtted
први	kõigepealt
први	esmalt
први	esimene
центри	keskused
центри	keskused
центри	keskuste
струја	elektrienergia
струја	elekter
економска	majanduslik
модели	mudelid
модели	modellid
елиптична	elliptilised
даме	dame
корисник	kasutaja
попис	loenduse
попис	loendus
попис	varude
попис	inventuuri
коска	luud
коска	kont
коска	luu
коска	luude
ликови	märgid
ликови	tegelased
независна	sõltumatud
независна	iseseisev
независна	sõltumatu
претставник	esindaja
задача	loovutamine
задача	ülesanne
профил	profiil
профил	profiili
нации	rahvaste
нации	rahvad
акција	tegevus
акција	võte
акција	toiming
насока	suund
парламентот	parlament
искуство	kogemus
искуство	kogemused
рака	kätt
рака	käe
рака	käega
рака	käsi
турците	türklased
сина	sinised
сина	sinine
наспроти	versus
покажуваат	soovita
живеел	elasin
живеел	elatud
живеел	elanud
живеел	elas
мехмед	mehmet
органи	organid
органи	organi
органи	elundite
органи	organ
дата	kuupäev
девет	üheksa
ѕид	müür
ѕид	sein
ѕид	seina
порта	värav
порта	port
порта	sadam
порта	värav
млад	noored
млад	young
млад	noor
конфликти	konfliktid
вида	vida
кредити	krediit
кредити	krediidi
прикажува	etendused
прикажува	näitab
водство	suunised
водство	juhised
водство	plii
јохан	johann
јохан	johan
пишување	kirjutamine
стои	seisab
пријатели	sõbrad
режисер	direktor
режисер	režissöör
режисер	lavastaja
комуникација	teatis
комуникација	suhtlemine
комуникација	kommunikatsioon
комуникација	side
комуникација	suhtlemine
комуникација	suhelda
комуникација	suhtle
корисникот	kasutaja
велосипедист	jalgrattur
тврдината	kindlus
династијата	dünastia
слој	kiht
слој	kihi
иран	iraani
иран	iraan
убиени	mõrvati
убиени	tapetud
убиени	mõrvatud
убиени	tapetud
убиени	tapeti
убиени	tappis
враќање	taastamine
враќање	taasta
враќање	tagasitulek
враќање	tagasitulek
народен	rahvas
акции	varu
акции	varude
акции	jagab
акции	aktsiad
акции	varud
краток	lühike
краток	lühikesed
ученици	pupillid
ученици	õpilased
ученици	üliõpilased
ученици	õpilased
ученици	tudengid
приближно	jämedalt
приближно	ligikaudu
рацете	käed
бранови	laine
бранови	lained
бранови	laineid
марк	marc
марк	märgi
марк	märk
марк	mark
провинција	provints
комбинација	kombineeritud
комбинација	kombineerimine
комбинација	kombinatsioon
комбинација	kombo
решение	lahendus
решение	lahus
зголеми	suurenemine
зголеми	suurendamine
зголеми	suurenda
уметници	esitajad
уметници	kunstnikud
димензија	mõõtmed
димензија	mõõde
одбор	juhatuse
одбор	juhatus
населби	asulate
португалија	portugali
португалија	portugal
слободен	vabad
слободен	vaba
слободен	free
слободен	tasuta
племиња	hõimud
значаен	tähendusrikas
значаен	märkimisväärne
велс	wales
велс	walesi
велс	wells
дошол	tuli
георги	georgi
учесник	osaleja
изведба	tulemuslikkus
изведба	tulemuslikkuse
изведба	jõudlus
падот	avarii
падот	kukkumine
падот	kuku
долината	org
долината	oru
долината	valley
собранието	assamblee
настап	tulemuslikkus
настап	tulemuslikkuse
настап	jõudlus
појавуваат	ilmuvad
политичари	poliitikud
поседува	omab
говор	sõnavõtt
говор	kõne
дијалекти	dialekti
евра	eurot
венеција	veneetsia
венеција	venezia
преглед	ülevaade
преглед	läbivaatamine
преглед	ülevaatus
преглед	läbivaatus
вселенски	aerospace
долно	kato
поставени	paigutatud
поставени	asetatud
пренос	edastamine
пренос	ülekanne
пренос	edastus
пренос	üleviimine
пренос	ülekandmine
пренос	ülekanne
пренос	üleandmine
поминува	möödub
поминува	läbib
студенти	üliõpilased
студенти	õpilased
студенти	tudengid
зрачење	radiatsiooni
зрачење	radiatsioon
зрачење	kiirgus
почнувајќи	alustamine
почнувајќи	käivitamine
влијанието	kokkupõrge
влијанието	mõju
поминал	kulutatud
императорот	imperaator
императорот	keiser
објавени	avaldatud
учител	õpetaja
германските	germaani
велосипедизам	rattasõit
помал	väiksem
помал	väiksemaks
помал	väiksem
помал	väiksemad
публика	publik
пораз	kaotus
техники	tehnikad
техники	tehnikaid
сообраќај	liikluse
сообраќај	liiklus
сообраќај	liikluses
крв	veri
крв	vere
теории	teooriaid
теории	teooriad
милијарди	miljard
милијарди	miljardit
милијарди	miljardeid
парламент	parlament
периоди	perioodid
периоди	ajavahemikud
табела	laua
табела	laud
табела	tabel
табела	leht
банките	banks
банките	pangad
климент	clement
квалитет	kvaliteet
терен	maastik
капитал	pealinn
капитал	kapital
сликар	kunstnik
присуство	osalemine
присуство	osavõtt
присуство	kohalolek
присуство	kohalolu
мисли	mõelge
мисли	mõtle
мисли	mõtteid
мисли	mõtted
техника	tehnika
арсенал	arsenali
претпоставува	oletatav
математика	matemaatika
математика	matemaatika
внатрешни	sise
внатрешни	sisemised
внатрешни	sisemine
тежина	kaal
тежина	kaalu
милано	milano
битки	lahinguid
битки	lahingud
општо	üldiselt
општо	üldjuhul
општо	üldine
општо	üldiselt
општо	ühise
општо	ühised
општо	üldine
општо	kindral
општо	üldist
општо	üldised
рамки	raamid
конфликт	konflikt
конфликт	konfliktid
софтвер	tarkvara
мислење	arvamus
раст	kasv
раст	majanduskasv
раст	rooste
распоред	ajakava
распоред	päevakava
распоред	ajakava
гробишта	kalmistu
гробишта	surnuaed
гробишта	surnuaeda
гробишта	surnuaed
влегува	sisenemine
влегува	sisestamine
оскар	oscar
оскар	oskar
православни	õigeusu
сместена	asub
сместена	asuvad
кинески	hiina
кинески	hiinlased
развива	arendab
развива	areneb
артур	arthur
артур	artur
кола	auto
кола	car
чие	kelle
сметка	konto
сметка	vastuvõtmine
циклус	tsükkel
отворена	avamine
отворена	ava
отворена	avada
отворена	avatud
зграда	hoone
зграда	ehitamine
зграда	ehitis
фотографии	fotode
фотографии	fotod
придонес	panus
придонес	sissemakse
рид	reid
рид	reed
рид	hill
бранденбург	brandenburgi
претстави	esitus
претстави	olevik
претстави	kingitus
претстави	esitletud
претстави	esitatud
нуди	pakkumised
нуди	pakub
нуди	pakkumisi
постоење	olemasolu
титули	pealkirjad
сала	võimla
сала	jõusaal
сала	saal
сала	hall
златни	golden
златни	kuldsed
златни	kuldne
златни	kuld
златни	kulda
златни	kullast
народни	rahvas
управа	valitsemine
управа	juhtimine
управа	asutus
управа	ametiasutus
машки	meestele
машки	mehed
машки	poisid
машки	mehelik
машки	mehine
машки	mehelik
машки	meessoost
машки	isane
патријарх	patriarh
храмот	tempel
храмот	temple
слична	sarnased
слична	sarnane
можноста	võimalus
единствена	üksik
единствена	ühtne
единствена	valla
единствена	ühtse
единствена	ühekordne
единствена	vallaline
перу	peruu
браќа	vennad
браќа	bros
браќа	vennad
тече	jookseb
тече	vood
тече	voolab
тече	voolavad
тече	voolab
добитник	võitja
албанци	albaanlased
населено	asustatud
широко	laiad
широко	lai
широко	laia
широко	laialt
широко	laialdaselt
граѓани	kodanikud
формирана	asutatud
формирана	moodustatud
формирана	moodustati
сезони	hooaega
јавно	avalikkus
јавно	avalik
јавно	avalikud
јавно	avalikult
својства	omadused
именуван	nimetatud
именуван	nimega
позиции	positsioonid
имено	nimelt
казахстан	kasahstan
дефинира	defineeri
дефинира	määratleda
дефинира	määratleb
лежи	valed
шуми	mets
шуми	woods
шуми	metsad
сакаат	tahaks
сакаат	tahad
загреб	zagreb
змеј	lohe
змеј	draakon
себеси	ennast
себеси	ise
освоени	vallutanud
освоени	vallutatud
умрел	surid
умрел	suri
црн	mustad
црн	black
црн	musta
црн	must
судија	kohtunik
судија	kohtunik
судија	kohtunik
децении	aastakümnete
децении	aastakümneid
критики	kriitikat
критики	kriitika
средба	tutvu
средба	kohtuda
средба	koosolek
средба	kohtumine
капацитет	võimsus
странство	välismaale
странство	välismaal
природен	looduslik
природен	loomulik
природен	naturaalne
природен	looduslikud
музичка	muusikal
музичка	musical
минута	minut
сајт	saidi
сајт	ala
предност	eelis
направен	tehtud
синот	poja
синот	poeg
останале	jäin
останале	jäi
останале	jäid
останале	jäi
останале	jäid
никој	puudub
формирање	moodustades
формирање	moodustamine
формирање	moodustumist
формирање	asutamine
формирање	kehtestamine
селаните	külaelanikud
автори	autorid
степени	kraadi
степени	kraadides
серии	seeria
злато	kuld
злато	kulda
злато	kullast
нивно	nende
идеја	idee
идеја	mõte
медицина	meditsiin
дејство	tegevus
дејство	võte
дејство	toiming
анџелес	angelese
албански	albaania
вики	vicky
вики	wiki
вики	vicki
јато	klaster
јато	parv
јато	parv
согласка	konsonant
јавни	avalikkus
јавни	avalik
јавни	avalikud
колумбија	columbia
колумбија	kolumbia
колумбија	colombia
палата	palee
палата	palace
збирка	kogu
збирка	kollektsioon
збирка	kogumine
учење	õppimine
учење	õppimine
дивизија	diviis
дивизија	rajoon
дивизија	osakond
пејач	singer
пејач	laulja
муслимани	moslemid
уредник	redaktor
уредник	toimetaja
котлина	org
котлина	oru
котлина	valley
вашингтон	washingtoni
вашингтон	washington
важно	tähtis
важно	tähtsad
важно	olulised
важно	oluline
јане	jane
договори	lepingud
договори	lepingud
договори	kokkulepped
стандарди	standardid
европска	euroopa
намера	kavatsusest
намера	kavatsus
намера	kavatsus
дискусија	arutelu
слободна	vabad
слободна	vaba
слободна	free
слободна	tasuta
наскоро	varsti
жител	resident
жител	elanik
римска	roman
патишта	teed
крива	kõver
зема	võttis
зема	võtsid
домот	kodu
домот	koju
домот	kodus
слава	kiitust
слава	kiitus
слава	hiilgus
слава	kuulsus
грешка	viga
последна	viimasena
последна	viimane
целосна	täis
целосна	täielik
пропаганда	propaganda
избрани	valitud
избрани	valitud
воздух	õhu
воздух	õhku
воздух	õhk
воздух	air
патување	reisimine
патување	reisi
патување	rännak
патување	teekond
патување	reis
патување	trip
патување	reis
конференција	konverents
старо	vana
старо	vanaks
старо	vanad
доказ	tõendid
доказ	tõestus
поточно	konkreetselt
создадени	loodi
создадени	loodud
гас	gus
гас	gaas
гас	gaasi
гас	bensiin
предлог	ettepanek
предлог	soovitus
возила	sõidukid
кажува	ütleb
кажува	ütleb
соло	solo
соло	soolo
далеку	kaugele
далеку	kaugel
далеку	eemal
далеку	eemale
таква	selline
таква	sellised
мажите	meestele
мажите	mehed
контакт	kontakt
контакт	kontakti
должи	võlgneb
шума	mets
шума	woods
шума	mets
шума	metsa
соодветно	korralikult
соодветно	sobiv
соодветно	asjakohane
соодветно	kohane
соодветно	sobilik
соодветно	adekvaatselt
сер	söör
сер	ser
посветена	pühendatud
посветена	pühendunud
подобрување	parandamine
подобрување	parandada
подобрување	täiustamine
подобрување	paranemine
подобрување	parandamine
значајна	märkimisväärne
значајна	tähendusrikas
припаѓаат	kuuluda
припаѓаат	kuuluvad
помага	aitamine
помага	aidates
помага	aitan
помага	aitab
спротивно	vastand
спротивно	vastupidine
активно	aktiivne
активно	aktiivsed
активно	aktiivselt
ноќ	õhtu
ноќ	öö
ноќ	ööd
градина	aia
градина	aed
фонд	fondi
фонд	fond
учествувале	osalenud
учествувале	osales
учествувале	osalesid
црно	mustad
црно	black
црно	musta
црно	must
намали	vähenda
намали	vähendada
намали	vähenemine
намали	vähenda
воден	vett
воден	vesi
сен	sen
сам	üksinda
сам	üksi
работници	töötajad
работници	töölised
волф	hunt
волф	wolf
волф	wolff
буква	kirja
буква	kiri
учесници	osalejad
учесници	osalejaid
примероци	isendid
примероци	näidised
примероци	proovid
имот	omadus
имот	omand
имот	mõisa
забележал	märganud
забележал	märkasin
борби	võitlused
борби	võitleb
борби	lahinguid
борби	lahingud
финска	soome
фактор	teguri
фактор	tegur
фактор	faktor
научно	teaduslikult
научно	teaduslikud
научно	teaduslik
рајна	rein
рајна	reini
способност	võimekus
способност	võime
термин	mõiste
термин	termin
селска	talupoeg
напушти	välju
напушти	jäta
разлики	diff
разлики	erinevused
хит	hit
хит	löö
хит	tabas
музичар	muusik
кратки	lühike
кратки	lühikesed
донесе	tõi
донесе	toodi
донесе	toodud
донесе	tooma
силите	jõud
комплекс	keerukas
комплекс	kompleks
ослободување	vabastamine
ослободување	vabasta
ослободување	vabastada
ослободување	õigeksmõistmise
традиционално	traditsioonilised
традиционално	traditsiooniline
традиционално	traditsiooniliselt
медицински	meditsiiniliselt
медицински	meditsiinilised
медицински	meditsiiniline
продуцент	produtsent
продуцент	tootja
типови	tüübid
локални	kohalik
локални	kohalikud
руска	vene
руска	venelane
непознат	tundmatu
непознат	teadmata
влијае	mõjutab
пад	vähenemine
пад	langus
пад	kukkumine
пад	kuku
создаден	loodi
создаден	loodud
верски	usklik
верски	religioosne
жената	naise
жената	naine
пегаз	pegasus
ситуација	olukord
ситуација	situatsioon
евреи	juudid
генерал	gen
генерал	üldine
генерал	kindral
генерал	üldist
генерал	üldised
романи	romaane
конгресот	kongress
овозможи	lubamine
можности	võimalused
можности	võimalused
криза	kriis
вера	vera
вера	faith
вера	usk
вера	usku
вилхелм	wilhelm
густина	tihedus
рани	haavad
принцип	põhimõte
хрватски	horvaatia
мисијата	missioon
датум	kuupäev
арена	arena
звук	heli
специјални	erilised
специјални	special
специјални	eriline
галерија	galeriis
галерија	galerii
силен	tugev
силен	tugevad
актерка	näitleja
актерка	näitlejanna
размена	vahetus
претпријатија	äriühingud
претпријатија	firmad
претпријатија	ettevõtted
претпријатија	ettevõtted
операции	toimingud
операции	operatsioonid
обработка	töötlus
обработка	töötlemine
рекол	ütles
баба	baba
