ennuste	پیشگوئی
gen	اطلاع
gen	معلومات.
yksiselitteinen	واضح.
saturnus	زحل
kielteinen	سلب
kielteinen	ناموافق
kielteinen	ماننے
kielteinen	انکار
kielteinen	نامساعد
kielteinen	سلب
kielteinen	ناموافق
kielteinen	ماننے
kielteinen	انکار
kielteinen	نامساعد
kielteinen	منفی
menetykset	گمشدگی.
menetykset	نقصان
menetykset	گمشدگی.
menetykset	نقصان
menetykset	گھاٹا
menetykset	ضرر
kadoksissa	غائب.
kadoksissa	گم
komennon	قبضہ
komennon	مستحق
komennon	موجب
komennon	اختیار
komennon	قدرت
komennon	قبضہ
komennon	مستحق
komennon	موجب
komennon	اختیار
komennon	حکم
komennon	قدرت
tiistaina	منگل
epäsäännöllinen	اصول
epäsäännöllinen	مستقل
epäsäännöllinen	استثنائی
takaperin	شرمیلا
takaperin	جھجکتا
takaperin	دبّو
takaperin	منقلب
clash	بھڑنا
vuorta	انبار.
vuorta	تودہ
vuorta	پربت
vuorta	انبار.
vuorta	تودہ
vuorta	پہاڑ
hakemuksen	لگانا
hakemuksen	توجہ
hakemuksen	محنت
hakemuksen	لگانا
hakemuksen	توجہ
hakemuksen	درخواست
hakemuksen	محنت
lone	خالی
lone	سونی
lone	مہجور
samankaltaiset	مثنٰی
samankaltaiset	جوڑ.
samankaltaiset	جواب
samankaltaiset	نقل
phi	ϕ)
tietoisuutta	ہوش
tietoisuutta	آگاہی
tietoisuutta	شعور
tietoisuutta	شعور
tietoisuutta	آگاہی
johtopäätös	تصفیہ
johtopäätös	ماحصل.
johtopäätös	اختتام.
eristyksissä	نرالا.
eristyksissä	انوکھا
uskottavuutta	شہرت
uskottavuutta	مرتبہ
uskottavuutta	معتبر
uskottavuutta	اعتبار
faaraon	فرعون.
sitova	عائد.
sitova	لازمی
sitova	ناگزیر
valitse	چنیدہ
valitse	چننا
valitse	منتخب.
valitse	زخمہ.
valitse	امتیاز
valitse	کان
valitse	ٹونگنا.
valitse	مضراب
valitse	کُترنا.
valitse	چنیدہ
valitse	تومنا
valitse	دانہ
valitse	چُناؤ.
valitse	چننے
kannattava	مفید
osaaminen	سچا
seitsemäntoista	17
seitsemäntoista	xvii
seitsemäntoista	xvii)
kongressiin	اجتماع
kongressiin	جلسہ.
tiedottaja	ناطق.
tiedottaja	نمائندہ
tiedottaja	ناطق.
tiedottaja	نمائندہ
tiedottaja	ترجمان
mamma	امی.
mamma	تھن
mamma	چھاتی
mamma	پستان
haamu	بھوت
haamu	سایہ.
haamu	روح
haamu	سایہ
haamu	واہمہ.
haamu	بھوت
haamu	ارواح
haamu	سایہ.
suosituksen	سفارش
seurueen	ماحول
pakkaus	بھرتی
pakkaus	خصوصاً
pakkaus	(تھئیٹر
pakkaus	گلّہ
pakkaus	لپیٹنا.
pakkaus	بنڈل
pakkaus	مٹّھا
pakkaus	ٹکڑی
pakkaus	غول
pakkaus	ٹولا
pakkaus	گروہ.
pakkaus	پیکٹ
pakkaus	مراعات
pakkaus	مصنوعات
villaa	صوف
villaa	پشم.
villaa	سمور
lemmikki	چہیتاشخص.
lemmikki	خفگی
lemmikki	مخصوص
lemmikki	پالتو
lemmikki	چہیتاشخص.
lemmikki	خفگی
lemmikki	مخصوص
naimaton	اکیلا
naimaton	مخلص.
naimaton	سیدھا
naimaton	جریدہ
naimaton	سچّا
naimaton	متحد
naimaton	اکیلا
naimaton	ایک
naimaton	مخلص.
naimaton	سیدھا
naimaton	تنہا
naimaton	جریدہ
naimaton	سچّا
naimaton	متحد
menot	اخراجات
menot	مصارف
menot	صرفہ.
menot	لاگت
menot	اخراجات
menot	مصارف
menot	صرف
menot	صرفہ.
asiakkaalle	گاہک.
asiakkaalle	خریدار
asiakkaalle	گاہک.
asiakkaalle	مصاحب.
asiakkaalle	طفیلی
armoa	عفو
armoa	درگزر.
armoa	ترس
armoa	عفو
armoa	رحم
armoa	درگزر.
armoa	ترس
aviomiehen	خاوند
aviomiehen	میاں
aviomiehen	چلانا
aviomiehen	شوہر.
kaustinen	کٹیلا.
kaustinen	آکل.
palkkio	فیس.
palkkio	معاوضہ
palkkio	محنتانہ
palkkio	محصول
palkkio	انعام
palkkio	عطیہ.
rekisteri	اموات
rekisteri	فرد
rekisteri	رفتار
rekisteri	فہرست
rekisteri	انطباق.
rekisteri	سجل
rekisteri	اموات
rekisteri	فرد
rekisteri	رفتار
rekisteri	دفتر
rekisteri	فہرست
rekisteri	انطباق.
rekisteri	سجل
rekisteri	رجسٹری
äärimmäinen	حتمی.
äärimmäinen	بُنیادی
äärimmäinen	آخری
äärimmäinen	اساسی
äärimmäinen	جابرانہ
äärimmäinen	انتہائی
äärimmäinen	ازحد
äärimmäinen	آخری
äärimmäinen	اختتامی.
äärimmäinen	سخت
beagle	کھوجی
beagle	مخبر
omituinen	عجیب
tasapeli	کسنا.
tasapeli	تعلق
tasapeli	ڈوری
tasapeli	پہنچنا
tasapeli	جاذبیت
tasapeli	بڑھنا
tasapeli	سمانا
tasapeli	تننا.
tasapeli	چلنا
tasapeli	حافظے
tasapeli	لبھانا
tasapeli	لکھنا
tasapeli	کھینچنے
tasapeli	(ست
suudelma	بوسہ.
natrium	سوڈا
upottaa	گڑونا.
upottaa	دھنسنا.
upottaa	ٹکنا.
upottaa	اُترنا.
upottaa	چھانا
upottaa	گندی
upottaa	ڈبونا
upottaa	شر
upottaa	ناپاک
välittäjänä	ابلاغ
välittäjänä	واسطہ
maski	شمامہ
maski	face-pack
maski	بہروپ
maski	آڑبننا.
maski	بھپارا
maski	بناوٹ
maski	مقنع.
maski	سوانگ
maski	دھوکا.
snooker	ہرانا.
lattia	میدان
lattia	غار
stream	لہرانا.
ikuista	غیرمبدّل
ikuista	مسلسل
havaitseminen	تفتیش
havaitseminen	تاڑنے
havaitseminen	سراغ
linkistä	to
linkistä	بندھنا
linkistä	واسطہ
linkistä	cuff-link
linkistä	ٹکڑا.
avioton	غلط
avioton	ناواجب
avioton	حرامی.
avioton	نامناسب.
avioton	ناجائز
ilmestys	الہام
kuule	ماننا
kuule	سُنایا
pyöri	سیر.
pyöri	گھمائو.
pyöri	مقدر.
pyöri	پھیرا
pyöri	(لکڑی
pyöri	گردش
pyöri	چکر
sosialismi	اشتراکیت
adagio	دھیمی
kukkulalle	انبار
kukkulalle	تودہ
tarkoittaen	اہمیت.
tarkoittaen	عمل
tarkoittaen	معنویت
tarkoittaen	دلالت.
tarkoittaen	مفہوم
tarkoittaen	معنی
tarkoittaen	مطلب
tarkoittaen	اہمیت.
tarkoittaen	عمل
tarkoittaen	معنویت
tarkoittaen	دلالت.
tarkoittaen	مفہوم
kannettava	دستی
kannettava	ہلکا
kompromissi	تصفیہ
kompromissi	سمجھوتا
kirjataan	روئیداد
savua	دھواں
surkea	مکروہ
surkea	کمینہ.
surkea	منحوس
surkea	خستہ
surkea	کنٹک
globaali	عالمگیر
takki	dust-jacket
takki	کوٹ
piikki	سول.
piikki	خار
piikki	سول.
piikki	کانٹا
ristiriitainen	اِبائی
ristiriitainen	انکاری
ristiriitainen	تردیدی.
ristiriitainen	جھگڑا
ristiriitainen	نزاع
suolen	قعر
mat	ربڑ
mat	فرش
mat	کاگ
mat	چٹائی
mat	ربڑ
mat	فرش
mat	کاگ
havainnollistaa	مثال
oksa	دریا
kammion	قعر
kammion	خانہ
kammion	chamber-pot
kammion	گڑھا
pistin	گھوپننا.
luonnos	مسودہ.
luonnos	خاکہ
luonnos	مسودہ.
luonnos	ٹکڑی
periä	منصب
yllättävä	حیرتناک
funky	بزدل
funky	بزدلانہ.
funky	گنوارو
taktiikkaa	تعیناتی
taktiikkaa	پینترا.
taktiikkaa	تدبیر
taktiikkaa	چال
tyyni	پُراعتماد
tyyni	آسودہ
tyyni	پُرسکون
tyyni	ساکت
tyyni	شانت.
yksilöllinen	نادر
yksilöllinen	انیق
yksilöllinen	یکتا
yksilöllinen	یگانہ
yksilöllinen	نادر
yksilöllinen	نفر
yksilöllinen	خصوصی
yksilöllinen	آدمی
yksilöllinen	نفر
yksilöllinen	خصوصی
yksilöllinen	شخص
uunissa	چولھا.
uunissa	تنور
uunissa	گلخن
gadget	چٹکلا
gadget	ڈھب
gadget	تدبیر
gadget	ترکیب
gadget	جنتر
erityiset	معروف.
erityiset	واضح
erityiset	صریح
erityiset	مطلوبہ
erityiset	بچوں
erityiset	امتیازی
erityiset	امتحان
erityiset	اخبار
erityiset	اعلیٰ
erityiset	مقررہ
hyväksyntä	قبولیت
hyväksyntä	(الف)ہنڈی
hyväksyntä	ہامی
hyväksyntä	رضامندی.
hyväksyntä	رضامندی
hyväksyntä	اقرار
arkki	پیٹی.
arkki	صندوق
arkki	اخبار
arkki	پارچہ
puolustaminen	وکیل.
puolustaminen	حمایت
puolustaminen	مدافعت
puolustaminen	تائید
puolustaminen	بچاؤ
pilkku	ٹھکانا
pilkku	۲.
pilkku	نشان
pilkku	بندکی
synti	نامعقول
synti	گناہ
synti	اثم
synti	نامعقول
synti	پاپ
synti	گناہ
synti	اثم
asianmukaisesti	بجا
asianmukaisesti	درست
asianmukaisesti	بالکل.
pöytä	ہوٹل
älykkyys	ذہین
älykkyys	خبر.
älykkyys	ذہین
älykkyys	خبر.
älykkyys	فہم
edellytä	from
edellytä	موقوف
edellytä	چاہنا
aselepo	معطلی.
tiukat	احتیاطیں
tiukat	تھڑدلا
tiukat	تند
tiukat	قابو)
tiukat	دشوار
tiukat	کسا
tiukat	احتیاطیں
tiukat	تنگ
tiukat	تھڑدلا
tiukat	تند
tiukat	قابو)
tiukat	دشوار
tiukat	کامل-
galleriassa	برآمدہ
galleriassa	لمبا
monikossa	متعدد.
velvoittaa	بعدہ
tiedottaa	خوبی
tiedottaa	of
palkata	کرایہ
palkata	کرائے
palkata	بھاڑا.
nahkaa	پونچھنا.
nahkaa	تسمہ
sekoitettu	مرکب.
sekoitettu	مرکب.
sekoitettu	مخلوط
keskustele	گفتگو
keskustele	(chatted
kapinallinen	منحرف.
kapinallinen	باغیوں
kapinallinen	سرکش
kapinallinen	منحرف.
kapinallinen	باغی
kapinallinen	باغیوں
kapinallinen	سرکش
kapinallinen	منحرف
kapinallinen	کٹھن
kapinallinen	منحرف
kapinallinen	کٹھن
kapinallinen	باغیانہ
pit	رخنہ.
pit	رخنہ.
pit	گڑھا
tarjonta	سامان
vallattu	ابلنا
vallattu	مصارف
vallattu	وسعت.
vallattu	(وقت
klooni	قلمہ
pelastuksen	عافیت.
pelastuksen	تحفظ
pelastuksen	بچاؤ
pelastuksen	عافیت.
pelastuksen	تحفظ
pelastuksen	نجات
pelastuksen	بچاؤ
hassu	دلچسپ
hassu	انوکھا.
hassu	مزاحیہ.
hassu	پُرلطف
hassu	مذاق.
hassu	عجیب
hassu	سادہ
hassu	معصوم
boo	کھیل
samara	غوزہ
samara	ثمارہ
fuusion	پگھلانے
fuusion	اتحاد
fuusion	اتّصال.
fuusion	امتزاج.
rakastajatar	عاشق
rakastajatar	شیدا.
yhtenäisyyttä	اتفاق
yhtenäisyyttä	اتحاد
yhtenäisyyttä	اتفاق
yhtenäisyyttä	اتحاد
yhtenäisyyttä	ایکا
yhtenäisyyttä	وحدت
synnynnäinen	طبعی
synnynnäinen	پکّا
aikataulun	بیجک
aikataulun	گوشوارہ.
aikataulun	بیجک
aikataulun	گوشوارہ.
aikataulun	جدول
harhaan	بہکانا.
harhaan	بہکانا.
harhaan	بھٹکانا
luun	ہڈی
luun	فولاد.
luun	ہاڑ.
puhtaat	طاہر
puhtaat	پاکیزہ.
puhtaat	معصوم.
puhtaat	خالص
puhtaat	اکہرا
puhtaat	آواز)
puhtaat	کھرا
puhtaat	فقط.
puhtaat	طاہر
puhtaat	پاکیزہ.
puhtaat	معصوم.
puhtaat	صاف
puhtaat	خالص
puhtaat	محض
puhtaat	اکہرا
puhtaat	آواز)
puhtaat	کھرا
puhtaat	سچّا
puhtaat	پاک
puhtaat	فقط.
puhtaat	صفائی
puhtaat	قطعاً
puhtaat	سْتھرا
puhtaat	کاملاً
puhtaat	فحاشی
puhtaat	پُھرتیلا
puhtaat	ستھرائی
puhtaat	ہموار
puhtaat	واضح
puhtaat	تیز
puhtaat	مکمل
puhtaat	تازہ
puhtaat	بنانا
puhtaat	سڈول
kalvon	جھلّی
kalvon	غشا.
orjuus	بندگی.
orjuus	غلامی
synnin	نامعقول
synnin	گناہ
synnin	اثم
synnin	نامعقول
synnin	پاپ
synnin	گناہ
synnin	اثم
tarkastus	پڑتال.
tarkastus	محاسبہ
tarkastus	تنقیح
tarkastus	معائنہ
tarkastus	جانچ
tarkastus	جائزہ
tarkastus	توثیق.
tarkastus	توثیق.
tarkastus	تصدیق
graniitti	ابرک
graniitti	راسخ
graniitti	پکّا
graniitti	مضبوط
graniitti	ارادہ
sekalaista	متفرق.
sekalaista	متنوع
sekalaista	متوافق
saalista	صید.
saalista	(مرض
muukalainen	غیر
muukalainen	مخالف
muukalainen	پردیسی
muukalainen	غیر
muukalainen	مخالف
muukalainen	اجنبی
muukalainen	بیگانہ
muukalainen	پردیسی
muukalainen	پرایا.
muukalainen	غیر
muukalainen	پرایا.
muukalainen	اجنبی
muukalainen	غیر
muukalainen	اجنبی
muukalainen	بیرونی
johtamista	استخراج
johtamista	توریث
johtamista	اکتساب
johtamista	اخذ
johtamista	استخراج
johtamista	توریث
johtamista	اکتساب
jar	دھکّا.
jar	نامربوطی.
jar	کرخت
jar	کریہہ
maailmanlopun	القائی
maailmanlopun	القا
maailmanlopun	وحی
nappaa	کھینچنا
nappaa	پھانسنے
nappaa	چٹخنی.
nappaa	روکنے
nappaa	جھپٹّا
nappaa	گرفت.
nappaa	جھپٹّا
nappaa	گرفت.
nappaa	ہتھیانا
ilmakehä	سماوی
ilmakehä	فضائی
vahti	خبرداری.
vahti	نگرانی
vahti	چوکسی
vahti	محافظ
vahti	گارڈ.
vahti	ہوشیاری
vahti	نگہبانی
vahti	پتّے
keskittyminen	تقریب
keskittyminen	دلچسپی
nappi	ٹانکنا-
nappi	تکمہ
nappi	شمشیرزنی
nappi	ٹانکنا-
nappi	تکمہ
nappi	بٹن
nappi	شمشیرزنی
halukkaita	تیار
halukkaita	تیار
halukkaita	آمادہ
halukkaita	راضی
työpaikka	دھوکا
työpaikka	پھٹکل
työpaikka	چرکا
työpaikka	وار
työpaikka	دھکا
työpaikka	فریب
työpaikka	کیفیت
työpaikka	دفتر
mökki	(cabined
mökki	ٹھونسنا.
salanimi	تخلص.
osakas	ساتھی
osakas	ساجھا
osakas	ساتھی
osakas	ساجھی
osakas	ساجھا
kiinnitys	نسبت.
kiinnitys	لگائو
huomattavat	بڑا
huomattavat	معقول
huomattavat	اہم.
huomattavat	معتدبہ
huomattavat	کافی
huomattavat	نمایاں
huomattavat	بڑا
huomattavat	معقول
huomattavat	اہم.
huomattavat	معتدبہ
huomattavat	خاصا
huomattavat	کافی
huomattavat	نمایاں
puuvillaa	روئی
puuvillaa	پنبہ
puuvillaa	روئی
fasismin	فسطائیت
kokonaisena	پورا
kokonaisena	سموچا
kokonaisena	کل
kokonaisena	سالم
kokonaisena	مکمل
kokonaisena	(خون
kokonaisena	پورا
kokonaisena	سموچا
kokonaisena	کل
kokonaisena	سالم
kokonaisena	مکمل
kokonaisena	(خون
kokonaisena	سارا
alaikäinen	خردسال
rajoitus	حائلشے.
rajoitus	رکاوٹ
rajoitus	مزاحمت
rajoitus	پابندی
rajoitus	حائلشے.
rajoitus	رکاوٹ
rajoitus	تحدید
rajoitus	مزاحمت
rajoitus	تحدید.
rajoitus	بندش
rajoitus	روک
rajoitus	معذوری
rajoitus	احاطہ
rajoitus	سرحد.
rajoitus	تحدید
rajoitus	بندش
rajoitus	رکاوٹ
hiljaista	معلومات
hiljaista	خاموش
hiljaista	معلومات
sitovat	عائد.
sitovat	لازمی
sitovat	ناگزیر
neuvonta	اطلاع
neuvonta	صلاح-
neuvonta	خبر.
neuvonta	اطلاع
neuvonta	صلاح-
neuvonta	خبر.
neuvonta	مشورہ
neuvonta	مشورت
neuvonta	ذاتی
ateisti	کافر
ateisti	کافر
ateisti	دہریہ
kiistaton	یقینی.
kiistaton	مسلمہ.
kiistaton	عمدہ
kiistaton	واقعی
kiistaton	لاکلام.
kiistaton	یقینی
baarin	بجز
kiväärin	رائفل
kiväärin	(بعدہ
toivottavaa	مطلوب
toivottavaa	پسندیدہ
toivottavaa	مرغوب
liuos	سمجھنے
gnome	مَثل
gnome	کہن
gnome	حکمت
gnome	پند
gnome	کہاوت.
aisti	حسّی.
aisti	معقول
aisti	سمجھنا.
aisti	پالینا.
aisti	(بعدہ
aisti	فہم
armon	انداز
armon	عنایت
armon	رعایت
armon	تپاک
armon	چھوٹ
armon	her
armon	مرحمت
armon	استعداد
poltetaan	داغ
poltetaan	سگریٹ.
poltetaan	بھڑکنا
poltetaan	چرکا
poltetaan	گلانا.
poltetaan	جْھلسا-
poltetaan	کھلا
poltetaan	شدید
poltetaan	نہایت
poltetaan	ظاہر
curry	سنوارنا.
curry	کوٹنا-
curry	چھڑنا
hera	توڑ.
yksityisyyden	اجتناب
yksityisyyden	علاحدگی.
yksityisyyden	تنہائی
yksityisyyden	اجتناب
yksityisyyden	علاحدگی.
juustoa	بیزار
välimuisti	دولت
hämärä	کردار
hämärä	نامعتبر
hämärä	مشتبہ
hämärä	انحطاط
hämärä	جُھٹپٹا
hämärä	زوال
hämärä	تباہی.
hämärä	اندھیرا.
hämärä	سایہ
hallussapidosta	عملداری.
hallussapidosta	جائیداد
hallussapidosta	ملکیت.
hallussapidosta	دولت
hallussapidosta	اثاثہ
hallussapidosta	تصرّف
hallussapidosta	عملداری.
hallussapidosta	قبضہ
hallussapidosta	جائیداد
hallussapidosta	ملکیت.
hallussapidosta	دولت
hallussapidosta	اثاثہ
hallussapidosta	تصرّف
sopimaton	ناموزوں
sopimaton	ناموزوں
puheenjohtajuus	چیئرمینی
puheenjohtajuus	صدارت
puheenjohtajuus	صدارت
mustasukkainen	چوکنّا.
mustasukkainen	(تفتیش
mustasukkainen	تحقیق
lyijyä	آگے
lyijyä	مثال
lyijyä	مختار
lyijyä	آگے
lyijyä	رصاص
lyijyä	مثال
lyijyä	مختار
kenkä	ڈنڈے
kenkä	ٹھکے
kenkä	جوف
lampaan	میش.
lampaan	بھیڑ
lampaan	میش.
kammio	قعر
kammio	خانہ
kammio	chamber-pot
kammio	گڑھا
aseta	(جوار
aseta	ٹکنا.
aseta	موج
aseta	جماعت
aseta	پھیلانا
aseta	جمانا.
aseta	جوڑنا
aseta	مستقل
aseta	بہاؤ
aseta	وضع
aseta	اٹکانا
aseta	کل
aseta	گروہ
aseta	طائفہ
aseta	(بعدہ
aseta	ریڈیو
aseta	بیٹھنا
aseta	بیر.
aseta	(تقریر
aseta	(ٹینس
aseta	بغض
aseta	محکم
aseta	رجحان
aseta	باندھنا.
aseta	منڈلی.
aseta	مشین
aseta	upon
aseta	ٹولا
aseta	(جوار
aseta	ٹکنا.
aseta	موج
aseta	جماعت
aseta	پھیلانا
aseta	جمانا.
aseta	جوڑنا
aseta	مستقل
aseta	بہاؤ
aseta	رکھنا
aseta	وضع
aseta	اٹکانا
aseta	کل
aseta	گروہ
aseta	طائفہ
aseta	(بعدہ
aseta	ریڈیو
aseta	بیٹھنا
aseta	بیر.
aseta	(تقریر
aseta	(ٹینس
aseta	بغض
aseta	محکم
aseta	جمانا
aseta	رجحان
aseta	باندھنا.
aseta	منڈلی.
aseta	مشین
aseta	upon
aseta	ٹولا
polvi	زانو.
elvyttää	روشن
elvyttää	ہونا
elvyttää	اجالنا
näppäimistö	مشین
siat	سؤر.
hae	بہانا
hae	ٹکانا
hae	چوٹ
hae	اکسانا
hae	مثنیٰ
hae	بھڑکانا
hae	داؤ
hae	پینترا
hae	(چپت
hae	لانے
hae	احمق
hae	سیکھنا
hae	موقع
hae	بدّھو.
hae	سمجھنا
hae	جننا
hae	بھاگو
hae	کمانا
hae	احمق
hae	پانا
hae	سیکھنا
hae	موقع
hae	بدّھو.
hae	سمجھنا
hae	جننا
hae	بھاگو
hae	کمانا
gallerian	برآمدہ
gallerian	لمبا
marxilainen	مارکسی
karannut	فراری
karannut	مفرور.
karannut	فراری
karannut	بھگوڑا
karannut	مفرور.
eettinen	پسندیدہ
eettinen	اعلیٰ.
eettinen	اخلاقیات
ujo	from
ujo	محتاط
ujo	(بعدہ
ujo	نامانوس
pahoinvointia	کراہت.
pahoinvointia	تنفر
pahoinvointia	ابکائی.
pahoinvointia	گھن
riskit	خطرہ
dot	بندی
dot	بُندکی
dot	مارنا
tiedustelupalvelu	ذہین
tiedustelupalvelu	خبر.
tiedustelupalvelu	ذہین
tiedustelupalvelu	خبر.
tiedustelupalvelu	فہم
muuttoliike	مہاجرت
moraalista	کہاوت
moraalista	مقولہ
moraalista	اخلاق
identtisiä	بعینہٖ
huutokaupassa	نیلام
huutokaupassa	برّاج.
joustava	سیدھا
joustava	لچکدار
varmistettu	محکم
varmistettu	عادی
varmistettu	پکا
varmistettu	کمزور
varmistettu	کسنا
varmistettu	محکم
varmistettu	پکا
varmistettu	یقینی
varmistettu	کمزور
varmistettu	کسنا
varmistettu	محکم
varmistettu	محفوظ
varmistettu	پکا
varmistettu	یقینی
viljelyä	پرداخت
viljelyä	کاشت
viljelyä	پرداخت
heikkeneminen	بگاڑ
heikkeneminen	ابتری
heikkeneminen	بگاڑ
monopoli	احتکار
monopoli	اجارہ.
kieltäytyä	جنگ
kieltäytyä	کمزوری
kieltäytyä	کمزور
kieltäytyä	زندگی
kieltäytyä	ارزانی
kieltäytyä	گرنا
kieltäytyä	بگڑنا
kieltäytyä	بگاڑ.
kieltäytyä	خرابی
kieltäytyä	(اسم
kieltäytyä	(دن
kieltäytyä	پھسلنا
kieltäytyä	فالتو
kieltäytyä	ردّی.
kieltäytyä	فالتو
kieltäytyä	ردّی.
kieltäytyä	پھوک
lahjan	بخشنا.
lahjan	دہش
lahjan	عطیہ
lahjan	تحفہ.
lahjan	بخشنا.
lahjan	دہش
lahjan	عطیہ
lahjan	داد
lahjan	تحفہ.
cum	بشمول
jälkeläisten	ذرّیاَت.
lisäystä	شمولیت.
lisäystä	اضافہ
lisäystä	شمولیت.
lisäystä	اضافہ
lisäystä	افزائش
perusteellinen	مکمل
perusteellinen	قطعی
perusteellinen	بالکل.
kadota	اڑالینا.
kadota	نایاب
vehnä	گیہوں
vehnä	گندم.
sekaannusta	ملغوبہ
sekaannusta	ملغوبہ
sekaannusta	افراتفری
sähköiset	برقی
sähköiset	برقی
komissaari	کمشنر
petos	چکمہ
petos	بہکانے
petos	بناوٹ.
petos	جعل
petos	مکاّری
petos	نقلی
petos	جھوٹا
yhteenotto	چپقلش.
yhteenotto	ٹکرانا.
yhteenotto	مچیٹا.
yhteenotto	بھڑنا
yhteenotto	مقابلہ
epätasa	نابرابری.
ilmeinen	بظاہر.
ilmeinen	بیّن
ilmeinen	ظاہری
ilmeinen	نمایاں.
ilmeinen	آشکار
ilmeinen	بیّن
ilmeinen	جلی.
ilmeinen	واضح
ilmeinen	آشکار
ilmeinen	بیّن
ilmeinen	جلی.
ilmeinen	عیاں
ilmeinen	واضح
ilmeinen	بظاہر
ilmeinen	مبیّنہ
ilmeinen	ظاہری
ilmeinen	ظاہر
ilmeinen	ظاہر
ilmeinen	آشکار
puutarhuri	مالی.
puutarhuri	مالی.
puutarhuri	باغبان
lauma	in
lauma	جماعت
lauma	اون
lauma	out
lauma	گڈریا.
lauma	گروہ
lauma	ٹکڑی.
lauma	نگہبانی
lauma	گڈریا.
lauma	گروہ
lauma	غول
lauma	ٹکڑی.
lauma	نگہبانی
moraalia	اخلاق
posse	جمگھٹ
posse	جتھا.
messut	وظیفہ
aave	بھوت
aave	سایہ.
aave	روح
aave	سایہ
aave	واہمہ.
aave	بھوت
aave	ارواح
aave	سایہ.
suojaaminen	مدافعت
suojaaminen	امان
suojaaminen	مدافعت
luonnolliset	بلاسنگھار.
luonnolliset	مطابق
luonnolliset	ارضی
luonnolliset	سادہ
luonnolliset	ازخود.
luonnolliset	فطری
luonnolliset	بلاسنگھار.
luonnolliset	مطابق
luonnolliset	اصلی
luonnolliset	ارضی
luonnolliset	سادہ
luonnolliset	ازخود.
luonnolliset	طبعی
luonnolliset	فطری
valtaistuimen	کموڈ
valtaistuimen	پاٹ.
tarjoa	للکارنا.
tarjoa	کوشش
tarjoa	بولی
tarjoa	پیغام
tarjoa	غور
tarjoa	پیشکش.
tarjoa	بولی
tarjoa	پیشکش
tarjoa	پیغام
tarjoa	غور
tarjoa	پیشکش.
liekehtivä	شدید
vihannesten	جامد-
vihannesten	لدّھڑ
vihannesten	بقلی
vihannesten	آلو
vihannesten	نباتی
jännitettä	وولٹیج
gale	طوفان.
ympyrää	مدّت
ympyrää	عرصہ
ympyrää	ہاکی
ympyrää	مدّت
ympyrää	حلقہ
ympyrää	عرصہ
ympyrää	ہاکی
vuoto	رسنے
räätäli	خیّاط.
räätäli	درزی
räätäli	خیّاط.
miinus	نقصان.
miinus	بدون
miinus	تفریقی.
miinus	بغیر
miinus	گھاٹا
miinus	خسارہ
miinus	نقصان.
miinus	بدون
miinus	تفریقی.
miinus	بغیر
miinus	گھاٹا
miinus	منفی
miinus	خسارہ
met	موسمیاتی.
reach	بڑھنا.
reach	پھیلانا
reach	(بعدہ
reach	دسترس
reach	پہنچنا
reach	پانا
reach	پہنچ
reach	بڑھنا.
reach	پھیلانا
reach	(بعدہ
reach	رسائی
reach	دسترس
haudata	منہمک
katolilainen	جامع
levittäminen	پھیلنا
levittäminen	منفوذ
levittäminen	منتشر
toimintoa	فعّالیت
markkinointia	بڑھوتری
markkinointia	افزائش
markkinointia	ترقی
käänteinen	الٹنا
käänteinen	معکوس.
käänteinen	مصیبت
puolikas	half-back
leima	بھانتی
leima	قسم
valmistelu	تیاری
valmistelu	آمادگی
valmistelu	مستعدی.
vaikeus	دُشواری
likainen	بُرا
likainen	قبیح
likainen	بد
likainen	پُرنجاست
likainen	نہایت
likainen	بغایت
likainen	فحش
likainen	بُرا
likainen	قبیح
likainen	بد
likainen	پُرنجاست
likainen	نہایت
likainen	بغایت
likainen	گندہ
likainen	غلیظ
likainen	فحش
likainen	کمینہ
likainen	رکیک
likainen	میلا
likainen	مبتذل
likainen	ناپسندیدہ
likainen	ذلیل
likainen	مکروہ
likainen	ناصاف
likainen	دُھندلا
likainen	جھّکڑی
likainen	فحش
likainen	مٹیالا
likainen	کمینہ
likainen	رکیک
likainen	میلا
likainen	مبتذل
likainen	ناپسندیدہ
likainen	ذلیل
likainen	مکروہ
likainen	ناصاف
likainen	دُھندلا
likainen	جھّکڑی
likainen	فحش
likainen	گندا
likainen	ناپاک
likainen	مٹیالا
ansiot	آمدنی
ansiot	یافت.
ansiot	شرف
ansiot	اچھائی
ansiot	(انعام
ansiot	نیکیاں
ansiot	خوبی
ansiot	فضلیت
polkupyörän	بائیسکل
kieltäminen	بددعا
kieltäminen	امتناع
kieltäminen	لعنت.
kieltäminen	(banned
kieltäminen	بددعا
kieltäminen	بندش
kieltäminen	امتناع
kieltäminen	لعنت.
kieltäminen	(banned
kieltäminen	تردید.
kieltäminen	ممانعت
tunnelman	امر
tunnelman	بدمزاجی.
tunnelman	بیزاری
eläke	(الف)تنہائی
eläke	سبکدوشی
suositaan	برتری
suositaan	مرجح.
suositaan	برتری
suositaan	ترجیح
suositaan	مرجح.
hyödyntämistä	استحصال
auringonlaskun	بڑھاپا.
vääntää	مڑنا
vääntää	گھماؤ.
vääntää	توڑنے
vääntää	(بعدہ
vääntää	عجیب
vääntää	بُننا.
vääntää	لپٹی
vääntää	چکرانا.
vääntää	مروڑنا.
vääntää	مڑنا
vääntää	گھماؤ.
vääntää	توڑنے
vääntää	(بعدہ
