भित्ति	väggmålning
आपात	nödfall
आपात	nödsituation
आपात	akut
रेसलमेनिया	wrestlemania
नामीबिया	namibia
स्त्रियाँ	kvinnor
एनी	annie
मामा	mama
मामा	mamma
मामा	onkel
मामा	morbror
मामा	uncle
मामा	farbror
रूपांतर	varianten
रूपांतर	variant
नगरीय	urban
नगरीय	urbana
नगरीय	tätort
जैकी	jackie
जैकी	jacky
क्रोधित	förvärrade
क्रोधित	rasande
क्रोधित	ursinnig
क्रोधित	arga
क्रोधित	arg
तात्कालिक	angeläget
तात्कालिक	brådskande
तात्कालिक	akut
तात्कालिक	omedelbart
तात्कालिक	omedelbara
तात्कालिक	omedelbar
तांत्रिक	tantra
हुक्म	nod
हुक्म	nicka
हलके	lättvindigt
कमांड	kommandon
कमांड	command
कमांड	kommando
कमांड	kommandot
कोबेन	cobain
बुराई	onda
बुराई	ondskan
बुराई	ondska
बुराई	evil
बुराई	ond
बुराई	ont
टाइपिंग	skriva
उत्तेजक	provocerande
उत्तेजक	stimulerande
दशमलव	decimal
काई	kai
क्रूर	grym
क्रूर	grymma
क्रूर	brutalt
क्रूर	brutala
क्रूर	brutal
जोनाथन	jonatan
जोनाथन	jonathan
हस्त	hasta
हस्त	handgjorda
फ्लाइट	flight
फ्लाइट	flyg
फ्लाइट	flygning
निकटता	närheten
निकटता	närhet
निकटता	närhet
सैर	promenaden
सैर	promenader
सैर	promenad
सैर	promenera
सैर	walk
चिकनी	slät
चिकनी	jämn
चिकनी	slätt
चिकनी	smidigt
चिकनी	smidig
कैनेडी	kennedy
टाई	slips
टाई	bind
टाई	oavgjort
विदेशियों	utlänningar
अनुवादित	översatt
अनुवादित	översatta
करोड़ों	myriad
इंजीनियरों	ingenjörer
गा	sjunga
गा	sing
गा	sjung
पूछताछ	förfrågan
पूछताछ	utredning
पूछताछ	undersökning
पूछताछ	undersökningar
पूछताछ	förfrågningar
सर्पिल	spiral
परिशिष्ट	tillägg
परिशिष्ट	bilaga
गवाही	vittna
गवाही	vittnar
गवाही	vittnesbörd
गवाही	vittnesmål
वॉकर	walker
लेआउट	layout
कैदियों	interner
कैदियों	fångar
फिजी	fiji
हुक	hook
हुक	krok
रिटर्न	returnerar
रिटर्न	återvänder
रिटर्न	returneras
रिटर्न	retur
रिटर्न	återkomst
रिटर्न	avkastning
रिटर्न	återvända
रिटर्न	returnera
प्लैटिनम	platina
फिल	phil
फिलीपींस	filippinerna
दीवारें	murar
दीवारें	väggarna
दीवारें	väggar
मुंडे	munde
सपाट	platt
सपाट	platta
सपाट	lägenhet
सपाट	flat
नक़ल	kopiera
नक़ल	kopia
नक़ल	kopior
नक़ल	kopiorna
नक़ल	exemplar
नक़ल	kopierar
फ्रेमवर्क	ramverk
फ्रेमवर्क	ram
देशभक्ति	patriotism
केन्या	kenya
बर्बाद	slösar
बर्बाद	avfall
कस्टम	tullen
कस्टम	tull
कस्टम	anpassade
कस्टम	sed
कस्टम	anpassad
कस्टम	egen
कस्टम	anpassat
अकादमिक	akademisk
अकादमिक	akademiker
अकादमिक	akademiska
अकादमिक	akademiskt
शेन	shane
असीम	asim
असीम	oändligt
असीम	oändlig
असीम	ändlös
असीम	oändliga
असीम	ändlösa
एकजुट	förena
कोलेस्ट्रॉल	kolesterol
दांते	dante
किंगफिशर	kungsfiskare
बगीचे	trädgård
बगीचे	trädgården
मुराद	murad
युग्म	parade
ईमान	faith
ईमान	tron
ईमान	tro
भट्टी	ugn
पोटैशियम	kalium
केली	kelly
लोकगीत	folklore
सर्बिया	serbien
स्प्रिंगस्टीन	springsteen
धर्मनिरपेक्ष	sekulära
दृष्टिगोचर	synlig
दृष्टिगोचर	synligt
दृष्टिगोचर	synliga
तोप	kanonen
तोप	kanon
तोप	kanoner
दूरभाष	telefon
शेंगेन	schengensamarbetet
शेंगेन	schengen
दुल्हन	bruden
दुल्हन	brud
आंत्र	tyfus
जस्ता	zink
उड़	fly
उड़	flyger
उड़	flyg
उड़	fluga
उड़	flyga
गुजरता	passerar
माली	maldiverna
माली	trädgårdsmästaren
माली	trädgårdsmästare
माली	mali
परियोजनाएं	projekt
सिएटल	seattle
जन्मस्थान	födelseort
जन्मस्थान	födelseplats
टायर	däcken
टायर	däck
टायर	däck
टायर	däck
बाँस	bambu
अठारह	eighteen
अठारह	arton
उत्खनन	utgrävning
उन्नयन	uppgradera
उन्नयन	uppgradering
उन्नयन	höjd
उन्नयन	förhöjning
पेंशन	pension
पेंशन	pensionen
गरिमा	värdighet
धागे	garn
बताना	berätta
बताना	tell
सिलेंडर	behållare
सिलेंडर	cylindrar
मैक्सिकन	mexikansk
मैक्सिकन	mexikanska
मैक्सिकन	mexikanskt
देशो	länderna
देशो	länder
उर्वर	sprudlande
खोपड़ी	skallen
खोपड़ी	skalle
कोलम्बिया	colombia
विद्रोहियों	rebeller
विद्रोहियों	rebellerna
पट्टिका	pall
कैसा	hur
स्टीवन	steven
टेल	saga
टेल	berättelse
टेल	svans
टेल	stjärt
टेल	svansen
कबीले	stam
कबीले	stammen
सूर्योदय	soluppgång
सूर्योदय	soluppgången
रणनीतिक	strategiska
रणनीतिक	strategisk
रणनीतिक	strategiskt
रणनीतिक	strategiskt
रणनीतिक	taktiska
रणनीतिक	taktisk
रणनीतिक	taktiskt
झटके	stötar
रीड	reed
प्रक्षेप	utskjutande
प्रक्षेप	projektion
पर्यवेक्षण	övervakning
पर्यवेक्षण	tillsyn
एमी	amy
एमी	emmy
प्लेटो	platon
मीन	fiskarna
कनाडाई	kanadensare
कनाडाई	kanadensisk
कनाडाई	kanadensiska
रिसाव	läckage
रिसाव	läckor
रिसाव	läcka
रिसाव	läckage
अनावरण	presenterade
निषिद्ध	förbjudna
निषिद्ध	förbjuden
निषिद्ध	förbjudet
निषिद्ध	förbjudna
निषिद्ध	förbjuden
निषिद्ध	förbjudet
सेम	bönan
सेम	bean
सेम	böna
सेम	bönor
सेम	bönan
सेम	sem
रॉन	ron
शोधन	raffinering
बरसात	dusch
बरसात	regnig
बरसात	regn
बरसात	rain
बनर्जी	banerjee
इंटेल	intel
फास्ट	snabbt
फास्ट	snabb
फास्ट	snabba
यथार्थवाद	realism
बाह	bah
तालिबान	talibanerna
दर्शनशास्त्र	filosofin
दर्शनशास्त्र	filosofi
स्वादिष्ट	välsmakande
स्वादिष्ट	gott
स्वादिष्ट	mums
स्वादिष्ट	utsökt
स्वादिष्ट	läcker
ज्वाला	låga
ज्वाला	flamma
ज्वाला	flamman
ईंटों	tegel
ईंटों	tegelsten
ईंटों	brick
कर्ज	skulder
कर्ज	skuldsättning
कर्ज	skuld
सलाद	sallad
सलाद	sallat
सलाद	sallader
सलाद	sallad
जलन	svartsjuk
जलन	avundsjuk
जलन	provocerande
जलन	inflammatoriska
जलन	inflammatorisk
जलन	irritation
शौकिया	amatörer
शौकिया	amatör
अनूठा	omslutande
अनूठा	unik
अनूठा	unika
अनूठा	unikt
कैरी	carrie
कैरी	carey
पेशावर	peshawar
पहेली	pussel
पहेली	pussel
पहेली	gåta
पहेली	enigma
रक्तस्राव	blödning
चादर	sjal
चादर	plåt
चादर	blad
जामा	jama
फ्रैंकलिन	franklin
एथिलीन	eten
सेकेंड	sekunderna
सेकेंड	sekunder
सेकेंड	sekund
सेकेंड	andra
चढ़ाव	dalar
मानविकी	humaniora
मानविकी	humanistiska
महापौर	borgmästaren
महापौर	borgmästare
आयताकार	rektangel
आयताकार	rektangulära
आयताकार	rektangulär
प्रस्तावना	introduktion
प्रस्तावना	inledning
प्रस्तावना	införande
प्रस्तावना	införsel
प्रस्तावना	prolog
प्रस्तावना	ingressen
प्रस्तावना	inledning
मैनहटन	manhattan
मॉरीशस	mauritius
लावा	lava
बाधाओं	hinder
बाधाओं	spärrar
बाधाओं	barriärer
बाधाओं	hinder
माइग्रेन	migrän
परिधान	klä
परिधान	klänning
परिधान	kostymer
परिधान	dräkter
परिधान	plagg
परिधान	kläder
गोलीबारी	eldstrid
गोलीबारी	skottlossning
गोलीबारी	skjuta
गोलीबारी	skjutande
गोलीबारी	skytte
हब	navet
हब	nav
हब	hub
जग	world
जग	värld
जग	världen
पम्प	pump
पम्प	pumpa
बायर	bayer
नाल	hästsko
पवित्रता	helighet
पवित्रता	renhet
पवित्रता	helighet
लाभप्रद	lönsamt
लाभप्रद	lönsam
लाभप्रद	vinstgivande
लाभप्रद	lönsamma
रोचेस्टर	rochester
श्रेष्ठता	överlägsenhet
मुलाक़ात	tillhåll
डोनाल्ड	kalle
डोनाल्ड	donald
रमन	raman
सीढ़ी	stege
प्रतिकृति	mönster
प्रतिकृति	mönstret
प्रतिकृति	kopia
घराने	genrer
ताड़	palm
ताड़	handflata
प्रवृति	förkärlek
धमाके	bang
धमाके	pang
धमाके	smäll
सीटी	vissla
परोसा	serverad
परोसा	avtjänat
परोसा	tjänat
परोसा	serveras
कार्टर	carter
सिरदर्द	huvudvärk
कट्टर	dogmatiska
उपनिवेशवाद	kolonialism
उपनिवेशवाद	koloni
उपनिवेशवाद	kolonin
सैंडविच	smörgås
सैंडविच	sandwich
सैंडविच	mackan
सैंडविच	smörgåsar
चिप्स	marker
चिप्स	chips
गुड़	melass
चन्द	chand
उद्योगपति	industriman
विधियां	metoderna
विधियां	metoder
बिखरे	spridda
बिखरे	utspridd
बिखरे	utspridda
बिखरे	spridd
दार्जिलिंग	darjeeling
वेस्टमिंस्टर	westminster
सुनाया	uttalade
सुनाया	uttalat
सुनाया	uttalad
सुनाया	uttalas
शैतान	djävul
शैतान	devil
शैतान	djävulen
शैतान	satan
शैतान	satans
शीट	plåt
शीट	blad
शीट	tabeller
शीट	plåt
शीट	lakan
शीट	blad
उद्धार	leverera
उद्धार	levererar
उद्धार	räddning
उद्धार	rädda
उद्धार	undsättning
पैकेजिंग	förpackning
पैकेजिंग	förpackningar
म्यूनिख	münchen
शरीफ	sharif
बिस्तर	säng
बिस्तर	sängen
बिस्तर	bädd
दोहराया	upprepas
दोहराया	upprepade
दोहराया	upprepat
दोहराया	upprepad
बोल्ट	bolt
बोल्ट	bult
गुम्बद	kupol
गुम्बद	kupolen
गुम्बद	kupoler
सेवानिवृत्ति	pensionering
सेवानिवृत्ति	pension
जश्न	firande
जश्न	högtider
जश्न	festligheter
जश्न	firandet
जश्न	firande
जश्न	jamboree
नोबल	ädla
नोबल	ädel
नोबल	ståtlig
नोबल	noble
टायसन	tyson
लहरों	vågor
टंडन	tandon
अस्थिरता	instabilitet
स्पाइवेयर	spionprogram
संग्रहीत	arkiverat
संग्रहीत	arkiveras
संग्रहीत	arkiverade
सीसा	leda
सीसा	bly
सीसा	lead
तना	hejda
सदाबहार	evergreen
कंकाल	skelettet
कंकाल	skelett
समीर	samir
ऑर	orr
तांबे	koppar
समतुल्य	motsvarande
समतुल्य	likvärdigt
समतुल्य	likvärdiga
समतुल्य	likvärdig
समतुल्य	ekvivalent
जिन्ना	jinnah
फेरारी	ferrari
माईस्पेस	myspace
एमआईटी	mit
भ्रामक	missvisande
भ्रामक	vilseledande
भ्रामक	förvirrande
संभावनाओं	möjligheter
संभावनाओं	möjligheterna
नगण्य	trivialt
केक	tårta
केक	kaka
साख	välvilja
साख	goodwill
जिज्ञासा	nyfikenhet
अन्याय	orättvisa
अन्याय	orättvisor
अनुसूची	tidsplan
अनुसूची	tidtabell
अनुसूची	schema
एनिमेशन	animering
एनिमेशन	animationer
देखो	titta
इंतजार	vänta
हिम्मत	kurage
हिम्मत	modet
हिम्मत	mod
हिम्मत	vågar
हिम्मत	våga
हिम्मत	törs
प्रमाणपत्र	intyg
प्रमाणपत्र	certifikat
प्रमाणपत्र	intyg
प्रमाणपत्र	certifikat
सांकेतिक	symboliskt
सांकेतिक	symboliska
सांकेतिक	symbolisk
सिंधिया	scindia
सत्रहवीं	sjuttonde
असमानता	olikhet
असमानता	ojämlikhet
आमदनी	inkomster
आमदनी	intäkter
आमदनी	inkomst
टिन	tin
टिन	tenn
चारा	bete
ओलिवर	oliver
डिब्बे	burkar
घनी	tjock
घनी	tjocka
घनी	tjockt
एस्पिरिन	acetylsalicylsyra
जनजातीय	tribal
सोर्स	källa
पीर	peer
पीर	inbördes
विश्लेषक	analytiker
चेल्सी	chelsea
बाजरा	hirs
पाम	pam
रिश्तों	relationer
रिश्तों	förhållanden
संन्यास	pensionering
संन्यास	pension
पुनर्वास	rehab
पुनर्वास	rehabilitering
पुनर्वास	återställande
पुनर्वास	återuppbyggnad
प्रोसेसर	processorer
प्रोसेसर	processor
स्ट्रीम	strömmar
स्ट्रीम	bäck
स्ट्रीम	stream
स्ट्रीम	ström
वक्तव्य	uttalande
चंद्रगुप्त	chandragupta
कृत्यों	funktionerna
कृत्यों	funktioner
बारहवीं	xii
बारहवीं	tolfte
स्टुअर्ट	stuart
अचार	pickles
अचार	gurkor
अचार	gurka
प्रदाताओं	leverantörer
फेंकने	kasta
फेंकने	kastar
शर्तें	förutsättningar
शर्तें	villkor
शर्तें	förhållanden
शर्तें	termer
शर्तें	begrepp
शर्तें	villkor
मॉड्यूल	moduler
मॉड्यूल	modulen
मॉड्यूल	modul
हिरण	hjortar
हिरण	rådjur
हिरण	hjort
हिरण	caribou
पिकनिक	picnic
पिकनिक	picknick
ईसाइयों	kristna
सईद	saeed
प्रेषित	skickas
प्रेषित	skickade
प्रेषित	skickat
प्रेषित	skickad
ज़िन्दगी	life
ज़िन्दगी	livet
ज़िन्दगी	livstid
ज़िन्दगी	liv
बॉय	boy
बॉय	pojke
बॉय	gosse
बॉय	pojk
अपघटन	nedbrytning
अपघटन	sönderfall
इब्राहिम	ibrahim
संवेदी	sensoriska
कार्लो	carlo
तपेदिक	tuberkulos
पुर	pur
वीजा	visum
वीजा	visum
बैनर	fanor
बैनर	banderoller
बैनर	fana
बैनर	banderoll
बैनर	banner
याहू	yahoo
बुजुर्ग	äldre
वेदी	altaret
वेदी	altare
वेदी	vedi
उत्साहित	upphetsad
प्रलय	katastrof
घटती	vikande
घटती	minskande
रिले	riley
रिले	vidarebefordra
रिले	relä
चुनौतियों	utmaningarna
चुनौतियों	utmaningar
बर्मन	burman
अनवर	anwar
फर्ग्यूसन	ferguson
हालात	läget
हालात	situationen
हालात	situation
हालात	odds
हालात	omständigheterna
हालात	omständigheter
भैंस	buffalo
भैंस	buffel
भैंस	bufflar
महाद्वीपों	kontinenter
महाद्वीपों	världsdelar
इस्लामाबाद	islamabad
लेनिन	lenin
समाचारपत्र	tidningen
समाचारपत्र	tidningspapper
समाचारपत्र	tidning
समाचारपत्र	dagstidning
साम्य	likhet
साम्य	likheten
संतोषजनक	tillfredsställande
संतोषजनक	tillfredsställande
रनवे	landningsbana
रनवे	bana
सफ़र	färd
सफ़र	resa
सफ़र	resan
विवेचना	överläggning
मनोरोग	psykiatrisk
मनोरोग	psykiatriska
खींचा	dragit
खींचा	drog
खींचा	drogs
खींचा	ritat
खींचा	ritade
खींचा	drew
खींचा	fäste
सल्फर	svavel
सल्फर	svavel
स्क्वैश	squash
लॉक	lock
लॉक	lås
एबीसी	abc
वाल्टर	walter
डाकू	laglös
डाकू	rånare
डाकू	rövare
पीएचडी	doktorsexamen
फ़ुटबॉल	fotboll
गॉर्डन	gordon
बांस	bambu
वाटसन	watson
सहिष्णुता	tolerans
लूथर	luther
परिपक्वता	mognad
परिपक्वता	löptid
परिपक्वता	förfaller
निरंतरता	kontinuitet
निरंतरता	kontinuiteten
निरंतरता	hållbarhet
पनामा	panama
लॉरेंस	lawrence
हिरासत	vårdnad
हिरासत	förvar
हिरासत	vårdnaden
कंस	kansa
सांप्रदायिक	kommunal
सांप्रदायिक	kollektiv
लड़	slåss
लड़	kämpa
लड़	fighting
लड़	slagsmål
लड़	kämpar
लड़	kämpande
गुणात्मक	kvalitativt
गुणात्मक	kvalitativa
गुणात्मक	kvalitativ
बौना	dvärg
रेखाचित्र	dragning
रेखाचित्र	teckning
रेखाचित्र	ritning
रेखाचित्र	rita
रेखाचित्र	ritar
स्वदेश	nations
स्वदेश	nationen
स्वदेश	nation
सुपरमैन	superman
सुपरमैन	stålmannen
फलित	astrologer
बुल	bulldog
बुल	tjur
बुल	bull
धब्बे	fläckar
धब्बे	plåster
धब्बे	prickar
धब्बे	fläckar
अमूल्य	ovärderliga
अमूल्य	ovärderlig
अमूल्य	ovärderligt
विकिस्रोत	wikisource
निक	nick
निक	smeknamn
पीढी	generation
पीढी	generationen
पीढी	generering
पीढी	släkte
माउस	mus
क्राउन	krona
क्राउन	crown
क्राउन	kronan
साड़ी	sari
बहुमुखी	multipla
बहुमुखी	flera
बहुमुखी	multipel
बहुमुखी	flertal
बहुमुखी	mångsidigt
बहुमुखी	mångsidig
बहुमुखी	mångsidiga
पहियों	wta
पहियों	hjul
पहियों	kärra
पहियों	hjulen
स्पीयर्स	spjut
स्पीयर्स	spears
बहू	bruden
बहू	brud
बहू	bahu
वेबसाइटों	webbplatser
वेबसाइटों	hemsidor
वेबसाइटों	webbsidor
छठा	sexan
छठा	sjätte
संभाला	hanteras
संभाला	hanterade
संभाला	hanterat
स्पा	spa
स्पा	spa
मातृभूमि	fosterland
मातृभूमि	fosterlandet
मातृभूमि	hemland
मातृभूमि	hembygd
मातृभूमि	homeland
मशीनें	maskiner
पनडुब्बी	ubåt
मुखर	högljudd
काउंटर	räknare
काउंटर	motverka
पूर्णांक	heltal
शौक	hobby
शौक	hobbies
निचला	nedre
निचला	lägre
निचला	undre
नौकर	tjänare
नौकर	betjänt
बोवी	bowie
अफगान	afghanska
अफगान	afghansk
दोहा	doha
टार्ज़न	tarzan
उदासीन	nostalgisk
राजमहल	palatset
राजमहल	palats
राजमहल	palace
राजमहल	slott
बसों	bussar
अर्थहीन	meningslös
अर्थहीन	meningslösa
अर्थहीन	meningslöst
मॉर्गन	morgan
सतहों	ytor
रसेल	russel
रसेल	russell
संगीतमय	musikaliska
संगीतमय	musikalisk
संगीतमय	musikal
टिक	kryssa
टिक	tick
टिक	tic
क्राइस्ट	kristus
अनुप्रस्थ	tvärgående
प्रायोजक	sponsra
प्रायोजक	medverkande
प्रायोजक	sponsor
प्रायोजक	sponsrar
प्रायोजक	sponsorer
ब्रिगेड	brigaden
पॉलिसी	policy
पॉलिसी	politik
पॉलिसी	policyn
दस्त	diarré
कलाई	handleder
कलाई	handled
कलाई	handleden
संभोग	umgänge
संभोग	samlag
अल्फ्रेड	alfred
दाखिल	arkivering
वेल्श	walesiska
कराटे	karate
ग्रंथियों	körtlar
ट्रैफिक	trafik
ट्रैफिक	trafiken
सिखाया	undervisade
सिखाया	lärd
सिखाया	lärt
सिखाया	lärde
सिखाया	undervisat
लिबरल	liberala
लिबरल	liberal
लिबरल	liberalt
खंडहर	spillror
खंडहर	bråte
खंडहर	ruinerna
खंडहर	ruiner
खंडहर	ruin
कर्क	cancer
प्रेरण	induktion
लामा	lama
लेज़र	laser
बाइबल	bibel
बाइबल	bibeln
क्रमांक	tal
क्रमांक	antal
क्रमांक	nummer
धक्का	push
धक्का	tryck
धक्का	knuffa
आविष्कारक	uppfinnare
आविष्कारक	uppfinnare
गोपनीय	krypterade
गोपनीय	krypterad
गोपनीय	hemlighet
गोपनीय	hemliga
गोपनीय	secret
गोपनीय	hemlig
गोपनीय	hemligt
गोपनीय	konfidentiellt
प्रेत	zombie
स्थलीय	landlevande
स्थलीय	markbundna
सप्ताहांत	helgerna
सप्ताहांत	helger
सप्ताहांत	veckoslut
सप्ताहांत	helg
सप्ताहांत	weekend
सप्ताहांत	helgen
सप्ताहांत	veckoslut
कब्रिस्तान	kyrkogårdar
कब्रिस्तान	begravningsplats
कब्रिस्तान	kyrkogård
कब्रिस्तान	kyrkogården
बुल्गारिया	bulgarien
पासपोर्ट	passet
पासपोर्ट	pass
प्रज्ञा	intelligens
प्रज्ञा	underrättelser
प्रज्ञा	underrättelse
प्रज्ञा	underrättelsetjänst
बेशक	sannerligen
बेशक	verkligen
बेशक	säkerligen
बेशक	säkert
आइसलैंड	island
लोप	lop
प्रमाणीकरण	autentisering
प्रमाणीकरण	verifiering
टोयोटा	toyota
ब्लाक	blockera
ब्लाक	blocket
ब्लाक	blocka
ब्लाक	blockering
ब्लाक	block
सत्यापन	bekräfta
सत्यापन	verifiera
सत्यापन	autentisering
सत्यापन	verifiering
सत्यापन	verifiering
सत्यापन	verifikation
रेशों	siden
रेशों	silk
रेशों	silke
प्रत्यावर्ती	omväxlande
प्रत्यावर्ती	växlande
प्रत्यावर्ती	alternerande
वृहद	större
लॉन्च	lanserar
लॉन्च	lanseras
लॉन्च	starter
लॉन्च	lansering
लॉन्च	avfyrning
लॉन्च	uppskjutning
लॉन्च	inleda
लॉन्च	starta
बीट	beat
बीट	slå
इमेजिंग	avbildning
लटका	hung
लटका	hängt
लटका	hängd
लटका	hängde
कैटरीना	katrina
डिस्ट्रिक्ट	distriktet
डिस्ट्रिक्ट	valdistrikt
डिस्ट्रिक्ट	distrikt
काठमांडू	katmandu
सीखना	lära
सीखना	lärande
सीखना	inlärning
वेश	klätt
वेश	klädda
वेश	klädd
डॉक्टरों	doktorer
डॉक्टरों	läkare
पक्का	visst
गला	strupe
गला	hals
गला	halsen
गला	hals
गला	nacken
गला	nacke
हैदर	haider
सुगमता	tillgänglighet
सुगमता	tillgängligheten
स्ट्रॉस	strauss
गार्सिया	garcia
गार्सिया	garcía
निद्रा	viloläge
निद्रा	sova
निद्रा	sömn
निद्रा	sov
बहाने	ursäkter
एक्सप्लोरर	upptäcktsresande
एक्सप्लोरर	explorer
छल	trakasserier
छल	list
आलम	alam
बिज़नेस	affärsverksamhet
बिज़नेस	affärer
बिज़नेस	business
बिज़नेस	företag
बिज़नेस	näringsliv
प्रतिबद्ध	engagerad
प्रतिबद्ध	begått
प्रतिबद्ध	engagerade
प्रतिबद्ध	engagerat
कॉलोनी	koloni
कॉलोनी	kolonin
आवंटन	tilldelning
आवंटन	fördelning
आवंटन	tilldelning
बाला	bala
कार्लोस	carlos
अनीता	alice
अनीता	anita
अनोखा	unik
अनोखा	unika
अनोखा	unikt
अनोखा	novell
अनोखा	romanen
अनोखा	roman
रिएक्टर	reaktorn
रिएक्टर	reaktor
करीना	karina
कपाल	skallen
कपाल	skalle
श्रोता	lyssnare
श्रोता	åhörare
श्रोता	lyssnare
श्रोता	målgruppen
श्रोता	publik
श्रोता	målgrupp
कॉमन	vanligt
कॉमन	gemensamt
कॉमन	vanlig
कॉमन	vanliga
कॉमन	gemensamma
आपेक्षिकता	relativitet
लेम्बोर्गिनी	lamborghini
प्याज	lökar
प्याज	lök
प्याज	lök
असीमित	oändlig
असीमित	oändligt
असीमित	oändliga
असीमित	obundet
असीमित	gränslös
असीमित	gränslösa
असीमित	obegränsat
असीमित	obegränsade
असीमित	obegränsad
माउंटबेटन	mountbatten
बग	bugg
बग	bug
बग	insekter
बग	buggar
मॉस्को	moskva
बूटी	booty
सोम	soma
सोम	mån
सोम	mon
चन्द्रशेखर	chandrasekhar
टर्नर	turners
टर्नर	turner
हिमानी	glaciären
हिमानी	himalaya
ट्रांस	trans
मेहमान	gästerna
मेहमान	gäster
मेहमान	gäst
नियमन	reglering
नियमन	förordningen
नियमन	förordning
जहर	förgifta
जहर	gift
मगरमच्छ	krokodilen
मगरमच्छ	krokodil
गतिज	kinetiska
तन	tan
तन	solbränna
यूटीसी	utc
वेनिस	venedig
खांसी	host
खांसी	hosta
आईएसओ	iso
पिंडों	tackor
पिंडों	göt
युगांडा	uganda
संख्याएँ	tal
संख्याएँ	nummer
संख्याएँ	siffror
जब्त	beslagtagna
जब्त	beslagtog
जब्त	beslagtogs
सुगंध	doftämnen
सुगंध	parfymer
सुगंध	dofter
सुगंध	arom
सुगंध	doft
जस्टिन	justin
सरकारें	regeringarna
सरकारें	regeringar
अहंकार	ego
ज़ाहिर	röja
अंबेडकर	ambedkar
ठेठ	typisk
ठेठ	typiskt
ठेठ	typiska
फ़ोर्स	kraft
फ़ोर्स	force
फ़ोर्स	tvinga
उलट	vändas
मोरक्को	marocko
मोरक्को	marockos
सुमात्रा	sumatra
छड़ी	pinne
सीरम	serum
नतीजतन	följaktligen
दाम	pris
दाम	price
दाम	priset
नहरें	canal
नहरें	kanal
नहरें	kanalen
नहरें	floder
नहरें	vattendrag
नहरें	floderna
नहरें	rivers
हमलावर	angripare
नॉर्मन	norman
सराहा	uppskattat
सराहा	uppskattade
सराहा	uppskattas
सराहा	uppskattad
लैंडिंग	landar
लैंडिंग	landning
लैंडिंग	landing
माँगा	manga
नाविक	sailor
नाविक	sjöman
नाविक	navigator
स्थायित्व	uthålliga
स्थायित्व	uthållighet
हावर्ड	howards
हावर्ड	howard
परगना	parganas
साम्यवाद	kommunism
साम्यवाद	kommunismen
पैमाना	omfång
पैमाना	omfattning
पैमाना	tillämpningsområde
पैमाना	räckvidd
पैमाना	fjäll
पैमाना	skalan
पैमाना	skala
तंबाकू	tobak
चिड़िया	fågel
चिड़िया	fågeln
पराग	pollen
सूर	sur
उमा	uma
प्री	pre
कफ	fängsla
मैथुन	umgänge
मैथुन	samlag
मैथुन	kön
मैथुन	sex
ग्राफिक्स	grafik
संचारित	sänd
पराबैंगनी	ultraviolett
ताम्र	koppar
योजनाएं	ordningar
केल्विन	kelvin
अनुपस्थित	frånvarande
अनुपस्थित	saknar
अनुपस्थित	saknas
अनुपस्थित	saknade
अनुपस्थित	saknad
अनुपस्थित	försvunnen
फाई	phi
मर्सिडीज	mercedes
कीटनाशक	bekämpningsmedel
लार	saliv
सुनहरे	blondin
सुनहरे	blonde
सुनहरे	blont
सुनहरे	blonda
सुनहरे	blond
आगंतुक	besökare
फ़ॉर्मूला	formula
फ़ॉर्मूला	formel
चीज़ें	saker
ग्राफिक	grafik
ग्राफिक	grafiska
ग्राफिक	grafisk
ग्राफिक	grafiskt
लूप	loop
लूप	slinga
पेरी	peri
पेरी	perry
फिल्माया	filmade
फिल्माया	filmat
सम्मिश्रण	blandning
चम्मच	sked
चम्मच	skeden
ग्रा	gras
दुकानें	butiker
दुकानें	lagrar
दुकानें	butiker
अनुपयुक्त	oanvänt
अनुपयुक्त	oanvänd
अनुपयुक्त	outnyttjade
अनुपयुक्त	oanvända
विरोधाभास	paradox
जैम	zam
जैम	marmelad
जैम	jam
जैम	sylt
चेयरमैन	styrelseordförande
चेयरमैन	ordförande
रिश्तेदार	relativ
रिश्तेदार	relativt
रिश्तेदार	relativa
रिश्तेदार	släkting
रिश्तेदार	släktingar
रिश्तेदार	anhöriga
कचरा	papperskorgen
कचरा	sopor
कचरा	skräp
कचरा	sopor
कचरा	skräp
थैली	pung
थैली	påse
प्रतियोगियों	konkurrenter
प्रतियोगियों	konkurrenterna
प्रतियोगियों	tävlande
असिमोव	asimov
स्प्रिंग	våren
स्प्रिंग	vårens
पिज़्ज़ा	pizza
जाली	väven
दैवी	oracle
दैवी	oraklet
दैवी	gudomligt
दैवी	gudomlig
दैवी	gudomliga
साइबर	cyber
ग़रीब	stackars
ग़रीब	fattig
ग़रीब	fattiga
छात्रवृत्ति	stipendium
छात्रवृत्ति	stipendiet
लिखें	skriva
लिखें	skriv
लिखें	komponera
लिखें	bränn
लिखें	bränna
लिखें	bränner
देवों	devon
सोडा	läsk
सोडा	soda
हुकूमत	kingdom
हुकूमत	kungarike
हुकूमत	rike
हुकूमत	kungariket
हुकूमत	dominans
हुकूमत	herravälde
डॉक्टरेट	doktorsexamen
डॉक्टरेट	doktorsgrad
विला	villor
विला	villan
विला	villa
सटीकता	noggrannhet
सटीकता	exakthet
सटीकता	riktighet
सटीकता	precision
कोला	kola
कोला	colombo
कोला	cola
धमनियों	artärer
प्रतिजन	antigen
अदालतों	domstolar
अदालतों	domstolarna
अदालतों	domstol
चोंच	näbb
ग्राहम	graham
सर्वोपरि	paramount
प्लेटों	plåtar
