ve	та
seçildi	обраний
seçildi	вибрано
seçildi	вибрана
seçildi	вибране
seçildi	вибраний
seçildi	обраний
seçildi	обрання
seçildi	вибраний
seçildi	обрані
seçildi	вибрані
seçildi	вибране
seçildi	вибрано
yapılmış	зробила
yapılmış	made
oyunları	ігор
oyunları	games
oyunları	ігри
general	загальні
general	генерал
general	загальний
general	загальне
antik	антикваріат
antik	давніх
antik	стародавні
antik	давні
antik	стародавній
antik	давній
yukarıda	вище
yukarıda	нагорі
yapmak	творити
yapmak	внесення
teşekkürler	дякую
teşekkürler	дякуємо
hollanda	роттердам
hollanda	амстердам
hollanda	нідерланди
hollanda	нідерландах
hollanda	нідерландів
hollanda	голландії
hollanda	голландія
yana	яна
yana	збоку
yana	сторона
yana	бічна
yana	бік
yana	сторони
kategori	категорія
geleneksel	традиційними
geleneksel	традиційний
geleneksel	традиційні
geleneksel	традиційна
geleneksel	традиційне
altına	під
altına	під
altına	under
kazanan	переможець
kazanan	переможниці
savunma	захист
savunma	оборону
savunma	оборона
savunma	захист
savunma	оборони
savunma	захисний
yedi	сім
yedi	сімка
yedi	їли
yedi	їв
belediyesi	муніципалітет
belediyesi	край
polonya	польщу
polonya	польща
polonya	польщі
los	лос
yaş	віці
yaş	вік
yaş	ера
yaş	доба
yapıldı	зробила
yapıldı	made
yapıldı	зроблено
yapıldı	закінчили
yapıldı	виконано
yapıldı	готово
yapıldı	done
bilinir	відома
bilinir	відоме
bilinir	відомі
yoğun	інтенсивне
yoğun	зайнята
yoğun	зайнятість
yoğun	зайнятий
yoğun	зайнято
yoğun	щільна
yoğun	інтенсивний
yoğun	інтенсивно
park	парк
park	паркінг
park	паркування
isveç	швеція
isveç	швеції
siyasetçi	політик
edebiyat	літературна
edebiyat	літературні
edebiyat	літературний
edebiyat	література
müzesi	museum
müzesi	музей
et	meat
et	ковбасу
et	яловичина
et	яловичини
haber	новини
haber	новина
tarihli	датоване
annesi	матір
annesi	мати
annesi	матері
all	усі
all	всі
all	все
all	всіх
kupa	трофей
kupa	чашці
kupa	чашка
kupa	чаша
kupa	кубок
verildi	вказаний
verildi	дано
verildi	надано
verildi	даного
klasik	vintage
klasik	класика
klasik	класику
klasik	класична
klasik	класична
klasik	класичні
klasik	класичний
klasik	класика
klasik	класичне
çalıştı	спрацювало
çalıştı	працював
çalıştı	працювали
çalıştı	працювала
yönetimi	управління
yönetimi	менеджмент
yönetimi	керівництво
yönetimi	керування
yönetimi	адміністрація
yönetimi	адміністрації
yönetimi	адміністрування
doğan	народження
doğan	народився
doğan	борн
doğan	народилась
doğan	народилася
doğan	falcon
doğan	сокіл
bulundu	знайшов
bulundu	знайдено
bulundu	знайшовся
bulundu	знайшла
bulundu	знайдені
sağ	правий
sağ	права
sağ	право
sağ	праворуч
antalya	анталії
dakika	хв
dakika	хвилин
dakika	хвилини
dakika	хвилини
dakika	хвилина
toprak	ґрунту
toprak	ґрунт
toprak	земля
toprak	земля
toprak	землею
toprak	earth
toprak	землі
toprak	земля
içine	into
brezilya	бразилії
brezilya	бразилія
brezilya	бразильська
brezilya	бразильська
bazen	інколи
bazen	деколи
bazen	іноді
nba	нба
irak	іракський
irak	ірак
irak	іраку
siyah	чорні
siyah	чорне
siyah	чорна
siyah	чорний
iddia	копальні
iddia	стверджують
iddia	вимагати
iddia	володарі
iddia	припущення
iddia	умовним
iddia	заявляє
iddia	стверджує
okul	школа
okul	училище
doğum	народження
doğum	материнство
doğum	пологовий
kore	корейська
kore	корея
kore	кореї
henüz	ще
aittir	належить
portekiz	португалії
portekiz	португалія
güvenlik	безпека
güvenlik	безпеки
güvenlik	security
güvenlik	безпека
başkenti	капітал
başkenti	столиця
tamamı	ціла
tamamı	усі
tamamı	всі
tamamı	все
tamamı	всіх
tamamı	цілу
tamamı	цілий
tamamı	ціла
hala	тітка
hala	тьотя
hala	still
hala	ще
hala	надалі
hala	досі
orada	туди
orada	там
osman	осман
giriş	вступ
giriş	запис
giriş	входу
giriş	увійти
giriş	вхід
giriş	вступ
giriş	вхідний
giriş	вхідні
giriş	ввід
camii	мечеть
derneği	асоціації
derneği	асоціація
www	www
kuruldu	заснував
kuruldu	засновано
kuruldu	встановлено
kuruldu	подальшому
kuruldu	заснований
kuruldu	встановлені
kuruldu	встановлено
kuruldu	встановлений
dördüncü	четверта
dördüncü	четвертий
dördüncü	четверте
asker	солдат
asker	військові
asker	військовий
idari	адміністрація
idari	адміністрації
idari	адміністрування
idari	адміністративні
idari	адміністративний
idari	адміністративне
süleyman	сулейман
süleyman	соломон
süleyman	соломона
süleyman	сулейман
kaşif	explorer
kaşif	дослідник
taşıyan	курс
taşıyan	несуть
taşıyan	несе
taşıyan	везти
enstitüsü	інститут
hindistan	індію
hindistan	індія
hindistan	індії
değişik	different
değişik	інше
değişik	різні
değişik	різних
değişik	відмінні
erzurum	ерзурум
sonradan	згодом
sonradan	пізніше
sonradan	потому
dini	релігія
dini	релігії
dini	релігійна
dini	релігійні
öğretim	інструкція
öğretim	факультету
öğretim	факультет
öğretim	вчить
öğretim	навчальні
öğretim	навчати
öğretim	викладати
yazı	стаття
yazı	статтю
yazı	написання
yazı	запис
yazı	писати
yazı	запису
yazı	текстовий
yazı	текст
kaynağı	подача
kaynağı	годувати
kaynağı	стрічці
kaynağı	стрічка
kaynağı	подачу
kaynağı	джерело
kaynağı	джерела
star	зоря
star	зірочки
star	зоряні
star	зірка
dikkat	обережно
dikkat	обережні
dikkat	обережним
dikkat	обережними
dikkat	обережніше
dikkat	увага
takip	доріжки
takip	трек
takip	композицію
takip	доріжка
takip	композиція
takip	стежити
takip	слідувати
takip	стежити
takip	стеження
takip	такі
takip	стежать
hak	заслуговують
hak	заслужила
hak	заслужена
hak	заслужив
hak	заслужили
hak	права
izin	off
izin	вимкнено
izin	дозволу
izin	дозвіл
kanalı	канал
kanalı	канал
kanalı	каналом
kanalı	channel
kanalı	каналу
kurulmuş	заснував
kurulmuş	засновано
kurulmuş	встановлено
kurulmuş	подальшому
kurulmuş	заснований
şair	поет
belirli	конкретних
belirli	певне
belirli	конкретні
mahalle	сусідство
mahalle	оточення
mahalle	сусідство
mahalle	сусідства
astronom	астроном
demir	якір
demir	залізний
demir	залізо
demir	залізна
demir	заліза
tıp	ліки
tıp	медицина
tıp	медичних
tıp	медичний
tıp	medical
tıp	медична
tıp	медичні
tasarımı	розробка
bilimsel	наука
bilimsel	науки
bilimsel	науковий
bilimsel	наукових
bilimsel	наукова
profili	профілю
profili	профіль
arka	back
arka	назад
arka	ззаду
arka	повернулася
arka	спина
arka	задній
arka	строю
adalet	справедливість
adalet	правосуддя
eşi	дружині
eşi	дружина
aşk	любов
aşk	кохаю
aşk	кохання
university	університет
gösterir	дисплеї
gösterir	показує
sanayi	industries
sanayi	галузі
sanayi	індустрії
sanayi	галузь
sanayi	галузі
sanayi	індустрія
sanayi	промисловість
sanayi	промислові
sanayi	промислова
sanayi	промисловий
seyirci	аудиторію
seyirci	аудиторія
seyirci	аудиторії
seyirci	глядачі
seyirci	глядачі
seyirci	спостерігачів
seyirci	глядача
seyirci	спостерігач
inç	дюйм
inç	дюймів
inç	дюйми
katalog	каталоги
katalog	каталог
katalog	каталог
moskova	московська
moskova	moscow
moskova	москва
isviçre	швейцарія
isviçre	швейцарії
geçmiş	минулий
geçmiş	минулі
geçmiş	минуле
geçmiş	пройшов
geçmiş	пройдено
geçmiş	передано
geçmiş	перейшов
geçmiş	минули
geçmiş	журнал
geçmiş	історія
geçmiş	історії
erken	рання
erken	рано
erken	раннє
erken	ранній
aktif	задіяно
aktif	активна
aktif	активні
aktif	активне
aktif	активним
aktif	активний
yönelik	орієнтовані
richard	річард
aydın	освічений
aydın	айдин
sarı	блондинка
sarı	білявка
sarı	жовте
sarı	жовтого
sarı	жовті
sarı	жовтий
üretim	продакшн
üretim	виробництво
üretim	продукція
üretim	виробництво
adında	названий
adında	назвали
adında	названо
etkisi	вплив
etkisi	перебіг
etkisi	впливати
etkisi	вплив
etkisi	ефект
müdürlüğü	директорія
stüdyo	студія
stüdyo	студії
stüdyo	studio
stüdyo	студію
stüdyo	майстерні
stüdyo	денне
yeşil	зелене
yeşil	зелені
yeşil	зелений
grand	гран
grand	гранд
grand	grand
ailesi	сімейство
ailesi	сімейний
ailesi	сімейні
ailesi	родина
ortalama	середній
ortalama	середнє
ortalama	середня
ortalama	середнього
sahne	краєвид
sahne	сцени
sahne	сцена
sahne	стадія
insanlar	людини
insanlar	люди
insanlar	народ
insanlar	людей
insanlar	люди
ermeni	вірменська
thomas	томас
thomas	тома
tanrı	божі
tanrı	боже
tanrı	бога
tanrı	бог
tanrı	богу
parçası	частина
din	релігія
din	релігії
din	ад
etkin	ефективний
etkin	ефективна
etkin	ефективно
etkin	ввімкнено
etkin	увімкнено
etkin	активна
etkin	активні
etkin	активне
etkin	активним
etkin	активний
samsun	самсун
mümkün	можливе
mümkün	можливо
mümkün	можлива
metin	текстовий
metin	текст
ilgi	цікавиться
ilgi	зацікавлений
ilgi	зацікавило
ilgi	цікаво
ilgi	цікавить
ilgi	цікавляться
ilgi	відсотки
ilgi	зацікавлення
ilgi	відсоткова
ilgi	інтерес
ilgi	вигода
eğitimi	тренування
eğitimi	тренінг
eğitimi	тренінги
eğitimi	підручник
eğitimi	навчальної
eğitimi	навчання
bilgisayar	computer
sınırları	межі
sınırları	кордони
sınırları	межі
sınırları	кордони
sınırları	границі
sınırları	межі
sınırları	обмеження
özgür	свобода
özgür	вільна
özgür	безкоштовне
özgür	вільний
özgür	безкоштовно
özgür	вільно
parlaklık	світність
parlaklık	яскравість
vokal	vocals
vokal	вокальний
vokal	вокал
demokratik	демократичні
demokratik	демократичний
demokratik	демократична
vb	тощо
vb	etc
svg	svg
seçim	вибір
seçim	вибране
seçim	вибори
seçim	вибір
seçim	актуально
seçim	виберіть
seçim	вибрати
seçim	обрати
seçim	вибори
amerikalı	американський
amerikalı	американець
amerikalı	американські
amerikalı	американська
amerikalı	американської
sistem	система
sistem	системи
sistem	системний
sistem	системне
sistem	системна
sistem	систем
sistem	systems
şimdi	тепер
şimdi	зараз
league	ліга
eyaleti	еялет
amacı	мета
özellikleri	характеристики
özellikleri	атрибути
özellikleri	атрибутів
özellikleri	особливості
özellikleri	можливості
özellikleri	функціональність
özellikleri	властивості
kg	кілограми
kg	кілограмів
kg	грамів
britanya	британія
britanya	британці
britanya	британська
britanya	британські
britanya	british
britanya	англієць
sosyalist	соціалістична
dur	стоп
dur	припинити
dur	зупинки
dur	зупинити
dur	зупинка
dur	зупинитись
seçkin	еліта
seçkin	бувають
mavi	blue
mavi	блакитні
mavi	блакитний
mavi	блакитна
mavi	синій
mavi	сині
sovyetler	радянський
sovyetler	радянська
sovyetler	радянські
işçi	служить
işçi	приймав
işçi	робітника
işçi	робітників
işçi	працівників
işçi	працівники
işçi	робітники
işçi	робітник
işçi	працівник
işçi	трудові
canlı	жити
canlı	live
canlı	наживо
canlı	живу
canlı	трансляція
canlı	живий
canlı	жива
canlı	живим
canlı	alive
fatih	завойовник
fatih	конкістадор
fatih	фатіх
tercih	основний
tercih	бажана
tercih	головна
tercih	бажаний
tercih	вибір
tercih	актуально
kişilik	особистість
olası	можливе
olası	можливо
olası	можлива
olası	можливий
boş	порожнім
boş	порожнє
boş	порожня
boş	порожні
boş	порожній
boş	бланк
boş	порожній
kadınlar	самиць
kadınlar	жінок
kadınlar	жінки
madrid	madrid
madrid	мадрид
diyarbakır	діярбакир
ara	шукати
ara	пошук
ara	дзвінок
ara	зателефонувати
ara	виклик
kullanarak	користування
kullanarak	використання
çıkar	відняти
çıkar	прибрати
çıkar	видалити
çıkar	вилучити
doğrudan	пряма
doğrudan	прямий
doğrudan	direct
doğrudan	прямі
doğrudan	напряму
doğrudan	безпосередньо
birlik	ліга
birlik	united
birlik	юнайтед
birlik	union
birlik	союз
birlik	юніон
birlik	єдність
birlik	юніт
birlik	одиниці
birlik	одиниця
adası	острів
adası	острів
adası	іль
üniversite	університети
üniversite	університет
üniversite	коледж
üniversite	коледжі
üniversite	внз
ismail	ісмаїл
kopyaları	копії
kopyaları	копій
kopyaları	копіює
sıcak	гаряча
sıcak	hot
sıcak	гарячий
sıcak	гаряче
sıcak	гарячі
sıcak	тепло
sıcak	теплі
sıcak	тепла
sıcak	тепліше
kayseri	кайсері
kim	хто
kim	who
kim	kim
kim	кім
fransızca	френч
fransızca	французька
fransızca	французькою
fransızca	французький
alınan	отримано
alınan	отримані
alınan	отриманий
alınan	отримали
alınan	отримала
alınan	taken
alınan	взято
alınan	забрала
alınan	зроблено
man	людина
man	чоловік
man	мужчина
man	man
federasyonu	федерація
bulgaristan	болгарії
bulgaristan	болгарія
saint	святий
saint	saint
saint	сен
uyum	стандарту
uyum	гармонія
uyum	harmony
sağlar	вмикає
sağlar	дозволяє
sağlar	дозволяє
sağlar	допускає
sağlar	надає
sağlar	закладено
sağlar	забезпечує
kutsal	святе
kutsal	священна
kutsal	священні
kutsal	святі
kutsal	святе
kutsal	свята
kutsal	священні
kutsal	святий
meclisi	зборів
meclisi	збори
öncesi	pre
öncesi	пре
öncesi	попередньо
öncesi	перед
öncesi	before
programı	програма
programı	програма
programı	розклад
dağı	гора
dağı	маунт
dağı	монтувати
dağı	монтування
ödül	винагороди
ödül	премія
ödül	нагорода
ödül	нагороди
ödül	призи
ödül	винагороду
ödül	нагорода
resimleri	зображення
resimleri	картинки
resimleri	фоток
komünist	комуністичний
komünist	комуністична
hayat	життя
hayat	лайф
martin	мартін
üye	член
üye	учасник
üye	учасника
üye	члена
üye	вступу
üye	членство
üye	учасники
üye	члени
yapısı	структура
yapısı	структури
sebep	мотив
sebep	причина
sebep	привід
öne	переслати
öne	вперед
öne	пересилання
öne	front
öne	спереду
öne	передні
öne	фронт
öne	передній
öne	рекламувати
öne	boost
evli	одружені
evli	заміжня
evli	одружена
evli	заміж
evli	одружений
doktor	doc
doktor	документ
doktor	док
doktor	лікар
doktor	лікаря
doktor	доктор
doktor	лікарю
popüler	популярні
popüler	популярне
popüler	популярна
popüler	популярний
google	google
google	гаджети
çıkış	вивести
çıkış	вивід
çıkış	виведення
çıkış	висловлювання
çıkış	виводу
çıkış	вихід
çıkış	виходу
çıkış	вихід
çıkış	виходу
çıkış	вийти
kış	зима
macaristan	угорщини
macaristan	угорщині
macaristan	угорщина
macaristan	угорська
macaristan	угорський
taş	камені
taş	камінці
taş	каменів
taş	камінь
taş	stone
taş	стоун
taş	камені
taş	скелі
taş	астероїди
taş	каміння
taş	скелях
taş	скеля
taş	рок
taş	кручі
taş	rock
music	музика
music	музики
music	музик
music	музиці
music	музику
iletişim	комунікація
iletişim	спілкування
iletişim	комунікації
iletişim	контакт
iletişim	контактна
iletişim	комунікацій
attı	кинули
attı	закинув
attı	кинув
attı	кинула
şirket	компанія
şirket	корпоративні
şirket	відділу
özgün	оригінал
özgün	оригінальна
özgün	оригінальне
özgün	початкове
özgün	оригінальний
lütfen	please
lütfen	прошу
net	нетто
net	net
net	чисто
net	очистити
model	модель
model	моделі
louis	людовик
louis	луї
louis	луїс
şiir	вірш
şiir	вірша
şiir	поема
şiir	поезія
şiir	вірші
öğrenci	кадет
öğrenci	студентка
öğrenci	студентська
öğrenci	студент
katılım	приїзд
katılım	accession
katılım	участь
katılım	участі
katılım	участь
üyeleri	учасники
üyeleri	члени
plak	вініл
plak	vinyl
plak	записати
plak	записувати
plak	рекорд
plak	запис
ateş	fire
ateş	вогнем
ateş	вогонь
ateş	пожежа
ateş	гарячка
ateş	жар
ateş	лихоманка
kolay	легка
kolay	легкі
kolay	легко
kolay	легке
etiket	мітка
etiket	позначити
etiket	позначка
etiket	квач
etiket	надпис
etiket	мітку
etiket	напис
etiket	мітка
yayınlandı	опублікований
yayınlandı	оприлюднено
yayınlandı	опубліковано
tarz	жанр
tarz	стиль
angeles	анджелесі
angeles	анджелес
don	дон
onların	своїх
onların	їхньому
onların	свої
onların	їхнє
onların	їхнє
onların	їхня
onların	їхні
onların	їхній
baba	тато
baba	тато
baba	батька
baba	батько
baba	батьку
baba	отець
sorun	запитати
sorun	питати
sorun	запитувати
sorun	попросити
sorun	спитати
sorun	ask
sorun	задача
sorun	проблему
sorun	проблема
sorun	випуск
sorun	видання
sorun	біді
sorun	біда
çanakkale	дарданелли
kızıl	руда
kızıl	багряний
kızıl	джинджер
kızıl	червона
kızıl	ред
kızıl	червоний
kızıl	червоне
kızıl	червоні
kızıl	scarlet
kızıl	червоні
lar	lar
çoğunlukla	здебільшого
çoğunlukla	переважно
erkekler	самці
erkekler	чоловіки
erkekler	хлопці
sonuçlar	результати
sonuçlar	наслідки
sonuçlar	висновки
gölü	озеро
gölü	озера
arapça	арабські
arapça	арабська
koruma	охорони
koruma	енергозбереження
koruma	охоронець
koruma	охоронці
koruma	захист
yapımcı	виготовлено
yapımcı	виробник
yapımcı	продюсер
henry	генрі
henry	генріх
henry	анрі
zor	зор
zor	hard
zor	тяжко
zor	важкий
zor	складна
zor	важка
zor	жорсткий
zor	витривалі
zor	шалена
zor	суворий
zor	важкий
zor	rough
zor	важко
zor	складно
zor	складне
lisans	ліцензію
lisans	ліцензія
lisans	ліцензію
lisans	ліцензія
lisans	ліцензії
lisans	ліцензування
real	реал
real	справжня
real	справжні
real	реальний
real	справжній
zengin	багаті
zengin	багатий
zengin	rich
zengin	багаті
zengin	багатих
ömer	омер
ömer	омар
uzak	far
uzak	далека
uzak	далекий
uzak	далеко
uzak	далеких
uzak	вій
uzak	далекого
uzak	відійшов
uzak	відсутність
uzak	away
uzak	геть
uzak	віддалений
uzak	пульт
uzak	віддалене
belçika	бельгії
belçika	бельгія
konya	конья
time	тайм
time	час
sene	рік
irlanda	ірландія
irlanda	ірландії
polis	коп
polis	поліцейський
polis	поліція
polis	поліцейського
polis	поліцейський
red	червона
red	ред
red	червоний
red	червоне
red	червоні
miktar	сума
miktar	суму
miktar	кількість
mehmed	мехмед
günlük	журнал
günlük	лог
günlük	log
günlük	журнал
günlük	journal
günlük	щоденник
günlük	щоденне
günlük	щоденно
günlük	щодня
günlük	щоденні
günlük	щоденник
onları	їх
onları	їм
onları	комплектів
tarihleri	дати
çizgi	лінія
çizgi	рядок
çizgi	рядка
çizgi	пряма
çizgi	comic
çizgi	комікс
çizgi	мультик
çizgi	мультфільмів
gizli	оголошення
gizli	класифікованих
gizli	таємний
gizli	секретний
gizli	таємна
gizli	таємниця
gizli	таємно
gizli	приховані
gizli	приховано
gizli	сховані
gizli	прихований
müslüman	мусульмани
müslüman	мусульманин
hayvan	звір
hayvan	pet
hayvan	звірі
hayvan	тварини
hayvan	тварини
hayvan	тварина
hayvan	animal
soğuk	дедалі
soğuk	шиї
soğuk	холодні
soğuk	холодна
soğuk	холод
soğuk	холодно
soğuk	холодний
çevre	середовища
çevre	середовище
çevre	довкілля
çevre	екологічна
çevre	місцевість
kültürel	культурний
kültürel	культурні
kurdu	вовк
medya	медіа
medya	носії
medya	носій
medya	мультимедіа
medya	змі
işgal	вторгнення
işgal	окупаційні
işgal	окупація
işgal	окупації
birisi	кимось
birisi	когось
birisi	хтось
birisi	кимось
birisi	когось
birisi	хтось
yapar	робить
kaliforniya	каліфорнію
kaliforniya	california
kaliforniya	каліфорнія
projesi	project
projesi	проект
nedeni	мотив
nedeni	причина
nedeni	привід
nedeni	спричинити
nedeni	причина
nedeni	причиною
national	національна
national	націонал
national	національне
national	національний
national	національні
anlam	сенс
anlam	значення
show	показати
show	шоу
show	показувати
show	show
kararı	рішенням
kararı	рішення
proje	project
proje	проект
proje	проекти
proje	проектів
satın	купити
satın	придбати
satın	покупка
satın	придбання
satın	покупку
satın	купити
satın	придбати
yazım	правопису
yazım	правопис
kamu	публічний
kamu	громадське
kamu	паблік
kamu	відкритий
kamu	публічна
kamu	громадського
kişiler	осіб
kişiler	особи
kişiler	народ
kişiler	людей
kişiler	люди
kişiler	контакти
uydu	супутник
uydu	сб
uydu	сидячи
uydu	сіли
uydu	сидів
uydu	sat
hangi	какой
hangi	який
hangi	які
hangi	яке
hangi	яка
meclis	парламент
meclis	конгрес
meclis	конгресу
başarı	досягнення
başarı	успіх
basit	просту
basit	простий
basit	проста
basit	прості
basit	просте
kaynaklar	джерела
kaynaklar	джерел
kaynaklar	виконавців
kaynaklar	виконавці
kaynaklar	ресурси
press	преса
press	натиснути
press	прес
press	press
uss	uss
gümüş	срібла
gümüş	срібло
gümüş	silver
gümüş	срібний
cumhurbaşkanı	президент
cumhurbaşkanı	президенти
windows	вікон
windows	windows
windows	вікна
tanımlamak	визначення
alındı	отримано
alındı	отримані
alındı	отриманий
alındı	отримали
alındı	отримала
alındı	taken
alındı	взято
alındı	забрала
alındı	зроблено
kurtuluş	визволення
kurtuluş	звільнення
kurtuluş	спасіння
life	життя
life	лайф
parça	шматок
parça	шматок
parça	інсталяція
parça	фігуру
opera	opera
opera	опера
opera	опер
kan	кров
kan	blood
kan	кан
kan	kan
bazıları	дехто
bazıları	деякі
bazıları	якесь
bazıları	якийсь
bazıları	трохи
fiziksel	фізична
fiziksel	фізичні
fiziksel	фізичне
silahlı	озброєний
silahlı	озброєні
silahlı	збройних
prof	prof
prof	проф
prof	доцент
gazete	газета
gazete	газетах
gazete	газети
gazete	папір
imparator	імператор
gitti	зник
gitti	зникли
gitti	зникла
tahmin	оцінки
tahmin	оцінка
tahmin	guess
tahmin	вгадати
tahmin	орієнтовний
tahmin	приблизна
tahmin	передбачення
tahmin	прогноз
sınıfı	класом
sınıfı	класі
hükümet	правління
hükümet	уряд
içerir	містить
içerir	містяться
içerir	включення
içerir	входить
içerir	включає
boyu	висота
boyu	тривалість
boyu	довжина
boyu	довжини
boyu	розмір
west	захід
west	вест
aşağı	вниз
aşağı	down
aşağı	униз
aşağı	даун
aşağı	нижче
aşağı	знизу
aşağı	нижній
aşağı	опустити
aşağı	нижня
aşağı	нижча
belki	maybe
belki	можливо
defans	захисник
defans	оборона
defans	захист
defans	оборони
defans	захист
defans	оборону
yardımcısı	asst
yardımcısı	помічники
yardımcısı	помічника
yardımcısı	помічник
yardımcısı	депутат
yardımcısı	заступник
yardımcısı	віце
yardımcısı	заступник
adaları	острови
sırasıyla	відповідно
olimpiyatları	олімпіада
olimpiyatları	олімпіада
olimpiyatları	іграх
mcg	mcg
almanca	німецька
almanca	німець
almanca	герман
almanca	німецькою
almanca	німецький
balıkesir	баликесір
giden	вихідний
giden	вихідні
özerk	автономна
özerk	автономний
neredeyse	майже
records	рекорди
records	records
records	платівки
washington	washington
washington	вашингтон
washington	вашингтона
araya	єднайтеся
yüz	плавати
yüz	лицевий
yüz	обличчя
yüz	обличчям
yüz	face
cd	диски
del	дель
del	del
adi	аді
çözünürlük	resolution
ad	назва
araç	автомобілем
araç	машина
araç	авто
araç	автомобіль
araç	засіб
araç	інструмент
araç	автомобіль
araç	апарат
birden	раптово
birden	раптом
birden	несподівано
birden	зненацька
american	американський
american	американець
american	американські
american	американська
american	американської
direktör	режисер
direktör	директор
katkıda	вклад
katkıda	внесок
olumlu	позитивне
olumlu	позитивні
olumlu	позитивний
olumlu	позитивно
olumlu	позитив
olumlu	позитиву
olumlu	підтверджую
fizik	фізика
abdullah	абдулла
anne	матуся
anne	маму
anne	матуся
anne	мамо
anne	мама
anne	матір
anne	мати
anne	матері
anne	мама
orhan	орхан
katılan	участь
katılan	присутній
katılan	відвідали
katılan	приєднався
katılan	долучився
katılan	приєдналися
katılan	приєднується
katılan	приєдналася
ispanyol	іспанця
ispanyol	іспанською
ispanyol	іспанської
ispanyol	іспанська
ansiklopedik	енциклопедичний
bitki	рослини
bitki	заводи
bitki	завод
bitki	рослини
bitki	садити
bitki	рослина
bitki	герб
bitki	трава
sert	шалена
sert	суворий
sert	важкий
sert	rough
sert	hard
sert	тяжко
sert	важкий
sert	складна
sert	важка
sert	жорсткий
sert	витривалі
sert	круті
sert	примхи
sert	жорсткі
sert	суворий
değeri	значення
değeri	вартість
imdb	imdb
eskişehir	ескішехір
akademisi	академія
akademisi	академії
yorum	коментар
yorum	коментувати
yorum	прокоментувати
yorum	commentary
yorum	коментарях
yorum	коментарів
yorum	коментарі
ahmed	ахмед
ahmed	ахмад
karakter	характер
karakter	символів
karakter	персонаж
karakter	символ
karakter	символів
karakter	персонажі
karakter	ієрогліфи
karakter	літери
karakter	символи
joseph	джозеф
joseph	йосип
joseph	жозеф
joseph	йозеф
hataları	помилки
mimar	архітектор
idare	адміністрація
idare	адміністрації
idare	адміністрування
aktör	актор
meksika	мексиканська
meksika	мексиканський
meksika	мексики
meksika	мексиці
meksika	мексика
ince	тонкий
ince	slim
ince	струнка
ince	тонка
ince	тонкі
ince	тонкий
ince	струнка
yusuf	юсуф
yusuf	джозеф
yusuf	йосип
yusuf	жозеф
yusuf	йозеф
yusuf	юсеф
amaçlı	призначений
amaçlı	розміщені
amaçlı	призначено
ciddi	серйозне
ciddi	серйозно
ciddi	серйозні
ciddi	серйозна
ciddi	серйозний
silah	зброя
silah	зброю
silah	зброєю
silah	зброя
silah	рушниця
silah	гармата
silah	пістолет
silah	зброї
silah	зброя
silah	зброю
ceza	пенальті
ceza	штраф
ceza	покарання
ceza	затримання
ceza	утримання
ceza	речення
ceza	вирок
özelliği	можливість
şampiyonlar	чемпіони
muhtemelen	ймовірно
muhtemelen	орієнтовно
başbakan	premier
başbakan	вищому
des	des
des	дез
ukrayna	україна
ukrayna	україні
gençlik	молодість
gençlik	юнацтва
gençlik	юність
gençlik	молодь
jackson	джексон
saldırı	приступ
saldırı	атакує
saldırı	напади
saldırı	атаки
saldırı	наступ
saldırı	напад
saldırı	атака
saldırı	атаки
saldırı	десант
saldırı	напад
terk	залиште
terk	leave
terk	залишити
terk	відмовитися
terk	скидання
terk	дамп
play	відтворити
play	грати
play	програти
sorumlu	відповідальний
sorumlu	відповідальна
kaya	камені
kaya	скелі
kaya	астероїди
kaya	каміння
kaya	скелях
kaya	скеля
kaya	рок
kaya	кручі
kaya	rock
sivil	цивільно
sivil	цивільний
sivil	громадянська
sivil	цивільних
sivil	цивільних
sivil	цивільний
getirildi	привезли
getirildi	принесли
getirildi	приніс
kayıt	зареєструватись
kayıt	зареєструвати
kayıt	регістр
kayıt	реєстрація
kayıt	запис
kayıt	записати
kayıt	записувати
kayıt	рекорд
kayıt	запис
kayıt	реєстрація
içerik	контент
içerik	вміст
içerik	зміст
içerik	матеріали
içerik	вміст
içerik	зміст
içerik	контекст
içerik	контексту
besteci	композитор
besteci	редактор
topluluğu	хоткевича
topluluğu	ансамбль
piyade	піхота
nobel	нобелівської
konseyi	рада
konseyi	ради
dağ	гірський
dağ	гора
dağ	гірська
dağ	гори
ölçüde	міри
dağılımı	розподіл
valign	valign
yan	янь
yan	спалити
yan	записати
yan	burn
yan	збоку
yan	сторона
yan	бічна
yan	бік
yan	сторони
elektronik	електроніка
elektronik	електронне
elektronik	електронні
elektronik	електроніка
elektronik	електронна
elektronik	електронний
amatör	аматори
amatör	аматорів
amatör	аматорського
amatör	аматорський
amatör	аматор
sekiz	вісім
sekiz	вісімки
yemek	ланч
yemek	обід
yemek	харчування
yemek	їжа
yemek	задача
yemek	обід
yemek	вечеря
yemek	вечерю
yemek	блюдо
yemek	страва
yemek	борошно
org	org
org	орган
motor	рушій
motor	двигун
motor	бойовики
motor	дії
motor	дія
motor	велосипед
motor	велосипедом
motor	мотоцикл
motor	мото
motor	мотор
dans	танці
dans	танцюй
dans	танець
dans	танцювальна
dans	танок
dans	танці
dans	танці
yaşar	життів
yaşar	живе
standart	стандартний
standart	стандарт
standart	стандартна
standart	стандартне
sarmal	спіраль
sarmal	слимак
sarmal	спіраль
international	міжнародний
international	міжнародна
international	міжнародні
international	інтернаціонал
international	міжнародне
orman	лісі
orman	ліси
