دهقان	peasant
سافت	மென்மையான
سافت	மென்மை
ولد	வெல்ட்
مدلهای	மாடல்கள்
فارو	ஃபாரோ
لوور	லூவர்
کیان	கியான்
مجرم	கிரிமினல்
مجرم	குற்றவியல்
مجرم	குற்ற
مجرم	குற்றம்
مجرم	குற்றவாளிகள்
مجرم	குற்றவாளி
دربرگیرنده	உள்ளடக்கிய
مست	குடித்து
مست	குடித்துவிட்டு
درو	ட்ரூ
فیسبوک	பேஸ்புக்
فیسبوک	முகநூல்
فیسبوک	ஃபேஸ்புக்
فیسبوک	facebook
طرفداری	வரங்கள்
الا	எல்ல
الا	ella
الا	ஆலா
شرلی	ஷிர்லி
فریزر	ஃப்ரேசர்
داگ	டக்
قلیایی	உலோகம்
قلیایی	மெட்டல்
قلیایی	உலோகங்கள்
تاک	டக்
تاک	tak
میهمان	விருந்தினர்
میهمان	விருந்தாளி
میهمان	விருந்தினராக
میهمان	விருந்தினர்கள்
میهمان	விருந்தினர்
روسو	ரூசோ
روسو	உரூசோ
بیسائو	பிசாவு
مالکوم	மால்கம்
مالکوم	malcolm
عدل	நியாயம்
عدل	நீதி
والا	அதிகம்
والا	அதிக
والا	அதிகமான
والا	உயர்
والا	உயர்ந்த
والا	கம்பீரமாக
مشعل	டார்ச்
مشعل	பந்தம்
غذاها	உணவுகள்
توسل	முறையீடு
توسل	மேல்முறையீடு
قفقازی	காக்கேசிய
آسایش	ஆறுதல்
آسایش	வசதி
رویای	கனவு
رویای	கனவில்
مارین	மரின்
مارین	கடல்
سواران	ரைடர்ஸ்
استرلینگ	ஸ்டெர்லிங்
استرلینگ	ஸ்டேர்லிங்
استقامت	நோயாளி
طویل	நீளமானது
کاست	ஜாதி
کاست	சாதி
کاست	பேழை
جکی	ஜாக்கி
کتابها	நூல்கள்
کتابها	புத்தகங்கள்
دهانی	வாய்வழி
خاله	அத்தை
خاله	அத்தை
نینا	நினா
آذرخش	போல்ட்
آذرخش	bolt
آذرخش	மின்னல்
تجارب	அனுபவங்கள்
ترینیتی	டிரினிட்டி
فتنه	துன்புறுத்தல்
فتنه	சலனம்
مدونا	மடோனா
کثیف	அழுக்கு
مسجدی	பள்ளிவாசல்
مسجدی	மசூதி
استانداردها	தரநிலைகளை
استانداردها	தரநிலைகளைப்
استانداردها	தரநிலைகள்
آفرین	சபாஷ்
آفرین	பிராவோ
متروپولیتن	metropolitan
سالوادور	சல்வடோர்
شفیع	ஷாபி
جدال	சர்ச்சை
جدال	சர்ச்சைகள்
جدال	புகாரை
جدال	தகராறு
جدال	தர்க்கம்
طبقاتی	வகுப்பு
اشلی	ஆஷ்லே
کشمکش	போராடிக்
کشمکش	போராடி
کشمکش	போராட்டம்
کشمکش	முரண்பாடு
کشمکش	குழப்பம்
کشمکش	குழப்பங்கள்
جابز	வேலைகள்
جابز	தொழில்கள்
جابز	வேலைவாய்ப்புகள்
جابز	பணிகள்
نورپردازی	மின்னல்
نورپردازی	விளக்கில்
واحدها	அலகுகள்
تامپسون	தாம்சன்
نیوتون	நியூட்டன்
یکپارچگی	ஒருங்கிணைப்பு
تخلص	புனைபெயர்
دیگ	பானை
دیگ	தொட்டிகள்
نمکی	உப்பு
جریانی	ஓடை
جریانی	ஸ்ட்ரீம்
فوربز	ஃபோர்ப்ஸ்
همتا	பீர்
مهلت	அவகாசம்
درمانگاه	கிளினிக்
درمانگاه	மருத்துவமனை
سرامیک	செராமிக்
کرالا	கேரளா
کرالا	கேரளம்
کرالا	கேரள
زیرزمین	நிலத்தடி
زیرزمین	அடித்தள
عقرب	விருச்சிகம்
عقرب	தேள்
رایس	நெல்
رایس	சாதம்
رایس	அரிசி
رایس	சோறு
ولگا	வோல்கா
آمارهای	புள்ளிவிவரம்
آمارهای	புள்ளியியல்
بیندازید	எறிந்து
تریسی	ட்ரேசி
لمور	லெமூர்
بون	பாண்
سوزنی	அக்குபஞ்சர்
تسلیت	இரங்கல்கள்
تسلیت	இரங்கல்
مجارستانی	ஹங்கேரிய
مجارستانی	ஹங்கேரியன்
دعوا	போராடும்
دعوا	சண்டையிடும்
دعوا	சண்டை
دعوا	போராடுகிறது
صدیقی	சித்திக்
مرموز	ஆன்மிக
جولیان	ஜூலியன்
متا	மெட்டா
اسپرینگز	இருப்பார்கள்
اکسپلورر	துருவி
سرگردان	அலைந்து
خدیجه	கதீஜா
پذیرفتن	ஏற்பு
نشنال	தேசிய
نشنال	தேசியக்
تریس	tris
شیره	சிரப்
باتیستا	பாடிஸ்டா
باتیستا	battista
فدایی	இழப்பீடு
سیرک	சர்க்கஸ்
نشت	கசிவு
نشت	effusion
گریم	ஒப்பனை
دیود	இருமுனையம்
بنک	வங்கிகள்
بنک	வங்கி
ولید	வலீத்
پنی	பென்னி
اوبونتو	உபுண்டு
دوحه	தோஹா
مادرزادی	குறை
کارگزاران	நிர்வாகிகளும்
شبی	இரவில்
شبی	இரவும்
شبی	இரவு
خریدار	வாங்குபவர்
خریدار	வாங்குதல்
خریدار	வாங்கு
خریدار	வாங்குதல்
خریدار	வாங்கும்
خریدار	வாங்கியது
خریدار	வாங்கியுள்ளார்
نیچه	நீட்சே
فنول	பீனால்
برگی	இலை
نگارگری	ஸ்நானம்
نگارگری	ஞானஸ்நானம்
ترمز	பிரேக்
ایستا	அசையாத
پائول	பால்
دالی	டாலி
دالی	டோலி
تورینگن	thuringia
کلانتر	ஷெரீஃப்
یهودا	யூதாசு
یهودا	யூதா
پنگوئن	பெங்குயின்
سیلیکون	சிலிகான்
سیلیکون	திடமான
سیلیکون	சிலிக்கான்
ستوان	லெப்டினன்ட்
ادیسون	எடிசன்
رودولف	ருடால்ப்
رودولف	ருடோல்ப்
ایوب	பணியை
ایوب	வேலை
ایوب	பணி
ایوب	அயூப்
گودال	துளை
گودال	ஓட்டை
گودال	புதைகுழி
برنزی	வெண்கல
وا	வாஹ்
خلاق	உபயோகமான
خلاق	படைப்பு
خیبر	கைபர்
انسداد	அனுமதி
آشپزخانه	சமையலறை
کارمن	கார்மென்
سیرا	சியரா
هوس	ஆசையை
هوس	ஆசை
دوما	இரண்டாவதாக
دوما	டூமா
کلاهک	cap
کلاهک	தொப்பி
کلاهک	பேலோட்
سفینه	கப்பல்
عناصری	உறுப்புகள்
سرکه	வினிகர்
جانز	ஜான்ஸ்
مانه	மனே
سکو	பிளாட்பார்ம்
سکو	தளம்
کود	உரம்
کود	உரம்
لوسیا	லூசியா
عروسکی	பொம்மையை
عروسکی	பொம்மை
خویی	கொய்
پناهی	அடைக்கலம்
پناهی	புகலிடம்
لاری	லாரி
پافشاری	persistence
قطعیت	நிச்சயமற்ற
سرطانی	கடகம்
سرطانی	புற்றுநோய்
پیل	பீல்
گردشی	displacement
دیپلماسی	சாதுரியம்
تیروئید	தைராய்டு
کاردیف	கார்டிஃப்
ژوزه	ஜோஸ்
آدلاید	அடிலெய்ட்
هیمالیا	இமயமலை
هیمالیا	இமாலய
سینگ	சிங்கார
سینگ	சிங்கை
سینگ	சிங்
بازاری	மார்க்கெட்
بازاری	சந்தை
دیون	டியான்
کوانتوم	குவாண்டம்
عمدی	வேண்டுமென்றே
چرم	தோல்
چرم	லெதர்
مهد	தொட்டில்
اجساد	உடல்கள்
اجساد	பிணங்கள்
ریچاردسون	ரிச்சர்ட்சன்
نورون	நரம்பணு
کششی	tensile
هیون	ஹியுன்
هیون	புகலிடமாக
ساندویچ	சாண்ட்விச்
مرشد	ஆசான்
طلسم	வசீகரம்
میگل	மிகுவல்
دانشگاههای	பல்கலைக்கழகங்கள்
عادلانه	நியாயமா
عادلانه	கண்காட்சி
عادلانه	நியாயமாக
عادلانه	நியாயம்
روشنفکری	அறிவுசார்
زکریا	செக்கரியா
ارغوانی	ஊதா
مجیدی	மசிதி
پارکینگ	பார்க்கிங்
قنطورس	செண்டாரி
خلوت	தனியார்
خلوت	தனிப்பட்ட
خلوت	தனிப்பட்டது
خلوت	தனி
خلوت	தனிப்பட்டதாக
خلوت	அந்தரங்கம்
خلوت	தனியுரிமை
اپراتور	ஆபரேட்டர்
اشتیاق	மோகம்
اشتیاق	உற்சாகத்துடன்
اشتیاق	உற்சாகத்தை
سامورایی	சாமுராய்
تون	டோன்
تفاسیر	commentaries
آنهالت	anhalt
رگ	reg
رگ	நரம்பு
پرز	பெரேஸ்
ویلیس	வில்லிஸ்
نوترون	மதிப்பீட்டாளர்
نوترون	நொதுமி
پلکان	காட்
پلکان	படிக்கட்டு
خادم	பாதுகாவலர்
لحظات	moments
لحظات	தருணங்கள்
لحظات	கணங்கள்
لحظات	தருணங்களை
خلأ	வெற்றிடம்
خیار	வெள்ளரிக்காய்
خیار	வெள்ளரி
امت	சமயம்
امت	சமுதாய
امت	சமுதாயம்
امت	சமூகம்
لیزا	லிசா
گوشتی	இறைச்சி
گوشتی	சதை
پاکستانی	பாகிஸ்தானி
پاکستانی	பாகிஸ்தான்
سراج	சிராஜ்
قضات	நீதிபதிகள்
کاشته	நடப்பட்ட
قاشق	கரண்டி
قاشق	கரண்டி
دیکتاتور	சர்வாதிகாரி
چاره	திடமான
چاره	கரைசல்
چاره	தீர்வு
بخاری	புகாரி
اورانوس	யுரேனஸ்
چن	சென்
آمریکن	அமெரிக்கன்
آمریکن	அமெரிக்கர்
آمریکن	அமெரிக்க
طبی	கஞ்சா
طبی	மருத்துவம்
طبی	மருத்துவ
امشب	இன்றி
امشب	இன்றிரவு
بطلمیوس	தொலெமி
توازن	சமநிலை
توازن	மீதம்
توازن	balance
توازن	மீதி
توازن	இருப்பு
برادوی	பிராட்வே
ویس	ஆகியவை
امیلیا	எமிலியா
امیلیا	அமெலியா
فنیل	பீனைல்
کارنگی	கார்னிகி
زبانها	மொழிகள்
تابوت	சவப்பெட்டியில்
تابوت	சவப்பெட்டி
ترانس	trans
آرتمیس	ஆர்ட்டெமிஸ்
پک	peck
پک	pac
پک	மூட்டை
پک	பேக்
تفسیری	வர்ணனை
عذاب	வேதனையை
نقاب	முகமூடி
رنگارنگ	வண்ணமயமான
اولیور	ஆலிவர்
انتساب	ஒதுக்கு
دومینیک	டோமினிக்
فردریش	பிரீட்ரிக்
اوون	ஓவன்
پروتئینی	புரதம்
چانگ	சாங்
چانگ	சுங்
الفبایی	அகரவரிசைப்படி
سلتیک	செல்டிக்
صهیونیسم	zionism
آلو	பிளம்
آلو	ஆலோ
آلو	கற்றாழை
آلو	அலோ
چیس	சேஸ்
خلاء	வெற்றிடம்
ثانوی	இரண்டாம்
ثانوی	இரண்டாவது
ادواردو	eduardo
مارتن	மார்டின்
مارتن	மார்ட்டின்
مای	mai
آیزاک	ஐசக்
تلف	கழிவு
آلان	ஆலன்
آلان	ஆலன்
آلان	அலன்
کجای	எங்கே
کجای	எங்கு
کینه	வெறுப்பை
کینه	வெறுப்பு
زیرگونه	subspecies
نیمکره	அரைக்கோளம்
حکاکی	கல்வெட்டு
حکاکی	சிற்பம்
رقصنده	dancer
نش	நாஷ்
مکانهای	இருப்பிடங்கள்
مکانهای	இடங்கள்
ماکسیمیلیان	மாக்சிமிலியன்
سوزاندن	பழுப்பு
سوزاندن	எழுது
سوزاندن	எரியும்
سوزاندن	எழுதுதல்
سوزاندن	எழுதும்
مارمولک	பல்லி
کنایه	கிண்டல்
کلم	முட்டைக்கோஸ்
امگا	ஒமேகா
زنانی	பெண்களுக்கு
زنانی	பெண்களாக
زنانی	பெண்கள்
دونده	ரன்னர்
دونده	ஓட்டம்
ماکیان	கோழி
ماکیان	சிக்னசு
متغیرها	மாறி
متغیرها	மாறிகள்
متغیرها	மாறிகள்
خار	முட்கள்
بغدادی	பக்தாதி
شارجه	ஷார்ஜா
پیران	பிரான்
چینگ	ching
جرالد	ஜெரால்ட்
بخشش	கருணை
بخشش	ரஹ்மத்
بخشش	மன்னிப்பை
بخشش	மன்னிப்பு
بخشش	பெருந்தன்மை
کاربردها	நிரல்கள்
کاربردها	விண்ணப்பங்கள்
کاربردها	பயன்பாடுகள்
مبنا	தளம்
مبنا	பேஸ்
مبنا	அடிப்படை
فلوت	புல்லாங்குழல்
ادو	எடோ
ادو	edu
اتاقی	அறை
اتاقی	அறையை
اتاقی	ரூம்
مرزها	எல்லைகள்
مرزها	ஓரங்கள்
بوهم	bohemia
گذرنامه	பாஸ்போர்ட்
گذرنامه	கடவுச்சீட்டு
شهابی	meteor
موسیقیدان	இசையமைப்பாளர்
موسیقیدان	இசைக்கலைஞர்
هیوز	ஹியூக்ஸ்
تخیل	கற்பனை
تقلیل	குறைப்பு
تقلیل	குறைத்தல்
دومینیکا	டொமினிக்கா
چیا	சியா
ساماندهی	bookkeeping
بردگی	அடிமைத்தனம்
هنریک	ஹென்ரிக்
خراج	அஞ்சலி
اپوزیسیون	எதிர்ப்பு
لاستیک	குமிழிகள்
لاستیک	ரப்பர்
لاستیک	டயர்
گرفتگی	கிரகணம்
دامپزشکی	vet
مینگ	மிங்
پتی	புட்டு
بازدیدکنندگان	பார்வையாளர்கள்
آلبر	ஆல்பர்ட்
آلبر	அல்பர்ட்
آصف	ஆசிப்
دات	டாட்
دات	dot
گذشتن	கடந்து
مقصر	குற்றவாளி
گوته	கேத்தா
ناخدا	கேப்டன்
درخشندگی	சுடரொளி
مخلوطی	கலவை
سار	சரக்கிளி
ساید	சித்
متان	மீத்தேன்
گرانادا	கிரனாடா
استثنا	விதிவிலக்கு
آمین	ஆமென்
اصطکاک	உரசல்
گامبیا	கம்பியா
سوماترا	சுமத்ரா
کوزه	ஜார்
کوزه	ஜாடிகள்
دوزخ	நரகம்
دروغین	பொய்
دروغین	பொய்யான
دروغین	தவறு
گالیله	கலிலியோ
الکسی	அலெக்சி
هاو	howe
مارتینز	மார்டினெஸ்
پروفایل	சுயவிவரத்தை
پروفایل	சுயவிவரம்
تسریع	முடுக்கம்
شربت	பழச்சாறு
شربت	ஜூஸ்
شربت	சிரப்
الوار	பிளாங்
میوسن	miocene
ولوو	வோல்வோ
سیگما	சிக்மா
برک	பர்க்
آبجو	பியர்
آبجو	பீர்
شیردهی	தாய்ப்பால்
بطری	பாட்டில்கள்
بطری	பாட்டில்
بطری	bottle
کلئوپاترا	கிளியோபாட்ரா
ذغال	நிலக்கரி
ذغال	கசடு
مفعول	பொருள்
مفعول	கீழே
مفعول	கீழ்
مفعول	கீழ
کرمی	புழு
اروین	எர்வின்
اروین	இர்வின்
ضربان	பல்ஸ்
آیینه	மிரர்
آیینه	கண்ணாடி
خودت	நீங்களே
خودت	உங்களை
خودت	நீயே
حلزون	நத்தை
فاسد	ஊழல்
فاسد	அழுகிய
فاسد	சீர்கேடு
نسرین	நசுரீன்
ابرها	மேகங்கள்
نویسه	char
نویسه	எழுத்து
نویسه	எழுத்துக்கள்
نویسه	எழுத்துகள்
نویسه	கதாபாத்திரங்கள்
چسب	பசை
سیلویا	சில்வியா
شناختن	அங்கீகரித்து
ژاندارمری	gendarmerie
اویلر	ஆய்லர்
تعویق	தவிர்க்க
لفظی	மதிப்புறு
کلینیک	கிளினிக்
کلینیک	மருத்துவமனை
پیشگویی	தீர்க்கதரிசனம்
قولی	சத்தியம்
قولی	வாக்குறுதி
مردانی	ஆண்கள்
مردانی	ஆண்
مردانی	ஆண்களிடம்
آریل	ஏரியல்
لینچ	லிஞ்ச்
پیشنهادهای	ஆலோசனைகள்
پیشنهادهای	பரிந்துரைகள்
پیشنهادهای	வேண்டப்படுகிறது
شیرهای	லயன்ஸ்
شیرهای	சிங்கங்கள்
ترامپ	டிரம்ப்
خردمند	அறிவார்ந்த
معاینه	பரீட்சை
ساسان	சாசன்
هضم	செரிமானத்தை
هضم	கொத்து
جنگها	போர்கள்
دجله	tigris
پالایه	அலங்காரம்
پالایه	வடிகட்டி
پالایه	வடிகட்டு
بالگردگاه	blm
آنتیگوا	ஆன்டிகுவா
استیونز	ஸ்டீவன்ஸ்
مگی	மேகி
میگوید	சொல்கிறார்
میگوید	என்கிறார்கள்
میگوید	என்கிறார்
میگوید	சொல்கிறது
خاویر	சேவியர்
مازاد	உபரி
مازاد	அதிகப்படியான
ورشکستگی	திவால்
لیام	லியாம்
داکوتا	டகோட்டா
کپلر	கெப்லர்
کانارا	கன்னட
کانارا	கன்னடம்
فواید	பொதுநலக்
فواید	பலன்கள்
فواید	நன்மைகள்
دهها	டஜன்
دنور	டென்வர்
رودها	ஸ்ட்ரீம்கள்
رودها	நதிகள்
رودها	ஆறுகள்
کامپایل	compile
آمینو	அமினோ
شال	சால்வை
روت	ரூத்
خوشی	ஆனந்தம்
خوشی	மகிழ்ச்சி
خوشی	மகிழ்ச்சியை
خوشی	சந்தோசம்
مورچه	எறும்பு
مورچه	எறும்புகளை
مورچه	எறும்புகள்
کاکس	காக்ஸ்
چستر	செஸ்டர்
اختر	அக்தர்
ناز	நாஸ்
ناز	அழகு
ناز	பேரின்பம்
باغچه	தோட்டத்தில்
باغچه	தோட்டம்
جوانه	முளை
فاینال	இறுதியான
فاینال	இறுதி
الکساندرا	அலெக்ஸாண்ட்ரா
میسون	மேசன்
افزونه	விரிவாக்கம்
همگرایی	convergence
رژه	அணிவகுப்பு
رژه	அணிவகுப்பில்
ساندرا	சாண்ட்ரா
اخیرا	சமீபத்தில்
اخیرا	அண்மையில்
اخیرا	சமீபத்தில்
زهر	விஷத்தை
زهر	நஞ்சு
زهر	விஷம்
روبین	ராபின்
اکتشافات	கண்டுபிடிப்புகள்
آوا	அவா
چان	சான்
شقایق	சாமந்தி
تاجیکی	தாஜிக்
تمسخر	பரிகாசம்
موز	வாழை
موز	வாழைப்பழம்
موز	வாழைப்பழங்கள்
اندوه	துயரம்
اندوه	வருத்தத்தை
اندوه	சோகம்
اندوه	சோகத்தை
آیندهوون	ஐந்தோவன்
رونالدو	ரொனால்டோ
هنرمندی	கலைஞர்
هنرمندی	கலைஞன்
هنرمندی	ஓவியர்
آریان	ஆரிய
آریان	ஆரியன்
آریان	ஆரியர்
نیمروز	மதியம்
نیمروز	நண்பகல்
نابینا	குருட்டு
آماتور	அமெச்சூர்
فوراً	உடனே
فوراً	உடனடியாக
توالت	கழிவறை
توالت	கழிப்பறை
آنجلو	ஆஞ்சலோ
آرین	ஆரிய
آرین	ஆரியன்
آرین	ஆரியர்
تورنمنت	போட்டி
هیچکس	யாருமே
هیچکس	யாரும்
هیچکس	யாருமில்லை
هیچکس	எவரும்
لاهور	லாகூர்
اتاقک	cockpit
مکالمه	உரையாடல்
کیس	கேஸ்
کیس	வழக்கு
کهکشانی	பெரும
جرارد	gerard
مختل	disrupt
مسموم	உணவான
مسموم	நஞ்சு
مسموم	விஷம்
ماین	பிரதான
ماین	முதன்மை
ماین	முக்கிய
ماین	maine
کارزار	யுத்த
کارزار	போரில்
کارزار	போர்க்களம்
کارزار	சண்டை
هلیم	ஹீலியம்
خریداران	வாங்குபவர்கள்
اهانت	அவமதிப்பு
همخوان	கோரஸ்
همخوان	மெய்
امپریالیسم	பேரரசுவாதம்
میهنی	நாட்டுப்பற்று
کلینت	கிளின்ட்
بوروندی	புருண்டி
آندریا	ஆண்ட்ரியா
دوون	டெவோன்
شارون	ஷரோன்
شارون	சரோன்
نیوپورت	நியூபோர்ட்
تونگا	டோங்கா
خورخه	ஜோர்ஜ்
اندروز	ஆன்ட்ரூஸ்
پالمر	பால்மர்
هپاتیت	ஹெபடைடிஸ்
مناسک	சடங்குகள்
تظاهر	பாசாங்கு
تظاهر	பாசாங்கு
پلاس	பிளஸ்
پلاس	ப்ளஸ்
اکرم	அக்ரம்
امانت	வழங்கப்படும்
امانت	சீர்மை
گومز	கோம்ஸ்
گومز	கோமஸ்
ورماخت	wehrmacht
نوئل	நோயல்
عطا	ata
سنترال	சென்ட்ரல்
سنترال	மத்திய
هایک	ஹெய்க்
هایک	கையக்
وینستون	வின்ஸ்டன்
هوکایدو	ஹொக்கைடோ
تانگ	டாங்
خالدار	காணப்பட்டது
ساکت	அமைதியான
ساکت	மௌனமாக
کلوب	மன்றம்
کلوب	கிளப்
طرحهای	டிசைன்கள்
دلا	டெல்லா
صباح	சபா
فشنگ	புல்லட்
فشنگ	தோட்டா
گون	கோன்
هلنا	ஹெலெனா
افعال	வினைச்சொற்கள்
ادوبی	அடோப்
شری	ஷெர்ரி
بازخورد	பின்னூட்டம்
بازخورد	கருத்து
جویس	ஜாய்ஸ்
انسولین	இன்சுலின்
گوری	குரிசில்
مؤمن	நம்பிக்கை
مؤمن	நம்பிக்கையாக
مؤمن	ஈமான்
آستون	ஆஸ்டன்
ماندگاری	persistence
یاکوب	jakob
یاکوب	யாக்கோபு
یاکوب	ஜேக்கப்
مدیسون	மேடிசன்
جاوااسکریپت	javascript
جاوااسکریپت	ஜாவாஸ்கிரிப்ட்
فای	ஃபே
بلفاست	பெல்ஃபாஸ்ட்
قیچی	கத்தரிக்கோல்
چاقی	பருமன்
چاقی	கொழுப்பு
چاقی	குண்டாக
چاقی	கொழுப்பை
بازو	கைகள்
بازو	arm
بازو	இடிக்க
پرنسس	இளவரசி
ضرایب	coefficients
لایق	தகுதியானவர்
لایق	மீதும்
فالتس	palatinate
پرستاران	செவிலியர்கள்
پارت	பாகம்
پارت	பகுதி
مانور	மனோர்
تیمهای	அணிகள்
درنگ	தங்கி
نابرابری	ஏற்றத்தாழ்வு
هیت	ஹீத்
بول	காளை
ورژن	பதிப்பைப்
ورژن	பதிப்பு
بافتی	திசு
لوبیا	பீன்
لوبیا	மொச்சை
رضی	ராசி
جنی	ஜென்னி
هادسون	ஹட்சன்
نزدیکتر	அருகாமையில்
وارونه	தலைகீழ்
حواس	புலன்கள்
پیغمبر	தீர்க்கதரிசி
پیغمبر	நபி
پیغمبر	நபியின்
اسرارآمیز	மர்மமான
اسرارآمیز	ஆன்மிக
اسرارآمیز	occult
گزارشگر	செய்தியாளர்
گزارشگر	நிருபர்
مریل	மெர்ரில்
سوییس	சுவிட்சர்லாந்து
سوییس	சுவிச்சர்லாந்து
اشاعه	proliferation
دفترچه	நோட்புக்
ایگل	கழுகு
سانتو	சாண்டோ
ویر	ware
ویر	வீர்
لینه	லின்னேயஸ்
لنگر	ஆங்கர்
لنگر	நங்கூரம்
خطری	அபாயம்
سوختگی	எரிகிறது
سوختگی	பழுப்பு
سوختگی	எழுது
سورن	சோரன்
برایتون	பிரைட்டன்
سانی	சன்னி
سانی	வெயில்
سانی	வெய்யில்
معطر	காரம்
رینولدز	ரெனால்ட்ஸ்
رونی	ரோனி
لیبرتی	லிபர்டி
فریمن	ஃபிரீமன்
باواریا	பவேரியா
برنجی	பித்தளை
برنجی	நெல்
برنجی	சாதம்
برنجی	அரிசி
برنجی	சோறு
دالان	சேம்பர்
پوزش	புகழ்
منزوی	தனித்த
پورتلند	portland
مثانه	சிறுநீர்ப்பை
ادا	அடா
ماریون	மரியோன்
آمبرلا	குடை
آگوستین	அகஸ்டீன்
اقلیدسی	யூக்ளிடிய
حمیده	அமீதா
چاق	கொழுப்பு
چاق	குண்டாக
چاق	கொழுப்பை
فضیلت	நல்லொழுக்கம்
نمادها	குறிகள்
شارپ	கூர்மை
شارپ	கூர்மையான
پاناسونیک	பேனசோனிக்
هرمی	பிரமிட்
مستثنی	சேர்க்கப்படாத
تورهای	சுற்றுலா
آگوستوس	அகஸ்டஸ்
سیشل	சீசெல்சு
کای	காய்
آرزوهای	எதிர்பார்ப்பு
آرزوهای	எதிர்பார்ப்புகள்
مخروط	கூம்பு
لم	கொற்கோள்
دانگ	டாங்
رالی	ஊர்வலம்
رالی	பேரணி
رالی	ராலே
کونگ	காங்
آهوی	மான்
کاکتوس	கள்ளி
چرچیل	சர்ச்சில்
سوان	அன்னம்
متافیزیک	மீவியற்பியல்
تذکره	சுயசரிதை
پرهای	சிறகுகள்
ایدا	இதா
ایدا	அடா
کلیر	கிளயார்
کراولی	கிராலி
تیری	தியெரி
معصومی	மாசற்ற
معصومی	தூயவன்
مسن	வயதான
شرحی	புரியும்
میراندا	மிராண்டா
نخود	பட்டாணி
گوران	கோரன்
مهمانان	விருந்தினர்கள்
مهمانان	விருந்தினர்
ژنراتور	இயற்றி
ژنراتور	உருவாக்கி
روسها	ரஷ்யர்கள்
سای	சாய்
سای	psi
ساکس	சாக்ஸ்
ساکس	சாக்ஸ்
لونا	லூனா
فروشندگان	வியாபாரிகள்
فروشندگان	விற்பனையாளர்கள்
هوارد	ஹோவர்ட்
لبخند	புன்னகை
مرورگرهای	உலாவிகள்
جوخه	ஸ்குவாட்
ممنوعه	தடுக்கப்பட்டு
یکا	அலகு
فیلی	யானை
استراسبورگ	ஸ்திராஸ்பூர்க்
استفراغ	வாந்தி
جنگلهای	காடுகள்
سعود	சௌத்
غشاء	சவ்வு
فریتس	பிரிட்ஸ்
یوحنا	ஜான்
بیضوی	elliptic
سیلوستر	சில்வெஸ்டர்
خاردار	spiny
اجتماعات	சமூகங்கள்
کلمبوس	கொலம்பஸ்
رکس	ரெக்ஸ்
دردناک	வலி
گجرات	குஜராத்
ناخودآگاه	மானபங்கம்
لسلی	லெஸ்லி
خونه	முகப்பு
خونه	இல்ல
خونه	வீடு
عزیزان	அன்பர்களே
بیوه	கைம்பெண்கள்
بیوه	விதவை
عدن	ஈடன்
یوم	யம்
لوزان	லோசான்
بینندگان	பார்வையாளர்கள்
دلتای	டெல்டா
التهابی	அழற்சி
زبانه	தாவல்
زبانه	தத்தல்
زبانه	தத்து
قرضه	கடன்
قرضه	கடனை
تهوع	குமட்டல்
ناخن	நகம்
ناخن	ஆணி
ناخن	நகங்கள்
خنجر	கத்தி
بانکوک	பாங்காக்
رویان	embryo
ماژور	மேஜர்
ماژور	பிரதான
ماژور	மிகப்பெரியது
خوابگاه	விடுதி
متولی	அறங்காவலர்
شلاق	சாட்டை
شلاق	அடித்தல்
دایان	டயான்
وجدان	மனசாட்சி
اتاوا	ஒட்டாவா
سلین	செலின்
علایق	ஆர்வங்கள்
سکولاریسم	மெய்யியல்
امکاناتی	போனஸ்
طعمه	இரை
طعمه	தூண்டில்
نای	nai
نای	நை
نای	nye
آسا	ஆசா
صداقت	நேர்மை
رومانتیک	காதல்
جزر	டைட்
ابریشمی	பட்டு
ابریشمی	சில்க்
سکوهای	தளங்கள்
جانورشناسی	விலங்கியல்
سنگسار	கல்
سنگسار	ஸ்டோன்
آتیلا	அட்டிலா
هگل	hegel
سازش	தீர்ப்பு
سازش	சமரசம்
سازش	தங்குமிடம்
نیکسون	நிக்சன்
ویت	வியட்
مرداب	சதுப்பு
مرداب	மார்ஷ்
چتر	பாராசூட்
چتر	குடை
نیکوزیا	நிக்கோசியா
عزیزم	அன்புள்ள
عزیزم	அன்பே
عزیزم	குழந்தை
عزیزم	பேபி
عزیزم	தேன்
مؤسسان	நிறுவனர்கள்
استعماری	காலனித்துவ
ادویه	சுவையூட்டும்
ادویه	மசாலாக்கள்
ادویه	ஸ்பைஸ்
سروتونین	செரோடோனின்
هد	தலை
هد	தலையை
هد	தலைக்கு
ماکسیم	மாக்சிம்
باهیا	பாகையா
چاپخانه	வெளியீடு
گناهان	குற்றங்களை
گناهان	பாவங்களை
گناهان	பாவங்கள்
جادوی	மாய
جادوی	சூனியம்
جادوی	மாயம்
جادوی	மேஜிக்
سفارشی	விருப்பப்படி
سفارشی	தனிப்பயன்
سفارشی	வழக்கம்
سفارشی	ஆயத்த
کلیپ	கிளிப்
ناراضی	அதிருப்தி
کیتس	கிட்ஸ்
هارپر	ஹார்ப்பர்
متد	முறையை
متد	முறை
متد	வழிமுறை
روشنفکر	அறிவுசார்
پدرخوانده	godfather
محصولاتی	பொருட்கள்
محصولاتی	தயாரிப்புகள்
هاوک	ஹாக்
اوان	இவான்
اوان	அவான்
شاهدان	சாட்சிகள்
فریدمن	ஃப்ரீட்மன்
مصریان	எகிப்தியர்
داعی	அழைப்பாளர்
