மற்றும்	un
உண்மையில்	tiešām
ரயில்	vilciena
ரயில்	vilciens
ரயில்	vilcienu
கவிஞர்	dzejnieks
சுதந்திர	neatkarīgais
சுதந்திர	neatkarīgi
சுதந்திர	neatkarīga
சுதந்திர	neatkarīgs
சுதந்திர	neatkarīgas
சுதந்திர	neatkarība
சுதந்திர	brīvība
சுதந்திர	brīvības
செய்தல்	padarot
வெளியிட்டார்	izdota
வெளியிட்டார்	izsniegta
வெளியிட்டார்	izdots
வெளியிட்டார்	izsniegts
வடிவமைப்பு	konfigurācija
வடிவமைப்பு	dizaina
வடிவமைப்பு	dizains
வடிவமைப்பு	projektēšana
வடிவமைப்பு	konstrukcija
வடிவமைப்பு	konfigurēt
வடிவமைப்பு	formāts
திராவிட	dravīdu
வெப்பநிலை	temperatūras
வெப்பநிலை	temperatūra
நிலையை	statuss
கப்பல்	kuģis
அறிமுகம்	ievešana
அறிமுகம்	ieviešanu
அறிமுகம்	ievads
அறிமுகம்	par
காங்கிரசு	kongresa
காங்கிரசு	kongress
வரி	līnija
வரி	nodokļi
வரி	nodoklis
காட்டும்	atgriežas
காட்டும்	atgriež
மாறாக	drīzāk
மாறாக	pārmaiņus
குரல்	balsi
குரல்	balss
இயக்குநர்	direktora
இயக்குநர்	direktors
இயக்குநர்	direktore
இயக்குநர்	režisors
ஜேம்ஸ்	džeimss
ஜேம்ஸ்	džeims
தயாரிப்பு	pagatavošana
தயாரிப்பு	preparāts
தயாரிப்பு	sagatavošana
தயாரிப்பு	gatavošanās
தயாரிப்பு	sagatavošanās
தயாரிப்பு	produkta
தயாரிப்பு	izstrādājums
தயாரிப்பு	produkts
தயாரிப்பு	ražojums
தயாரிப்பு	ražošana
தயாரிப்பு	produkcija
புள்ளி	punkts
புள்ளி	point
இணைப்புக்கள்	savienojumi
இணைப்புக்கள்	piesaistās
இணைப்புக்கள்	saites
இணைப்புக்கள்	links
கருவி	ierīce
கருவி	joma
கருவி	instruments
கருவி	rīks
டேவிட்	deivids
டேவிட்	dāvids
டேவிட்	david
இயங்கும்	aktīvais
இயங்கும்	aktīvs
இயங்கும்	aktīvi
இயங்கும்	aktīva
இயங்கும்	aktīvā
இயங்கும்	braukšana
புராணம்	apzīmējumi
புராணம்	leģenda
நிகழ்ச்சி	rādīt
நிகழ்ச்சி	parādīt
பௌத்த	budistu
எழுதப்பட்ட	rakstisks
எழுதப்பட்ட	rakstveida
எழுதப்பட்ட	uzrakstīts
எழுதப்பட்ட	rakstiska
கொலை	slepkavības
கொலை	slepkavība
கொலை	slepkavību
வண்ணம்	krāsu
வண்ணம்	krāsa
வண்ணம்	krāsu
வண்ணம்	krāsa
நிலையங்கள்	salonos
நிலையங்கள்	stacijas
பரப்பளவு	teritorija
பரப்பளவு	platība
பரப்பளவு	apgabals
பரப்பளவு	laukums
உறுதி	apstiprināts
உறுதி	apstiprināja
உறுதி	apstiprinātas
உறுதி	apstiprināta
உறுதி	apstiprināti
வழக்கம்	regulārā
வழக்கம்	regulārs
வழக்கம்	regulāras
வழக்கம்	regulāri
வழக்கம்	regulāra
வழக்கம்	pielāgota
வழக்கம்	pielāgots
குறைவாக	zema
குறைவாக	zemā
குறைவாக	mazs
குறைவாக	zems
குறைவாக	mazāk
கலைஞர்கள்	izpildītāji
கலைஞர்கள்	mākslinieku
கலைஞர்கள்	māksliniekiem
கலைஞர்கள்	izpildītāji
கலைஞர்கள்	mākslinieki
செ	nedzirdīgo
பாகிஸ்தான்	pakistāna
பாகிஸ்தான்	pakistānas
சற்று	nedaudz
அங்கே	tur
இன	sacīkstes
இன	sacensības
இன	sacīkstēm
இன	etnisko
இன	etniskā
இன	rasu
வசதி	ērtības
வசதி	komforta
வசதி	motīvs
வசதி	īpašība
வசதி	ērts
வசதி	ērti
வழங்கப்படும்	piedāvātie
வழங்கப்படும்	piedāvātas
வழங்கப்படும்	piedāvātais
வழங்கப்படும்	piedāvāts
முயற்சி	mēģini
முயற்சி	pamēģini
முயற்சி	mēģināt
முயற்சி	pūles
முயற்சி	piepūle
முயற்சி	centieni
முயற்சி	pūliņi
முயற்சி	piepūles
கதைகள்	stāsti
அரபு	arābu
அரபு	arābu
இவற்றை	šīs
இவற்றை	šie
பிரான்சு	franciju
பிரான்சு	francijā
பிரான்சு	francija
பிரான்சு	france
விண்வெளி	telpa
விண்வெளி	kosmoss
மாற்றங்கள்	izmaiņas
மாற்றங்கள்	pārmaiņas
அடர்த்தி	blīvums
படங்கள்	fotoattēli
படங்கள்	attēli
படங்கள்	fotogrāfijas
படங்கள்	bildes
படங்கள்	attēli
படங்கள்	bildes
படங்கள்	attēli
படங்கள்	attēlus
ஆயிரம்	tūkstoš
ஆயிரம்	tūkstoši
ஆயிரம்	tūkstotis
வார்ப்புருக்கள்	veidnes
வார்ப்புருக்கள்	sagataves
இனம்	šķirne
இனம்	sacensības
இனம்	rase
இனம்	skrējiens
இனம்	sacīkstes
புரிந்து	saprast
புரிந்து	izprast
புரிந்து	saprotu
செய்கிறது	atkusni
வாக்குகள்	balsis
ரூபாய்	rūpija
அமைச்சர்	ministre
அமைச்சர்	ministrs
அமைச்சர்	ministra
கூட்டு	savienības
கூட்டு	savienība
கூட்டு	pievienot
கூட்டு	sum
கூட்டு	summa
கூட்டு	apvienības
கூட்டு	biedrības
கூட்டு	asociācijas
திட்டங்கள்	plānus
திட்டங்கள்	plāni
திட்டங்கள்	projekti
அண்ணா	anna
உயரம்	augumu
உயரம்	augums
உயரம்	augstums
தரம்	pakāpes
தரம்	pakāpe
தரம்	kvalitāte
தரம்	kvalitātes
வரையில்	līdz
எளிய	vienkārši
எளிய	vienkāršs
எளிய	vienkārša
எளிய	vienkāršas
எளிய	vienkāršā
தமிழர்கள்	tamilu
ஒப்பந்தம்	pakta
ஒப்பந்தம்	pakts
ஒப்பந்தம்	līgums
ஒப்பந்தம்	līguma
பணிகள்	uzdevumi
பணிகள்	darbi
பணிகள்	darbavietas
தேவி	devi
நிலம்	zemi
நிலம்	zeme
நிலம்	zemes
யார்	kas
யார்	pvo
யார்	kurš
மண்டலம்	reģions
மண்டலம்	zona
குற்றம்	vainīgs
குற்றம்	vainīgi
குற்றம்	vainīga
குற்றம்	noziedzību
குற்றம்	noziegumi
குற்றம்	noziegums
குற்றம்	noziedzība
அன்னை	māte
அன்னை	mātes
இரட்டை	dubulta
இரட்டை	dubultā
இரட்டை	dubults
இரட்டை	dvīņu
இரட்டை	dubultā
அலுவலகம்	birojs
அலுவலகம்	biroja
அலுவலகம்	biroju
வீடு	mājās
வீடு	home
வீடு	mājas
வீடு	majas
வீடு	rezidence
வீடு	uzturēšanās
வீடு	dzīvesvieta
வீடு	dzīvesvietu
வீடு	dzīvesvietas
வீடு	māja
வீடு	mājā
சந்தை	tirgus
சந்தை	tirgū
தலை	vadītājs
தலை	galvu
தலை	galvas
தலை	galva
அனைத்துலக	international
அனைத்துலக	starptautiskā
அனைத்துலக	starptautiski
உரிமைகள்	tiesības
நீ	tu
நீ	tevi
நீ	jums
நீ	tev
நீ	jūs
கிராம	ciema
கிராம	ciemata
கிராம	ciems
கிராம	ciematu
கிராம	ciemu
கிராம	ciemats
திறந்த	atklāts
திறந்த	atvērts
திறந்த	atvērta
திறந்த	atvērt
முழுமையாக	pilnībā
முழுமையாக	pilnīgi
முழுமையாக	pilnīgi
நெடுஞ்சாலை	šosejas
நெடுஞ்சாலை	šoseja
கோட்பாடு	teorija
மாதிரி	izlase
மாதிரி	paraugs
மாதிரி	takas
மாதிரி	modelis
மாதிரி	model
மாதிரி	modele
மாதிரி	paraugs
நடிகைகள்	aktrises
தெரிவு	izvēle
குமார்	kumar
கட்டி	audzēja
பிரதான	galvenais
பிரதான	galvenās
பிரதான	galvenā
அறிவு	zināšanas
தெரியவில்லை	neitrāls
தெரியவில்லை	neitrāla
தெரியவில்லை	neitrāli
வழங்கி	servera
வழங்கி	serveris
வழங்கி	serveri
பண்பாடு	kultūra
ராஜா	radžu
ராஜா	king
ராஜா	karalis
ராஜா	ķēniņš
சூழல்	vide
சூழல்	konteksts
சூழல்	konteksta
கடுமையான	grūta
கடுமையான	nelīdzenums
கடுமையான	smagas
கடுமையான	smags
கடுமையான	smaga
கடுமையான	smagi
எண்ணெய்	eļļa
எண்ணெய்	eļļas
எண்ணெய்	nafta
பொருட்களை	mantas
வானியல்	astronomijas
மாற்று	pārslēgties
மாற்று	slēdzis
மாற்று	pārslēgt
மாற்று	slēdzi
மாற்று	pārveidot
மாற்று	pārvērst
மாற்று	mainīt
மாற்று	maiņa
மாற்று	izmaiņas
மாற்று	pārmaiņas
மாற்று	nomainīt
மாற்று	aizvietot
மாற்று	aizstāt
இராச்சியம்	sfēra
இணையதளம்	mājaslapa
இணையதளம்	mājaslapā
வாழ்ந்து	dzīvošana
வாழ்ந்து	dzīvo
மழை	lietainā
மழை	lietaina
மழை	lietus
தெரிகிறது	šķiet
தெரிகிறது	izskatās
கார்பன்	oglekļa
கார்பன்	oglekli
கார்பன்	ogleklis
உலகளாவிய	vispasaules
உலகளாவிய	pasaulē
உலகளாவிய	globālā
உலகளாவிய	globālie
உலகளாவிய	globāli
உலகளாவிய	globālais
உலகளாவிய	globāla
ஏற்றுக்	pieņemts
ஏற்றுக்	pieņemta
ஏற்றுக்	pieņemti
நான்காவது	ceturtais
நான்காவது	ceturtajā
நான்காவது	ceturtā
பேருந்து	bus
பேருந்து	autobuss
வழக்கமாக	regulāri
வழக்கமாக	parasti
விதி	liktenim
விதி	likteņa
விதி	liktenis
விதி	likteni
விதி	noteikums
தெரு	iela
இறைவன்	pavēlnieks
இறைவன்	kungs
கண்	acs
கண்	acī
கண்	acu
மகள்	meitu
மகள்	meita
தேசியக்	nacionālais
மூல	oriģināls
மூல	sākotnējais
மூல	oriģinālā
மூல	sākotnējā
மூல	oriģināli
மூல	oriģināla
இடது	palicis
இடது	kreisais
இடது	kreisā
இடது	palikusi
எல்லாம்	viss
எல்லாம்	visam
எல்லாம்	visu
எல்லாம்	visiem
எல்லாம்	visu
எல்லாம்	visas
எல்லாம்	visi
எல்லாம்	visa
நிலையான	fiksēti
நிலையான	fiksēta
நிலையான	noteikta
நிலையான	fiksēts
நிலையான	standartam
நிலையான	standarta
நிலையான	standarts
சிறப்பான	īpaša
சிறப்பான	īpašais
சிறப்பான	īpašs
சிறப்பான	īpašā
சிறப்பான	īpaši
தோல்	ādas
தோல்	āda
தோல்	ādas
தோல்	ādu
தோல்	āda
கூடுதலாக	ārējs
கூடுதலாக	ekstra
கூடுதலாக	papildu
கூடுதலாக	extra
கால்	kāja
கால்	liellopi
கால்	liellopiem
கால்	liellops
கால்	lopi
கால்	pēda
கால்	pēdu
கால்	kāja
கால்	ceturksnis
கால்	ceturtdaļa
ஆர்வம்	ieinteresēts
ஆர்வம்	interesē
ஆர்வம்	interesenti
ஆர்வம்	ieinteresēti
ஆர்வம்	ieinteresēta
ஆர்வம்	procentiem
ஆர்வம்	procentus
ஆர்வம்	procenti
ஆர்வம்	interese
கவனம்	koncentrācijas
கவனம்	koncentrēšanās
கவனம்	koncentrācija
கவனம்	uzmanību
கவனம்	uzmanība
கவனம்	uzmanības
கவனம்	koncentrēties
கவனம்	uzmanība
மூத்த	vecākais
நினைவு	atmiņa
நினைவு	atmiņas
உருவானது	veidojas
உருவானது	veidoti
தூய	tīra
தூய	tīri
தூய	tīrs
தூய	pure
கவிதைகள்	dzejoļi
நிறுவப்பட்டது	apstājies
நிறுவப்பட்டது	uzstādītas
நிறுவப்பட்டது	uzstādīts
நிறுவப்பட்டது	uzstādīta
நிறுவப்பட்டது	uzstādīti
நிறுவப்பட்டது	uzstādīt
வாய்ப்பு	iespēja
வாய்ப்பு	izdevība
வாய்ப்பு	iespēja
மருந்து	zāles
மருந்து	medicīna
மருந்து	farmācijas
மா	mango
ஏன்	kapēc
ஏன்	kādēļ
ஏன்	kāpēc
ஆனார்	kļuva
கிடைத்தது	saņēmu
தொலைபேசி	telefons
தொலைபேசி	tālrunis
தொலைபேசி	telefons
தொலைபேசி	tālrunis
ரவி	ravi
கட்டமைப்பு	strukturālo
கட்டமைப்பு	strukturāli
கட்டமைப்பு	strukturālā
கட்டமைப்பு	konfigurācija
கட்டமைப்பு	struktūra
கட்டமைப்பு	uzbūve
பாரம்பரிய	klasiskais
பாரம்பரிய	klasisko
பாரம்பரிய	klasiskā
பாரம்பரிய	klasisks
பாரம்பரிய	tradicionāls
பாரம்பரிய	tradicionālie
பாரம்பரிய	tradicionālais
பாரம்பரிய	tradicionālā
பாரம்பரிய	tradicionālo
பாரம்பரிய	tradicionāli
சின்னம்	ikonu
சின்னம்	ikona
சின்னம்	ikonas
எண்கள்	numuri
எண்கள்	skaitļi
தொழில்நுட்பம்	tehnoloģija
தொழில்நுட்பம்	tehnoloģiju
தொழில்நுட்பம்	tehnoloģijas
ஏரி	ezera
ஏரி	ezers
வரிசையில்	rindā
பாடிய	sung
சிலை	elks
சிலை	statuja
வெள்ளி	piektdienas
வெள்ளி	piektdienā
வெள்ளி	piektdiena
வெள்ளி	sudrabs
வெள்ளி	sudraba
வெள்ளி	silver
இலத்தீன்	latīņu
சோழன்	čolas
நேச	sabiedroto
நேரடி	dzīvas
நேரடி	dzīvot
நேரடி	dzīvi
நேரடி	dzīvo
நேரடி	live
நேரடி	tiešraide
நேரடி	tiešā
நேரடி	tiešs
நேரடி	tiešais
நேரடி	direct
நேரடி	tieša
சுற்றுலா	tūristu
சுற்றுலா	tūrisma
சுற்றுலா	ekskursija
சுற்றுலா	tūre
சுற்றுலா	tour
சுற்றுலா	ekskursijas
சுற்றுலா	braucienos
சுற்றுலா	tūrisms
சுற்றுலா	tūrismā
கிராமத்தில்	ciema
கிராமத்தில்	ciemata
கிராமத்தில்	ciems
கிராமத்தில்	ciematu
கிராமத்தில்	ciemu
கிராமத்தில்	ciemats
நமது	thw
நமது	mūsu
புலிகள்	tīģeri
அவர்களை	viņiem
அனுமதி	iecelšana
அனுமதி	tikšanās
அனுமதி	iecelšanu
அனுமதி	atļauja
அனுமதி	atļaut
அனுமதி	atļauj
அனுமதி	pieļaut
அனுமதி	apstiprina
அனுமதி	apstiprināt
பயன்	lietošana
பயன்	izmantošana
பயன்	lietojums
பயன்	pabalsts
பயன்	labums
பயன்	ieguvums
நிகழ்வு	notikums
ஆதி	adi
மைல்	jūdzes
மைல்	jūdžu
வளரும்	aug
வளரும்	audzēšanas
வளரும்	audzēšana
வளரும்	aug
வளரும்	attīstīšana
வளரும்	jaunattīstības
கால்பந்து	futbols
உடலில்	ķermeņa
உடலில்	ķermenis
பக்க	pusē
பக்க	side
சான்	chan
சான்	san
உயரத்தில்	augumu
உயரத்தில்	augums
உயரத்தில்	augstums
அமிலம்	skābi
அமிலம்	skābe
அமிலம்	skābes
விண்டோஸ்	windows
விண்டோஸ்	logus
விண்டோஸ்	logi
கூட்டமைப்பு	federācija
கூட்டமைப்பு	federācijas
கூட்டமைப்பு	konfederācija
கூட்டமைப்பு	konfederāciju
தொழிலாளர்	darbaspēks
விலங்குகள்	dzīvniekus
விலங்குகள்	dzīvniekiem
விலங்குகள்	dzīvnieki
மறு	kritums
மறு	liegt
மறு	noliegt
மறு	noliedz
மறு	noraidīt
மறு	noraida
முடிவுகள்	rezultāti
முடிவுகள்	rezultātus
மனிதன்	cilvēks
மனிதன்	cilvēka
மனிதன்	cilvēku
மனிதன்	cilvēks
மனிதன்	vīrietis
மனிதன்	vecīt
மாணவர்	students
மாணவர்	studenta
மாணவர்	studentu
பேசும்	uzstāšanās
பேசும்	runājot
குறிப்பிடுகிறது	precizē
நோக்கம்	mērķis
நோக்கம்	misijas
நோக்கம்	misija
கடந்து	pagājuši
கடந்து	tuvo
உருவாக்கி	ģenerators
உருவாக்கி	ģeneratoru
உருவாக்கி	radītāju
உருவாக்கி	radītājs
உருவாக்கி	radītāja
உருவாக்கி	komponista
உருவாக்கி	izstrādātājs
ஒத்த	līdzīgs
ஒத்த	līdzīgi
ஒத்த	līdzīgas
ஒத்த	līdzīga
பச்சை	zaļas
பச்சை	zaļa
பச்சை	zaļā
பச்சை	zaļš
பச்சை	zaļi
அலகு	vienība
உள்நாட்டு	iekšzemes
நகராட்சி	novads
நகராட்சி	pašvaldība
உறவு	saistība
உறவு	attiecības
உறவு	saistība
நூலகம்	bibliotēka
நூலகம்	bibliotēkā
நூலகம்	bibliotēku
நூலகம்	bibliotēkas
சண்டை	kaujā
சண்டை	kauja
சண்டை	cīņa
சண்டை	kaujas
சண்டை	cīņa
சண்டை	cīnās
சண்டை	cīņu
சண்டை	cīņa
சண்டை	cīnīties
நிறம்	krāsu
நிறம்	krāsa
நிறம்	krāsu
நிறம்	krāsa
விமானம்	lidmašīna
விமானம்	lidojuma
விமானம்	lidojums
விமானம்	lidmašīnas
விமானம்	lidaparāti
பதில்	atbildēt
பதில்	atbildi
பதில்	atbilde
பதில்	atbildēt
பதில்	atbildi
பதில்	atbilde
பதில்	replikas
திருவிழா	festivāls
திருவிழா	svētki
திருவிழா	karnevāla
நான்காம்	ceturtais
நான்காம்	ceturtajā
நான்காம்	ceturtā
வெளியிடப்பட்ட	publicēts
வெளியிடப்பட்ட	publicēta
கூடாது	nav
கூடாது	ne
காலை	rīts
சமூகம்	sabiedrība
சமூகம்	kopienu
சமூகம்	kopienas
சமூகம்	kopiena
சமூகம்	sociāla
சமூகம்	sociālie
சமூகம்	sociālais
சமூகம்	sociālā
சமூகம்	sociāls
புற்றுநோய்	vēzis
சு	chu
ஆன்	anna
மெய்யியல்	filozofijas
மெய்யியல்	filozofija
மெய்யியல்	sekulārismu
நாட்களில்	dienām
நாட்களில்	dienās
நாட்களில்	dienas
பயணிகள்	pasažierus
பயணிகள்	pasažieri
பயணிகள்	pasažieriem
அறுவை	ķirurģija
அறுவை	operācijas
அறுவை	operācija
இணை	pievienojies
இணை	pievienoties
இணை	pievienojos
இணை	savieno
இணை	pieslēgties
இணை	asociējas
அழுத்தம்	vilces
அழுத்தம்	spiediena
அழுத்தம்	spiediens
அழுத்தம்	uzsvars
அழுத்தம்	uzsvaru
அழுத்தம்	kompresijas
கல்லூரிகள்	kolēģijas
கல்லூரிகள்	koledžas
மன்றம்	klubā
மன்றம்	club
மன்றம்	klubs
மன்றம்	kluba
மன்றம்	padomes
மன்றம்	padome
மன்றம்	padomi
மன்றம்	forums
மன்றம்	forumā
மன்றம்	forum
இஸ்லாமிய	islāma
உண்மை	patiesība
உண்மை	taisnība
உண்மை	patiess
உண்மை	patiesa
உண்மை	fakts
உண்மை	patiesība
உண்மை	patiesību
உண்மை	patiesības
உண்மை	realitāte
உண்மை	īstenība
அவனது	viņa
இத்தாலிய	itāļu
இத்தாலிய	itāliešu
இத்தாலிய	itālijas
இனங்கள்	šķirnes
இனங்கள்	suga
இனங்கள்	sugas
தலைவன்	priekšnieks
நின்று	stāv
நின்று	stāvot
நடக்கும்	notiek
நடக்கும்	gadās
நடக்கும்	notikt
நடக்கும்	gadās
டைம்ஸ்	laiki
பிரிட்டிஷ்	britu
பிரிட்டிஷ்	briti
பிரிட்டிஷ்	british
பிரிட்டிஷ்	lielbritānijas
நிகழ்ச்சிகள்	notikumi
நிகழ்ச்சிகள்	notikumiem
நிகழ்ச்சிகள்	pasākumi
புதிதாக	jauna
புதிதாக	jaunums
புதிதாக	jauni
புதிதாக	jauns
புதிதாக	jaunais
புதிதாக	jaunas
புதிதாக	svaiga
புதிதாக	svaigas
புதிதாக	svaigs
புதிதாக	svaigi
வரைபடம்	kartē
வரைபடம்	karte
வரைபடம்	diagramma
வரைபடம்	kartes
தாவரங்கள்	augi
தாவரங்கள்	rūpnīcas
தாவரங்கள்	stādi
தண்ணீர்	ūdeni
தண்ணீர்	ūdenī
தண்ணீர்	ūdens
விளையாட்டுகள்	spēles
விளையாட்டுகள்	sporta
விளையாட்டுகள்	sports
கட்டப்பட்டது	celta
கட்டப்பட்டது	būvēts
கட்டப்பட்டது	uzbūvēts
கட்டப்பட்டது	veidots
கட்டப்பட்டது	būvēti
கட்டப்பட்டது	būvēta
உள்	iekšēji
உள்	iekšējā
உள்	iekšējais
உள்	iekšēja
உள்	iekšējs
உள்	iekšējie
உள்	vietējie
உள்	vietējā
உள்	vietējais
உள்	lokāla
உள்	lokālā
உள்	iekšējā
உள்	iekšējais
மொழிபெயர்ப்பு	tulkošana
மொழிபெயர்ப்பு	tulkojums
மொழிபெயர்ப்பு	tulko
மொழிபெயர்ப்பு	iztulkot
மொழிபெயர்ப்பு	pārtulkot
மொழிபெயர்ப்பு	tulkot
வின்	vin
விளையாட்டுக்கள்	spēles
விளையாட்டுக்கள்	sporta
விளையாட்டுக்கள்	sports
நிமிடங்கள்	minūtes
நிமிடங்கள்	protokols
நிமிடங்கள்	protokoli
கருப்பு	melnā
கருப்பு	melni
கருப்பு	melna
கருப்பு	melnas
கருப்பு	melns
குறுகிய	īsa
குறுகிய	īsais
குறுகிய	īsā
குறுகிய	īsi
குறுகிய	īss
தொடங்கப்பட்டது	sākts
தொடங்கப்பட்டது	sākta
தொடங்கப்பட்டது	sākās
நம்	mūsu
அரசர்கள்	karaļi
பொருளியல்	ekonomika
பொருளியல்	ekonomikā
பொருளியல்	ekonomiska
நிறைய	daudz
நிறைய	partijas
நிறைய	izlozes
நிறைய	partija
கொடி	karogs
கொடி	karoga
எப்போதும்	vienmēr
எப்போதும்	forever
எப்போதும்	mūžam
எப்போதும்	mūžīgi
எப்போதும்	kādreiz
எப்போதும்	ever
எப்போதும்	jebkad
எழுத்துக்கள்	alfabēts
எழுத்துக்கள்	vēstulēs
எழுத்துக்கள்	vēstules
எழுத்துக்கள்	burti
எழுத்துக்கள்	rakstzīmes
எழுத்துக்கள்	zīmes
சுருக்கம்	kopsavilkums
அரசாங்கம்	valdība
அரசாங்கம்	valdības
மாறி	mainīgā
மாறி	mainīgais
மாறி	mainīgs
மாறி	mainīgo
மாறி	mainīga
பாதை	ceļš
வென்று	uzvarēja
வென்று	uzvarējis
வென்று	ieguva
சரியாக	tieši
நாடகம்	drāma
ஓவியம்	gleznu
ஓவியம்	krāsošana
ஓவியம்	zīmēšana
ஓவியம்	glezna
இறந்த	mirusi
இறந்த	miris
இறந்த	beigts
இறந்த	miruši
உள்ளே	iekšpusē
உள்ளே	iekšā
கோ	coe
கூட்டணி	alianse
கூட்டணி	alianses
அதிகாரப்பூர்வ	amatpersona
அதிகாரப்பூர்வ	ierēdnis
அப்துல்	abdul
செலவு	pavadīt
செலவு	tērēt
செலவு	pavadām
செலவு	iztērēti
செலவு	iztērēts
செலவு	izlietota
செலவு	izlietoti
செலவு	pavadīts
சுழற்சி	rotācija
சுழற்சி	spirāle
சுழற்சி	cilpas
சுழற்சி	cilpu
சுழற்சி	cikls
மனம்	prātā
மனம்	prāta
மனம்	prātu
மனம்	prāts
மனம்	dvēseles
நோய்கள்	slimības
நோய்கள்	slimībām
அண்மையில்	nesen
எளிதில்	viegli
எளிதில்	viegli
எளிதில்	viegla
எளிதில்	viegls
எளிதில்	mierīgi
அதிகாரம்	power
அதிகாரம்	jaudas
அதிகாரம்	jauda
அதிகாரம்	vara
நகைச்சுவை	komēdija
கணித	matemātikas
கணித	matemātika
விநாயகர்	ganēša
சரி	labi
சரி	labi
சரி	nu
பக்கங்கள்	lapas
பக்கங்கள்	lappuses
நீதிமன்றம்	tiesa
நீதிமன்றம்	palāta
செயல்படும்	aktīvais
செயல்படும்	aktīvs
செயல்படும்	aktīvi
செயல்படும்	aktīva
செயல்படும்	aktīvā
அதிபர்	prezidents
அதிபர்	priekšsēdētāja
அதிபர்	priekšsēdētājs
அலுவலர்	amatpersona
அலுவலர்	virsnieks
அலுவலர்	virsnieka
அமைவிடம்	vieta
அமைவிடம்	novietojums
லீக்	līgas
லீக்	līga
நிர்வாகம்	pārvaldība
நிர்வாகம்	apsaimniekošana
நிர்வாகம்	vadība
நிர்வாகம்	pārvaldības
நிர்வாகம்	ievadīšana
நிர்வாகம்	administrācija
நிர்வாகம்	administratīvā
நிர்வாகம்	administratīvi
நிர்வாகம்	administratīvais
நிர்வாகம்	administratīva
நிர்வாகம்	administratīvie
முறையை	metode
ஆசியா	āzija
ஓய்வு	atpūta
ஓய்வு	pensijā
ஓய்வு	pensionēšanās
ஓய்வு	atpūta
தாக்கம்	trieciens
தாக்கம்	ietekme
புரட்சி	revolūcija
வலைத்தளம்	mājaslapa
வலைத்தளம்	mājaslapā
போராட்டம்	protestu
போராட்டம்	protests
போராட்டம்	cīņa
போராட்டம்	uzbudinājums
போராட்டம்	satraukums
ஏதேனும்	jebkuru
ஏதேனும்	jebkura
ஏதேனும்	jebkurš
நிறைவு	pabeigšana
நிறைவு	pabeigšanas
நிறைவு	pabeigti
நிறைவு	pabeigts
நிறைவு	pabeigta
நிறைவு	aizpildīt
நிறைவு	pabeigt
நிறைவு	pabeigts
நிறைவு	pabeigta
நிறைவு	pilnīga
நடவடிக்கைகள்	darbības
நடவடிக்கைகள்	aktivitātes
கூகுள்	google
மரியா	marija
மரியா	mērija
மரியா	marija
மலர்	zieds
மலர்	ziedu
இடைப்பட்ட	starp
விரைவில்	drīzumā
விரைவில்	drīz
பாடகர்	dziedātāja
பாடகர்	dziedātājs
ஏற்பாடு	organizēti
ஏற்பாடு	organizēta
ஏற்பாடு	organizēts
ஏற்பாடு	izvietojums
ஏற்பாடு	vienošanās
ஏற்பாடு	izkārtojums
நிறைந்த	pilnu
நிறைந்த	pilnas
நிறைந்த	pilns
நிறைந்த	pilnā
நிறைந்த	pilni
நிறைந்த	pilna
கட்டிடக்கலை	arhitektūra
ஆட்டம்	spēle
ஆட்டம்	atbilstība
ஆட்டம்	atbilst
ஆட்டம்	sakritība
ஆட்டம்	mača
ஆட்டம்	sakrīt
மண்	augsne
மண்	augsnes
மண்	smilts
மண்	smilšu
மண்	smiltis
குழுக்கள்	grupām
குழுக்கள்	grupas
சூரியன்	saule
சூரியன்	sun
சூரியன்	saulē
சூரியன்	saules
இந்திரா	indira
இந்திரா	indra
தீ	ugunsgrēks
தீ	uguns
தீ	uguni
சேர்ந்தார்	pievienojās
கடற்கரை	pludmale
கடற்கரை	pludmales
கடற்கரை	beach
முற்றிலும்	absolūti
முற்றிலும்	pilnīgi
இயக்கிய	vērsta
இயக்கிய	virzīta
இயக்கிய	vērsts
எடை	svars
எடை	svara
யின்	iņ
உருவான	veidojas
உருவான	veidoti
வழங்குகிறது	sniedz
வழங்குகிறது	nodrošina
தொடர்ச்சியாக	pastāvīgi
தொடர்ச்சியாக	nepārtraukti
பெற்றோர்	audzināšanas
பெற்றோர்	vecāki
பெற்றோர்	vecākiem
பெற்றோர்	vecāks
பெற்றோர்	vecāka
ஒற்றை	vienotā
ஒற்றை	vienreizēja
ஒற்றை	vienots
ஒற்றை	vienotais
அச்சு	ass
அச்சு	virziens
அச்சு	asi
ஆஸ்திரேலியா	austrālija
கட்டப்பட்ட	celta
கட்டப்பட்ட	būvēts
கட்டப்பட்ட	uzbūvēts
கட்டப்பட்ட	veidots
கட்டப்பட்ட	būvēti
கட்டப்பட்ட	būvēta
பார்த்து	vēro
பார்த்து	skatos
பார்த்து	skatās
பார்த்து	vērot
கடவுளின்	dievi
கடவுளின்	dievs
வீதம்	likme
வேளாண்மை	lauksaimniecība
ஐரோப்பா	eiropa
ஐரோப்பா	europe
முடியவில்லை	neveiksmīga
முடியவில்லை	neizdevās
எழுத	rakstīt
எழுத	rakstiet
அறிஞர்கள்	zinātnieki
புலவர்கள்	dzejniekiem
பிரான்ஸ்	franciju
பிரான்ஸ்	francijā
பிரான்ஸ்	francija
பிரான்ஸ்	france
ஜெர்மனி	vācijas
ஜெர்மனி	vācija
ஜெர்மனி	vācijā
கொண்டே	turēt
கொண்டே	paturēt
