در	ajtó
شاعران	költők
امیر	emir
امیر	amir
ویلیام	william
ویلیام	vilmos
عرضه	bemutatott
عرضه	kitett
فضایی	idegen
فضایی	űrlény
فضایی	térbeli
فضایی	űr
فضایی	tér
کارهای	állás
کارهای	állások
کارهای	munkahelyek
سنای	szenátus
سنای	szenátusi
دار	dar
وزن	súlya
وزن	súly
وزن	testtömeg
وزن	testsúly
وزن	tömeg
تقریباً	majdnem
قرآن	korán
طلایی	golden
طلایی	arany
طلایی	arany
ستاره	csillagos
ستاره	csillag
ستاره	sztár
سنتی	hagyományos
سنتی	tradicionális
تصویب	jóváhagyás
تصویب	jóváhagyási
تصویب	engedélyezés
پرورش	tenyésztés
پرورش	tenyésztési
پرورش	nevelés
بهمن	lavina
طلا	arany
دره	völgyet
دره	völgy
دره	völgyben
دره	valley
پرتغال	portugália
پرتغال	portugál
عربستان	arábia
عربستان	arab
عربستان	szaúdi
عربستان	szaúd
هفته	héten
هفته	hét
هفته	hetekig
هفته	hetek
سیتی	city
سیتی	városi
سیتی	város
قرمز	piros
قرمز	piroska
قرمز	vörös
ثابت	állandósult
ثابت	egyenletes
ثابت	rögzített
ثابت	fix
ثابت	rögzítve
ثابت	állandó
ثابت	folyamatos
ثابت	bizonyítottan
ثابت	bizonyított
متحد	united
متحد	egyesült
متحد	egyesíteni
متحد	szövetséges
خبر	hírek
خبر	hír
ورود	érkezés
ورود	belép
ورود	belépni
ورود	belépés
ورود	belépő
ورود	bejegyzés
برجسته	kiváló
برجسته	kiemelkedő
برجسته	kimagasló
میلیارد	milliárd
میلیارد	egymilliárd
میلیارد	milliárd
قبلی	előző
قبلی	korábbi
نقطه	pontokat
نقطه	pontok
نقطه	folt
نقطه	foltos
نقطه	pont
نقطه	point
حفظ	fenntartása
حفظ	fenntartani
حفظ	megőrzése
حفظ	fenntartása
مشترک	közös
مشترک	gyakori
آتش	tűz
گاه	összecsukható
زیست	biológia
فنی	műszaki
فنی	technikai
فنی	fanny
چشمه	fürdő
چشمه	spa
چشمه	gyógyfürdő
چشمه	wellness
چشمه	szökőkút
چشمه	kút
چشمه	springs
چشمه	rugó
تقسیمات	körzetek
تقسیمات	osztályok
ایلینوی	illinois
پوشش	fedezze
پوشش	címlap
پوشش	fedezni
پوشش	fedő
پوشش	borító
پوشش	lefedettség
سلطنتی	királyi
سلطنتی	royal
سلطنتی	birodalmi
سلطنتی	császári
زیردریایی	tengeralattjáró
کتابخانه	könyvtári
کتابخانه	könyvtár
کتابخانه	könyvtárban
تشخیص	kimutatás
تشخیص	diagnosztizálni
تشخیص	észlelni
تشخیص	diagnózis
درخت	fán
درخت	fa
درخت	fája
درخت	fák
درخت	fákon
درخت	fák
درخت	fákat
نزدیکی	közel
تأثیر	befolyása
تأثیر	befolyással
تأثیر	befolyás
تأثیر	hatása
تأثیر	hatás
تأثیر	effektus
عرض	szélessége
عرض	szélesség
دید	láttam
دید	látta
دید	fűrész
دید	láthatóság
دید	látomás
دید	elképzelés
دید	látás
خدمت	szolgálta
خدمت	szolgált
خدمت	felszolgáló
خدمت	szolgálni
خدمت	szolgálni
خدمت	kiszolgálás
خدمت	szerviz
خدمت	szolgálat
خدمت	szolgáltatás
داستانی	sztori
داستانی	történet
داستانی	story
داستانی	története
داستانی	mese
بعدها	később
ایرلند	írek
ایرلند	írország
ایرلند	ír
ایرلند	írország
پرواز	repülni
پرواز	repülés
پرواز	repül
پرواز	repülj
پرواز	repül
پرواز	repülés
پرواز	repülő
پرواز	repülőút
پرواز	repülés
پرواز	járat
پرواز	repülési
رمان	újszerű
رمان	regény
رمان	regényeket
رمان	regény
حاصل	termék
حاصل	eredmény
ادبی	irodalmi
خرد	összetört
خرد	értelem
آسیایی	ázsiai
بنیاد	alap
بنیاد	alapítvány
الله	allah
الله	isten
کشورها	országokban
کشورها	országok
خدا	isten
شهید	mártír
رهبری	vezetői
رهبری	vezetés
بریتانیایی	britek
بریتانیایی	angol
بریتانیایی	brit
تحقیقات	vizsgálat
تحقیقات	nyomozás
تحقیقات	kivizsgálás
تحقیقات	kutatás
تحقیقات	kutatások
تحقیقات	kutatási
کلاسیک	klasszikus
کلاسیک	klasszikus
کلاسیک	classic
زندان	börtön
زندان	börtönbe
زندان	börtön
زندان	börtönben
سلطان	szultán
هوا	időjárás
هوا	levegő
هوا	air
برق	elektromosság
برق	villamosenergia
برق	villámlás
برق	elektromos
برق	villámlás
برق	villám
جزایر	szigetek
جزایر	szigeteket
خورشید	napsütés
خورشید	sun
خورشید	nap
خورشید	napfény
نقاشی	festés
نقاشی	festék
نقاشی	festés
نقاشی	festmény
نقاشی	rajza
نقاشی	rajz
نقاشی	rajzol
معتبر	érvényes
پایتخت	főváros
پایتخت	tőke
تاسیس	telephely
تاسیس	létesítmény
تاسیس	létrehozása
تاسیس	letelepedés
تاسیس	létrehozásáról
شاعر	költő
تیر	tir
تیر	íjász
تیر	nyíl
مطالعه	tanulok
مطالعه	tanul
مطالعه	tanulás
مطالعه	vizsgálat
مطالعه	tanulmányok
مطالعه	tanulás
مطالعه	tanulmány
قتل	gyilkosság
رادیو	rádió
رادیو	rádiós
رادیو	radio
بومی	bennszülött
بومی	őshonos
بومی	belföldi
بومی	őslakos
بومی	bennszülött
بومی	őslakos
بومی	őshonos
بومی	bennszülöttek
نقشه	térkép
نقشه	térképet
نقشه	terv
تغییرات	módosítások
تغییرات	változtatások
تغییرات	változás
تغییرات	változások
تغییرات	változtatás
امروز	ma
بلند	high
بلند	magas
بلند	magasan
بلند	hangos
بلند	hangosan
خودرو	autóipari
خودرو	autóipar
خودرو	gépjármű
خودرو	autóval
خودرو	kocsi
خودرو	autó
خودرو	kocsival
خودرو	járművel
خودرو	jármű
خودرو	gépjármű
خودرو	járművek
ایتالیایی	olasz
ایتالیایی	olaszország
نگاه	néz
نگاه	keresem
نماینده	reprezentatív
نماینده	képviselő
نماینده	megbízott
اوج	felül
اوج	top
اوج	csúcs
اوج	felső
اوج	legfelső
اوج	csúcs
اوج	zenith
مقدس	szent
مقدس	szent
حرف	beszél
حرف	beszélő
حرف	levélben
حرف	betű
حرف	levél
حرف	levelet
حرف	levele
حرف	beszélni
حرف	beszélgetés
ابراهیم	ibrahim
ابراهیم	ábrahám
ابراهیم	abraham
اشتباه	rossz
اشتباه	helytelen
اشتباه	tévedés
اشتباه	hiba
شهرک	városban
شهرک	town
شهرک	város
جامع	átfogó
یونانی	görög
یونانی	görögök
دهانه	kráter
جعبه	box
جعبه	rovat
جعبه	láda
جعبه	doboz
جعبه	dobozok
جعبه	dobozokat
جعبه	ládák
جعبه	dobozos
ساز	eszköz
ساز	műszer
ساز	hangszer
مراکز	központok
مراکز	központok
محدود	limited
محدود	limitált
محدود	korlátozott
محدود	korlátolt
محدود	határ
محدود	korlátozás
محدود	határérték
محدود	limit
محدود	korlát
احتمال	esélyek
احتمال	esély
احتمال	esélyes
احتمال	valószínűsége
احتمال	lehetőség
احتمال	valószínűsége
احتمال	valószínűség
نروژ	norvégia
نروژ	norvég
نروژ	norvégia
همیشه	mindig
عشق	szeretettel
عشق	love
عشق	szeretet
عشق	szerelem
مجارستان	hungary
مجارستان	magyarország
مجارستان	magyarul
مجارستان	magyarok
مجارستان	magyar
مجارستان	hungarian
ارمنی	örmény
ارمنی	örmények
چک	csehország
چک	cseh
چک	csekk
چک	csekket
چک	ellenőrzések
خصوصی	magán
خصوصی	privát
آلاباما	alabama
ساده	egyszerű
ساده	szimpla
ساده	sima
ساده	egyszerűen
ساده	könnyű
شنا	úszik
شنا	úszás
شنا	úszni
شنا	úszó
شنا	úszás
شنا	úszni
تخت	ágyban
تخت	ágyat
تخت	ágy
سپاه	légió
سپاه	sereg
سپاه	hadsereg
بندی	bandy
برج	tornyok
برج	tower
برج	torony
سرانجام	végre
اسکاتلند	skócia
اسکاتلند	skót
اوهایو	ohio
نقاط	pont
نقاط	pontok
نقاط	foltok
رابرت	robert
رابرت	róbert
اسید	savat
اسید	lsd
اسید	sav
اسید	savas
لس	los
لس	les
اوایل	korán
اوایل	korai
پنجم	ötödik
پشتیبانی	támogatás
پشتیبانی	támogatást
پشتیبانی	támogatott
پشتیبانی	tartalék
پشتیبانی	erősítés
ایستگاه	állomás
ایستگاه	pályaudvar
معاصر	kortárs
برده	szolga
برده	rabszolga
اینترنت	interneten
اینترنت	internet
جورجیا	grúzia
جورجیا	georgia
عثمانی	oszmán
توزیع	terjesztés
توزیع	eloszlás
توزیع	elosztás
توزیع	forgalmazási
توزیع	elosztása
توزیع	forgalmazás
توزیع	elosztására
توزیع	terjesztés
توزیع	elosztás
توزیع	elosztása
برخورد	ütközés
برخورد	becsapódás
برخورد	hatás
برخورد	hatása
برخورد	ütközés
برخورد	összecsapás
برخورد	clash
دلایل	okok
دلایل	érvek
صد	száz
پول	pénz
پول	pénzt
واشینگتن	washingtonban
واشینگتن	washington
عرب	arab
عرب	arabok
پیروزی	győzelem
صدا	hang
صدا	hangot
صدا	hangja
صدا	hang
صدا	audio
صدا	hang
صاحب	tulaj
صاحب	tulajdonos
صاحب	tulajdonosa
برادر	tesó
برادر	testvér
مطالعات	vizsgálatok
مطالعات	tanulmányok
مشکلات	nehézségekkel
مشکلات	nehézségek
مشکلات	nehézségei
مشکلات	nehézség
مشکلات	gondok
مشکلات	probléma
مشکلات	problémák
مشکلات	problémákat
مشکلات	problémákkal
اقیانوس	óceánok
اقیانوس	óceán
اقیانوس	ocean
سریع	gyorsan
سریع	gyors
سریع	gyorsan
سریع	gyors
جوان	joan
جوان	jeanne
جوان	fiatalok
جوان	fiatal
جوان	fiatalos
سرطان	rákos
سرطان	rák
مشابه	hasonló
مشابه	hasonlóak
مشابه	hasonlók
دانشمندان	tudósok
دانشمندان	tudósok
دانشمندان	kutatók
جشن	ünnepel
جشن	ünneplés
جشن	ünnepelni
جشن	party
جشن	buli
جشن	parti
جشن	lakoma
جشن	ünneplés
جشن	ünnepelni
جشن	ünnep
جشن	ünneplés
جشن	ünnepség
جمهور	elnökök
کلمه	szó
کلمه	szava
آینده	jövőbeli
آینده	jövő
اسپانیایی	spanyolul
اسپانیایی	spanyolok
اسپانیایی	spanyol
اوکراین	ukrajna
قطع	vágás
رد	piros
رد	piroska
رد	vörös
مازندران	caspian
اخیر	nemrég
اخیر	legutóbbi
تصاویر	képeket
تصاویر	képek
تصاویر	képeket
تصاویر	képek
تصاویر	fényképek
تدوین	vágás
تدوین	szerkesztés
تدوین	vágó
جوانان	fiatalok
جوانان	ifjúsági
جوانان	fiatalság
جوانان	ifjúság
تازه	frissen
تازه	friss
تازه	újdonság
تازه	új
سرخ	piros
سرخ	piroska
سرخ	vörös
کودک	gyermek
کودک	gyermeke
کودک	gyermekem
کودک	gyerek
فرایند	eljárás
فرایند	folyamat
دل	szívem
دل	szívvel
دل	szív
دل	del
دل	dell
دل	szívek
صدای	hangja
صدای	hang
رهبر	vezér
رهبر	leader
رهبر	vezető
ناشر	kiadó
ناشر	kiadók
دیگران	másoknak
دیگران	egyéb
دیگران	mások
دیگران	egyebek
واقعی	real
واقعی	valós
واقعی	igazi
واقعی	valódi
واقعی	tényleges
هواپیمایی	repülés
هواپیمایی	légiközlekedés
هواپیمایی	légiközlekedési
هواپیمایی	sík
هواپیمایی	repülővel
هواپیمایی	repülő
هواپیمایی	repülőgép
هواپیمایی	légitársaság
هواپیمایی	légitársaságok
هواپیمایی	airlines
مشارکت	részvétel
شدت	intenzitás
شدت	intenzitása
شدت	súlyossága
فیلمبرداری	operatőrnek
فیلمبرداری	lövöldözés
فیلمبرداری	lő
فیلمبرداری	lövés
فیلمبرداری	forgatás
فیلمبرداری	forgatás
آورده	hozták
آورده	hozott
آورده	hoztam
آورده	hozta
جایگزین	utánpótlás
جایگزین	alternatív
جایگزین	alternatíva
جایگزین	csere
جایگزین	cseréje
جایگزین	levált
جایگزین	helyébe
جایگزین	helyettesíteni
حفاظت	védelmet
حفاظت	védelme
حفاظت	védelem
حفاظت	oltalom
شبیه	mint
شبیه	like
شبیه	tetszik
معادل	egyenértékű
معادل	megfelelője
بافت	szövetek
بافت	szövet
بافت	textúra
مسائل	gondok
مسائل	probléma
مسائل	problémák
مسائل	problémákat
مسائل	problémákkal
مسائل	problémák
مسائل	kérdések
بهبود	javítása
بهبود	javul
بهبود	javítása
بهبود	javulást
بهبود	fejlesztés
بهبود	javulás
بهبود	gyógyuló
بهبود	javítása
کانزاس	kansasi
کانزاس	kansas
پنسیلوانیا	pennsylvania
داکوتای	dakota
ایرانیان	irániak
ایرانیان	perzsa
ایرانیان	perzsák
ایرانیان	iráni
عبدالله	abdullah
تک	egyedülálló
تک	single
تک	egyetlen
تک	szingli
ولایت	tartomány
ولایت	tartományban
ولایت	tehetetlenség
گفتگو	társalgás
گفتگو	beszélgetés
گفتگو	beszélgetést
رومانی	román
رومانی	románia
رومانی	romániai
رومانی	románia
استادان	masters
استادان	mesterek
نهایی	döntő
نهایی	végleges
نهایی	záró
نهایی	utolsó
نهایی	végső
نهایی	végső
سومین	harmadik
سومین	harmadszor
کردستان	kurdisztán
فلزی	metál
فلزی	metal
فلزی	fémek
فلزی	fém
فلزی	fémes
فلزی	fém
ژاپنی	japán
ژاپنی	japánok
هنرهای	művészet
هنرهای	művészetek
هنرهای	művészeti
پرچم	zászló
پرچم	megjelölés
پرچم	lobogó
پرچم	zászlók
سینمای	mozi
کاخ	palazzo
کاخ	palota
کاخ	palace
تحصیلات	oktatási
تحصیلات	oktatás
صحنه	jelenet
صحنه	színpad
صحنه	színpadon
واکنش	reagálás
واکنش	reakció
واکنش	reakciók
واکنش	reflex
واکنش	reagálás
واکنش	reakció
واکنش	válasz
اکثر	legtöbb
عوامل	tényezők
ورودی	beviteli
ورودی	bevitel
ورودی	bemeneti
ورودی	belépő
ورودی	bejárat
ورودی	belépés
ورودی	belépő
ورودی	bejegyzés
روشن	fény
روشن	light
روشن	fényt
روشن	világos
روشن	tiszta
رسیدگی	megfontolás
رسیدگی	figyelembe
صورتی	pink
صورتی	rózsaszín
صورتی	rózsaszínű
سعی	próbálom
ساسانیان	indo
اجرایی	végrehajtó
اجرایی	ügyvezető
پست	poszt
پست	posta
پست	post
پست	bejegyzést
پست	bejegyzésre
پست	bejegyzés
پست	közzétette
پست	kiküldött
پست	közzétett
امی	amy
عملکرد	előadás
عملکرد	teljesítmény
بشر	emberek
بشر	emberség
بشر	emberiség
بشر	ember
بشر	emberi
مدار	pályára
مدار	áramkör
کدام	ami
کدام	melyik
کدام	mely
کدام	amely
نگهداری	megtartása
نگهداری	tartása
نگهداری	karbantartási
نگهداری	karbantartó
نگهداری	karbantartás
بهره	érdeklődés
بهره	kamat
بهره	érd
بهره	kamatok
باب	bab
اروپایی	európai
گرمی	melegség
رفتار	magatartás
رفتار	viselkedés
رفتار	viselkedése
رفتار	magatartás
رفتار	viselkedés
فرمول	képlet
فرمول	formula
نوری	nuri
نوری	fény
نوری	light
نوری	fényt
نوری	optikai
زیبا	gyönyörű
دانشجویان	diákok
دانشجویان	hallgatók
دانشجویان	tanulók
مربیان	kezelők
مربیان	vezetők
محور	tengely
محور	tengely
مخالفت	ellenzéki
مخالفت	ellenzék
حمل	vinni
دینی	vallásos
دینی	vallás
دینی	vallási
مسلمانان	muszlimok
مسلمانان	muszlim
مسلمانان	muzulmán
مسلمانان	muszlimok
گورستان	temetőben
گورستان	temető
آهن	vas
آهن	vasat
پیشین	korábbi
پیشین	előző
پیشین	korábbi
مقایسه	összehasonlítás
مقایسه	összehasonlítása
مقایسه	összehasonlítani
مقایسه	összehasonlítás
مقایسه	összehasonlítása
مقایسه	összehasonlítva
مقایسه	képest
رسیدن	megérkezett
رسیدن	megérkeztek
ابزار	szerszám
ابزار	eszköz
ابزار	eszközök
ابزار	szerszám
ابزار	szerszámok
مهاجرت	vándorolnak
مهاجرت	bevándorlási
مهاجرت	bevándorlás
مهاجرت	áttérés
مهاجرت	átállás
مهاجرت	bevándorlás
مهاجرت	migráció
اشعار	himnuszokat
مقاومت	ellenállni
مقاومت	ellenáll
مقاومت	ellenálló
مقاومت	rezisztencia
مقاومت	ellenállás
سینمایی	filmet
سینمایی	mozi
سینمایی	film
بیمارستان	kórházi
بیمارستان	kórház
بیمارستان	kórházak
بیمارستان	kórházakban
پا	gyalog
پا	láb
پا	lábát
پا	lábak
پا	lábai
پا	láb
پا	lábakat
پا	lábat
پا	lábát
پا	láb
اصول	alapokat
اصول	alapok
اصول	alapelvei
اصول	elvek
اصول	alapelvek
کن	ken
کن	kene
مجموع	összeg
مجموع	teljes
مجموع	összesen
تفاوت	diff
تفاوت	különbségek
تفاوت	eltérések
تفاوت	különbség
دیدگاه	szempontok
دیدگاه	szempontjai
گمر	gmr
دانمارک	dániában
دانمارک	dánia
دانمارک	dán
نوشتن	írj
نوشتن	írni
نوشتن	írjon
نوشتن	írással
نوشتن	írás
نوشتن	írása
اختلاف	különbségek
اختلاف	eltérések
اختلاف	nézeteltérés
لبنان	libanoni
لبنان	libanon
لبنان	libanoni
هشت	nyolc
شهردار	polgármester
نوبل	nemes
نوبل	noble
نوبل	nobel
بسکتبال	kosár
بسکتبال	kosárlabda
سخت	nehéz
سخت	kemény
سخت	nehéz
سخت	bonyolult
سامانه	rendszer
سامانه	system
هدایت	kalauz
هدایت	útmutató
هدایت	iránymutatás
هدایت	útmutatást
هدایت	útmutató
هدایت	útmutatás
تخیلی	kitaláció
تخیلی	fikció
پیام	üzenetet
پیام	üzenet
پیام	üzenetek
پیام	üzeneteket
فردی	freddie
فردی	freddy
گیتار	gitár
پلیس	rendőrség
پلیس	rendőr
مفهوم	elképzelés
مفهوم	koncepció
مفهوم	fogalom
چیز	dolgok
چیز	dolgokat
خطی	lineáris
خطی	kéziratot
خطی	kézirat
خوانده	olvasott
گردد	válik
بنده	szolga
بنده	cseléd
بنده	szolga
بنده	rabszolga
کمیته	bizottságok
کمیته	bizottság
ژان	jean
ژان	joan
ژان	jeanne
ژان	jeanne
اسماعیل	ismail
اسماعیل	ishmael
اسماعیل	ismael
تنظیم	kiigazítás
تنظیم	szett
تنظیم	set
تنظیم	beállítva
تنظیم	forgatás
تنظیم	beállítás
خلاصه	áttekintése
خلاصه	áttekintés
خلاصه	rövid
خلاصه	összefoglaló
ساکن	rezidens
ساکن	lakos
ساکن	rendezni
ساکن	álló
ساکن	mozdulatlan
گسترده	terjed
گسترده	bővült
گسترده	kiterjesztett
گسترده	kibővített
گسترده	meghosszabbított
گسترده	kiterjesztett
گسترده	kibővített
گسترده	széleskörű
الکتریکی	elektromos
الکتریکی	villamos
الکتریکی	villany
الکتریکی	elektromos
رایانه	számítógép
رایانه	számítógépek
رایانه	számítógép
رایانه	komputer
رایانه	computer
رایانه	számítástechnikai
عبور	kereszt
عبور	cross
عبور	keresztbe
عبور	passz
ششم	hatodik
لی	lee
هنرمند	művész
هنرمند	előadó
گوناگون	sokszínű
گوناگون	többféle
گوناگون	különféle
گوناگون	különböző
مدرن	modern
مدرن	korszerű
ماشین	gépezet
ماشین	gép
ماشین	autóval
ماشین	kocsi
ماشین	autó
ماشین	kocsival
ماشین	járművel
ماشین	jármű
ماشین	gépjármű
ماشین	járművek
یونایتد	united
یونایتد	egyesült
گلدن	golden
گلدن	arany
شدید	súlyos
شدید	heves
شدید	intenzív
شیر	oroszlán
شیر	tejjel
شیر	tej
شیر	tejet
آذر	azar
سخن	szó
سخن	szava
نقد	kritika
نقد	kritikát
نقد	készpénz
نقد	készpénzben
نقد	pénzt
محافظت	védelme
محافظت	véd
محافظت	megvédeni
محافظت	védelmet
محافظت	védelme
محافظت	védelem
محافظت	oltalom
تنیس	tenisz
بهار	tavaszi
بهار	tavasz
قانونی	legális
قانونی	törvényes
قانونی	jogi
قانونی	legális
قانونی	törvényes
حکم	ítélet
حکم	ítélet
حکم	ítélet
حکم	mondat
قصد	szándék
قصد	szándéka
قصد	szándék
قصد	szándéka
قصد	tervezett
قصد	szándékolt
قصد	szándékai
قصد	szándék
هوای	időjárás
ماهی	halak
ماهی	hal
ماهی	halat
رم	róma
رم	kos
رم	ram
رایج	közös
رایج	gyakori
هماهنگ	koordináló
کبک	partridge
کبک	quebec
مستند	dokumentumfilm
مهاجر	vándorló
مهاجر	migráns
مهاجر	bevándorlók
مهاجر	migránsok
مهاجر	menekültek
مهاجر	bevándorlók
مهاجر	bevándorló
فرهنگستان	akadémia
جایگاه	tartózkodási
جایگاه	lakóhely
جایگاه	resort
خطوط	vonalak
خطوط	sorok
سالهای	évek
سالهای	év
زمینی	talaj
نژاد	fajta
نژاد	faj
نژاد	futam
نژاد	verseny
نژاد	vérvonal
اروپای	európa
اروپای	europe
اروپای	európában
خاندان	klán
طولانی	hosszú
ریشه	gyökér
ریشه	gyökerek
مریلند	maryland
سرد	hidegen
سرد	hideg
تحقیق	nyomoz
تحقیق	nyomozás
تحقیق	vizsgálat
تحقیق	nyomozás
تحقیق	kivizsgálás
تحقیق	kutatás
تحقیق	kutatások
تحقیق	kutatási
ریچارد	richárd
ریچارد	richard
تنسی	tennessee
کاتولیک	katolikus
کاتولیک	katolikusok
اکلاهما	oklahoma
جنگی	háború
متوسط	átlagos
متوسط	átlagosan
متوسط	átlag
متوسط	közepes
دموکرات	demokratikus
دموکرات	demokrata
دموکرات	demokraták
دموکرات	demokrata
دادگاه	törvényszék
دادگاه	bíróság
دادگاه	udvar
دادگاه	court
دادگاه	számvevőszék
دادگاه	tárgyalóteremben
محسن	mohsen
کنتاکی	kentucky
سزار	cesar
سزار	césar
سزار	cézár
سزار	caesar
یمن	jemen
شناسایی	azonosítani
شناسایی	azonosítható
شناسایی	azonosítás
شناسایی	azonosító
اسم	főnév
قطر	katar
بند	band
بند	banda
بند	együttes
بند	zenekar
بند	bekezdés
بند	kanyar
بند	kötvényeket
بند	kötvény
بند	kötvények
ستارگان	csillagok
ستارگان	sztárok
ستارگان	csillag
درختان	fákon
درختان	fák
درختان	fákat
نتایج	eredmény
نتایج	eredmények
نتایج	eredményei
اثبات	bizonyítani
اثبات	bizonyítás
اثبات	bizonyítani
اثبات	bizonyíték
اثبات	bizonyítás
ادغام	fúzió
ادغام	egyesülés
ادغام	összefonódás
ادغام	egyesülni
ادغام	egyesülő
دهم	tizedik
جذب	felszívódás
جذب	elnyelni
جذب	vonzzák
جذب	vonzza
جذب	vonz
جذب	vonzalom
جذب	vonzza
بیشترین	legtöbb
لباس	ruházata
لباس	ruhák
لباس	ruházat
لباس	ruha
لباس	ruha
لباس	ruhák
لباس	ruhákat
لباس	ruhák
لباس	ruha
لباس	ruhát
ترکی	pulyka
ترکی	törökország
ترکی	török
سلام	helló
سلام	hello
سلام	béke
تحلیل	elemezte
تحلیل	elemzett
تحلیل	elemzés
تحلیل	elemzések
تحلیل	analízis
سعید	saeed
سعید	sayid
ریاضی	matematika
ریاضی	matematikai
ریاضی	matematikai
ریاضی	matematika
ریاضی	matek
ریاضی	matematikai
ریاضی	matematika
همچنان	még
تاریخچه	történelme
تاریخچه	előzmények
تاریخچه	történelem
نوشتار	okmány
نوشتار	okirat
نوشتار	dokumentum
نقره	silver
نقره	ezüst
گویا	goya
آواز	sang
آواز	énekelt
آواز	énekeltem
آواز	ének
آواز	éneklés
آواز	énekelni
آواز	énekel
آواز	dal
آواز	dalt
آواز	song
گلوب	globe
نظرات	vélemény
نظرات	vélemények
نظرات	megjegyzések
نظرات	hozzászólás
نظرات	megjegyzés
نظرات	hozzászólások
نظرات	észrevételek
مرز	határok
مرز	határokon
مرز	határ
مرز	határon
مرز	határokon
مرز	határvonal
مرز	határ
رویدادهای	események
رویدادهای	esemény
رویدادهای	rendezvények
روستاها	falvak
فدرال	szövetségi
فدرال	szövetségiek
گیاه	üzem
گیاه	növény
فرزندان	fiaim
فرزندان	fiai
فرزندان	gyerekek
فرزندان	gyermekeknek
فرزندان	gyermek
فرزندان	gyermekek
تدریس	tanít
تدریس	tanítani
تدریس	tanítás
تدریس	tanítsd
تدریس	tanítson
تدریس	tanítani
امپراتور	uralkodó
امپراتور	császár
پیرامون	körülvevő
پیرامون	környező
خانگی	háziállat
خانگی	háziállatok
خانگی	házi
نویسندگی	írással
نویسندگی	írás
نویسندگی	írása
حاکم	uralkodó
حاکم	kormányzó
بندر	harbor
بندر	bender
بندر	kikötők
بندر	kikötő
بندر	port
بندر	bandar
چینی	kínai
چینی	kínaiak
اینترنتی	interneten
اینترنتی	internet
جو	joe
قبول	elfogadni
قبول	elfogadom
هزینه	költség
هزینه	költségek
آرکانزاس	arkansas
همزمان	egyszerre
همزمان	egyidejűleg
اتاق	terem
اتاق	szoba
اتاق	helyiségek
اتاق	szoba
اتاق	szobákban
اتاق	szobák
نسل	nemzedék
نسل	generáció
نسل	vetőmag
نسل	mag
طبقه	padlót
طبقه	padló
طبقه	emelet
طبقه	padló
روند	trend
روند	tendencia
روند	eljárás
روند	folyamat
روند	eljárás
قیمت	árak
قیمت	ár
قیمت	ára
ضبط	felvétel
ضبط	rögzítés
ضبط	rekord
ضبط	lemez
مستقر	állomásozik
هفتم	vii
هفتم	hetedik
قابلیت	képesség
قابلیت	képesség
قابلیت	képességek
قابلیت	képességek
صلح	béke
سلسله	dinasztia
نیازمند	rászoruló
نیازمند	kell
نیازمند	szükséges
اعداد	számok
صفوی	ism
توانایی	képesség
توانایی	képességek
توانایی	képes
ویندوز	windows
ویندوز	ablakok
ویندوز	ablak
اورگن	oregon
نصب	telepítés
نصب	létesítmény
نصب	telepítés
نصب	telepítése
نصب	telepítés
نصب	telepíteni
نصب	telepítése
نصب	telepítve
نصب	beépített
نصب	telepített
آرام	békés
آرام	aram
هندی	indián
هندی	indiai
هندی	hindi
هندی	praktikus
هندی	kéznél
موج	hullám
نوشت	írj
نوشت	írni
نوشت	írjon
قلمرو	terület
قلمرو	területe
قلمرو	birodalom
آبشار	vízesés
آبشار	vízesések
آبشار	vízesés
آبشار	elesik
آبشار	vízesés
آبشار	falls
دشت	dast
ویسکانسین	wisconsin
تالار	kamra
تالار	kamrában
تالار	terem
تالار	hall
تالار	csarnok
مذهب	vallás
باور	bauer
باور	hiszem
باور	higgy
نظارت	monitoring
نظارت	megfigyelés
نظارت	ellenőrzés
نظارت	monitoron
نظارت	monitor
نظارت	felügyelet
نظارت	felügyelet
نظارت	megfigyelés
نظارت	felügyeleti
آسیب	kár
آسیب	károsodás
آسیب	kárt
آسیب	sérülés
احتمالاً	valószínű
احتمالاً	valószínűleg
الجزایر	algéria
الجزایر	algériai
الجزایر	algéria
بیت	legyőzni
بیت	bites
بیت	kicsit
دقیق	pontos
دقیق	precíz
دقیق	pontos
دقیق	pontos
لرستان	bronz
نواحی	körzetek
نواحی	térségek
نواحی	területek
سوسیالیستی	szocialista
سوسیالیستی	szocialisták
تونی	tony
عناصر	elemei
عناصر	elemek
شیلی	chile
شیلی	chilei
شیلی	chilei
شیلی	chile
مانده	maradvány
موفقیت	sikeres
موفقیت	siker
قالب	formátuma
قالب	formátum
امضا	aláírás
امضا	aláírva
امضا	aláírás
امضا	aláírt
امضا	aláírás
عمده	ömlesztett
عمده	nagykereskedelmi
عمده	őrnagy
امارات	emírségek
توکیو	tokió
توکیو	tokiói
توکیو	tokyo
دعوت	meghívni
دعوت	meghívó
دعوت	meghívás
دعوت	meghívást
دعوت	meghívó
دعوت	meghívás
دعوت	meghívást
دعوت	meghívó
دعوت	felkéri
دعوت	meghívókat
دعوت	meghívás
نامزدهای	jelölések
نامزدهای	jelöléseket
لقب	becenév
لقب	beceneve
فرار	szökés
فرار	menekülés
فرار	megszökni
صفحات	lapok
صفحات	oldalakon
صفحات	oldalak
آوردن	hozták
آوردن	hozott
آوردن	hoztam
آوردن	hozta
آوردن	hozz
آوردن	hozd
سود	profit
سود	haszon
سود	nyereség
سود	haszon
