och	그리고
rumänien	루마니아어
boston	보스턴
johnny	조니
johnny	쟈니
johnny	자니
wild	와일드
wild	야생
förbundet	규약
förbundet	동맹
förbundet	리그
road	도로
road	로드
lexikon	어휘
lexikon	사전
lexikon	사전
blues	블루스
mix	섞어
mix	믹스
mix	혼합
kod	코드
kod	부호
tillgång	접속
tillgång	접근
tillgång	액세스
tillgång	자산
bro	다리
bro	브리지
boy	boy
boy	소년
boy	남자아이
boy	보이
line	라인
gemensamt	관절
canal	운하
sport	스포츠
sport	스포츠
advokat	변호사
advokat	변호사
shoal	암초
cameron	캐머런
cameron	카메론
armé	육군
armé	군대
vitt	하얀
vitt	화이트
vitt	흰색
vitt	하얀색
vitt	하얗게
lättare	라이터
iso	iso
marcus	마커스
marcus	마르쿠스
ämne	주제
ämne	물질
ämne	주제
ämne	제목
kropp	시체
kropp	몸매
kropp	몸매가
kentucky	켄터키
artist	연기자
artist	공연자
artist	연주자
artist	음악가
artist	예술가
artist	아티스트
artist	아티스트가
championship	챔피언십
championship	챔피언쉽
ägs	소유
down	다운
down	아래로
video	동영상
video	비디오
fält	필드
fält	현장
fält	필드
huvudet	헤드
huvudet	머리
champagne	샴페인
parlamentet	국회
parlamentet	국민의회
parlamentet	의회
spansk	스페인어
kemi	화학
vinst	이익
vinst	win
vinst	승리
vinst	이익
vinst	수익
publik	타겟
publik	관객
publik	군중
sjukhus	병원
sjukhus	병원
förmåga	능력
förmåga	능력
förmåga	능력자
historisk	사적
historisk	역사
privata	비공개
demokratisk	민주당
gemensamma	관절
dakota	다코타
förluster	손해
förluster	손실
förluster	사상자
nyheter	뉴스
nyheter	소식
ray	레이
köptes	샀다
show	표시
show	보이기
show	공연
tornet	타워
skiva	디스크
skiva	디스크
representerar	나타냅니다
ändra	바뀌기
ändra	변경
ändra	수정
ändra	바뀌기
ändra	변화
ändra	변경
ändra	바꾸기
tider	타임스
tider	타임즈
döden	죽음
döden	사망
döden	데스
organisationer	단체
organisationer	조직
organisationer	단체
oavsett	무엇이든지
oavsett	무엇이든
oavsett	whatever
bred	넓은
bred	와이드
bred	넓이
bred	넓은
bred	광범위
bred	광범위한
totala	총액
totala	전체
färger	색상
färger	색상
färger	색깔
manchester	맨체스터
öka	증가
motiv	동기
motiv	프레임
motiv	액자
motiv	프레임
motiv	동기
revolutionen	레볼루션
revolutionen	레벌루션
revolutionen	혁명
ute	ute
ute	아웃
game	게임
game	경기
gul	황색
gul	노랑색
gul	노란색
gul	노랑
äkta	진짜
äkta	리얼
äkta	레알
äkta	정품
äkta	정통
äkta	합법적인
fisk	피쉬
fisk	피시
fisk	생선
fisk	물고기
kunskap	지식인
kunskap	지식
planer	플랜
planer	계획
cambridge	케임브리지
bilda	형식
bilda	형태
bilda	양식
robinson	로빈슨
turner	터너
papua	파푸아
population	인구순
population	인구
slutar	종료
slutar	정류장
golden	황금
golden	골든
värld	월드
värld	세상
värld	세계
anthony	안토니우스
anthony	앤서니
demokratiska	민주당
christina	크리스티나
dead	사망
dead	데드
lawrence	로런스
lawrence	로렌스
termen	용어
porträtt	초상화
porträtt	세로
porträtt	인물
porträtt	portraits
porträtt	초상화
brandenburg	브란덴부르크
klassisk	클래식
klassisk	고전주의
klassisk	고전
klassisk	클래식
klassisk	고전
zambia	잠비아
student	학생
särskilda	구체적
särskilda	특정
särskilda	구체
särskilda	특수
särskilda	특별한
särskilda	스페셜
särskilda	특별
utveckla	개발
stewart	스튜어트
sjätte	여섯번째
förstår	이해
förstår	이해하기
förstår	알아듣기
jimmy	지미
beslutade	결심
television	텔레비전
basse	비공개
ljud	소리
ljud	사운드
ljud	소리
ljud	오디오
framträdande	외모
framträdande	모양
framträdande	출연
fullt	가득
orter	도시
bernard	베르나르드
bernard	버나드
bernard	베르나르
graham	그레이엄
salt	소금
högskolan	대학교
högskolan	대학
högskolan	칼리지
högskolan	대학생
vintern	겨울
vintern	윈터
fasta	금식
fasta	단식
fasta	고정
zürich	취리히
zürich	취리히
effekt	영향
effekt	효과
viktor	빅토르
viktor	빅터
viktor	빅토르
händelser	스토리
händelser	소식
händelser	이벤트
händelser	행사
mandat	위임통치령
vattenfall	폭포
vattenfall	폭포수
vattenfall	폭포
sent	늦은
sent	지각
sent	늦게
kejsare	황제
kejsare	천황
kejsare	황제
versioner	버전
samtida	현대
uruguay	우루과이
oxford	옥스포드
oxford	옥스퍼드
objekt	상품
objekt	항목
objekt	품목
objekt	아이템
objekt	객체
objekt	개체
objekt	물체
objekt	천체
objekt	객체
objekt	개체
objekt	대상
objekt	천체
objekt	항목
objekt	품목
objekt	아이템
home	집에
home	고향
home	집으로
home	가정
relevans	관련성
tävlingar	대회
tävlingar	콘테스트
visades	표시됨
hamburg	함부르크
insatser	행동
insatser	활동
insatser	동작
insatser	액션
insatser	노력
lär	가르쳐
lär	배운다
lär	배워
operation	작동
operation	작전
operation	수술
operation	외과
operation	수술과
luxemburg	룩셈부르크
årligen	매년
angränsande	인접
angränsande	인접한
filosofi	철학
miguel	미겔
nicholas	니컬러스
nicholas	니콜라스
nicholas	니콜라우스
gjorda	made
gjorda	만든
exakt	정확하게
exakt	정확히
exakt	정확히
tidig	초기
tidig	일찍
fischer	피셔
sun	햇볕
sun	태양
falls	폭포
lämnar	떠나
lämnar	떠나기
skivor	레코드
skivor	디스크
skivor	슬라이스
skapat	생성
skapat	만들었습니다
mil	마일
mil	마일스
mil	마일리지
mil	마일
mil	마일리
mil	마일즈
sist	마지막
sist	라스트
studenter	학생
studenter	학생들
studenter	유학생
león	레온
cook	요리사
google	구글
bromsar	브레이크
bromsar	브레이크
förändringar	변화
förändringar	변경
ras	품종
ras	레이스
ras	경주
ras	인종
ras	경쟁
unionen	동맹
unionen	연맹
unionen	유니언
unionen	연합
avgick	사임
avgick	사직
upplaga	에디션
känns	느낌
inne	인사이드
inne	내부
werner	베르너
ren	순수한
ren	순수
ren	청소
ren	깨끗한
ren	깨끗하다
studio	스튜디오
kloster	수도원
kloster	수녀원
kloster	수도원
kloster	수도원
kusten	코스트
kusten	해안
kurt	커트
kurt	쿠르트
herbert	허버트
kansas	캔자스
tanzania	탄자니아
hamn	항구
hamn	항만
hamn	항구
hamn	하버
hamn	항구
hamn	포트
arkitektur	아키텍처
arkitektur	건축학
arkitektur	건축
trodde	생각
franklin	프랭클린
cap	cap
statistik	통계
statistik	통계학
statistik	통계
statistik	통계
statistik	인사이트
kombination	조합
rädda	저장하기
rädda	저장
rädda	구출
rädda	구조
metod	방법론
metod	수단
metod	메서드
metod	방법
metod	메소드
ökar	증가
produktionen	프로덕션
produktionen	생산
produktionen	제작
besök	방문
besök	방문하기
besök	방문
besök	방문자
hessen	헤센
naturliga	자연
naturliga	천연
elva	일레븐
köpa	구매
köpa	구입
köpa	구매하기
köpa	사기
köpa	구매
forum	포럼
forum	포럼
php	php
way	웨이팅
way	way
way	웨이
partier	많이
partier	파티
använt	사용함
använt	사용됨
använt	사용
urban	도시
grundläggande	초등
grundläggande	기본
grundläggande	기초
grundläggande	베이직
statliga	상태
statliga	국가
valencia	발렌시아
dans	댄스
dans	무용
dans	댄싱
dans	춤추는
österrikisk	오스트리아인
dåligt	bad
dåligt	나쁜
dåligt	나쁘다
jönköping	옌셰핑
parker	파커
parker	파크
parker	공원
parker	파크스
behandling	치료법
behandling	치료
behandling	시술
behandling	치료
riddare	기사
riddare	나이트
riddare	나이트
berättelser	스토리
berättelser	소식
städerna	도시
potosí	포토시
tala	말하기
bali	발리
konstnärer	음악가
konstnärer	예술가
konstnärer	아티스트
konstnärer	아티스트가
återkommande	반복
återkommande	재발
återkommande	정기
bruno	브루노
bibliotek	라이브러리
bibliotek	도서관
bibliotek	라이브러리
bibliotek	도서관
intressant	흥미롭다
intressant	흥미로운
intressant	재미있는
katalonien	카탈루냐
alt	alt
mississippi	미시시피
schmidt	슈미트
kapell	채플
kapell	예배당
ericsson	에릭슨
mängder	수량
kejsaren	황제
kejsaren	천황
orange	오렌지
orange	오렌지색
skolor	학교
teori	이론
alex	알렉스
alex	앨릭스
jord	토양
jord	먼지
jord	earth
jord	대지
jord	지구
robin	로빈과
robin	로빈
söka	찾기
söka	검색
söka	검색하기
söka	검색
rörelse	모션
rörelse	움직임
rörelse	움직임
rörelse	운동
billy	빌리
memorial	메모리얼
memorial	기념비
memorial	기념관
kinesisk	중국인
kinesisk	중국어
sandy	샌디
bourgogne	부르고뉴
format	형식
format	포맷
format	형식
format	포맷
format	형식으로
säkert	안전한
säkert	무사히
säkert	안전
säkert	확실히
bron	다리
bron	브리지
keith	키스
motivering	동기
motivering	동기부여
motivering	정당화
hamnar	항구
hamnar	포트
avslutade	완료
avslutade	완료되었습니다
avslutade	완료
avslutade	완료되었습니다
avslutade	종료되었습니다
gren	지점
gren	분기
mänskliga	인간
mänskliga	인체
mänskliga	인간인
initiativ	이니셔티브
initiativ	이니셔티브
america	아메리카
stadion	경기장
stadion	스타디움
russell	러셀
who	who
syn	광경
syn	비전
syn	시력
syn	시각
holland	홀랜드
högskola	대학교
högskola	대학
högskola	대학교
högskola	대학
högskola	칼리지
högskola	대학생
grön	녹색
grön	그린
grön	초록색
grön	초록
enhet	기기
enhet	단말기
enhet	장치
enhet	유닛
enhet	unit
enhet	단위
oklahoma	오클라호마
giovanni	조반니
gemensam	관절
jugoslavien	유고슬라비아
fysik	물리학
fysik	물리
liga	동맹
liga	리그
liga	리가
järnvägen	철도
filip	펠리페
filip	필립
thompson	톰프슨
funktioner	함수
funktioner	특징
funktioner	기능
blockera	차단
blockera	차단
blockera	블록
blockera	블럭
wright	라이트
marknaden	마켓
marknaden	시장
besökte	방문
inkluderar	포함
inkluderar	포함
inkluderar	포함됨
ledamöter	멤버
ledamöter	구성원
ledamöter	멤버들
administrativt	행정
enkel	단순
enkel	간단
enkel	심플
enkel	단순한
enkel	간단하다
enkel	간단한
tokyo	도쿄
tokyo	동경
connecticut	코네티컷
måttlig	적당히
måttlig	적당히
ägg	계란
ägg	달걀
ägg	계란
ägg	달걀
tradition	전통
skada	부상
skada	피해
skada	손상
skada	손해
medicin	의학
medicin	약물
genombrott	획기적인
genombrott	돌파
twin	쌍둥이
twin	트윈
romaner	소설
lösa	해결
lösa	풀기
lösa	해결
översättare	번역기
översättare	번역자
översättare	번역
more	기타
friidrott	육상
oskar	오스카어
oskar	오스카
natt	밤에
natt	나이트
skydda	보호하기
skydda	보호
skydda	보호하기
skydda	protect
skydda	보호
ögon	눈빛
rektor	교장
frans	프랜시스
lost	분실
lost	로스트
lost	잃어버린
festival	축제
festival	페스티벌
gula	황색
gula	노랑색
gula	노란색
gula	노랑
faller	떨어지고
faller	falling
faller	떨어지는
faller	떨어지지
faller	떨어지는
faller	떨어짐
faller	폭포
arnold	아르놀트
rött	붉은
rött	붉은색
rött	레드
rött	빨간색
rött	빨강
argument	인자
argument	인수
argument	논증
argument	인수
argument	논쟁
utvecklas	진화
utvecklas	진화
civil	민간
civil	민간인
publicerad	게시
publicerad	출판
publicerad	출판됨
honor	암컷
honor	여성
local	로컬
local	현지
äter	먹기
äter	먹기
äter	먹어
wikimedia	위키미디어
officer	책임자
officer	경관
officer	경찰관
officer	장교
manliga	남성
manliga	수컷
medalj	메달
bull	황소
mongoliet	몽골
judar	유대인
wolf	늑대
wolf	볼프
wolf	울프
byta	스위치
byta	switch
byta	전환
byta	바꾸기
byta	바꾸기
byta	스왑
byta	바뀌기
byta	변경
byta	전환
byta	바뀌기
byta	변화
byta	변경
byta	바꾸기
klippor	절벽
klippor	바위
design	설계
design	디자인
bestämde	결심
gräns	프런티어
gräns	프론티어
gräns	한계
gräns	제한
gräns	극한
gräns	경계
gräns	경계선
gräns	국경
gräns	경계
gräns	경계선
gräns	테두리
dykare	다이버
speciella	특수
speciella	특별한
speciella	스페셜
speciella	특별
sara	사라
sara	새라
sara	세라
sara	사라
sara	세라
böhmen	보헤미아
digital	디지털
kristen	기독교
kristen	크리스티안
kristen	크리스천
kristen	크리스찬
kristen	크리스틴
mamma	엄마
mamma	엄마
mamma	어머니
drivs	전원
mitchell	미첼
atacama	아타카마
service	서비스
harold	해롤드
harold	해럴드
baku	바쿠
youtube	유튜브
youtube	youtube
youtube	유투브
torg	제곱
torg	스퀘어
torg	광장
torg	사각형
torg	정사각형
torg	제곱수
privat	비공개
privat	비공개로
privat	비공개
jonsson	욘손
element	원소
element	요소
element	원소
förhållanden	연애
förhållanden	관계
förhållanden	조건
power	파워
power	전력
power	권력
vardera	각각
blanca	블랑카
tidskrift	잡지
tidskrift	매거진
tidskrift	학술
tidskrift	학술지
tidskrift	저널
sällskapet	사회
vägar	도로
vägar	경로
elitserien	프리미어십
sjunde	일곱번째
felix	펠릭스
docent	안내원
känna	feel
känna	기분
känna	느낌
känna	느낌이
känna	기분
känna	느낌
åsikter	의견
åsikter	견해
åsikter	조회
åsikter	조회수
möte	약속
möte	예약
möte	모임
möte	회의
möte	만남
möte	미팅
get	염소자리
get	염소
get	get
get	받기
etablerade	설립
saknade	실종
saknade	누락
saknade	missing
ring	링링
ring	반지
ring	소환
ring	통화
ring	전화
ring	호출
hansen	핸슨
minska	축소
minska	줄이기
minska	감소
operan	opera
operan	오페라
efterträdare	후임
blad	나뭇잎
blad	잎새
blad	시트
blad	시트
blad	블레이즈
borta	gone
miljö	환경
louisiana	루이지애나
industri	업계
industri	산업
drag	움직여
drag	움직임
drag	이동
drag	끌기
drag	드래그
drag	moves
drag	움직임
tillverkade	made
tillverkade	만든
tillverkade	제조
absolut	절대
absolut	절대적
torn	타워
torn	타워
dance	댄스
dance	무용
utvecklat	선진
utvecklat	진화
förare	운전자
förare	드라이버
förare	운전사
förare	드라이버
förare	운전사
toro	토로
toro	토토로
metoder	방법론
metoder	수단
metoder	메서드
metoder	방법
raymond	레이먼드
raymond	레이몬드
benin	베냉
borgmästare	시장
tim	tim
folkmängd	인구순
folkmängd	인구
prinsessan	공주
prinsessan	공주님
prinsessan	프린세스
cooper	쿠퍼
botswana	보츠와나
stannade	중단됨
anslöt	가입했습니다
nederländska	네덜란드
nederländska	네덜란드인
nederländska	네덜란드령
nederländska	네덜란드어
porto	우표
porto	포르토
porto	포르투
canyon	협곡
canyon	캐니언
stan	스탄
stan	스탠리
stan	스텐
stan	스탠
redigera	편집
redigera	편집하기
redigera	수정
redigera	편집
redigera	수정
intervju	인터뷰
intervju	면접
bahamas	바하마
premier	프리미어
fastlandet	본토
förlust	상실
förlust	손실
förlust	손해
förlust	손실
säte	좌석
säte	자리
vald	선정
vald	선출
andre	앙드레
andre	안드레
avtal	계약
avtal	계약서
avtal	동의
avtal	협정
avtal	합의
avtal	협약
avtal	협정
spencer	스펜서
handel	상거래
handel	커머스
handel	상업
handel	무역
handel	트레이드
handel	트레이딩
handel	거래
handel	무역
utbildade	훈련
gatan	거리가
gatan	스트리트
gatan	거리
gatan	길거리
idéer	아이디어
musikaliska	뮤지컬
jon	jon
profil	프로파일
profil	프로필
anhängare	지지자들
anhängare	지지자
anhängare	후원자
anhängare	지지자
anhängare	서포터
higgins	히긴스
thailand	태국
thailand	타이
förbi	과거
medborgare	시민
medborgare	시민들
medborgare	내셔널스
medborgare	시민
medborgare	시티즌
junior	주니어
jazz	재즈
polsk	폴란드어
polsk	폴란드
pakistan	파키스탄
page	페이지
brand	화재
brand	불화
brand	브랜드
behandlar	대접
behandlar	취급
tidningar	신문
tidningar	잡지
tidningar	종이
tidningar	신문
tidningar	페이퍼
tidningar	서류
clara	클라라
styrelsen	보드
styrelsen	게시판
styrelsen	이사회
bach	바흐
mittfältare	미드필더
swedish	영어
swedish	잉글리시
söker	검색
allierade	연합군
allierade	연합국
allierade	앨리
jason	제이슨
tyrolen	티롤
kelly	켈리
flagga	깃발
flagga	국기
flagga	플래그
iron	철쭉
skillnaden	차이
skillnaden	차이점
baserade	기반
baserade	기반으로
lokalt	국소
lokalt	로컬
lokalt	현지
dokument	문서로
dokument	문서
dokument	문서
föda	푸드
föda	음식
föda	식량
föda	식품
bernhard	베르나르드
bernhard	버나드
bernhard	베르나르
träffar	조회수
benjamin	벤저민
benjamin	벤자민
vincent	빈센트
stål	제철
stål	강철
stål	스틸
förbättra	개선하기
förbättra	개선
förbättra	보정
förbättra	향상
förbättra	개선하기
förbättra	향상
förbättra	개선
diskussioner	토론
diskussioner	논의
diskussioner	토론
diskussioner	논의
hotell	호텔
hotell	호텔
abraham	아브라함
abraham	에이브러햄
resor	여행
sek	sec
rådet	협의회
rådet	평의회
omedelbart	즉시
omedelbart	즉각
omedelbart	즉시
diverse	기타
vietnam	베트남
fordon	차량
fordon	차량
regioner	지역
väljer	선택하기
väljer	선택
framtiden	미래
framtiden	퓨처
toronto	토론토
österrikiska	오스트리아인
córdoba	코르도바
antoine	앙투안
fire	화재
fire	불화
judiska	유대인
judiska	유대교
saga	사가
deltagande	출석
deltagande	참석
deltagande	참가
deltagande	참여
segrare	승리자
segrare	우승자
segrare	winner
segrare	승자
segrare	빅토르
segrare	빅터
jane	제인
carlo	카를로
tillfälle	행사
tillfälle	기회
margaret	마거릿
margaret	마르그리트
georgetown	조지타운
birgitta	브리짓
förklarade	선포
köra	드라이브
köra	드라이빙
köra	운전
traditionellt	전통적
traditionellt	전통적인
traditionellt	전통
traditionellt	전통적으로
irak	이라크
upphov	상승
upphov	rise
referenser	참조
referenser	참고
bbc	bbc
marshall	마샬
marshall	마셜
ombord	탑승
antogs	채택
antogs	입양
delade	공유
kalendern	달력
kalendern	캘린더
remix	리믹스
organ	장기
organ	장기
organ	오르간
diplomat	외교관
santander	산탄데르
amerika	아메리카
amerika	아메리카
thomson	톰프슨
thomson	톰슨
enstaka	싱글
enstaka	단일
ansvarig	책임
ansvarig	책임감
ansvarig	관리자
tillverkad	제조
tillverkad	made
tillverkad	만든
emma	엠마
enheter	유닛
enheter	단위계
enheter	단위
enheter	기기
enheter	디바이스
enheter	장치
montenegro	몬테네그로
lanserades	시작됨
dålig	bad
dålig	나쁜
dålig	나쁘다
veckan	주일
veckan	일주일
veckan	주간
veckan	매주
diameter	직경
diameter	지름
mytologi	신화
deltagit	참가
motstånd	저항운동
motstånd	저항성
motstånd	저항
kritiker	비평가
kritiker	평론
kritiker	크리틱스
kritiker	비평가
motståndare	상대
motståndare	상대편
motståndare	상대성
grå	회색
grå	그레이
grå	회색
grå	그레이
tyckte	생각
förstå	이해
förstå	이해하기
förstå	알아듣기
förstå	이해
förstå	이해하기
bolívar	볼리바르
strider	전투
racing	경주
racing	레이싱
äktenskapet	혼인
äktenskapet	결혼
flandern	플랜더스
carter	카터
stiftelsen	파운데이션
stiftelsen	재단
mord	살인
mord	치사
mord	살인사건
mord	살인죄
mord	살인
naturen	자연
enkla	단순
enkla	간단
enkla	심플
enkla	단순한
enkla	간단하다
enkla	간단한
dave	데이브
singlar	singles
singlar	싱글
låga	불꽃
låga	낮은
låga	낮음
låga	low
latinska	라틴
latinska	라틴어
korrekt	정확한
korrekt	정확도
korrekt	정답
korrekt	올바른
lane	레인
lane	차로
betala	지불
betala	결제
law	법칙
law	법률
law	법학
stjärnor	항성
stjärnor	스타
gifta	결혼
gifta	결혼
människa	인간
människa	인체
människa	인간인
scen	장면
scen	현장
scen	스테이지
scen	무대
bit	깨물어
bit	piece
faso	파소
trea	세번째
trea	셋째
bredd	너비
bredd	너비
nielsen	닐슨
nielsen	nielsen
nielsen	닐센
bevis	증명
bevis	증거
bevis	증거
aragonien	아라곤
skådespelerska	배우
skådespelerska	여배우
litterära	문학
hardy	하디
riksdag	국회
riksdag	국민의회
riksdag	의회
grundat	설립
fokus	집중
fokus	초점
fokus	집중하기
fokus	포커스
wolfgang	볼프강
watson	왓슨
perspektiv	관점
perspektiv	관점
skador	피해
skador	손상
skador	손해
skador	손해배상
skador	부상
skador	부상
chongqing	충칭
skulptör	조각가
skulptör	조각가자리
nigeria	나이지리아
mala	분쇄
handlingar	문서
drew	드류
drew	드루
sri	sri
klubbar	클럽
uppfattning	지각
uppfattning	인식
bretagne	브르타뉴
bretagne	브리트니
åtgärder	행동
åtgärder	활동
åtgärder	작업
åtgärder	동작
åtgärder	액션
åtgärder	조치
åtgärder	측정
åtgärder	대책
åtgärder	행동
åtgärder	활동
åtgärder	동작
åtgärder	액션
charlie	찰리
grader	도도
passerar	건널
passerar	건널목
passerar	건너
passerar	지나가다
passerar	지나가다가
passerar	지나가
passerar	지나가는
maryland	메릴랜드
liverpool	liverpool
liverpool	리버풀
force	강제
force	포스
salzburg	잘츠부르크
gods	화물
gods	상품
gods	물품
gods	화물
gods	운송
arkiv	저장소
arkiv	파일
arkiv	아카이브
arkiv	보관
behåll	유지
main	메인
knappt	간신히
verkställande	처형
verkställande	실행
sjunger	노래
ström	스트리밍
ström	스트림
ström	흐름
elisabet	엘리자베스
elisabet	엘리사벳
elisabet	엘리자벳
elisabet	엘리자베스
fristående	독립
fristående	독립적
blommor	꽃이
minsta	최소
inspelad	녹음
inspelad	녹화
behövde	필요함
ungerska	헝가리
ungerska	헝가리어
deep	깊은
deep	깊게
administratör	운영자
administratör	관리자
administratör	운영자
administratör	관리자
andrea	안드레아
kvinnan	여인
kvinnan	여자
kvinnan	여성
aktuella	현재
aktuella	전류
upptäckte	발견됨
konflikt	갈등
konflikt	갈등이
konflikt	충돌
konflikt	분쟁
awards	수상
awards	어워드
påve	교황
kennedy	케네디
hms	hms
minister	장관
marsh	습지
marsh	마시
skogen	우즈
gränser	한계
gränser	제한
gränser	경계
gränser	프론티어
gränser	국경
gränser	경계선
framgångsrik	성공적
framgångsrik	성공함
framgångsrik	성공
framgångsrik	성공적인
ökat	증가
ingenjör	기술자
ingenjör	엔지니어
ingenjör	공학자
sälja	판매하기
sälja	팔아
sälja	판매
sälja	판매
institute	연구소
provence	프로방스
symbol	기호
symbol	상징
livsmiljö	서식지
eagle	독수리
eagle	이글
medarbetare	직원
medarbetare	직원
medarbetare	직원들
medarbetare	동료
medarbetare	동료들
medarbetare	동료
akut	급성
akut	응급
akut	비상사태
akut	긴급한
akut	급한
akut	긴급
julia	율리아
julia	쥘리아
julia	줄리아
julia	줄리엣
tänker	생각
komplett	완료
komplett	완성
tänka	생각
tänka	생각하기
tänka	생각
sidorna	페이지
undersökningar	설문조사
undersökningar	수사
undersökningar	탐구
undersökningar	설문조사
undersökningar	설문
undersökningar	공부
undersökningar	문의
hastighet	속도
hastighet	속력
hastighet	속도
hastighet	스피드
begränsad	한정
begränsad	제한된
aktivt	활성화
aktivt	활동
aktivt	액티브
aktivt	활성
aktivt	적극적으로
rätta	정답
rätta	올바른
djurart	종족
napoleon	나폴레옹
stuart	스튜어트
dör	죽는다
sullivan	설리번
ficus	무화과
tunga	무겁게
tunga	무거워
tunga	무거운
tunga	무거움
producerade	제작
individuella	개별
individuella	개인
hitler	히틀러
cecilia	세실리아
kronan	왕관
kronan	크라운
part	party
part	파티
inriktning	오리엔테이션
inriktning	방향
inriktning	지향
mästerskap	챔피언십
mästerskap	챔피언쉽
lösning	해결책
lösning	솔루션
elias	엘리아스
elias	엘리어스
img	img
grav	무덤
grav	무덤
wiki	위키
wiki	위키위키
herre	주님
lagar	법률
kontor	사무실
kontor	사무소
kontor	사무실
kontor	오피스
alternativt	대안
alternativt	얼터너티브
alternativt	대체
run	달려
run	실행
run	달리기
run	런닝
frankfurt	프랑크푸르트
teknisk	테크니컬
teknisk	기술
teknisk	기술적
tillfälligt	일시적
tillfälligt	일시적으로
tillfälligt	임시
tillfälligt	일시적
champions	챔피언스
champions	챔피언
perry	페리
lotus	로터스
utgivna	발급
utgivna	발행
brun	갈색
brun	브라운
clarke	클라크
playstation	플레이스테이션
kusin	사촌
kusin	사촌동생
becker	becker
utvecklats	선진
utvecklats	진화
församlingar	어셈블리
påven	교황
grundad	설립
tiderna	타임스
tiderna	타임즈
rötter	뿌리
rötter	뿌리기
cross	교차
cross	십자
cross	십자가
cross	크로스
modeller	모델
modeller	모형
elev	눈동자
elev	동공
elev	학생
leeds	리즈
framtida	미래
framtida	퓨처
times	타임스
times	타임즈
meta	메타
jakt	사냥
jakt	헌트
jakt	사냥
tillverkning	제조
tillverkning	프로덕션
tillverkning	생산
tillverkning	제작
tillverkning	제조업
tillverkning	제조
karriären	경력
karriären	직업
karriären	커리어
beteende	행동
beteende	행동
beteende	동작
beteende	행위
meyer	마이어
drar	당기
vancouver	밴쿠버
burma	미얀마
burma	버마
burma	미얀마어
burma	미얀마
tjänster	서비스
personal	직원
personal	스탭
personal	직원들
sjukdomar	질병
sjukdomar	질환
sjukdomar	질병
plus	플러스
civila	민간
civila	민간인
civila	민간인
amsterdam	암스테르담
morris	모리스
intresserad	관심사
intresserad	관심
guadeloupe	과들루프
guadeloupe	과달루페
kommunistiska	공산주의자
news	뉴스
news	소식
philadelphia	필라델피아
stadsdel	동네
tbilisi	트빌리시
merrill	메릴
flat	평평한
flat	플랫
finna	찾기
finna	찾기
wayne	웨인
wayne	wayne
ukrainska	우크라이나
ukrainska	우크라이나
ukrainska	우크라이나어
fraser	어구
fraser	문구
fraser	프레이저
medaljer	메달
monument	기념물
monument	기념비
monument	기념탑
monument	기념물
monument	모뉴먼트
monument	기념비
polis	경찰
polis	캅카스
polis	경찰
polis	경찰관
hårda	열심히
hårda	하드
hårda	어려워
tillbringade	지출
tillverkas	제조
rakt	똑바로
rakt	스트레이트
annorlunda	달라
annorlunda	다름
annorlunda	다르다
bates	베이츠
svår	어려운
svår	어려움
svår	어려워
arenan	아레나
freden	피스
freden	peace
freden	평화
torget	제곱
torget	스퀘어
torget	광장
torget	사각형
torget	정사각형
disney	디즈니
fame	명성
fame	페임
chapman	채프먼
starta	시작하기
starta	시작
starta	출시
starta	실행
starta	발사
starta	런칭
ökad	증가
diskutera	토론하기
diskutera	논의
jul	크리스마스
andy	앤디
hollywood	헐리우드
hollywood	할리우드
beskriva	설명
beskriva	설명하기
ställen	음식점
ställen	장소
konsert	연주회
konsert	콘서트
frihet	자유
frihet	프리덤
frihet	리버티
leipzig	라이프치히
kevin	케빈
online	온라인
stjärna	항성
utföra	수행
klostret	수도원
klostret	수녀원
klostret	수도원
uppror	폭동
uppror	봉기
uppror	반란
minskade	감소
tegel	벽돌
tegel	벽돌
tegel	브릭
barbara	바바라
flygplatsen	공항
flygplatsen	국제공항
linda	린다
utmärkt	훌륭한
upptäckt	탐지
upptäckt	감지
upptäckt	검출
upptäckt	발견됨
upptäckt	감지
upptäckt	발견됨
upptäckt	디스커버리
upptäckt	발견
tolkning	해석
idé	아이디어
idé	idea
erica	유리카
erica	에리카
marc	마르크
marc	마크
motorn	엔진
tor	tor
tor	토르
planerade	예정된
planerade	계획
majoritet	다수
säkerhet	안보
säkerhet	보안
säkerhet	안전
säkerhet	안전성
xii	xii
äventyr	어드벤처
äventyr	모험
äventyr	어드벤처
äventyr	모험
fader	아버지
dna	dna
hår	머리카락
hår	머리
hår	머리카락이
heat	더위
heat	히트
amerikanskt	아메리칸
amerikanskt	미국인
potter	포터
ryan	라이언
hopp	점프
hopp	희망
hopp	희망
light	가볍게
light	가벼운
light	라이트
light	가벼움
pappa	아빠
pappa	아버지
harrison	해리슨
jensen	jensen
sea	바다
blandning	믹싱
blandning	섞어
blandning	믹스
blandning	혼합
blandning	혼합물
blandning	반죽
blandning	혼합
blandning	혼합
blandning	혼합
skrift	쓰기
skrift	글쓰기
skrift	성서
hittades	찾았다
hittades	찾았습니다
hittades	발견됨
nyligen	최근
nyligen	최근에
nyligen	최근
kvalitet	품질
kvalitet	퀄리티
kvalitet	화질
kvalitet	화질이
jonathan	조나단
slår	비트
tak	천장
tak	옥상
tak	지붕
tak	옥상
tak	지붕
tak	천장
flora	플로라
huvudsakliga	메인
huvudsakliga	교장
kamp	전투
kamp	배틀
kamp	투쟁
kamp	전투
