rahman	рахман
concedida	предоставена
adaptacions	адаптации
homo	хомо
margarita	маргарита
minories	малцинства
minories	малцинствата
esprint	спринт
visigots	вестготите
conducció	шофиране
conducció	каране
xocolata	шоколадов
xocolata	шоколадова
xocolata	шоколад
xocolata	шоколадово
disposicions	разпоредби
disposicions	провизии
rèptils	влечуги
acompanya	придружава
edita	редактиране
decoratius	декоративни
quintet	квинтет
descripcions	описанията
descripcions	описания
disminueix	намалява
bossa	сак
bossa	чантата
bossa	торбичка
bossa	чанта
bossa	торба
stark	старк
processador	процесор
nan	нан
württemberg	вюртемберг
capitalisme	капитализма
capitalisme	капитализъм
delegats	делегати
delegats	делегатите
ambientals	екологичен
springs	пружини
springs	извори
springs	спрингс
yuan	юан
prešov	прешов
barbus	barbus
begudes	напитки
begudes	напитки
begudes	пие
begudes	питиета
challenge	предизвикателство
challenge	предизвикателството
cilindres	бутилки
cilindres	цилиндри
amants	любители
amants	влюбени
amants	любовници
amants	влюбените
hàbit	навик
afer	афера
argila	глина
argila	клей
tunis	тунис
gremi	гилдията
gremi	гилдия
dallas	далас
criminals	престъпници
criminals	престъпниците
immediat	незабавно
viatgers	пътешественици
patinatge	пързаляне
dennis	денис
reims	реймс
etimologia	етимологията
rotterdam	ротердам
panteó	пантеон
bàltic	балтийско
ronald	роналд
fórmules	формули
fórmules	формули
antàrtida	антарктида
antàrtida	антарктика
intèrprets	преводачи
intèrprets	изпълнителите
intèrprets	изпълнители
pioners	пионери
fossa	фоса
eddie	еди
sentits	сетива
sentits	сетивата
calent	горещи
calent	гореща
calent	горещо
calent	секси
bateries	акумулатори
bateries	батерии
bateries	батериите
montgomery	монтгомъри
montgomery	монгомъри
trencat	счупен
trencat	счупена
trencat	счупено
trencat	разбито
trencat	разбити
aleix	алексий
coronada	коронован
comunisme	комунизъм
comunisme	комунизма
irene	ирене
irene	айрийн
irene	ирен
irene	айрин
vilar	вилар
positius	позитивна
positius	положителен
positius	положителни
positius	положителна
positius	положително
núñez	нунес
strauss	строс
strauss	щраус
cerro	серо
fabricat	произведени
fabricat	произведена
fabricat	произведен
fabricat	произведено
jacint	хиацинт
rècords	архиви
rècords	плочи
rècords	записи
rècords	регистри
ecologia	екология
baltimore	балтимор
nantes	нант
plomes	перата
plomes	пера
sistemàtica	системно
sistemàtica	систематично
sistemàtica	системни
tit	тит
brabant	брабант
combinacions	комбинации
colin	колин
llemosí	лимузен
estructurals	структурно
estructurals	структурни
estructurals	структурна
lliura	везни
lliura	паунд
lliura	кг
rita	рита
cries	потомство
diocesà	епархийски
transformada	трансформира
transformada	преобразуване
simètrica	симетрични
simètrica	симетрични
wellington	уелингтън
frescos	пресни
frescos	прясно
frescos	свежо
frescos	свежа
frescos	пресен
frescos	фреш
significatives	значителен
significatives	значително
significatives	значителни
significatives	значим
significatives	значителна
bush	буш
bush	храст
defensiu	отбранителна
recompensa	награда
romàntica	романтични
romàntica	романтично
romàntica	романтична
romàntica	романтик
romàntica	романтика
romàntica	романтичен
cavitat	кухина
exactes	точен
pardo	пардо
fontaine	фонтейн
balduí	болдуин
salsa	сос
nielsen	нилсен
mostrava	показа
granit	гранит
corredors	бегачи
negro	негър
negro	негро
vinci	винчи
franca	франка
invertebrats	безгръбначни
iris	ирис
iris	ириса
iris	айрис
harrison	харисън
nicholas	николас
nicholas	никълъс
sastre	шивач
retard	забавяне
retard	закъснение
retard	отлагане
pascal	паскал
salzburg	залцбург
brooklyn	бруклин
superioritat	превъзходството
superioritat	превъзходство
repeteix	повторение
repeteix	примка
repeteix	течение
eusebi	евсевий
valeri	валери
acceleració	ускорението
acceleració	ускоряване
acceleració	ускорение
antíoc	антиох
continents	континенти
cohen	коен
federals	федералните
federals	федерални
embarcacions	кораби
embarcacions	лодки
ravenna	равена
degà	дийн
glasgow	глазгоу
disposades	уредено
disposades	подредени
disposades	уреден
disposades	уговорено
vancouver	ванкувър
clube	клубе
conquerit	завладян
conquerit	завладяна
mixt	смесен
mixt	смесени
mixt	смесено
mixt	смесена
abel	абел
abel	ейбъл
mod	тунинг
mod	мод
copiar	копиране
formals	официален
formals	формално
formals	официално
formals	официална
caracas	каракас
pelegrinatge	поклонението
pelegrinatge	поклонение
convocatòria	повикване
convocatòria	обаждане
bombai	бомбай
bombai	мумбай
gual	вадо
anglo	anglo
anglo	англо
direccions	упътване
direccions	посоки
cher	шер
escàndol	скандали
escàndol	скандално
escàndol	скандал
proveir	предоставят
léon	леон
làmines	чаршафи
làmines	листове
bucarest	букурещ
concursos	състезания
concursos	конкурси
concursos	конкурси
ling	линг
blaus	блус
polinomi	полином
espases	саби
espases	мечовете
espases	мечове
reg	напояване
serbis	сърбите
serbis	сърби
regal	подарък
regal	дарба
regal	дар
seleccionat	избрана
seleccionat	избрано
seleccionat	избрани
seleccionat	избран
croat	хърватски
croat	хърватска
yahya	яя
diploma	диплома
diploma	дипломата
metz	мец
wikidata	уикиданни
matt	мат
tomé	томе
batejat	кръстен
batejat	кръстена
batejat	кръстени
batejat	кръстен
abi	бате
sortides	изходящи
sortides	изходи
sortides	изходи
supervisió	надзор
progressiu	прогресивна
progressiu	прогресивно
bots	ботове
poderosos	мощен
poderosos	мощно
poderosos	мощна
deep	дълбока
deep	дълбок
deep	дълбоки
deep	дълбоко
reflex	рефлекс
botó	бутон
botó	батън
botó	копче
extret	извлечен
extret	извлечени
plens	пълна
plens	пълни
plens	пълен
plens	пълно
ulster	ълстър
calvo	плешив
calvo	плешиви
calvo	калво
armand	арман
hampshire	хемпшир
màntua	мантуа
seques	сушени
seques	изсушени
veterans	ветерани
veterans	ветераните
julián	джулиън
julián	хулиан
julián	джулиан
agut	требъл
guàrdies	стражи
guàrdies	пазачи
guàrdies	охрана
bridge	мостик
bridge	мост
bridge	бридж
vuitena	осма
vuitena	осми
vuitena	осмо
dijous	четвъртък
baby	бебе
baby	мила
baby	бейби
baby	скъпа
reyes	рейес
reyes	рейс
assignar	присвоява
mercader	търговец
invasions	нашествия
vestíbul	лоби
vestíbul	фоайето
nomenats	назначени
nomenats	назначена
nomenats	назначен
gala	гала
cabana	бунгало
cabana	хижа
cabana	каюта
cabana	кабина
cabana	колиба
cabana	хижата
johns	джонс
extensions	разширения
darmstadt	дармщат
integrats	интегриран
integrats	интегрирано
integrats	интегрирана
integrats	вграден
integrats	интегрирани
cilindre	цилиндър
pesos	тежести
inquisició	инквизиция
inquisició	инквизицията
ref	рефер
celler	изба
celler	мазе
celler	мазето
celler	избата
celler	винарната
celler	винарна
constança	констанс
ploma	писалка
ploma	pen
ploma	химикалка
ploma	химикал
ploma	перо
ploma	перце
angular	ъглова
oman	оман
innovacions	нововъведения
innovacions	иновации
continuat	продължение
continuat	продължаване
continuat	продължи
continuat	продължил
delle	деле
nits	нощувки
nits	нощи
nits	нощите
pendents	обици
pendents	обеци
donades	дадени
donades	дадена
donades	дадено
joão	жоао
mani	мани
express	експресна
express	експрес
convencionals	конвенционални
carnaval	панаир
carnaval	карнавал
carnaval	карнавала
yang	янг
desfer	отмяна
cartells	плакати
dominada	доминират
ametlla	бадемово
ametlla	бадеми
ornamental	декоративни
resurrecció	възкресението
resurrecció	възкресение
obaga	умбрия
procedència	произход
quadrangular	foursquare
denunciar	денонсира
domèstic	домашен
domèstic	домашна
domèstic	домашни
teclats	клавиатури
mill	мил
mill	мелница
llavor	семе
llavor	семена
armstrong	армстронг
sky	скай
sky	небе
sky	небето
reconstruït	възстановено
reconstruït	възстановен
reconstruït	възстановена
esborrany	чернова
tesis	тезата
tesis	дисертация
tesis	теза
tor	тор
evitant	избягвам
evitant	избягване
ordena	сортиране
notari	нотариус
politècnica	политехническия
grams	грама
schneider	шнайдер
montfort	монфор
responsabilitats	отговорности
plantacions	насаждения
plantacions	плантации
subdivisió	подразделение
subdivisió	бранч
subdivisió	клон
subdivisió	клонче
subdivisió	клонка
meyer	майър
meyer	майер
facilita	улеснява
localment	локално
tracció	сцепление
incidents	инциденти
incidents	произшествия
segells	печати
segells	марките
segells	марки
lents	лещи
valent	смели
valent	смело
valent	смела
valent	смел
convençut	убедена
convençut	убедени
convençut	убеден
feixista	фашисти
feixista	фашист
feixista	фашистки
nòmades	номади
escalada	катерене
studios	студия
atributs	атрибути
farmàcies	аптеки
berg	бърг
resistents	устойчиви
resistents	устойчива
resistents	устойчив
banks	бенкс
banks	банките
banks	банкс
banks	банки
pensant	мислене
entorns	среди
mauritània	мавритания
convocat	призовани
convocat	призована
convocat	призован
discografia	дискография
òptic	оптичен
òptic	оптична
òptic	оптични
òptic	оптик
ressonància	резонанс
embaràs	бременност
alegria	радост
alegria	джой
mineria	добив
mineria	минни
siena	сиена
cromosomes	хромозоми
guerrero	гереро
hegemonia	хегемония
demandes	искания
cadascú	всяка
cadascú	всеки
divinitat	божествени
divinitat	божественост
judicis	опити
judicis	процеси
judicis	изпитания
closca	хъс
alcaldes	кметове
grove	гроув
grove	горичка
apollo	аполон
apollo	аполо
elevar	издигне
plànol	самолет
plànol	равнина
patates	картофи
metabolisme	метаболизма
metabolisme	метаболизъм
caos	хаосът
caos	хаос
hunter	ловец
hunter	хънтър
jefferson	джеферсън
obligacions	задължения
cecília	сесилия
polo	поло
yes	да
trento	тренто
français	français
floyd	флойд
seients	седалки
seients	места
seients	седалките
frau	измама
frau	измами
cantonades	ъгли
viquipedista	wikipedian
llimona	лимон
llimona	лемън
sentia	почувствах
nervis	нервите
nervis	нерви
tolerància	толерантност
tolerància	търпимост
tolerància	поносимост
phoenix	феникс
phoenix	финикс
diables	дяволи
abandonament	изоставяне
suecs	шведи
autoria	авторство
born	родени
born	роден
born	родена
amenaçat	заплашен
amenaçat	заплаши
definicions	определения
directori	директория
directori	директорията
directori	указател
neutrons	неутрони
funeral	погребение
funeral	погребението
felicitat	щастие
felicitat	щастието
rares	рядко
rares	редки
rares	рядкост
subgrup	подгрупата
bonn	бон
plegat	пъти
plegat	сгъваеми
tallat	дял
tallat	стоп
tallat	режи
pronunciació	произношение
intencions	намерения
intencions	намеренията
porxo	верандата
porxo	веранда
estrets	пролива
conill	заек
conill	зайо
conill	зайче
navegador	браузър
tia	мацка
tia	маце
tia	леля
tia	тиа
banco	banco
sedis	sedis
textura	текстура
ismail	исмаил
belgues	белгийци
fortificada	укрепен
successius	последователни
trobant	намирането
trobant	намиране
júlia	юлия
júlia	джулия
júlia	хулия
yves	ив
violació	изнасилвания
violació	изнасилване
violació	изнасилена
administratius	административно
administratius	административен
administratius	административна
administratius	административни
heavy	тежка
heavy	тежки
heavy	тежък
heavy	тежко
fantasma	дух
fantasma	призрак
impedeix	предотвратява
adquireix	придобива
after	след
judaisme	юдаизма
cuir	кожен
cuir	кожи
cuir	кожа
cuir	кожена
thorell	thorell
posseir	притежаващи
vegas	вегас
peticions	заявки
peticions	искания
peticions	молби
exacte	точен
maximilià	максимилиан
senadors	сенатори
àlies	псевдоним
àlies	псевдоними
valois	валоа
mites	митовете
mites	митове
dotat	надарен
influents	влиятелен
influents	влиятелни
cometa	кометата
cometa	комета
iss	мкс
nervi	нахалство
nervi	нерв
nervi	нерви
conservats	запазено
conservats	запазен
conservats	запазени
conservats	консервирани
conservats	запазена
detroit	детройт
legítim	легитимен
legítim	законен
santi	санти
perdó	опрощаване
perdó	прошката
perdó	опрощение
perdó	прошка
cruïlla	възел
cruïlla	кръстовище
serguei	сергей
determinant	детерминанта
harvey	харви
julian	джулиън
julian	хулиан
julian	джулиан
batallons	армии
théâtre	théâtre
icona	икона
icona	икони
icona	иконата
electró	електрон
combinada	комбинирана
combinada	комбинирано
combinada	комбинирани
combinada	комбиниран
arkansas	арканзас
horitzó	хоризонта
horitzó	хоризонт
assetjada	обсаден
racional	рационално
racional	рационален
racional	разумен
obligatori	задължителен
obligatori	задължително
obligatori	задължителна
obligatori	задължителни
autobús	автобусът
autobús	автобус
autobús	бус
transmet	предава
fàrmacs	лекарства
fàrmacs	дрога
fàrmacs	наркотици
dimoni	дявол
dimoni	дявола
dimoni	демон
brava	брава
philadelphia	филаделфия
creadors	създателите
creadors	създатели
fòssil	изкопаеми
lucre	печалба
lucre	печалби
sintaxi	синтаксис
mandíbula	челюст
mandíbula	челюстта
soto	сото
autèntica	автентични
autèntica	автентично
autèntica	автентична
autèntica	автентичен
leningrad	ленинград
ombres	сенки
ombres	сенките
constitucions	конституции
entusiasme	ентусиазъм
físicament	физически
terrible	ужасна
terrible	ужасно
terrible	ужасен
atletes	спортисти
atletes	атлети
atletes	спортистите
emocions	емоциите
emocions	емоции
pobladors	заселници
pobladors	заселниците
pib	бвп
hubert	юбер
veterinari	ветеринар
veterinari	ветеринар
finalitza	приключва
finalitza	свършва
finalitza	завършва
finalitza	завърши
finalitza	довърши
finalitza	довърша
gabon	габон
orella	уши
orella	ухо
orella	ухото
chan	чан
mason	мейсън
benín	бенин
championship	първенство
championship	шампионат
amagat	скрито
amagat	скрит
amagat	скрита
amagat	скрити
suaus	меко
suaus	мек
suaus	меки
suaus	нежна
suaus	мека
subtropicals	субтропичен
rex	рекс
vita	вита
teràpia	терапията
teràpia	терапия
compilació	съставяне
compilació	компилация
nòrdic	скандинавската
nòrdic	скандинавски
stade	стад
yale	йейл
boris	борис
bahadur	бахадур
bey	бей
boles	топки
boles	топките
boles	топчета
boles	балове
decisiu	решителен
decisiu	решаващо
hotels	хотели
príncipe	принсипи
custòdia	попечителство
calàbria	калабрия
société	société
ensenyaments	поуки
ensenyaments	уроци
ensenyaments	учения
ensenyaments	ученията
jordània	джордън
jordània	йордан
jordània	йордания
jordània	джордан
puebla	пуебла
introduïda	въведен
introduïda	въведено
introduïda	въведена
introduïda	въведени
organitzen	организираме
organitzen	организиране
bravo	браво
bravo	bravo
dante	данте
prohibida	забранено
prohibida	забранени
prohibida	забранен
prohibida	забранена
ballarina	балерина
ballarina	танцьорка
ballarina	танцьор
dedicació	отдаденост
dedicació	посвещение
automàtic	автоматична
automàtic	автоматични
automàtic	автоматично
automàtic	автоматичен
loire	loire
suggerit	предложен
suggerit	предложени
suggerit	предложено
genoma	геном
evidentment	очевидно
condemnar	осъди
hàbits	навиците
hàbits	навици
carcassona	каркасон
volts	волта
neil	нийл
tradueix	преведа
tradueix	преведете
magnífic	великолепен
magnífic	великолепна
magnífic	величествен
magnífic	великолепни
obstacles	спънки
obstacles	пречки
obstacles	препятствия
platí	платина
resideix	пребивава
ven	продава
sonates	сонати
trípoli	триполи
lliçons	поуки
lliçons	уроци
datació	срещи
datació	запознанства
vincenzo	винченцо
pells	кожи
pells	кожи
olimpíades	олимпиадата
olimpíades	олимпиада
viatja	пътува
domèstics	домашен
domèstics	домашна
domèstics	домашни
transformat	трансформирана
xeic	шейх
terminals	терминали
dames	дама
australiana	ози
hard	трудно
hard	силно
hard	здраво
hard	твърдо
hard	твърд
mayer	мейър
mayer	майър
mayer	майер
danny	дани
reformar	реформиране
gimnàstica	гимнастика
gimnàstica	гимнастиката
let	нека
granges	ферми
granges	стопанства
rumors	слухове
clorur	хлорид
node	възел
elegant	елегантно
elegant	елегантен
elegant	елегантни
elegant	елегантна
aïllats	изолирана
aïllats	изолирано
aïllats	изолирани
aïllats	изолиран
inversions	инвестиции
madonna	мадона
heli	хелий
caçador	ловец
caçador	хънтър
educat	образован
educat	образовани
educat	образована
educat	възпитан
educat	учтив
perillós	опасен
perillós	опасно
perillós	опасна
perillós	опасни
llicències	лицензи
millorat	подобрен
millorat	подобрени
millorat	подобрена
millorat	подобрено
millorat	засилено
pròxima	следващо
pròxima	следващ
pròxima	следваща
leon	лион
leon	леон
distintiu	отличителен
distintiu	отличителни
distintiu	значка
distintiu	значката
debats	обсъждания
debats	дискусии
debats	разисквания
debats	дебати
ferrari	ферари
cripta	криптата
cripta	гробница
keith	кийт
repetició	повторение
repetició	повтаряне
repetició	повторение
salvació	избавление
salvació	спасението
salvació	спасение
diàlegs	диалози
oracle	оракул
confiar	доверие
confiar	вярвай
restant	оставащи
restant	оставащите
consagrat	залегнали
contractes	договори
contractes	поръчки
pantalons	панталоните
pantalons	гащи
pantalons	панталон
pantalons	панталони
tinta	мастило
tinta	мастилото
lingüista	лингвист
tibet	тибет
hassan	хасан
plànols	плоски
plànols	апартамент
plànols	плоско
plànols	плоска
plànols	плосък
plànols	чертежи
dot	зестрата
dot	зестра
dot	дот
continuada	продължение
continuada	продължаване
continuada	продължи
continuada	продължил
culpable	виновни
culpable	виновна
culpable	виновен
numeració	номериране
incidència	честота
federacions	федерации
defensava	признава
mares	майки
mares	майките
bilingüe	двуезичен
greix	дебела
greix	мазнина
greix	мазнини
greix	дебели
greix	дебел
jin	дзин
jin	джин
escàs	оскъдна
escàs	оскъдни
saqueig	грабежи
saqueig	сак
saqueig	торба
anunciat	обявена
anunciat	обявен
anunciat	обяви
anunciat	обявени
anunciat	обявено
teòrics	теоретиците
lloguer	наем
lloguer	наеми
lloguer	наемът
lloguer	наема
compensació	компенсация
compensació	компенсиране
compensació	обезщетение
compensació	компенсации
simbolitza	символизира
jeanne	жан
jeanne	жана
tel	тел
ampliada	разширен
ampliada	уголемени
ampliada	разширена
ampliada	увеличен
congressos	конгреси
incertae	incertae
apèndix	допълнение
detectiu	детектив
abadessa	игуменката
trompeta	тромпет
corint	коринт
organitzador	организатор
comunicat	докладвани
comunicat	съобщено
comunicat	докладвано
rates	плъхове
ruth	рут
five	пет
funcionalitat	функционалност
fractura	фрактури
fractura	фрактура
fractura	счупване
chopin	шопен
implicats	замесена
implicats	замесен
sean	шон
entreteniment	развлечения
entreteniment	забавления
entreteniment	забавление
entreteniment	развлечение
eritrea	еритрея
genealogia	родословието
patins	кънки
ran	ран
mateo	матео
ritu	ритуал
agulles	игли
agulles	иглите
inscrits	регистриран
inscrits	регистрирана
inscrits	регистрирано
inscrits	регистрирани
llicenciatura	ерген
tutela	опека
mitridates	митридат
umar	умар
treballador	работник
plaer	удоволствие
gene	джийн
gene	ген
gene	джин
gene	гена
navegant	плаване
amnistia	амнистия
amnistia	амнести
antilles	антили
aritmètica	аритметика
planteja	позира
planteja	пози
planteja	повдига
planteja	вдига
monopoli	монополи
monopoli	монопол
jay	джей
zinc	цинков
zinc	цинк
guies	водачи
perfecció	съвършенството
perfecció	съвършенство
antònia	антония
mantell	мантията
mantell	мантия
adona	осъзнава
sei	сей
lituà	литовски
indians	индианци
indians	индийци
electric	електрически
electric	електрическа
electric	електрическо
electric	електричество
stefan	стефан
instituts	институти
elefant	слонове
elefant	слон
fuentes	фуентес
absent	отсъствие
hostal	inn
powell	пауъл
zimbabwe	зимбабве
fris	фриз
atzar	случайна
atzar	случайни
atzar	случаен
atzar	произволно
mitchell	мичел
mitchell	мичъл
palla	слама
palla	сламка
guardiola	гуардиола
frare	монах
