الانتقام	bosszú
السقوط	zuhanás
السقوط	zuhan
السقوط	esés
السقوط	őszi
السقوط	zuhanás
السقوط	ősszel
السقوط	ősz
داون	hajnal
داون	dawn
داون	hajnalban
العزل	szigetelés
العزل	elszigeteltség
العزل	szegregáció
احتفالات	ünnepségek
احتفالات	ünneplés
هابل	hubble
القرش	cápa
كوبر	cooper
الانتصار	győzelem
ستوكهولم	stockholm
ستوكهولم	stockholmi
الاختراع	találmány
شرائح	szeletet
الشغب	lázadás
الحضري	városi
الدورية	járőrök
الدورية	járőr
الدورية	őrjárat
المطالبة	követelés
المطالبة	állítás
المطالبة	igény
رباعية	quad
رباعية	négyszeres
رحيل	indulási
رحيل	távozás
رحيل	indulás
مختلفين	más
مختلفين	különböző
مختلفين	eltérő
الرسومات	rajzok
الرسومات	rajzokat
الرسومات	grafika
الرسومات	grafikus
الاصطناعي	mesterséges
الصوف	gyapjú
الصوف	gyapjú
نفسك	magad
طقوس	rítus
طقوس	szertartás
طقوس	rituálé
طقوس	szertartás
طقوس	rituális
طقوس	rituálék
الاستهلاك	fogyasztása
الاستهلاك	fogyasztás
الاستهلاك	fogyasztásra
الاستهلاك	felhasználás
الاستهلاك	értékcsökkenés
سباح	úszó
باراك	barack
باراك	barak
سبورت	sport
تنام	alvó
تنام	alszom
تنام	alvás
تنام	alszik
الالعاب	játék
الالعاب	játékok
البكر	elsőszülött
ماسة	gyémánt
ماسة	diamond
متكامل	integrált
ويل	will
ويل	fog
ويل	akarat
صدمة	sokk
اكتسبت	megszerezte
اكتسبت	beszerzett
اكتسبت	szerzett
اكتسبت	megszerzett
عصفور	madár
عصفور	veréb
نضال	küzdelem
مقدسة	szent
رشح	szűrés
رشح	szűrő
رشح	jelöltek
رشح	jelölt
اليدين	kéz
اليدين	kezek
الوردي	pink
الوردي	rózsaszín
الوردي	rózsaszínű
التنافس	rivalizálás
المشروبات	italok
المشروبات	italt
المشروبات	iszik
المشروبات	ital
فريمان	freeman
ريانا	rihanna
تحلل	elemezni
تحلل	bomlás
وصفة	receptre
وصفة	recept
وصفة	receptet
وصفة	recept
وصفة	receptet
كثيفة	sűrű
ينظم	szabályozza
ينظم	szervez
الجيولوجي	geológus
الجيولوجي	geológiai
ببطء	lassan
ذكاء	értelem
ذكاء	hírszerzés
ذكاء	intelligencia
ذكاء	intelligens
ذكاء	okos
ذكاء	intelligens
ذكاء	smart
مولى	molly
الباكستانية	pakisztáni
الباكستانية	pakisztán
المثقفين	értelmiségiek
القبر	sír
القبر	sírba
القبر	sír
بيغ	peg
المفروضة	kivetett
تاجر	kereskedő
تاجر	kereskedő
تاجر	kereskedő
تاجر	osztó
اكبر	akbar
اكبر	nagyobb
اكبر	nagyobbak
مؤامرة	cselekmény
مؤامرة	összeesküvés
كريستي	christy
رقمي	digitális
هالة	hala
هالة	anomália
هالة	rendellenesség
هالة	aura
هالة	halo
برهان	bizonyíték
برهان	bizonyítás
الحرائق	tüzek
القراصنة	kalózok
مزدوجة	kettős
مزدوجة	dupla
مزدوجة	duplán
الاستراتيجي	stratégiai
الفواكه	gyümölcs
الفواكه	gyümölcsök
الفواكه	gyümölcsöt
الفواكه	gyümölcs
الفواكه	gyümölcsök
مير	mir
مير	mer
تسوية	megegyezés
تسوية	elszámolási
تسوية	rendezés
تسوية	egyezség
تسوية	település
تسوية	elszámolás
تسوية	rendezni
تسوية	kompromisszum
تسوية	kompromisszumot
تسوية	kompromisszumos
الالكتروني	elektronikusan
الالكتروني	elektronikus
الاتحادي	szövetségi
حراري	termikus
الكسندر	sándor
الكسندر	alexander
قزوين	caspian
العملي	gyakorlati
العملي	praktikus
قادرين	képes
قادرين	képes
هرتز	hertz
استقالة	lemondását
استقالة	lemondás
محامي	jogász
محامي	ügyvéd
كيفن	kevin
مارسيليا	marseille
مارسيليا	marseilles
المثالي	ideális
القطعة	darabja
القطعة	darabka
القطعة	darab
القطعة	szegmens
المعارضين	ellenfelek
افراد	magánszemélyek
افراد	egyének
التسمم	mérgezés
حليب	tejjel
حليب	tej
حليب	tejet
المعتقلين	fogvatartottak
مطلق	elvált
مناهضة	anti
بندقية	puska
بندقية	puskát
بندقية	puska
بندقية	puskát
المعيشة	élni
المعيشة	élő
الاكتشاف	felfedezés
الاكتشاف	discovery
العقاقير	kábítószerek
العقاقير	gyógyszerek
العقاقير	drogot
العقاقير	kábítószer
العقاقير	drogok
العقاقير	drog
جنائية	bűnöző
جنائية	bűnözői
منارة	világítótorony
منارة	beacon
منارة	jeladó
مذيع	műsorszolgáltató
حفرة	lyuk
حفرة	gödör
حفرة	verem
حفرة	gödör
اسفل	lefelé
اسفل	le
المستوطنات	telepek
المستوطنات	települések
دوس	dos
متطورة	kifinomult
هوندا	honda
الجرحى	sérült
الجرحى	sebesült
الكوميدي	komikus
كلير	claire
تراكم	felhalmozódása
الناتو	nato
قاسية	kíméletlen
قاسية	durva
مؤشرات	mutatók
مؤشرات	jelzések
واجب	kötelesség
واجب	vám
واجب	házi
الاستثمارات	beruházás
الاستثمارات	befektetés
الاستثمارات	befektetések
الاستثمارات	beruházások
الاستثمارات	beruházás
الاستثمارات	beruházások
الاستثمارات	befektetések
الاستثمارات	befektetés
الاستثمارات	befektetési
المضيف	fogadó
المضيف	házigazda
المضيف	műsorvezető
تقليدي	hagyományos
تقليدي	tradicionális
تقليدي	klasszikus
تقليدي	classic
غارسيا	garcia
رويال	királyi
رويال	royal
شهيد	mártír
بالتحديد	konkrétan
بالتحديد	kifejezetten
بالتحديد	kimondottan
العامية	szleng
هدية	ajándék
هدية	jelen
هدية	ajándék
انتقادات	kritika
انتقادات	kritikát
تشعر	érezd
تشعر	érzem
ملاك	angyal
ملاك	angel
ملاك	angyalka
حشرات	rovarok
حشرات	bogarak
يضرب	találat
تطالب	követel
تطالب	igényes
الدخان	füst
الجزاء	szankció
الجزاء	büntető
الجزاء	büntetés
الجزاء	szankció
الجزاء	szankciók
الاعتقال	letartóztatás
الاعتقال	őrizet
الاعتقال	büntetés
الزوايا	szögek
المستقيم	végbél
خلاصة	absztrakt
خلاصة	elvont
الصوفي	mystic
الصوفي	misztikus
الوفاق	megbékélés
الوفاق	egyeztetés
الوفاق	concord
متصفح	böngésző
تسرب	szivárgás
تسرب	szivárgás
تسرب	szivárog
دعاء	ima
دعاء	imádság
تمدد	stretch
سماء	égbolt
سماء	sky
سماء	ég
سماء	égbolt
سماء	ég
حقا	tényleg
حقا	igazán
مهد	bölcső
مساكن	elhelyezés
مساكن	lakás
مساكن	lakhatás
مساكن	lakások
فو	foo
فو	pho
فو	phu
بنيامين	benjamin
نبيلة	nemes
نبيلة	noble
يثير	felveti
الزهري	szifilisz
ترمز	szimbolizálja
ترمز	szimbolizálja
الميثاق	paktum
الميثاق	kompakt
الميثاق	tömör
الميثاق	charta
الانتقادات	kritika
الانتقادات	kritikát
باز	buzz
خبز	kenyér
خبز	kenyeret
البيضاوي	ovális
زيمبابوي	zimbabwei
زيمبابوي	zimbabwe
تقوية	megerősítés
مدفعية	tüzérség
ناس	emberek
قزم	tünde
قزم	manó
قزم	törpe
قزم	törpe
قزم	gnome
تشارلي	charlie
حشد	tömeg
القيادات	vezetői
القيادات	vezetés
فاتح	fény
فاتح	light
فاتح	fényt
فاتح	fatih
جيرسي	jersey
نيوكاسل	newcastle
ضرر	kár
ضرر	károsodás
ضرر	kárt
ضرر	sérülés
الموضة	divat
متكرر	ismételte
متكرر	ismétlődő
متكرر	ismételt
متكرر	ismétlődő
متكرر	visszatérő
متكرر	ismétlődő
متكرر	visszatérő
متكرر	gyakori
التحضير	előkészületek
التحضير	elkészítése
التحضير	előkészítés
التحضير	felkészülés
التحضير	készítmény
التحضير	előkészítése
التحضير	készülnek
التحضير	felkészülés
التحضير	készül
جوليان	julian
الصنوبر	fenyő
الصنوبر	pine
توت	bogyókat
توت	bogyók
توت	bogyó
توت	tut
بيني	penny
مولود	született
مولود	megszületett
يحول	átalakul
العاصفة	vihar
الكهنة	papok
ميزات	funkciók
ميزات	jellemzők
ميزات	jellemzői
مربعة	square
مربعة	szögletes
مربعة	négyzetes
مربعة	tér
مربعة	négyzet
العمالة	munkaügyi
العمالة	munkaerő
العمالة	foglalkoztatottság
العمالة	foglalkoztatási
العمالة	foglalkoztatás
التمثال	szobrot
التمثال	szobor
المواشي	állatállomány
فارغة	üresek
فارغة	üres
فارغة	üresen
فارغة	üres
فارغة	üresen
خطية	megírva
خطية	írásbeli
خطية	írta
خطية	írott
خطية	lineáris
السموم	toxinok
انجلترا	anglia
انجلترا	england
انجلترا	angliai
وود	fa
وود	wood
وود	erdő
وود	fát
الحزام	öv
سعيدة	boldogság
سعيدة	boldog
القفز	ugrál
السلاحف	teknősök
التحرر	emancipáció
التحرر	felszabadítási
يحتفظ	megőrzi
القوارب	csónak
القوارب	hajók
الخنزير	disznó
الخنزير	sertés
الخنزير	malac
تدقيق	ellenőrzése
الانسان	ember
الانسان	emberi
رونالد	ronald
المعرفية	kognitív
كوين	quinn
لوكاس	lucas
ستين	hatvan
تحديدا	konkrétan
تحديدا	kifejezetten
تحديدا	kimondottan
كفاية	elég
التقاط	kapás
التقاط	elkapni
التقاط	fogás
التقاط	elfogni
القماش	szövetek
القماش	szövet
فكرية	intellektuális
فكرية	szellemi
جرير	greer
الحيتان	bálnák
بقعة	folt
بقعة	folt
بقعة	foltos
الرقبة	nyakát
الرقبة	nyaka
الرقبة	nyak
المزرعة	farm
المزرعة	gazdaság
الطماطم	paradicsom
الطماطم	paradicsom
الطماطم	paradicsomot
اطلاق	kilövés
اطلاق	kilövés
اطلاق	indítás
سانتوس	santos
تنظيف	tisztítás
تنظيف	takarítás
هرقل	herkules
ستانلي	stanley
التشريعات	jogszabályok
التشريعات	jogszabály
التشريعات	jogalkotás
سمة	téma
سمة	funkció
بارما	parma
محفوظة	fenntartva
محفوظة	foglalt
محفوظة	fenntartott
يونكس	unix
الملايين	milliók
الملايين	millió
مطبوع	nyomtatott
مطبوع	nyomott
مستقيم	egyenesen
مستقيم	egyenes
جبريل	gabriel
جبريل	gábriel
جداول	táblák
جداول	asztal
جداول	táblázatok
جداول	táblázat
جداول	asztalok
جداول	patakok
المتزايد	növekszik
المتزايد	növekvő
مفاعل	reaktor
الذئب	farkas
الذئب	wolf
الفخار	kerámia
الكرك	karak
سحاب	cipzár
سحاب	felhők
سحاب	felhő
سحاب	cloud
حافلة	busz
حافلة	autóbusz
حافلة	busszal
الرفع	emelő
الرفع	emelés
مبتدئ	kezdők
مبتدئ	kezdő
مشعل	beacon
مشعل	jeladó
مشعل	tábortűz
محليا	helyben
محليا	helyileg
محليا	helyi
مكسيكي	mexikói
تشو	chu
تشو	cho
اليوتيوب	youtube
السلمية	békés
مصور	fotós
مصور	fényképész
الكونية	kozmikus
باسكال	pascal
فرنسيس	feri
فرنسيس	francis
فرنسيس	ferenc
العيوب	hibáit
العيوب	hibák
رونالدو	ronaldo
مغطاة	fedett
مغطاة	lefedett
مغطاة	fedezett
مغطاة	borított
بيلا	bella
نزلت	letöltöttem
نزلت	letöltött
ملبورن	melbourne
صيغ	képletek
بستان	grove
بستان	gyümölcsös
معاناة	szenvedés
معاناة	szenved
العبارات	mondatok
العبارات	kifejezéseket
العبارات	kifejezések
البلوغ	pubertás
ثور	thor
اكتسب	megszerezte
اكتسب	beszerzett
اكتسب	szerzett
اكتسب	megszerzett
القلوب	szívek
فورا	azonnal
قلادة	nyakláncot
قلادة	nyaklánc
قلادة	medál
سماع	hallás
سماع	meghallgatás
تحطم	ütközés
تحطم	baleset
تحطم	crash
الدمار	pusztulás
الدمار	pusztítás
الدمار	megsemmisítés
العنصري	rasszista
العنصري	rasszizmus
كرات	tökös
كرات	golyók
ريكاردو	ricardo
الفوج	ezred
لادن	terhelt
لادن	laden
النرويجية	norvégia
النرويجية	norvég
الملاحظة	megjegyzés
الملاحظة	jegyzet
الملاحظة	észrevétel
الملاحظة	megfigyelés
النسبي	relatív
النسبي	viszonylagos
النسبي	rokon
خلط	keverés
اواخر	későn
اواخر	késő
اواخر	késve
الرياضيين	sportolók
صافي	háló
صافي	nettó
صافي	net
كبر	zoom
اللهم	isten
النية	szándék
النية	szándéka
النية	szándék
النية	szándéka
الرهبان	szerzetesek
صداقة	barátság
برميل	hordó
وقائع	tények
وقائع	tényállás
وقائع	chronicle
سياسيا	politikailag
زمالة	ösztöndíj
زمالة	ösztöndíjat
ودية	baráti
ودية	barátságosak
ودية	barátságos
ثقيلة	heavy
ثقيلة	súlyos
ثقيلة	nehéz
الحقن	injekció
الحقن	injekció
الصداع	fejfájás
الصداع	fejfájás
زوايا	szögek
وفاء	hűség
وفاء	teljesítés
وفاء	teljesítését
وفاء	hűség
شارة	jelvény
شارة	jelvényt
الرحمة	irgalom
الرحمة	kegyelem
الرحمة	mercy
مونت	mont
مونت	monte
خوارزمية	algoritmust
خوارزمية	algoritmus
المطارات	repülőterek
التكاثر	tenyésztés
التكاثر	tenyésztési
التكاثر	reprodukciós
جيف	jeff
المظهر	megjelenés
المظهر	megjelenése
هندوراس	honduras
ظواهر	jelenségek
ظواهر	jelenség
السلاسل	láncok
السلاسل	lánc
مطاعم	éttermek
المختلطة	kevert
المختلطة	vegyes
المختلطة	keverve
المختلطة	hibrid
الظلم	igazságtalanság
الجثة	tetem
الجثة	hulla
الجثة	holttest
الكهوف	barlangok
عناية	gondoskodás
عناية	érdekel
صغر	kis
صغر	kicsik
صغر	kicsi
صغر	minimalizálása
شاشات	képernyők
شاشات	monitorok
شاشات	monitor
عضوة	tag
التفاح	almát
التفاح	alma
راح	will
راح	fog
راح	akarat
اخترع	fantázia
عطاء	gyengéd
عطاء	pályázati
عطاء	pályázat
الاحتكاك	súrlódás
عظمة	csontos
عظمة	csont
عظمة	nagyság
المعدية	fertőző
المعدية	ragályos
المعدية	fertőző
غراند	grand
لاتينية	latin
لاتينية	latinul
النظرة	nézd
الممتلكات	ingatlan
الممتلكات	tulajdon
الممتلكات	ingatlanok
الممتلكات	tulajdonság
الممتلكات	tulajdonság
الممتلكات	tulajdonságai
الممتلكات	ingatlanok
الممتلكات	tulajdonságok
اتجاهات	tendenciák
الغاية	cél
باع	eladva
باع	eladott
باع	elkelt
الرعد	villám
الرعد	mennydörgés
روميو	romeo
روميو	rómeó
رسومات	rajzok
رسومات	rajzokat
رسومات	grafika
رسومات	grafikus
مصباح	lámpa
مايا	maya
مايا	maja
التغطية	lefedettség
عقيد	ezredes
التراجع	visszavonulás
الزينة	dekoráció
الكلوي	vese
السقف	mennyezet
السقف	plafon
السقف	tető
السقف	tetőn
فراغ	üresség
فراغ	üresség
فراغ	porszívó
فراغ	vákuum
الطاولة	táblázat
الطاولة	asztali
الطاولة	tábla
الطاولة	asztal
بلاط	csempe
بلاط	csempe
متزوجة	házas
متزوجة	házasok
المرات	idők
المرات	időpontok
المرات	times
تولد	született
تولد	megszületett
تولد	fajta
تولد	generálni
تمرير	tompított
تمرير	múló
تمرير	tekercs
تمرير	tekercset
تمرير	passz
عجلة	volán
عجلة	kereket
عجلة	kerék
المثلية	homoszexualitás
الطحالب	alga
تخرجت	végzett
فاي	faye
فاي	tünde
مطلقة	elvált
مطلقة	abszolút
كروية	gömbölyű
ديربي	derby
رون	ron
رون	ront
جيوفاني	giovanni
الكهرومغناطيسية	elektromágneses
يشترط	igényli
يشترط	megköveteli
المدمرة	pusztító
المدمرة	romboló
الحائط	wall
الحائط	fali
الحائط	falat
الحائط	fal
الهدنة	fegyverszünet
الهدنة	fegyverszünet
الكتل	tömb
زميل	kollégám
زميل	kolléga
زميل	munkatárs
زميل	fickó
معلقة	függőben
معلقة	folyamatban
نورمان	norman
رقيق	vékony
رقيق	sovány
فعلت	kész
الشيشان	csecsenföld
الشيشان	csecsen
يفهم	megért
المناخية	éghajlati
غسل	mosni
غسل	mossa
غسل	mosás
غسل	wash
غسل	mosás
دمر	megsemmisült
دمر	elpusztult
دمر	elpusztította
دمر	elpusztítani
الاسكتلندي	skót
القادمين	érkezők
ميزان	mérleg
العشاء	vacsora
التذكاري	megemlékezés
التذكاري	memorial
التذكاري	emlékmű
اهداف	célkitűzések
اهداف	célok
اهداف	célkitűzések
اهداف	célokat
اهداف	célok
اهداف	célkitűzések
اهداف	célpontok
اهداف	célok
الضارة	ártalmas
الضارة	káros
التميز	kiválóság
الليبرالي	liberális
امر	parancsnokság
امر	parancs
امر	megrendelés
امر	rendelés
امر	rend
امر	parancs
تعقد	összetettsége
تصريف	mentesítés
تصريف	konjugált
تصريف	vízelvezető
متحدة	united
متحدة	egyesült
المقترح	pályázat
المقترح	javaslat
المقترح	javasolt
مورغان	morgan
غوستاف	gustav
تشرشل	churchill
ابطال	hősök
ابطال	bajnokok
مهنية	szakmai
مهنية	profi
مهنية	professzionális
معسكرات	táborok
نيكاراغوا	nicaraguai
نيكاراغوا	nicaragua
العقدة	csomópont
العقدة	csomót
العقدة	csomó
عطلة	vakáció
عطلة	ünnep
عطلة	ünnepi
عطلة	nyaralás
عطلة	vakáció
عطلة	nyaralás
المحامين	ügyvédek
ديانة	vallás
الحمى	lázas
الحمى	láz
فاعل	színésznek
فاعل	színész
نفق	alagút
كارولين	caroline
لوكهيد	lockheed
الديون	adósság
الديون	tartozás
الديون	adósságok
الديون	tartozások
الديون	tartozás
الديون	adósság
الديون	tartozások
الديون	adóssága
مظاهرة	bemutató
مظاهرة	demonstrációs
مظاهرة	tüntetés
طالبان	tálib
طالبان	tálibok
مانهاتن	manhattanben
مانهاتن	manhattan
مانهاتن	manhattani
حار	forró
حار	hot
حار	meleg
حار	dögös
رين	rin
الولد	fiú
التين	füge
الراية	banner
وولف	farkas
وولف	wolf
تحفة	antik
تحفة	remekmű
تحفة	mestermű
عقاقير	kábítószerek
عقاقير	gyógyszerek
عقاقير	drogot
عقاقير	kábítószer
عقاقير	drogok
عقاقير	drog
الصعوبات	nehézségek
الصعوبات	nehézséget
الصعوبات	nehézség
الصعوبات	nehézségekkel
الصعوبات	nehézségek
الصعوبات	nehézségei
الصعوبات	nehézség
توافر	rendelkezésre
خضر	zöld
عقاب	büntetés
الراعي	shepherd
الراعي	juhász
الراعي	pásztor
الراعي	támogató
الراعي	szponzor
قياسات	mérések
قياسات	mérés
نزيف	vérzés
نمساوي	osztrák
نمساوي	ausztria
مسطح	lapos
مسطح	lakás
مسطح	sík
معقد	komplikált
معقد	bonyolult
تحية	köszönés
تحية	üdvözlet
اطار	keretében
اطار	keretrendszer
اطار	keret
اطار	keret
المشاهدين	nézők
خامس	ötödik
الوجوه	arcokat
الوجوه	arcok
تبريد	hűtés
اعلى	feljebb
اعلى	magasabb
اعلى	nagyobb
مليارات	milliárd
عدو	ellenség
عدو	ellenség
باير	bayer
الجوع	éhínség
الجوع	éhezés
الجوع	éhség
خريج	diplomás
خريج	végzős
موثوق	megbízható
موثوق	megbízhatóak
القياسات	mérések
القياسات	mérés
القياسات	méretek
القياسات	méret
امتياز	kiváltság
امتياز	franchise
امتياز	koncessziós
امتياز	koncesszió
تحد	kihívás
الملونة	színes
الانتماء	hovatartozás
الانتماء	tartozó
مكي	mckay
المحاولة	próbálom
المحاولة	kísérlet
المحاولة	próbálkozás
قادمة	jövök
قادمة	jön
البلاستيك	műanyag
البلاستيك	műanyag
سيباستيان	sebastian
قمم	csúcsok
المحبة	szerető
بازل	basil
بازل	bázeli
مصارعة	birkózás
مصارعة	birkózó
تشكيلات	formációk
تشكيلات	konfigurációk
المزارعين	farmerek
المزارعين	gazdálkodók
المزارعين	gazdák
تماثيل	figurák
تماثيل	szobrok
الرصد	monitoring
الرصد	megfigyelés
الرصد	ellenőrzés
بطلة	hősnő
لوي	louie
لوسي	lucy
المشاركات	részvények
المشاركات	részvény
المشاركات	részesedés
عملاقة	óriás
كامب	camp
كامب	tábor
البطلة	hősnő
شرعي	legális
شرعي	törvényes
سنتيمتر	centiméter
سنتيمتر	centiméter
سنتيمتر	centiméter
الهندوسية	hinduizmus
الغد	holnap
القاري	kontinentális
ريم	rim
يغلب	veri
ختم	bélyeg
ختم	bélyegző
ختم	pecsét
ختم	fóka
ختم	pecsét
ختم	seal
المراهقة	tinik
المراهقة	tinédzserek
المراهقة	tizenéves
المراهقة	kamaszkor
يضيف	növeli
للسياحة	turizmus
للسياحة	idegenforgalom
اتصل	hívás
اتصل	hívd
ذكي	okos
ذكي	ügyes
ذكي	ötletes
ذكي	intelligens
ذكي	okos
ذكي	intelligens
ذكي	smart
شهري	havi
شهري	havonta
الدبلجة	szinkronizálás
زحل	szaturnusz
موحد	egységes
موحد	egyesített
موحد	szabványosított
موحد	egységes
موحد	egyenruhás
موحد	egyenruha
بانكوك	bangkok
شهرية	havi
شهرية	havonta
مولر	müller
مولر	müller
مولر	mueller
مولر	müller
مرشد	kalauz
مرشد	útmutató
الوثائقية	dokumentumfilmeket
الوحش	szörnyeteg
الوحش	bestia
الوحش	vadállat
الوحش	fenevad
الوحش	szörnyeteg
الوحش	szörny
كورت	kurt
جوز	diót
جوز	dió
المهبل	hüvely
المهبل	vagina
عمالة	foglalkoztatottság
عمالة	foglalkoztatási
عمالة	foglalkoztatás
جونيور	junior
تلال	dombok
تلال	hills
الجن	dzsinn
الجن	dzsinn
الافتتاح	megnyitás
الافتتاح	nyitás
الافتتاح	megnyitó
الافتتاح	nyitó
الافتتاح	nyílás
ضحية	áldozat
سلبي	negatív
الشرط	követelmény
الشرط	állapota
الشرط	feltétel
الشرط	állapot
بنوك	banks
بنوك	bankokkal
بنوك	bankok
مرئية	látható
راتب	fizetés
اختلافات	diff
اختلافات	különbségek
اختلافات	eltérések
باليرمو	palermo
هانوفر	hanover
الصخرة	szikla
الصخرة	kő
الصخرة	rock
اولاد	fiuk
اولاد	fiúk
الغزل	forog
الغزل	forgó
الغزل	flörtölni
الغزل	flörtöl
الغزل	fonalat
الغزل	fonal
برنارد	bernard
كاري	curry
جينات	gének
الماركسية	marxista
اعتقاد	hit
لفت	répa
جوناثان	jonathan
عربات	járművek
عربات	szekerek
اعلن	bejelenteni
اعلن	bejelentette
اعلن	bejelentett
اعلن	meghirdetett
المتوفي	elhunyt
ملونة	színes
ملونة	színes
صخرة	szikla
صخرة	kő
صخرة	rock
ابناء	fiaim
ابناء	fiai
المرصد	obszervatórium
تين	tin
تين	ón
تصاميم	terveket
تصاميم	tervek
الكامنة	látens
محاصيل	termés
محاصيل	növények
صبغة	festék
صبغة	pigment
دلهي	delhi
شارون	sharon
جنسي	szexi
جنسي	sexy
جنسي	szexualitás
جنسي	szexuális
التوفيق	egyeztetés
التوفيق	egyeztető
التوفيق	sikeres
التوفيق	siker
التجزئة	lakossági
التجزئة	kiskereskedelmi
مرج	meadow
الحزن	bánat
الحزن	gyász
الحزن	bánat
الحزن	szomorúság
الحزن	bánat
الحزن	bánatot
الحزن	szomorúság
تلاميذ	tanulók
تلاميذ	tanítványok
الرسل	apostolok
الرسل	hírnökök
مختبرات	labor
مختبرات	laboratórium
مختبرات	laboratóriumok
كمبوديا	kambodzsa
بورتلاند	portland
بورتلاند	portlandben
الوجبات	étkezés
الوجبات	ételek
ممارسات	gyakorlatok
خريجي	diplomások
خريجي	végzősök
مراسم	szertartás
مراسم	ceremónia
مراسم	ünnepség
ناميبيا	namíbia
القاموس	szótár
مرضية	kielégítő
كيبيك	quebec
منتديات	fórumokon
مختلطة	kevert
مختلطة	vegyes
مختلطة	keverve
فم	szád
فم	száj
توتنهام	tottenham
توتنهام	spurs
مجهود	erőkifejtés
مجهود	erőfeszítés
مجهود	erőfeszítések
التشابه	hasonlóság
التشابه	hasonlóság
التشابه	hasonlóságot
التضخم	inflációs
التضخم	infláció
فرانكو	franco
اضطهاد	üldöztetés
اضطهاد	üldözés
اضطهاد	elnyomás
المساهمات	hozzájárulások
المساهمات	járulékok
المساهمات	hozzájárulás
المساهمات	járulék
ترينيداد	trinidad
تجريبية	kísérleti
النظائر	izotópok
جاز	jazz
اعتراض	ellenvetés
المطالب	igénylő
المطالب	követel
المطالب	követelés
المطالب	követelések
المطالب	igények
فتى	fiú
التشفير	kódolás
التشفير	titkosítás
التشفير	titkosítási
التشفير	kriptográfiai
التشفير	kriptográfia
البروتستانت	protestánsok
المرشد	kalauz
المرشد	útmutató
السعوديين	szaúdiak
فرانز	franz
قدرت	értékelte
كلي	egyél
الدروز	drúz
المكاتب	hivatalok
المكاتب	irodák
رولز	tekercs
رولز	tekercsek
رولز	rolls
امتلاك	birtoklás
امتلاك	birtokolni
خيارات	opciók
خيارات	beállítások
خيارات	lehetőségek
الحاسبات	számítógép
الحاسبات	számítógépek
ده	deh
الجيب	zseb
الجيب	zsebében
الجيب	jeep
طفرة	mutáció
الكؤوس	poharak
الكؤوس	poharakat
مخترع	feltaláló
قارب	csónak
قارب	hajó
قارب	hajós
جرح	sérült
جرح	sebesült
جرح	seb
الفوسفات	foszfát
للاستثمار	beruházás
للاستثمار	beruházások
للاستثمار	befektetések
للاستثمار	befektetés
للاستثمار	befektetési
سونيك	sonic
النشطة	aktív
النشطة	aktívak
توما	toma
العاب	játék
العاب	játékok
العاب	játékok
سيبيريا	szibériai
سيبيريا	szibéria
سيبيريا	szibériai
الاقتراح	pályázat
الاقتراح	javaslat
الاقتراح	javaslat
السوربون	sorbonne
التكيف	kiigazítás
التكيف	kiigazítás
التكيف	alkalmazkodási
التكيف	alkalmazkodás
التكيف	alkalmazkodni
التكيف	alkalmazkodás
سيلفا	silva
فينيكس	főnix
فينيكس	phoenix
كيت	kate
الخرسانة	beton
الخرسانة	konkrét
ناقصة	hiányos
ناقصة	befejezetlen
موقعة	aláírva
موقعة	aláírás
موقعة	aláírt
تنبيه	emlékeztető
تنبيه	riasztó
تنبيه	figyelmeztetés
تنبيه	riadó
تنبيه	riasztás
ثري	gazdag
ثري	gazdagok
ثري	rich
رينو	reno
رينو	renault
التقاء	összefolyása
قلق	szorongás
قلق	aggodalom
الدبلوماسي	diplomata
الدبلوماسي	diplomáciai
الدبلوماسي	diplomata
فضيحة	botrány
فضيحة	botrányos
موتورز	motors
موتورز	motorok
فهرنهايت	fahrenheit
مطابقة	egyező
مطابقة	mérkőzés
مطابقة	egyezés
مطابقة	találat
مطابقة	meccs
مطابقة	gyufa
مطابقة	egyezik
المعسكر	camp
المعسكر	tábor
السل	tuberkulózis
اقليم	tartomány
اقليم	tartományban
اقليم	régió
اقليم	régiók
اقليم	terület
اقليم	területe
الحلويات	édesség
الحلويات	desszertek
الحلويات	desszert
مقهى	café
مقهى	cafe
مقهى	kávézó
مقهى	kávézó
مقهى	café
المختلط	kevert
المختلط	vegyes
المختلط	keverve
المتهم	vádlott
المتهم	megvádolt
المتهم	vádlott
المتهم	alperes
خيوط	szál
خيوط	szálak
حامية	garrison
حامية	védelmező
حامية	védő
الربح	profit
الربح	haszon
الربح	nyereség
ابتكار	innováció
ابتكار	innovációs
عيادة	klinikán
عيادة	klinika
الديدان	férgek
دموية	véres
باكو	baku
لونغ	hosszú
النحت	szobor
النحت	szobrok
النحت	szobrászat
لورين	lauren
ماضي	elmúlt
ماضي	múlt
ماضي	múltbeli
تفكك	szakítás
تفكك	szétesés
الفيلق	légió
السدود	gátak
الحنجرة	torka
الحنجرة	torok
الحنجرة	torkát
الاجتماعات	találkozók
الاجتماعات	ülésein
الاجتماعات	ülései
الاجتماعات	ülések
الاجتماعات	megbeszélések
فرانشيسكو	francesco
الحلو	édesek
الحلو	édes
الكروم	króm
الكروم	króm
الكروم	szőlő
الممر	folyosón
الممر	folyosó
المزايا	előnyök
المزايا	előnyei
الركبة	térde
الركبة	térd
لوف	luv
جمل	ítéletek
جمل	mondatok
جمل	mondat
جمل	teve
عروس	menyasszony
الشراكة	partnerségi
الشراكة	partnerség
الشراكة	társulás
تباع	eladva
تباع	eladott
