और	en
गणित	wiskunde
गणित	wiskunde
मौत	dood
विवाद	controversy
विवाद	geskille
विवाद	dispute
विवाद	dispuut
विवाद	geskil
अली	ali
ग्रहण	eclipse
तकनीकी	tegniese
माँ	maa
माँ	moeder
माँ	ma
विष्णु	wisjnoe
मैदान	vlaktes
मैदान	gewoon
मैदान	eenvoudig
मैदान	grond
मैदान	ground
विमान	lugvaart
विमान	vliegtuie
विमान	vliegtuig
विमान	vliegtuig
औरंगाबाद	aurangabad
सक्षम	geaktiveer
सक्षम	bekwame
वातावरण	omgewing
वातावरण	atmosfeer
लागत	koste
लागत	kos
प्रेस	pers
प्रेस	druk
रोमन	romeinse
मील	myl
मील	myle
मील	myl
लोकसभा	parlement
अज्ञात	onbekend
अज्ञात	anoniem
रेखा	lyn
पार	kruis
लेखन	writings
सेंट	sente
सेंट	sent
बोली	aanbod
बोली	bod
नष्ट	vernietig
नष्ट	verweer
नष्ट	verwoes
नष्ट	vernietig
परंपरा	tradisie
राशि	bedrag
दृष्टिकोण	benadering
भाव	emosies
भाव	gebaar
भाव	sin
हवा	wind
पाठ	teksboodskap
पाठ	teks
पाठ	voordrag
वैदिक	geometriese
गठन	rame
गठन	raam
गठन	stigting
नागरिक	burgerlike
नागरिक	munisipale
नागरिक	civic
नागरिक	burger
नागरिक	citizen
अस्तित्व	oorlewing
गंभीर	ernstige
गंभीर	ernstig
गंभीर	kritieke
गंभीर	krities
गंभीर	kritiese
गंभीर	kritiek
समझ	verstaan
समझ	verdraagsaamheid
समझ	begrip
किस	kiss
किस	soen
प्रशासन	administrasie
आदेश	mandaat
आदेश	orde
आदेश	bestel
आदेश	volgorde
आदेश	bestelling
आदेश	rangskik
आदेश	orders
आदेश	bestellings
सैन्य	militêre
अंदर	binne
अंदर	indoor
छह	sesde
छह	ses
ग्रन्थ	tekste
भाषाएँ	tale
भुगतान	uitbetaling
भुगतान	betaling
भुगतान	betalings
उनसे	hulle
ध्वनि	klank
ध्वनि	klink
ध्वनि	geluide
ध्वनि	klanke
निवास	woonplek
निवास	huise
अरबी	arabies
अरबी	arabiese
अरबी	arabic
हत्या	sluipmoord
हत्या	moord
हत्या	killing
दिखाया	gewys
पवित्र	heilig
पवित्र	heilige
पवित्र	holy
विभाजित	ingedeel
विभाजित	skei
इकाई	eenhede
इकाई	eenheid
अम्ल	suur
प्रबंधक	bestuurder
प्रबंधक	bestuurders
वही	dieselfde
वही	selfde
संग्रहालय	museums
संग्रहालय	museum
जीता	wins
जीता	gewen
मुद्रा	geldeenheid
मुद्रा	geld
मतलब	beteken
मतलब	gemeen
मतलब	bedoel
मतलब	beteken
युवा	jeug
युवा	jonk
युवा	jong
शहरों	stede
अंतरिक्ष	spasie
संचार	kommunikasie
संचार	kommunikasie
प्रसारण	uitgesaai
प्रसारण	uitsending
प्रसारण	uitsaai
प्रसारण	uitsendings
प्रसारण	uitsaai
फुटबॉल	voetbal
नियमित	gereelde
व्याख्या	nota
व्याख्या	aantekeninge
व्याख्या	verduideliking
शेष	oorblywende
शेष	oor
शेष	gelaat
दावा	eis
दावा	eise
मोबाइल	selfoon
संभावना	kanse
संभावना	geneë
संभावना	waarskynlikheid
दिवस	dag
तर्क	betoog
तर्क	argument
तर्क	redenasie
तर्क	logika
आपके	jou
परीक्षा	toets
परीक्षा	ondersoeke
परीक्षा	eksamen
परीक्षा	eksamens
पाई	doodeenvoudig
महाभारत	mahabharata
खाद्य	eetbare
भविष्य	toekomstige
भविष्य	toekoms
बिक्री	verkope
इंटरनेट	internet
कर्नाटक	karnataka
सम्मेलन	aanbreek
सम्मेलन	konvensie
सम्मेलन	convention
रानी	queen
रानी	dame
सिटी	stad
अच्छे	goeie
अच्छे	goed
तुम	julle
तुम	jy
दबाव	druk
दबाव	swig
बोर्ड	borde
बोर्ड	bord
ख़ान	khan
ख़ान	khanate
नियुक्त	aangestelde
फरवरी	februarie
नेशनल	nasionale
नेशनल	national
नेशनल	nasionaal
उर्दू	oerdoe
संसार	wêreld
संसार	worlds
संसार	wêrelde
कोलकाता	jakarta
प्रतिनिधित्व	verteenwoordiging
विचारों	idees
प्रेरित	besiel
प्रेरित	geïnspireer
प्रेरित	gemotiveerd
समारोह	ceremony
समारोह	seremonie
मस्तिष्क	brain
मस्तिष्क	brein
घरेलू	domestic
घरेलू	huishoudelike
जेम्स	jakobus
जेम्स	james
प्रायः	gewoonlik
प्रायः	gereeld
प्रायः	dikwels
मौसम	seisoene
मौसम	weer
मौसम	seisoen
सम्पूर्ण	hele
अर्थात्	beteken
भावना	emosie
भावना	sentiment
भावना	voel
भावना	gees
गुणवत्ता	kwaliteit
गुणवत्ता	gehalte
छात्र	student
खाना	kos
खाना	voedsel
मिले	gekry
मिले	gevind
निर्वाचित	elected
निर्वाचित	verkose
कैंसर	kreef
कैंसर	kanker
इटली	italië
सिद्धान्त	beginsels
सिद्धान्त	teorie
राजवंश	dinastie
संक्रमण	oorgang
संक्रमण	infeksie
घाटी	valley
घाटी	vallei
विलियम	willem
विलियम	william
विविध	uiteenlopende
विविध	diverse
विविध	allerlei
विविध	diverse
विविध	verskeie
विकल्प	alternatiewe
विकल्प	opsies
विकल्प	opsie
उद्यान	park
होगी	sal
पशु	diere
पशु	dier
ज्यादातर	meestal
ईसाई	christian
ईसाई	christene
ईसाई	christen
ईसाई	christiaan
प्रमाण	bewyse
प्रमाण	getuienis
प्रमाण	proeflees
प्रमाण	bewys
याद	herroep
याद	onthou
कंपनियों	maatskappye
कंपनियों	companies
मानसिक	psigies
मानसिक	mental
रसायन	chemiese
रसायन	chemikalieë
रसायन	chemikalië
रसायन	chemie
क्षेत्रफल	omgewing
क्षेत्रफल	gebied
क्षेत्रफल	oppervlakte
क्षेत्रफल	area
प्रभावी	effektief
विज्ञापन	advertensies
विज्ञापन	reklame
विज्ञापन	advertering
विज्ञापन	advertensies
विज्ञापन	advertensie
विज्ञापन	adverteer
विज्ञापन	advertensies
ईश्वर	god
अमरीका	amerika
शिकार	prey
शिकार	jag
शिकार	slagoffer
शिकार	victim
रोगी	geduldig
रोगी	patient
रूसी	russies
रूसी	russiese
क्रांति	rewolusie
क्रांति	revolusie
गुप्त	gupta
गुप्त	geheim
गुप्त	geheime
गुप्त	sekuriteit
गुप्त	geënkripteer
मंडल	mandala
ब्राह्मण	brahmaan
ब्राह्मण	brahman
माने	mane
हृदय	hart
हृदय	hartjie
आयोग	kommissie
हिंदू	hindu
शुद्ध	suiwer
तीसरे	derde
चर्च	kerke
चर्च	kerk
अपेक्षा	verwagting
कार्यालय	werk
कार्यालय	kantore
कार्यालय	kantoor
परिवहन	vervoer
परिवहन	vervoer
परिवहन	transport
स्टार	ster
स्टार	star
वर्षा	reën
जनरल	gen
जनरल	herhaal
जनरल	algemene
जनरल	generaal
संदेश	boodskap
मार	doodmaak
परिचय	bekendstelling
परिचय	inleiding
परिचय	oor
परिचय	bekendstelling
उत्पत्ति	oorsprong
उत्पत्ति	genesis
मांग	aanvraag
देवता	godheid
दौर	rondte
संचालन	bewerkings
संचालन	operasie
संचालन	bewerking
उपस्थित	gaste
उपस्थित	hede
उपस्थित	tans
उपस्थित	voordra
उपस्थित	teenwoordig
अस्पताल	hospitaal
अस्पताल	hospitale
परिवर्तित	gewysig
परिवर्तित	gewysig
परिवर्तित	omgeskakel
पेश	aangebied
स्वर	vocal
स्वर	klinker
लघु	logaritme
लघु	klein
लाइन	lyn
प्रश्न	navraag
प्रश्न	vraag
प्रश्न	vrae
पहाड़ी	heuwel
पहाड़ी	hill
जालस्थल	webwerf
जालस्थल	webtuiste
पुरानी	oud
पुरानी	ou
पुरानी	ouer
पसंद	likes
सुझाव	voorstelle
सुझाव	voorstel
सुझाव	aanbevelings
सुझाव	wenke
सुझाव	leidrade
खेती	boerdery
खेती	oes
खेती	grondbewerking
विभाजन	division
विभाजन	deling
विभाजन	partisie
प्रशासनिक	administratiewe
प्रशासनिक	verrig
विशेषता	eienskap
विशेषता	kwaliteit
विशेषता	gehalte
विशेषता	eienskap
विशेषता	kenmerk
कठिन	hard
कठिन	harde
कठिन	moeilik
कठिन	tough
कठिन	lot
कठिन	moeilik
कड़ी	skakel
कड़ी	skakels
कड़ी	ketting
एकमात्र	sole
ईरान	iran
क्षेत्रीय	streek
जान	ken
जान	weet
लड़ाई	slag
लड़ाई	veldslag
लड़ाई	veg
परिभाषित	gedefinieer
परिभाषित	omskryf
परिभाषित	gedefinieër
अंश	fraksie
अंश	breuk
ग्रामीण	landelike
ग्रामीण	rural
रोड	pad
रोड	road
गायक	sangeres
गायक	sanger
गायक	singer
इस्लाम	islam
समुद्री	marine
उनको	hulle
उपयोगी	bruikbare
उपयोगी	nuttig
उपयोगी	nuttige
उपयोगी	gehelp
उपयोगी	hulpvaardig
उपयोगी	behulpsaam
उपयोगी	nuttig
कोशिका	sel
केंद्रीय	sentrale
केंद्रीय	sentraal
सत्र	sessie
सत्र	sessies
नारायण	narayan
मिश्र	egipte
मिश्र	egiptiese
पहुँच	toegang
पहुँच	bereik
पहुँच	reikwydte
पहुँच	sigbaarheid
पहुँच	toeganklikheid
मेरा	myne
मिस्र	egipte
मिस्र	egiptiese
गणराज्य	republiek
छात्रों	studente
पुराना	oud
पुराना	ou
पुराना	ouer
जम्मू	jammu
तेज	vinnig
तेज	vinnige
सम्राट	keiser
वैसे	elkgeval
वैसे	anyway
वैसे	nogtans
नवंबर	november
कारणों	redes
सर	sir
सर	meneer
प्रवाह	vloei
प्रवाह	flow
अपराध	geloofsbelydenis
अपराध	misdaad
अमेरिकन	amerikaans
अमेरिकन	american
अमेरिकन	amerikaanse
व्यक्तित्व	persoonlikheid
जन	jan
यूनाइटेड	vereenigde
यूनाइटेड	united
यूनाइटेड	verenigde
जापानी	japan
जापानी	japannees
जापानी	japannese
जापानी	japannees
रॉक	rock
लंबी	tall
लंबी	lank
लंबी	hoog
लंबी	lank
गेम	speletjies
गेम	gaming
गेम	speletjie
गेम	spel
गेम	speletjies
गेम	wedstryde
अन्दर	binne
अन्दर	binne
संपत्ति	eiendom
संपत्ति	bates
संक्षिप्त	afkorting
संक्षिप्त	concise
क्यों	hoekom
क्यों	waarom
गलत	verkeerd
गलत	verkeerd
गलत	verkeerde
गलत	vals
संपूर्ण	hele
सर्वोच्च	supreme
सर्वोच्च	hoogste
भौतिकी	fisika
वाहन	voertuie
वाहन	voertuig
फ़िल्में	flieks
फ़िल्में	rolprente
फ़िल्में	movies
सैनिक	soldier
सैनिक	soldate
सैनिक	militêre
डेटा	data
स्थिर	steady
दूध	melk
विद्वानों	scholars
अशोक	ashoka
मानना	glo
रखना	aanhou
रखना	hou
रखना	behou
बाह्य	eks
बाह्य	eksterne
उपस्थिति	bywoning
उपस्थिति	teenwoordigheid
चूंकि	sedert
होटल	hotel
होटल	hotelle
होटल	hotels
उच्चारण	uitspraak
साहित्यिक	literêre
पुरुषों	mans
पुरुषों	manne
वृक्ष	boom
वृक्ष	bome
निवेश	belê
निवेश	belegging
निवेश	belegging
निवेश	beleggings
तत्वों	elemente
सत्य	waarheid
दार्शनिक	philosopher
सौ	honderd
आंतरिक	interior
आंतरिक	binneste
आंतरिक	intern
आंतरिक	interne
निकल	nikkel
प्रत्यक्ष	obvious
प्रत्यक्ष	direk
प्रत्यक्ष	rig
प्रत्यक्ष	direkte
मित्र	vriende
मित्र	vriend
दर्द	pyn
बिजली	elektrisiteit
बिजली	thunderbolt
बिजली	weerlig
कार्ड	kaarte
कार्ड	koord
कार्ड	kaarte
बिंदु	uraan
बिंदु	punte
बिंदु	punt
बिंदु	dot
बिंदु	punt
स्टेडियम	stadions
स्टेडियम	stadion
हजार	duisend
अभाव	afwesigheid
रिलीज़	vrylaat
रिलीज़	vrystelling
रिलीज़	vrystellings
शांति	vrede
वितरण	aflewering
वितरण	aflewer
वितरण	lewering
वितरण	verspreiding
आय	inkomste
आय	opbrengste
आय	verdienste
आय	inkomste
रन	runs
फाइनल	finale
फाइनल	finaal
टेलीविजन	televisie
दैनिक	daaglikse
न्याय	geregtigheid
न्याय	justice
न्याय	justisie
फूल	blomme
फूल	blom
प्राप्ति	onttrekking
प्राप्ति	aanwins
प्रसार	sprei
दिल	dil
दिल	hart
दिल	hartjie
दिल	harte
गाने	liedere
गाने	liedjies
सुंदर	mooi
सुंदर	mooi
सुंदर	pretty
यानि	beteken
हाउस	house
हाउस	huis
अफ़्रीका	africa
अफ़्रीका	afrika
इच्छा	begeerte
भार	gewig
खंड	seksie
खंड	afdeling
खंड	blokkeer
खंड	blok
मिश्रण	opskud
मिश्रण	meng
मिश्रण	mengsel
समर्पित	toegewyde
समर्पित	dedicated
समर्पित	opgedra
पहुंच	toegang
स्मारक	monumente
स्मारक	monument
व्यास	deursnee
प्यार	liefde
प्यार	liefdevolle
लखनऊ	lucknow
आन्दोलन	movement
आन्दोलन	beweging
मंत्रालय	ministry
मंत्रालय	ministerie
मंत्रालय	hoofgebou
आत्मा	siel
आत्मा	gees
हे	hallo
हे	hi
हे	haai
पक्षी	voël
निवासी	inwoner
निवासी	woonagtig
निवासी	inwoners
अंततः	eventually
डेविड	dawid
डेविड	david
कह	sê
जंक्शन	junction
खास	spesiaal
जलवायु	klimaat
बांग्लादेश	bangladesj
तय	reggemaak
धारावाहिक	serie
धारावाहिक	episodes
तारे	ster
तारे	star
तारे	sterre
बनाना	toelae
पौराणिक	mitologiese
बाकी	residual
बाकी	rus
बाकी	res
बाकी	oorblywende
बाकी	oor
संत	sant
संत	saints
संत	heilige
संत	saint
ऊंचाई	vergelyking
ऊंचाई	hoogte
उपग्रह	satelliet
तुर्की	turkye
तुर्की	turkse
तुर्की	turkish
संस्कार	funeral
संस्कार	begrafnis
संस्कार	rituals
संस्कार	rites
शंकर	shankar
अर्थव्यवस्था	ekonomie
अर्थव्यवस्था	ekonomies
बीमारी	illness
बीमारी	siekte
बीमारी	siekte
वार्षिक	maandelikse
वार्षिक	jaarlikse
परिसर	perseel
परिसर	komplekse
परिसर	kompleks
अधिकतम	maksimum
अधिकतम	max
अधिकतम	swaarste
अधिकतम	maksimum
अधिकतम	maksimeer
अधिकतम	maksimeer
वैश्विक	wêreldwyd
वैश्विक	global
वैश्विक	globale
वैश्विक	globaal
तभी	slegs
तभी	net
अनिवार्य	verpligtend
अनिवार्य	essentials
अनिवार्य	noodsaaklike
अनिवार्य	essential
उपाधि	graad
सामान्यतः	gewoonlik
सामान्यतः	normaalweg
तारा	ster
तारा	star
द्वार	hek
द्वार	door
द्वार	deur
द्वार	deure
द्वार	doors
आनंद	enjoy
आनंद	anand
आनंद	ananda
कम्पनी	maatskappy
रे	bestraling
रे	ray
स्थायी	permanente
स्थायी	permanent
स्थायी	langdurige
लकड़ी	wooden
लकड़ी	hout
गोल	rand
गोल	randse
गोल	doelwit
गोल	rondte
तल	vloer
तल	floor
तल	bodem
तल	onder
तल	onderkant
तल	bottom
पू	poef
ऋण	lening
ऋण	skuld
ऋण	lenings
नंबर	nommer
नंबर	getalle
नंबर	getal
त्वचा	vel
नोबेल	nobel
अधिकारियों	outoriteit
अधिकारियों	owerhede
अधिकारियों	beamptes
जटिल	komplekse
जटिल	kompleks
जटिल	complicated
जटिल	ingewikkeld
हमला	aanval
आपूर्ति	voorrade
आपूर्ति	verskaffing
आपूर्ति	voorrade
आपूर्ति	voorraad
आपूर्ति	verskaf
अर्थशास्त्र	ekonomie
दर्ज	opgeneem
हस्ताक्षर	handtekeninge
हस्ताक्षर	handtekening
कानूनी	wettig
कानूनी	legal
टिप्पणी	kommentaar
टिप्पणी	notas
टिप्पणी	opmerkings
डे	dey
स्मृति	geheue
स्मृति	herinnering
वेद	vedas
राजनैतिक	politieke
तीव्र	vinnig
तीव्र	vinnige
तीव्र	tropiese
तीव्र	intens
तीव्र	intense
सम्बन्धित	ooreenstemmend
सम्बन्धित	verwante
सम्बन्धित	verwant
हाइड्रोजन	waterstof
चयन	seleksie
राजनीतिज्ञ	politikus
यूनानी	griekse
यूनानी	griekeland
जॉर्ज	george
डीवीडी	dvd
स्वर्ण	goud
ठोस	soliede
ठोस	solied
ठोस	geleiding
सभ्यता	beskawing
मशीन	masjien
विदेश	buitelandse
विदेश	foreign
दवा	geneeskunde
दवा	medikasie
ऋषि	sage
शेयर	gedeel
गर्म	hot
गर्म	warm
सौर	solar
पंथ	creed
एशियाई	asiese
एशियाई	asiatiese
अपेक्षाकृत	relatively
परिभाषा	animasie
परिभाषा	definisie
पति	man
सफेद	white
संधि	verdrag
वैकल्पिक	alternatief
वैकल्पिक	alternatiewe
वैकल्पिक	afwissel
वैकल्पिक	alternatiewe
वैकल्पिक	opsioneel
वैकल्पिक	opsionele
जयपुर	jaipur
हार	oorwin
समाधान	resolusie
समाधान	oplossing
समाधान	oplossings
जेल	tronk
जेल	tronk
जेल	gevangenis
जोड़ा	paartjie
हिमालय	himalaja
राजमार्ग	highways
राजमार्ग	hoofweg
राजमार्ग	grootpad
राजमार्ग	highway
पेड़	boom
पेड़	bome
कैरियर	loopbaan
कैरियर	draer
कैरियर	diensverskaffer
कैरियर	loopbane
इंच	duim
इंच	duime
इंच	duim
डिजिटल	digitale
डिजिटल	digital
श्रेष्ठ	superior
निगम	corporation
निगम	korporasie
निगम	onderneming
आग	brand
आग	vuur
चैम्पियनशिप	championship
शराब	alkohol
शराब	wyn
पौधे	plants
पौधे	plante
पौधे	plant
जमीन	grond
जमीन	grond
जमीन	ground
खाने	dine
खाने	eet
हाथों	hande
बाज़ार	bazaar
बाज़ार	markte
बाज़ार	markplein
बाज़ार	mark
आदमी	man
मस्जिद	moskee
किरदार	karakters
नुकसान	verlies
आकर्षित	lok
लाने	haal
रखी	gelê
रस	sap
ऑनलाइन	aanlyn
सेट	gestel
सेट	instel
सेट	stel
सेट	stelle
भेद	distinction
भेद	geheim
भेद	geheime
भेद	sekuriteit
फोन	foon
फोन	phone
फोन	fone
मनोविज्ञान	sielkunde
मगध	magadha
शक्तिशाली	powerful
शक्तिशाली	kragtige
व्याकरण	grammatika
व्याकरण	grammar
अवार्ड	toekenning
कौन	wie
चिह्न	simbool
चिह्न	simbole
चिह्न	teken
चिह्न	onderteken
चिह्न	ikoon
वर्गीकरण	klassifikasie
जोड़	optel
जोड़	byvoeging
आरोप	kostes
उड़ान	vlug
महासागर	oseane
महासागर	oseaan
माल	rykdom
एयर	air
एयर	lug
महसूस	voel
अध्याय	hoofstuk
अध्याय	chapters
कराया	gewapende
विमानक्षेत्र	lughawe
दान	geskenk
दान	skenkings
दान	skenking
दान	skenk
दान	skenkings
दान	liefdadigheid
करे	kare
अनुपात	ratio
अनुपात	verhouding
विद्रोह	opstand
कक्षा	klaskamer
कक्षा	klas
कक्षा	wentelbaan
स्नातक	gegradueer
स्नातक	klaargemaak
स्नातक	bachelor
स्नातक	graduation
स्नातक	graduate
इंजीनियरिंग	ingenieurswese
मूर्ति	standbeelde
मूर्ति	afgod
मूर्ति	idol
मराठी	marathi
माइकल	michael
इलाज	genees
इलाज	treat
इलाज	behandel
इलाज	behandeling
अभ्यास	practice
अभ्यास	praktyk
अभ्यास	oefen
शाही	koninklike
शाही	royal
शाही	shahi
पाकिस्तानी	pakistan
ब्लैक	swart
भेजा	gestuur
संसाधन	hulpbron
संसाधन	hulpbronne
देवनागरी	devanagari
जीन	gene
मजबूत	sterk
बढ़ाने	verbeter
प्रोग्राम	programme
मिश्रित	gemeng
मिश्रित	gemengde
मिश्रित	menger
निरंतर	aaneenlopende
निरंतर	konstante
प्रबंध	bestuur
पदक	medalje
व्यंजन	kookkuns
परिस्थितियों	situasies
जमा	inbetaal
स्त्री	vrou
स्त्री	vroulik
स्त्री	wyfie
चित्रण	uitbeelding
चित्रण	teken
चित्रण	illustrasie
यातायात	traffic
यातायात	verkeer
यातायात	vervoer
यातायात	transport
यातायात	airways
सूक्ष्म	micro
सूक्ष्म	mikro
लंबाई	tydsduur
लंबाई	lengte
हेनरी	henry
डाला	ingevoer
डाला	ingevoerde
समीक्षा	resensies
समीक्षा	resensie
समीक्षा	hersiening
समीक्षा	oorsig
समीक्षा	hersien
कर्मचारियों	werknemers
हमले	aanvalle
हमले	aanval
अक्षर	lettergreep
अक्षर	briewe
अक्षर	letters
अक्षर	brief
अक्षर	letter
अक्षर	karakters
कारक	faktore
कारक	factor
कारक	faktor
किंगडम	koninkryk
हिन्द	indo
हिन्द	sersant
हिन्द	hind
बीज	saad
बीज	seeds
जल्दी	vroeg
जल्दी	vroeë
घाट	ford
यंत्र	toestel
यंत्र	instrument
यंत्र	masjien
यंत्र	instruments
यंत्र	instrumente
कर्म	karma
कदम	step
कदम	stap
कदम	stappe
साथी	companion
साथी	vennoot
साथी	maat
साथी	lewensmaat
साथी	metgesel
ऊपरी	boonste
ऊपरी	hoofletters
पुस्तकों	boeke
आशा	hoop
नौ	nege
शिक्षण	teaching
ऊँचाई	hoogtes
ऊँचाई	vergelyking
ऊँचाई	hoogte
आकर्षण	aantrekkingskrag
आकर्षण	aantreklikheid
आकर्षण	charisma
आकर्षण	charm
आकर्षण	charms
आकर्षण	attraksies
सर्वेक्षण	opnames
सर्वेक्षण	opname
हद	limiet
हद	limiete
हद	beperkings
मुहम्मद	mohammed
मुहम्मद	muhammed
स्टूडियो	studio
स्टूडियो	ateljee
राज्यपाल	goewerneur
गेंद	bal
राजाओं	konings
राजाओं	kings
पुस्तकालय	biblioteke
पुस्तकालय	biblioteek
बॉलीवुड	bollywood
सिनेमा	cinema
प्राणी	dier
प्राणी	diertjie
अंग्रेजों	brits
कर्मचारी	werknemer
कर्मचारी	werknemers
कर्मचारी	worker
कर्मचारी	werker
कर्मचारी	arbeider
काले	swart
मंच	platform
प्रेरणा	motivering
प्रेरणा	inspirasie
मारे	gedood
मारे	doodgemaak
मारे	vermoor
तीसरा	derde
चलती	beweeg
तुरंत	onmiddelik
तुरंत	onmiddellik
तुरंत	dadelik
अकबर	akbar
शुरूआत	eerstes
फिल्में	flieks
फिल्में	rolprente
फिल्में	movies
यात्री	passasiers
यात्री	passasier
यात्री	passasiers
यात्री	reisiger
चार्ल्स	karel
चार्ल्स	charles
रामायण	ramayana
प्रगति	vordering
जहाज	skip
जहाज	skeep
जहाज	skepe
बचपन	childhood
बातचीत	gesprekke
बातचीत	wisselwerking
केंद्रित	gesentreer
केंद्रित	gesentreerde
केंद्रित	gefokusde
तारीख़	datum
नर	manlike
नर	mannetjie
संकट	menace
संकट	krisis
असम	assam
रोगों	siektes
जानी	jani
फ्रेंच	frans
फ्रेंच	franse
पंजाबी	punjabi
वीर	dapper
वीर	heldhaftige
उपयोगकर्ता	gebruiker
उपयोगकर्ता	gebruikernaam
उपयोगकर्ता	gebruikers
बिल	noot
ग्रैंड	vleuel
ग्रैंड	grand
निर्देशित	regie
निर्देशित	gerig
निर्देशित	begeleide
प्रोटीन	protein
प्रोटीन	proteïen
हास्य	komedie
ग्राहक	klant
ग्राहक	klante
ग्राहक	kliënt
तृतीय	iii
तृतीय	derde
तिथि	datum
खाते	rekeninge
नवीन	innoverend
नवीन	innoverende
खाड़ी	baai
खाड़ी	bay
तरल	vog
तरल	vloeistof
संबद्ध	geaffilieer
संबद्ध	geassosieerde
संबद्ध	geassosieer
संबद्ध	assosieer
दौरे	toer
दौरे	tour
संयोजन	samestelling
संयोजन	komposisie
संयोजन	kombinasie
संयोजन	integrasie
निदेशक	direkteur
सामान	goeters
किला	kasteel
किला	fortress
किला	fort
मंगल	mars
अन्तर्राष्ट्रीय	internasionaal
अन्तर्राष्ट्रीय	internasionale
थोड़ा	effens
शुल्क	fee
शुल्क	fooi
शुल्क	gelde
लोगो	logo
लोगो	kenteken
लोगो	logos
माह	maande
माह	maand
सलाह	advies
सलाह	raad
आहार	diet
स्वामित्व	eienaarskap
गिरजाघर	katedraal
गिरजाघर	kerk
पीढ़ी	generasie
गृह	tuis
गृह	huistoe
गृह	tuisblad
गृह	huis
छवि	prente
छवि	beelde
छवि	prent
छवि	beelde
पुष्टि	bevestiging
कलाकारों	kunstenaars
यूनिवर्सिटी	universiteit
औपचारिक	formele
औपचारिक	formal
जातियों	races
वित्त	finansieel
वित्त	finansies
तीर्थ	pilgrimage
मध्यम	medium
द्रव	vog
द्रव	vloeistof
अनुरोध	versoeke
अनुरोध	versoek
जोर	loud
जोर	beklemtoning
जोर	benadruk
संभावित	geneë
संभावित	potensiaal
संभावित	moontlik
हमारी	ons
विपणन	bemarking
मनाया	gevier
मूल्यांकन	beoordeling
मूल्यांकन	meting
मूल्यांकन	mate
मूल्यांकन	mates
मूल्यांकन	maatreëls
वाक्य	sin
वाक्य	sinne
डाटा	data
अनुरूप	konsonant
अनुरूप	pas
ध्वज	banier
ध्वज	vlaggie
ध्वज	vlag
ध्वज	rapporteer
ध्वज	vlae
ध्वज	gemerk
ध्वज	vlaggies
ध्वज	baniere
ध्वज	luxembourg
पुल	bridges
पुल	brûe
पुल	brug
मोहन	mohan
देखकर	sien
फीट	voete
पुस्तकें	boeke
बहन	sis
बहन	suster
हल	hull
हल	oplossing
मास	massa
पॉल	paulus
पॉल	paul
तारों	ster
तारों	star
तारों	sterre
करेगा	sal
अधिकारों	regte
साक्षात्कार	interview
साक्षात्कार	interviews
सेवाएं	dienste
काउंटी	provinsie
काउंटी	county
काउंटी	provinsies
काउंटी	cowboy
बीमा	versekering
सुबह	môre
सुबह	oggend
सुबह	more
मानचित्र	kaart
मानचित्र	kaarte
खर्च	bestee
खर्च	spandeer
खर्च	besteding
जातियाँ	samelewing
जातियाँ	gemeenskap
जातियाँ	community
हाई	hoë
हाई	hoog
विख्यात	genoteer
विख्यात	gelet
मालिक	eienaar
फैला	sprei
जंगल	jungle
जंगल	woud
जंगल	bos
पैर	voete
पैर	voet
कोरिया	korea
बालक	kind
चुनावों	verkiesings
बीबीसी	bbc
सैनिकों	soldiers
मौलिक	oorspronklik
मौलिक	oorspronklike
मौलिक	basies
मौलिक	basic
मौलिक	basiese
अमरीकी	amerikaans
अमरीकी	american
अमरीकी	amerikaanse
बेटे	seuns
बेटे	seun
कोर्ट	hof
निर्देश	aanwysings
निर्देश	voorskrifte
निर्देश	instruksie
निर्देश	instruksies
ओपन	ope
ओपन	oopmaak
ओपन	oop
आवाज	volume
आवाज	stem
रोम	rome
मनोरंजन	ontspanning
मनोरंजन	vermaak
विलय	samesmelting
विलय	versmelt
विलय	samevoeging
विलय	saamsmelt
विलय	saamvoeg
दीवार	muur
उत्कृष्ट	uitstekend
उत्कृष्ट	uitstekende
उत्कृष्ट	excellent
उत्कृष्ट	uitstaande
सकारात्मक	positiewe
सकारात्मक	positief
काली	kali
संभवतः	miskien
संभवतः	dalk
महात्मा	mahayana
महात्मा	mahatma
संशोधन	veranderinge
संशोधन	hersiening
कैलिफोर्निया	california
कैलिफोर्निया	kalifornië
चिकित्सक	terapeut
चिकित्सक	therapy
चिकित्सक	sielkundiges
सरस्वती	saraswati
रॉबर्ट	robert
वर्ण	karakters
किताब	bespreek
किताब	boek
आपकी	jou
रचनाओं	skeppings
जय	jaya
जय	jay
वनस्पति	botaniese
वनस्पति	plantegroei
नायक	heroes
नायक	helde
नायक	held
नायक	hero
प्रतिनिधि	delegeer
प्रतिनिधि	verteenwoordiger
प्रतिनिधि	verteenwoordigers
आपका	jou
आपका	joune
शब्दावली	woordelys
शब्दावली	terminology
शब्दावली	woordeskat
रास्ते	manier
रास्ते	way
लेखकों	skrywers
फैसला	judge
फैसला	regter
फैसला	besluit
फैसला	faisalabad
कीमत	prys
संघीय	federale
संघीय	federal
निदान	diagnostic
निदान	diagnose
प्रतिमा	standbeeld
बेटी	dogter
ज्योतिष	astrologie
ज्योतिष	sterreteken
मुश्किल	effens
मुश्किल	skaars
मुश्किल	tough
मुश्किल	lot
मुश्किल	hard
मुश्किल	harde
