উইলিস	vilis
বোধগম্য	saprotamas
ফ্লাইং	peld
ফ্লাইং	lido
জোনস	džounss
জোনস	džouns
জোনস	džonss
ফ্লেচার	flečers
চশমা	brilles
চশমা	brilles
চশমা	stikli
চশমা	glāzes
ভোল্টেজ	sprieguma
ভোল্টেজ	spriegums
এডগার	edgars
এডগার	edgar
এলিয়ট	eliots
এলিয়ট	eliots
সমকক্ষ	vienaudžiem
সত্তর	septiņdesmit
সামি	sāmu
চামচ	karoti
চামচ	tsp
লেকচার	lekcija
লেকচার	lekciju
লেকচার	lekcijas
ইসরাইল	izraēla
দেখেছি	redzējusi
দেখেছি	redzēti
দেখেছি	redzējuši
দেখেছি	redzējis
হটে	haute
যুদ্ধবিরতি	pamiers
তিমি	vaļi
তিমি	vaļu
অ্যালকোহল	alkoholu
অ্যালকোহল	alkohols
অ্যালকোহল	spirts
অবরুদ্ধ	bloķēti
অবরুদ্ধ	bloķēta
অবরুদ্ধ	bloķēts
তত্ত্বাবধান	pārraudzība
তত্ত্বাবধান	uzraudzība
বুকার	booker
ফিতা	lente
ফিতা	lenta
ফিতা	lentas
ফ্যাক্টরি	rūpnīca
ফ্যাক্টরি	fabrika
চকচকে	spīdīgs
বিস্ময়	pārsteigums
বিস্ময়	pārsteigt
বিস্ময়	brīnumi
বাধার	šķēršļi
লেস	les
মেটে	aknu
মেটে	aknas
বাতিঘর	bāka
জারণ	korozijas
মিষ্টান্ন	deserts
কান্দাহার	kandahāras
নিক্ষিপ্ত	lietos
রেস্টুরেন্ট	restorāns
মুষ্টিযোদ্ধা	šortos
হল্যান্ড	holland
হল্যান্ড	holande
কিটস	komplekti
কিটস	kītss
বেলুন	balons
বেলুন	balonu
বেলুন	baloni
নাস	nas
পরিসর	diapazons
ছিটকে	saliku
জাগো	jago
রিডার	lasītājiem
রিডার	lasītāji
রিডার	lasītājs
ট্যাক্সি	taksometru
করুণ	nožēlojami
সেবন	bauda
সেবন	baudot
গিলবার্ট	gilbert
অধ্যয়নরত	studē
অধ্যয়নরত	mācās
অধ্যয়নরত	pēta
লাফিয়ে	lec
ছুড়ে	mest
অ্যাটলেটিকো	atletico
গাড়ী	auto
গাড়ী	automašīna
গাড়ী	automobilis
গাড়ী	mašīna
নাইরোবি	nairobi
ডিসকভারি	atklājums
ডিসকভারি	atradums
ডিসকভারি	atklāšana
হীরা	dimanta
হীরা	dimants
হীরা	dimantu
অপব্যবহার	ļaunprātīgas
নিকারাগুয়া	nikaragva
নিকারাগুয়া	krievija
আপিল	pārsūdzības
আপিল	aicinājumi
আপিল	apelāciju
আপিল	apelācijas
জাজিরা	jazeera
লোকে	cilveki
লোকে	cilvēki
লোকে	tauta
লোকে	cilvēkiem
প্যালেস্টাইন	palestīnas
প্যালেস্টাইন	palestīnā
কেনো	kapēc
কেনো	kādēļ
কেনো	kāpēc
ঘটবে	notiek
ঘটবে	gadās
উপকারী	izdevīga
উপকারী	noderīga
উপকারী	noderīgi
ডো	stirna
গুলিবর্ষণ	apdedzināšanas
সুখের	laimi
সুখের	laime
সুখের	laimes
আর্দ্রতা	mitrums
আর্দ্রতা	mitrums
নির্জন	vientuļš
নির্জন	vientuļa
নির্জন	vientuļi
দৌলত	dawlat
সোমালিয়া	somālija
সোমালিয়া	somālijas
বিক্ষিপ্ত	izkaisītas
মহৎ	varens
মহৎ	vareno
মহৎ	lielisku
ধারণকারী	tvertne
ধারণকারী	konteiners
ধারণকারী	konteinera
তীরন্দাজ	strēlnieki
মজা	jautrība
মজা	jautri
মজা	prieki
পশম	kažokādas
পশম	kažokādu
সতর্কতা	brīdinājums
সতর্কতা	piesardzība
সতর্কতা	brīdinājumi
সতর্কতা	brīdinājums
আনু	anu
কেক	kūka
কেক	tortes
কেক	torte
কেক	tortes
কেক	kūkas
পান্না	emerald
সাফারি	safari
ক্রোমোজোম	hromosomu
কোরে	korijs
মনোবল	izturību
মনোবল	izturība
নরম্যান	norman
কনরাড	konrāds
কনরাড	konrad
নিকোলাই	nikolajs
জয়েন্ট	kopīga
জয়েন্ট	locītavu
জয়েন্ট	kopīgais
বহিষ্কৃত	izraidīt
বহিষ্কৃত	izmests
কলি	kali
কলি	kolliju
কলি	saknē
কলি	pumpuru
রেজিস্টার	reģistri
রেজিস্টার	reģistrā
রেজিস্টার	reģistrēties
রেজিস্টার	reģistrs
ফিদেল	fidel
স্ট্রোক	gājiens
স্ট্রোক	insults
ব্যাথা	sāpes
ব্যাথা	sāp
ফ্রাই	dfr
ফ্রাই	frī
কীটনাশক	pesticīdu
কীটনাশক	pesticīdi
কীটনাশক	pesticīdi
বক্ররেখা	līkne
বক্ররেখা	līknes
গেটস	vārti
এক্সটেনশন	paplašinājumi
এক্সটেনশন	pagarinājumu
এক্সটেনশন	pagarināšana
এক্সটেনশন	paplašināšana
এক্সটেনশন	paplašinājums
এক্সটেনশন	pagarinājums
ব্রাউনের	brauns
ব্রাউনের	brūnais
ব্রাউনের	brūna
ব্রাউনের	brūns
ব্রাউনের	braun
সুজা	souza
ধূমপান	smēķēšana
ধ্বংসাত্মক	destruktīva
সমানভাবে	vienlīdz
সমানভাবে	vienādi
সেটার	noteicēju
ইয়োহানেস	johannes
প্রমিত	standartam
প্রমিত	standarta
প্রমিত	standarts
দই	jogurts
দই	biezpiens
দই	biezpiena
লিওনার্ড	leonards
বর্ণহীন	bezkrāsains
অপমান	aizvainojoši
নেত্রী	vadītājs
নেত্রী	vadonis
নেত্রী	līderi
নেত্রী	leader
নেত্রী	līderis
চেখভ	čehovs
রাইডার	raider
রাইডার	jātnieks
প্রশিক্ষিত	apmācīts
প্রশিক্ষিত	apmācīti
পূর্বাভাস	prognozes
পূর্বাভাস	prognozē
পূর্বাভাস	prognoze
ল্যান্স	lens
সোয়ান	gulbis
নানক	dēvs
কুকুরের	suns
কুকুরের	suņi
মাছরাঙা	dzenītis
মেয়ার	meyer
কুসংস্কার	aizspriedumi
কুসংস্কার	aizspriedumiem
কুসংস্কার	aizspriedumus
সূচী	satura
সূচী	saturs
টিনের	tin
টিনের	alvas
পদ্মার	padma
বাব	bab
ম্যাট্রিক্স	matricas
ম্যাট্রিক্স	matricu
ম্যাট্রিক্স	matrices
ম্যাট্রিক্স	matrica
নির্যাতিত	ļaunprātīgi
বিন্যাসে	veidots
এফবিআই	fib
তিল	sezama
ম্যাডিসন	medisona
প্রাপ্তবয়স্কদের	pieaugušajiem
প্রাপ্তবয়স্কদের	pieaugušiem
প্রাপ্তবয়স্কদের	pieaugušie
টমেটো	tomātu
টমেটো	tomāti
প্রতিলিপি	kopijas
প্রতিলিপি	eksemplāri
গৌরী	gauri
ক্লায়েন্ট	klienti
ক্লায়েন্ট	klients
ক্লায়েন্ট	klientu
ক্লায়েন্ট	klienta
হাঁটা	ejot
হাঁটা	staigā
হাঁটা	staigāt
হাঁটা	iet
হাঁটা	pastaiga
হাঁটা	staigā
টানেল	tunelis
পটাশিয়াম	kālija
পটাশিয়াম	kāliju
পিয়ার	pier
পরামর্শক	konsultants
জিনিসপত্র	mantas
পুরুষেরা	vīriešiem
পুরুষেরা	vīri
পুরুষেরা	vīrieši
এক্সবক্স	xbox
পাড়ার	apkārtne
ম্যানিলা	manilas
জ্যামাইকা	jamaika
মুরগির	vistas
মুরগির	cālis
মুরগির	vista
ভিশন	redzējums
ভিশন	vīzija
ভিশন	redze
শিরা	vēnā
শিরা	vēnas
শিরা	vēnu
সংবেদনশীল	jutīgu
সংবেদনশীল	jutīgs
সংবেদনশীল	jutīgi
সংবেদনশীল	jutīga
সংবেদনশীল	jutīgas
সংবেদনশীল	jūtīgs
পুনর্গঠিত	pagatavots
ফারাও	faraons
আন্তরিক	sirsnīgi
আন্তরিক	sirsnīgas
কূটনীতিক	diplomāts
ট্রান্সপোর্ট	pārvadātājs
আর্টিলারি	artilērijas
মার্স	mars
এডিটর	redaktoriem
তরুন	jauni
ভালুক	lācis
ভালুক	lāča
ভালুক	lāci
পৌঁছাতে	reach
পৌঁছাতে	aizsniegt
লেবাননের	libānas
প্রস্থান	iziet
প্রস্থান	izvešanas
প্রস্থান	izeja
প্রস্থান	iziešanas
প্রস্থান	izbraukšana
নখ	spīles
নখ	naglas
নখ	nagi
সেলুলার	šūnu
পাইরেটস	pirāti
গন্তব্য	galamērķa
গন্তব্য	galamērķi
গন্তব্য	galamērķis
গন্তব্য	galamērķiem
গন্তব্য	galamērķus
গন্তব্য	galamērķi
পেইন্টিং	gleznu
পেইন্টিং	krāsošana
পেইন্টিং	zīmēšana
পেইন্টিং	glezna
শুন্য	nulli
শুন্য	zero
শুন্য	nulle
শুন্য	nulles
হিলস	pakalni
ভজন	dziedājums
অসন্তুষ্ট	neapmierināti
চায়ের	tēja
চায়ের	tējas
চায়ের	tēju
ড্যানিশ	dāņu
ড্যানিশ	dānijas
অর্ডোভিশিয়ান	ordoviks
আগ্রাসী	agresīvi
আগ্রাসী	agresīva
কদর	novērtēju
ফিউশন	kodolsintēzes
প্রজ্ঞা	unces
প্রজ্ঞা	gudrību
প্রজ্ঞা	gudrība
প্রজ্ঞা	gudrības
গেটের	vārtus
গেটের	vārti
গেটের	vārtiem
মাংসাশী	gaļēdāju
সুইং	sparā
মাতৃ	mātes
তাহার	viņai
তাহার	viņas
রন্ধনপ্রণালী	virtuve
অভিনেতাদের	dalībnieki
অভিনেতাদের	aktieri
আইজ্যাক	īzaks
শাস্তির	sods
লী	lī
এস্তোনিয়া	igaunija
এস্তোনিয়া	igaunijā
দুর্বলতা	nespēks
দুর্বলতা	vājums
রিয়া	reja
ব্যুৎপত্তি	etimoloģija
কাউন্টার	skaitītājs
কাউন্টার	skaitītāja
দেখছি	vēro
দেখছি	skatos
দেখছি	skatās
দেখছি	vērot
প্রসব	dzemdību
প্রসব	dzemdības
বাধ্যবাধকতা	pienākums
পেদ্রো	pedro
জাক	žaks
জাক	jacques
অলঙ্কার	rotaslietas
অলঙ্কার	juvelierizstrādājumu
ইউরোপা	europa
কাজাখস্তান	kazahstāna
লেন্সের	lēcas
অস্থিরতা	nestabilitāte
গিলমোর	gilmors
বহুবিধ	vairāku
বহুবিধ	vairāki
ক্যারোলিনা	karolīna
লন	zāliena
ছদ্ম	pseido
আড্ডা	chat
ডিস্ট্রিক্ট	rajons
ডিস্ট্রিক্ট	apgabals
বসতে	sēdēt
বতুতা	batūta
তিউনিসিয়া	tunisija
ডানায়	spārni
ডানায়	spārnus
ক্লিনটন	klintons
মন্ত্রীদের	ministriem
মন্ত্রীদের	ministri
সহোদর	brāļa
সহোদর	brāļi
সাজা	notiesāts
সাজা	notiesāja
গাজা	gazā
গাজা	gazas
আদার	ingvera
বীচ	pludmale
বীচ	pludmales
বীচ	beach
একতা	vienotība
একতা	singularitāte
অ্যান্টেনা	antena
অ্যান্টেনা	antenas
বোতাম	pogas
বোতাম	poga
বোতাম	pogu
ব্রি	brī
ব্রি	bri
মশলা	garšvielām
মশলা	garšvielas
প্রত্যাশিত	paredzamais
প্রত্যাশিত	gaidīts
প্রত্যাশিত	paredzamo
ঢেলে	lej
ঢেলে	ielej
শরণার্থীদের	bēgļi
স্থানীয়দের	vietējie
অংশগ্রহণকারীদের	dalībnieki
অংশগ্রহণকারীদের	dalībnieki
চাদর	loksnes
স্বাভাবিকভাবে	dabiski
স্বাভাবিকভাবে	dabīgi
ইংরাজি	angļu
ফ্লয়েড	floyd
বহিরাগত	ārējais
বহিরাগত	ārējs
বহিরাগত	ārējā
ম্যাপ	kartē
ম্যাপ	karte
ট্রয়	trojas
বিভ্রান্ত	apjucis
বিভ্রান্ত	sajaukt
স্পাই	spiegu
ফাঁক	spraugas
ব্যাচ	sērija
ব্যাচ	partija
কপালে	pieres
অ্যাডমিরাল	admirālis
হরর	šausmas
গ্রুস	grus
গফ	gofs
মহাকাব্যিক	episko
মহাকাব্যিক	epic
কাকাতুয়া	kakadū
প্যাট	pat
কাট	gabali
সাংবাদিকদের	žurnālisti
সাংবাদিকদের	žurnālistiem
সাংবাদিকদের	žurnālistus
মার্কাস	markuss
মার্কাস	markus
ইন্ডিপেন্ডেন্ট	neatkarīgais
ইন্ডিপেন্ডেন্ট	neatkarīgi
ইন্ডিপেন্ডেন্ট	neatkarīga
ইন্ডিপেন্ডেন্ট	neatkarīgs
ইন্ডিপেন্ডেন্ট	neatkarīgas
আইনগতভাবে	tiesiski
আইনগতভাবে	juridiski
আইনগতভাবে	legāli
অ্যারিজোনা	arizona
জর্দান	jordānija
পার্ট	daļa
পোকেমন	pokemonu
টেপ	lentes
টেপ	lentas
টেপ	lente
সুইচ	pārslēgties
সুইচ	slēdzis
সুইচ	pārslēgt
সুইচ	slēdzi
হাঁটু	ceļgala
বেচে	dzīvs
বেচে	dzīva
ধর্ষণের	izvarošanas
ধর্ষণের	izvarošana
ধর্ষণের	rapšu
ধর্ষণের	izvarošanu
আলজেরীয়	alžīrijas
বিকেলে	pēcpusdienā
বিকেলে	pēcpusdienas
বিকেলে	pēcpusdiena
এনজাইম	enzīmi
এনজাইম	fermenti
এনজাইম	fermentu
এনজাইম	ferments
এনজাইম	enzīms
এনজাইম	enzīmu
সম্পূরক	papildinājums
সম্পূরক	papildināt
সম্পূরক	papildina
কং	kong
শব্দসমষ্টি	frāze
মনিটর	uzrauga
মনিটর	uzraudzītu
মনিটর	pārraudzīt
মনিটর	uzraudzīt
মনিটর	monitoru
মনিটর	monitors
মনিটর	novērotāji
মনিটর	monitori
খেলছেন	spēlē
খেলছেন	spēlējas
খেলছেন	spēlējot
গম্ভীর	nopietna
গম্ভীর	nopietni
গম্ভীর	nopietns
গম্ভীর	nopietnas
হার্জেগোভিনা	hercegovina
হার্জেগোভিনা	hercegovinā
এমআইটি	mit
আমেরিকানদের	amerikāņi
মর্যাদাপূর্ণ	prestižajā
কোট	mētelis
কোট	citāts
আকাশচুম্বী	debesskrāpi
পূর্বপুরুষদের	senči
টেড	ted
কুং	kung
উপকণ্ঠে	nomalē
অবহেলিত	novārtā
লিডার	vadītājs
লিডার	vadonis
লিডার	līderi
লিডার	leader
লিডার	līderis
হামবুর্গ	hamburgas
হামবুর্গ	hamburg
হামবুর্গ	hamburgā
অ্যাডোবি	adobe
রাওয়ালপিন্ডি	rāvalpindi
বাসিন্দারা	rezidenti
বাসিন্দারা	iedzīvotāji
মোটরগাড়ি	automobiļu
প্লেবয়	playboy
কনকাকাফ	concacaf
সাম্রাজ্যবাদ	imperiālismu
নির্দোষ	nevainīgi
নির্দোষ	nevainīgs
নির্দোষ	nevainīgu
দারিদ্র	nabadzība
আগ্নেয়াস্ত্র	šaujamieroci
লিটার	litru
লিটার	litri
লিটার	litros
লিটার	litru
জানুন	mācies
জানুন	mācīties
দাড়িয়ে	stāv
দাড়িয়ে	stāvot
ব্রুকলিন	bruklinas
ব্যাটারী	baterija
ব্যাটারী	baterijas
ব্যাটারী	akumulators
ডেন	dānis
ডেন	den
মাহফুজ	mahfūzs
চুম্বন	buča
চুম্বন	skūpsts
সান্টা	santa
সমেত	ieskaitot
বোমাবর্ষণ	bombardēja
বোমাবর্ষণ	bombardēšanas
ইভান্স	evans
জ্ঞাত	zināma
জ্ঞাত	zināmi
জ্ঞাত	zināms
জ্ঞাত	pazīstama
সংহতি	solidaritāte
সংহতি	solidaritātes
সেরে	atgūšanās
সেরে	atveseļošanās
সেরে	atveseļošanas
সেরে	atgūšana
সেরে	reģenerācija
টেসলা	tesla
উত্তল	izliektas
দুঃখিত	piedodiet
দুঃখিত	žēl
দুঃখিত	piedod
দুঃখিত	atvainojiet
ভোল্ট	volti
অভিনন্দন	apsveicu
অভিনন্দন	sveic
অভিনন্দন	apsveicu
ফোটে	bloom
ফোটে	ziedēšana
সেনেগাল	senegālas
মুনি	muni
বাঁচার	izdzīvošanu
বাঁচার	dzīvildze
বাঁচার	izdzīvošana
বাঁচার	izdzīvošanas
চার্চিল	churchill
উপকার	peļņa
উপকার	pabalsts
উপকার	labums
উপকার	ieguvums
উপকার	ieguvumi
উপকার	pabalsti
উপকার	ieguvums
উপকার	labumi
লেবু	citronu
সুখী	priecīgs
সুখী	laimīga
সুখী	laimīgs
গীর্জা	baznīca
গীর্জা	baznīcas
গীর্জা	baznīcā
হান্ট	medības
বাসস্থানের	dzīvotnes
বাসস্থানের	biotopu
ঘটনাসমূহ	notikumi
ঘটনাসমূহ	notikumiem
ঘটনাসমূহ	pasākumi
কদাচিৎ	reti
পোর্তো	porto
পোর্তো	portu
শোভাযাত্রা	gājiens
শ্রবণ	dzirde
ছেলেরা	zēniem
ছেলেরা	puikas
ছেলেরা	puiši
ছেলেরা	zēni
ছেলেরা	dēli
ছেলেরা	džeki
ছেলেরা	puiši
ছেলেরা	veči
সস্তা	lētas
সস্তা	lēts
সস্তা	lēta
সস্তা	lēti
সস্তা	lētāk
সস্তা	lētāka
সস্তা	lētāks
সস্তা	lētāki
সস্তা	lētākas
পরিবাহী	diriģents
মানসিকতা	mentalitāti
মানসিকতা	domāšana
মানসিকতা	domāšanas
হাটে	pastaigas
পরিদর্শনে	apmeklē
পরিদর্শনে	viesos
পরিদর্শনে	ciemos
ঘুঘু	ūbele
আঙ্গুল	pirksti
আঙ্গুল	pirkstus
আঙ্গুল	pirkstiem
আঙ্গুল	pirksta
আঙ্গুল	pirksts
আঙ্গুল	pirkstu
ডক	doku
শিখে	uzzināju
অসলো	oslo
খাঁটি	valodā
খাঁটি	tīra
খাঁটি	tīri
খাঁটি	tīrs
খাঁটি	pure
গোলাবারুদ	munīcija
গোলাবারুদ	munīcijas
অমূল্য	nenovērtējama
কিংডম	karaliste
সরবরাহকারী	piegādātājs
সরবরাহকারী	sniedzējs
সরবরাহকারী	nodrošinātājs
কার্নেল	kodolu
কার্নেল	kodols
কার্নেল	kodola
রেমন্ড	raymond
বিষয়াবলী	temati
বিষয়াবলী	tēmas
সনাক্তকরণ	noteikšanas
সনাক্তকরণ	noteikšana
সনাক্তকরণ	atklāšana
টিউমার	audzēja
আভা	ava
আস্তানা	bēniņos
আস্তানা	astana
হত্যাকান্ড	slepkavības
হত্যাকান্ড	slepkavība
হত্যাকান্ড	slepkavību
পাঠায়	sūta
পাঠায়	nosūta
পরিচালকদের	direktori
পরিচালকদের	vadītāji
পরিচালকদের	pārvaldnieki
লেনন	lenons
ময়লা	netīra
ময়লা	netīrs
ময়লা	netīrumiem
বার্নস	bārnss
টেলিকম	telecom
বর্ন	dzimuši
বর্ন	dzimis
বর্ন	dzimusi
কাঠামোগত	strukturālo
কাঠামোগত	strukturāli
কাঠামোগত	strukturālā
ঝিনুক	austeres
ঝিনুক	austeru
ঝিনুক	austeru
সরলীকৃত	vienkāršots
সরলীকৃত	vienkāršota
সরলীকৃত	vienkāršoti
সরলীকৃত	vienkāršotu
সরলীকৃত	vienkāršotā
সরলীকৃত	vienkāršot
এইচআইভি	hiv
লিথুয়ানিয়া	lietuvā
লিথুয়ানিয়া	lietuvu
লিথুয়ানিয়া	lietuva
কানপুর	kānpura
বাত	artrīts
স্ত্রীদের	sievas
দারা	dara
জেনারেটর	ģenerators
জেনারেটর	ģeneratoru
যুগোস্লাভিয়া	dienvidslāvijas
সিগারেট	cigarešu
সিগারেট	cigaretes
ফ্যাকাল্টি	fakultāte
ফ্যাকাল্টি	fakultātes
সাবধান	piesardzība
সাবধান	rūpīgi
সাবধান	rūpīga
সাবধান	uzmanīgi
নিবদ্ধ	vērsta
নিবদ্ধ	mērķtiecīga
বান্টু	bantu
ইতিমধ্যেই	jau
লুমিয়া	lumia
দাতা	donors
দাতা	donora
দাতা	donoru
কার্গো	kravas
কার্গো	kravai
কার্গো	krava
সাই	psy
সাই	psi
পাউডার	pulveri
পাউডার	pulveris
অ্যাকিলিস	ahileja
বিশৃঙ্খলা	traucējums
বিশৃঙ্খলা	haoss
অন্যভাবে	savādāk
অন্যভাবে	citādi
মরিসন	morisons
ভাঁজ	locīšanas
ভাঁজ	reizes
ভাঁজ	kārtīga
ফ্ল্যাগ	karogi
যোনি	maksts
অনুরাগী	ventilatora
অনুরাগী	fans
অনুরাগী	fanu
অনুরাগী	ventilators
ফ্যান	ventilatora
ফ্যান	fans
ফ্যান	fanu
ফ্যান	ventilators
প্রসেসিং	pārstrāde
প্রসেসিং	apstrāde
এয়ারলাইন	aviokompānija
এয়ারলাইন	aviosabiedrība
এয়ারলাইন	aviokompāniju
অসুখ	slimības
অসুখ	slimība
স্তবক	kopa
স্তবক	kopas
টমি	tomijs
অনাথ	bāreņiem
শাশ্বত	mūžīgs
শাশ্বত	mūžīgā
ঝুলে	karājas
শূণ্য	neko
শূণ্য	nekas
শূণ্য	nav
শূণ্য	neviena
পেটে	kuņģī
পেটে	kuņģa
পেটে	vēders
বন্ধনী	iekavās
ক্রিসমাস	ziemassvētkos
ক্রিসমাস	ziemassvētku
ক্রিসমাস	ziemassvētkus
ক্রিসমাস	ziemassvētki
ডোমিনিকান	dominikānas
ক্যাফে	kafejnīca
আমস্টারডাম	amsterdamā
আমস্টারডাম	amsterdamas
ডাকোটা	dakota
লবন	sāls
কাতালোনিয়া	katalonijas
হিউজ	hughes
ঝাং	džans
পারবো	var
পারবো	varam
জন্তু	zvērs
তাজিক	tadžikistānas
ওয়াং	vana
সিমন	simona
অথরিটি	iestāde
ইসাবেল	izabella
ইসাবেল	izabella
মর্গান	morgan
লিসা	lisa
দোষারোপ	vainīga
দোষারোপ	vainot
ফিন	fin
সহপাঠী	klasesbiedriem
ফসিল	fosilo
প্রাচুর্য	pārpilnība
মনোযোগী	uzmanīgi
ফেরদৌসী	firdousī
অ্যাকাডেমিক	akadēmiskā
অ্যাকাডেমিক	akadēmiskais
চকোলেট	šokolādes
চকোলেট	šokolādi
চকোলেট	šokolāde
সিগন্যাল	signāls
সিগন্যাল	signālu
ইন্দ্রিয়	maņu
বহুভাষী	daudzvalodu
দ্রবণ	cietais
দ্রবণ	cietā
দ্রবণ	cieta
দ্রবণ	ciets
দ্রবণ	silīcija
দ্রবণ	silīcijs
দ্রবণ	silīciju
দ্রবণ	šķīdinātājs
দ্রবণ	atrisinājums
দ্রবণ	šķīdums
দ্রবণ	risinājums
মিট	mitt
শেখানো	iemācīja
শেখানো	mācīja
সহজতর	vieglāka
সহজতর	vieglāk
সহজতর	vienkāršāk
অধিবিদ্যা	metafizika
ট্রেডিং	trading
ট্রেডিং	tirdzniecība
এন্টারপ্রাইজ	uzņēmums
এন্টারপ্রাইজ	uzņēmējdarbība
সন্দেহের	aizdomas
সন্দেহের	šaubas
স্তূপ	kaudze
স্তূপ	kaudzes
রক্তাক্ত	asiņainā
রাউল	rauls
রাউল	rauls
ডাকাতি	laupīšana
ডাকাতি	laupīšanas
পরিচ্ছন্ন	kārtīgs
সক	soc
সক	zeķu
স্ফটিক	kristāla
স্ফটিক	kristālu
পরিসীমা	diapazons
ফার্মেসি	aptiekā
ফার্মেসি	aptiekas
ফার্মেসি	aptieka
দুষ্প্রাপ্য	reti
দুষ্প্রাপ্য	retas
সিনেটর	senators
সিনেটর	senatoriem
আইফেল	eifeļa
চো	cho
ঘুরি	kārta
ইয়ন	yeon
মেয়েটি	meitiņa
মেয়েটি	meitene
মেয়েটি	meitenei
বিশ্বাসঘাতকতা	nodevis
বিশ্বাসঘাতকতা	nodevība
বিশ্বাসঘাতকতা	nodevību
বিশ্বাসঘাতকতা	nodevība
মশা	moskītu
হাসির	smaidi
হাসির	smaids
হাসির	smiekli
বেকারত্ব	bezdarbs
যৌতুক	pūru
নজির	precedents
মরিয়ম	marija
মরিয়ম	mērija
তালা	slēdzenes
ক্রাউন	vainaga
ক্রাউন	vainags
অস্বীকৃত	liegts
অস্বীকৃত	noraidīts
অস্বীকৃত	liegta
অস্বীকৃত	atteikts
অস্বীকৃত	atteikta
লেভি	levi
লেভি	nodeva
লেভি	maksājums
বিশ্লেষক	analītiķis
সামোয়া	samoa
টাইটানিক	titāniks
বিপর্যস্ত	izpostīja
শেঠ	set
শেঠ	sets
তানজানিয়া	tanzānijas
গুয়াতেমালা	gvatemala
কসোভো	kosova
ভাস্কো	vasko
প্লেস্টেশন	playstation
দারুচিনি	kanēli
বিবেক	sirdsapziņa
বিবেক	sirdsapziņu
বিবেক	apziņas
হাস্যরসাত্মক	humoristisko
উইকিমিডিয়ার	wikimedia
এঞ্জেলস	angeles
নিরপেক্ষতা	neitralitāte
নিরপেক্ষতা	neitralitāti
নিরপেক্ষতা	objektivitāte
নিরপেক্ষতা	objektivitāti
কুয়াশা	migla
কুয়াশা	migla
কুয়াশা	migla
কুয়াশা	miglā
কুয়াশা	miglas
কুয়াশা	konkrētais
কুয়াশা	konkrētus
কুয়াশা	betona
কুয়াশা	konkrēts
কুয়াশা	konkrēta
খমের	khmeru
ফটোশপ	photoshop
ভোক্তা	patērētājs
ভোক্তা	patērētāju
ভোক্তা	patērētājam
ভোক্তা	patērētāji
ভোক্তা	patērētājus
ভোক্তা	patērētājiem
অ্যাস্টন	ashton
কর্মক্ষমতা	sniegums
কর্মক্ষমতা	veiktspēja
ক্যাথিড্রাল	katedrāle
রোম্যান্টিক	romantiski
মামার	mamma
স্যুট	numuriņā
স্যুট	kostīmi
স্যুট	piestāv
স্যুট	uzvalks
স্যুট	uzvalku
কোহেন	koens
পুঁজিবাদী	kapitālistu
মৎস	zveja
মৎস	zivsaimniecība
মৎস	zvejniecība
ছুরি	naži
ছুরি	nazi
ছুরি	nazis
বিদ্রোহীরা	nemierniekiem
ইঙ্ক	inc
ধমনী	artērijas
ধমনী	artēriju
ধমনী	artērijas
পলিসি	politika
পলিসি	politikā
পলিসি	politikas
দিলাম	tots
বরিস	boriss
হেসে	hesenes
মমি	mūmijas
দিমিত্রি	dmitrijs
মরা	mirusi
মরা	miris
মরা	beigts
মরা	miruši
পরিচর্যা	kopšana
পরিচর্যা	aprūpe
পরিচর্যা	aprūpi
বর্মা	varma
ঝাঁপ	lec
নিপীড়ন	vajāšana
নিপীড়ন	vajāšanu
নিপীড়ন	vajāšanas
নিপীড়ন	apspiešanu
নিপীড়ন	apspiešana
জামাই	apkopt
থিসিস	tēzes
থিসিস	disertāciju
অভিবাসীদের	migranti
প্রত্যাখ্যাত	atsaukts
প্রত্যাখ্যাত	atsaukta
প্রত্যাখ্যাত	anulēta
প্রত্যাখ্যাত	samazinājās
প্রত্যাখ্যাত	samazinājies
ইকো	eko
ইকো	eco
ইকো	echo
কংক্রিট	konkrētais
কংক্রিট	konkrētus
কংক্রিট	betona
কংক্রিট	konkrēts
কংক্রিট	konkrēta
কাঞ্জি	kandži
বপন	sēt
শখের	amatieru
ক্লদ	claude
ক্লদ	klods
সুইট	saldais
সুইট	salds
সুইট	saldā
সন্মান	gods
সন্মান	goda
আবেগের	aizraušanās
গোলাগুলি	šaušana
গোলাগুলি	šaušanas
গ্রাহকদের	klienti
গ্রাহকদের	klientiem
গ্রাহকদের	abonentu
গ্রাহকদের	abonentiem
দোস্ত	vecīt
দোস্ত	vecis
ইনজুরি	traumas
ইনজুরি	kaitējuma
ইনজুরি	zaudējumi
ইনজুরি	trauma
ইনজুরি	kaitējums
ড্রসোফিলা	drosophila
রাখাল	kovboji
বেরি	ogu
বেরি	berijs
আজকে	šodien
রক্তপাত	asiņošana
রক্তপাত	asiņošanas
রক্তপাত	asinsizliešanu
সম্ভাব্যতা	varbūtības
লুপ	cilpas
লুপ	cilpu
চট্রগ্রাম	čitagonga
ওমেগা	omega
শেফার্ড	ganiem
শেফার্ড	ganu
গুঁড়া	pulverveida
গুঁড়া	pulverī
জানত	zināja
জানত	zināju
জানত	zināji
জানত	pazina
অমর্ত্য	amartja
গ্যাব্রিয়েল	gabriels
ধোঁয়া	dūmu
ধোঁয়া	dūmiem
ধোঁয়া	dūmi
ধোঁয়া	smēķēt
ধোঁয়া	dūmus
