den	the
arabiska	arapskih
arabiska	arapska
arabiska	arapski
santo	santo
bern	bern
bern	berne
tror	vjeruju
tror	misli
tror	misle
peru	perua
peru	peruu
peru	peru
djibouti	džibutija
côte	côte
costa	costa
chef	rukovodilac
chef	načelnik
chef	glavni
chef	šef
chef	boss
chef	šef
system	sistem
system	sistemi
stöd	aid
stöd	podrška
stöd	pomoć
gridcolor	gridcolor
nilsson	nilsson
låt	nek
låt	neka
brukar	obično
innehåll	sadržaj
innehåll	sadržaja
innehåll	sadržaj
mellersta	srednji
mellersta	central
mellersta	centralni
mellersta	centralna
låtar	pesama
låtar	pjesme
låtar	pesme
låtar	pjesmama
låtar	pjesama
varför	zašto
brdo	brdo
axel	rame
axel	axel
axel	osi
omfattar	pokriva
omfattar	obuhvata
ackumulerade	kumulativni
skolan	škola
kontinent	kontinent
roman	rimski
roman	rimsko
roman	roman
roman	roman
stadium	stadion
stadium	faza
stadium	bina
gränsen	granica
les	les
radio	radio
dansk	danski
dansk	dane
företag	poslovni
företag	poslovanje
företag	kompanija
företag	kompanije
företag	preduzeća
företag	preduzeća
företag	preduzeće
företag	preduzetništvo
företag	enterprise
startade	počelo
startade	počeo
startade	započeo
startade	počela
startade	započela
gunnar	gunnar
orten	grad
tillhörde	pripadale
tillhörde	pripadao
tillhörde	pripadala
småland	småland
nere	down
nere	oboren
nere	dole
örebro	örebro
rom	rim
rom	rom
rom	rum
betydelse	važnost
betydelse	važnosti
betydelse	značaj
betydelse	značenja
betydelse	značenju
betydelse	značenje
betydelse	smisao
betydelse	značaj
imagesize	imagesize
saskatchewan	saskatchewan
timeaxis	timeaxis
plotarea	plotarea
scalemajor	scalemajor
starkt	snažno
starkt	jaka
starkt	jaki
johann	johann
dateformat	dateformat
textcolor	textcolor
alignbars	alignbars
josé	josé
finska	finski
köpenhamn	kopenhagen
skapa	stvaraju
skapa	napravi
skapa	stvoriti
skapa	kreiranje
skapa	kreiranje
skapa	stvaranje
musiker	muzičar
musiker	muzičara
musiker	muzičari
sångare	pjevači
sångare	pjevača
sångare	pjevačica
sångare	pjevač
mont	mont
hem	dom
hem	home
ursprung	porijekla
ursprung	porijeklo
ursprung	porijeklu
ursprung	poreklo
vet	zna
vet	znaju
vet	know
vet	zna
polen	poljska
håller	drže
håller	holding
bulgarien	bugarska
längs	duž
ordning	naređenje
ordning	naredbu
ordning	reda
ordning	red
förslag	prijedlozi
förslag	prijedlog
förslag	prijedlozima
förslag	prijedlog
förlag	izdavač
förlag	izdavačka
förlag	izdavačke
förlag	izdavačkom
förlag	izdavača
parti	stranka
parti	partija
parti	lot
parti	mnogo
äldsta	najstariji
äldsta	najstarijih
äldsta	najstarije
äldsta	najstarija
äldsta	najstariji
äldsta	najstarija
singel	single
behöver	treba
behöver	treba
alfred	alfred
jar	jar
icke	non
vanligen	obično
danska	danski
strax	kratko
strax	ubrzo
genre	žanru
colorado	colorado
kali	kali
procent	procentima
procent	posto
procent	procenata
procent	postotak
ernst	ernst
territorium	teritorije
territorium	teritorija
live	live
ludwig	ludwig
sul	sul
vägen	put
gammal	stare
gammal	stara
gammal	staro
gammal	stari
tryckta	štampanih
tryckta	štampana
tryckta	štampani
modern	moderna
modern	savremena
modern	savremen
centrum	centru
centrum	centrum
centrum	centar
centrum	centar
hemsida	web
hemsida	homepage
spelat	igrala
spelat	odigrana
spelat	igrao
spelat	svirao
spelat	odigrano
spelat	odigrali
sådana	takva
sådana	takvih
sådana	takve
sådana	takav
studier	proučiti
studier	studija
studier	proučavanja
studier	studijama
studier	proučavanja
studier	studije
filmer	filmovi
filmer	filmova
filmer	filmovi
filmer	filmova
byn	selo
carolina	karolina
ben	kosti
ben	noge
ben	benu
ben	bene
ben	ben
ben	kost
ben	nogu
ben	noga
snart	ubrzo
snart	uskoro
montana	montana
fylke	okrug
roller	roller
roller	uloge
skopje	skoplje
uppdrag	zadatak
uppdrag	misija
uppdrag	zadatke
rivière	rivière
francis	francis
francis	franjo
vita	bijela
vita	bijeli
vita	vita
kanal	kanal
kanal	kanal
kanal	kanalu
kanal	channel
ålder	uzrast
ålder	godište
ålder	doba
ålder	age
ålder	starost
emot	protiv
fjärde	četvrta
fjärde	četvrti
fjärde	četvrto
fjärde	četvrtog
fjärde	četvrtom
club	kluba
bestod	sastojao
bestod	sastojala
morro	morro
tidigt	ranim
konstnär	slikar
konstnär	umjetnik
stil	stil
stil	style
troligen	vjerovatno
senaste	nedavne
senaste	nedavni
senaste	nedavna
senaste	nedavnim
senaste	last
senaste	poslednji
senaste	poslednja
senaste	posljednja
senaste	zadnja
senaste	posljednji
senaste	najnoviji
senaste	najnovija
senaste	najnovije
sådan	takva
sådan	takvih
sådan	takve
sådan	takav
ändå	ipak
ändå	ipak
kastilien	kastilje
brazzaville	brazzaville
die	umri
tidningen	novine
tidningen	magazin
isla	ostrvo
juan	juan
gräs	pot
gräs	trava
gräs	grass
gräs	trave
gräs	travi
gräs	travu
port	luka
port	port
mine	rudniku
mine	moje
mine	rudnik
beirut	bejrut
ledare	lider
ledare	lideri
dalarna	dalarna
mst	mst
material	materijal
material	material
material	materijale
material	materijalima
material	materijala
material	materijali
don	don
norska	norveški
folk	folk
folk	narod
nästa	sljedeći
nästa	narednu
nästa	sledeći
nästa	slijedeći
skogar	woods
skogar	šume
monte	monte
cup	kup
skottland	škotska
norte	norte
historiska	historijsko
historiska	historijski
historiska	istorijski
historiska	historijska
historiska	historijsko
historiska	historijski
norsk	norveški
norsk	norsk
längd	trajanja
längd	trajanje
längd	dužina
längd	visina
brown	brown
kungen	king
kungen	kralj
skillnad	razlika
petit	petit
bgcolor	bgcolor
skåne	skåne
togs	odveden
togs	uzeo
togs	donesena
omfattande	sveobuhvatan
omfattande	sveobuhvatna
omfattande	obimna
karta	karta
insekter	insekti
insekter	insektima
insekter	insekte
insekter	baje
möjligt	mogući
möjligt	moguće
grekiska	grčki
snabbt	brzo
snabbt	brzo
snabbt	brza
snabbt	brz
snabbt	brzi
snabbt	brzo
armén	vojska
armén	armija
program	programima
program	programi
program	program
program	program
program	programima
program	programi
egentligen	zapravo
und	und
programmet	program
programmet	program
venezuela	venecuela
visade	pokazao
visade	pokazala
visade	pokazali
visade	prikazana
visade	pokazivao
rica	rica
gud	allah
gud	allaha
gud	allahu
gud	bog
sommaren	ljeto
svårt	hard
svårt	teško
svårt	teškom
svårt	teški
svårt	težak
svårt	teško
svårt	teška
mera	više
larsson	larsson
star	zvijezda
alaska	aljaske
mor	majka
heller	heller
green	zelena
klippa	rez
klippa	smanjila
klippa	rok
klippa	rock
röda	crvena
king	king
king	kralj
one	jedan
one	jedna
williams	williams
beach	plaža
aktiva	aktivna
aktiva	aktivni
aktiva	aktivan
max	max
list	spisak
list	lista
hösten	jesen
hösten	jesen
hösten	pad
lärare	nastavnik
lärare	učitelj
lärare	nastavnike
lärare	nastavnika
lärare	nastavnici
lärare	profesori
samhället	društvo
goals	ciljevi
https	https
brons	bronzana
brons	bronza
säger	rekavši
säger	kaže
säger	kaze
mary	merjem
skrivit	pisani
skrivit	napisano
skrivit	zapisano
skrivit	napisao
skrivit	pisan
skrivit	pisao
skrivit	pisala
skrivit	napisao
skrivit	pisao
känt	poznat
känt	poznato
känt	poznata
känt	poznate
svart	crni
svart	crna
bot	bot
vapen	oružje
vapen	oružje
vapen	oružje
vapen	oružja
vapen	puške
vapen	oružje
vapen	guns
städer	gradove
städer	gradova
städer	gradovima
städer	gradovi
ford	ford
val	selekcija
val	izbor
val	val
val	izbori
val	izbor
val	izbori
val	kit
simon	simon
cruz	cruz
inre	enterijera
inre	unutrašnje
inre	unutrašnja
inre	unutrašnji
inre	unutrašnji
inre	unutrašnja
harry	hari
harry	harry
sten	stone
sten	kamen
sten	kameno
sten	kameni
sten	rok
sten	rock
mängd	količina
mängd	iznos
mängd	veličina
mängd	kvantitet
växte	rastao
växte	rasla
nederländerna	holandija
nhl	nhl
månader	meseci
månader	mjesecima
moderna	moderna
moderna	savremena
moderna	savremen
tom	prazan
tom	prazna
tom	tome
tom	tom
hålla	hold
hålla	održati
hålla	drže
platsen	lokacija
skriver	piše
skriver	pisanje
finalen	finale
finalen	finale
ursprungliga	originalni
ursprungliga	originalna
ursprungliga	prvobitni
ursprungliga	originalne
ursprungliga	original
vanligt	zajednički
vanligt	zajedničkim
vanligt	zajedničku
rudolf	rudolf
vanliga	običnih
vanliga	obični
vanliga	običan
vanliga	običnog
vanliga	zajednički
vanliga	zajedničkim
vanliga	zajedničku
kronor	sek
viktig	važnom
viktig	važna
viktig	važno
viktig	bitan
viktig	važnih
viktig	bitno
florida	florida
dig	vi
dig	ti
dig	you
dig	te
match	igra
match	meč
sierra	sierra
föreningen	udruženje
föreningen	asocijacija
parc	parc
kompositör	kompozitor
henri	henri
arthur	arthur
arthur	artur
hotad	ugrožena
hotad	ugrozili
hotad	zaprijetio
oscar	oskar
oscar	oscar
livet	život
minnesota	minnesota
sar	sar
regional	regionalni
regional	regionalna
datum	datum
datum	datira
datum	datuma
datum	datumi
tekniska	tehnički
tekniska	tehnička
tekniska	tehnološka
tekniska	tehnološki
tekniska	tehnoloških
leon	lion
leon	leon
djup	dubina
djup	dubinu
djup	dubine
djup	dubini
djup	duboka
djup	duboke
djup	duboko
djup	dubok
djup	deep
castle	dvorac
medeltida	srednjovjekovna
medeltida	srednjevjekovna
johnson	johnson
höga	visoko
höga	visoki
tills	do
alberta	alberta
villa	vila
villa	villa
lätt	lak
lätt	lako
lätt	lahko
lätt	polahko
lätt	lako
kairo	kairo
titel	titula
flygplats	aerodrom
makedonska	makedonski
krig	rat
krig	ratu
krig	ratovi
skog	woods
skog	šuma
skog	šume
beroende	zavisna
beroende	zavisnost
beroende	zavisnosti
beroende	zavisnost
beroende	ovisnost
bygga	zgrada
bygga	izgradnji
bygga	gradi
bygga	grade
bygga	graditi
bygga	sagraditi
leder	predvodi
leder	zglobova
domingo	domingo
bayern	bavarska
bayern	bayern
texten	tekst
texten	text
utveckling	razvoj
utveckling	evolucija
utveckling	dešavanja
spanska	španski
historik	historija
övre	gornji
nedan	ispod
indien	indija
läst	čita
åland	olandska
lee	lee
lägga	stavi
lägga	stavila
lägga	staviti
lägga	stavio
lägga	stavljen
music	muzika
dagen	dan
pris	cijena
pris	nagrada
pris	nagrade
prefektur	prefektura
centre	centar
song	pjesma
prag	prag
öarna	ostrva
bengt	bengt
frågan	pitanje
nusa	nusa
michigan	michigan
arkitekt	arhitekt
vem	ko
vem	koji
tack	hvala
final	finale
final	finale
final	završni
final	konačni
final	finale
fel	krivo
fel	wrong
fel	pogrešan
fel	pogrešno
fel	grešaka
fel	greške
fel	greška
fjärilar	butterflies
medverkade	doprinijela
medverkade	doprinijeli
medverkade	doprinio
medverkade	doprinijelo
medverkade	učestvovalo
medverkade	učestvovali
medverkade	učestvovao
medverkade	učestvovala
gård	farma
sidor	stranica
sidor	listovi
sovjetunionen	sssr
jorden	zemlja
yngre	mlađi
yngre	mladi
yngre	mlada
yngre	young
yngre	mladić
yngre	juniorsko
yngre	juniorska
yngre	junior
yngre	mlađi
såg	uočena
såg	gledao
såg	posmatrali
såg	posmatrao
såg	vidio
producent	producent
drottning	queen
drottning	kraljica
ägde	vlasništvu
utbildning	obuke
utbildning	trening
utbildning	obuka
utbildning	treninga
utbildning	obuku
utbildning	obrazovanje
igenom	kroz
ses	ses
konst	umjetnost
konst	art
konst	umjetnost
jones	jones
hall	vijećnica
hall	dvorana
hall	hall
valde	biralo
valde	odabrao
valde	izabrao
valde	izabrala
jacques	jacques
italienska	italijanski
hör	čuti
hör	čujem
hör	hear
hör	čuju
hermann	hermann
landskap	krajolike
landskap	pejzaž
allmänna	general
virginia	virginia
eric	eric
återvände	vraćen
återvände	vratio
återvände	vratili
mästare	gospodar
mästare	master
mästare	majstor
mästare	šampion
mästare	šampioni
emellertid	međutim
station	stanica
minuter	minuta
sports	sportsko
kungariket	kraljevina
kungariket	kraljevstvo
bildade	formirane
bildade	formirana
röst	glas
sofia	sofija
sofia	sofija
sofia	sophia
oblast	oblast
lokala	lokalnom
lokala	lokalni
precis	tačno
piano	klavir
hölls	održano
hölls	držala
hölls	održana
hölls	održan
spring	run
uppslagsbok	enciklopedija
samarbete	saradnja
samarbete	saradnja
hockey	hokej
free	free
försök	pokušaj
försök	try
oss	os
eritrea	eritreja
följd	naslijeđe
tjänst	služba
tjänst	servis
bidrag	subvencije
bidrag	subvencija
bidrag	grantova
bidrag	doprinos
bidrag	doprinosi
gärna	rado
cot	cot
frank	frank
jesus	isus
angeles	angeles
priset	cijena
visa	pogled
visa	prikaz
visa	show
visa	emisiju
visa	nastup
visa	šou
visa	sou
kalmar	kalmar
grupper	grupe
tagit	odveden
tagit	uzeo
tagit	donesena
kontrakt	ugovore
kontrakt	ugovorima
kontrakt	ugovori
kontrakt	ugovor
fråga	ask
fråga	query
fråga	pitanje
vår	naše
vår	naša
vår	naš
vår	naše
vår	naša
vår	nase
wilson	wilson
bäst	najbolji
bäst	best
projekt	projekt
projekt	projekat
projekt	projekti
projekt	projekata
tur	lucky
tur	sreću
tur	sreća
radera	izbriše
radera	brisanje
radera	izbrisati
bor	bor
militär	vojska
uppgifter	informacija
uppgifter	zadaci
uppgifter	podatak
piper	piper
umeå	umeå
das	das
blue	plava
prince	princ
prince	prince
nordiska	nordijska
eriksson	eriksson
sucre	sucre
frågor	pitanja
floden	rijeka
menar	mean
hills	brdima
hills	brda
hills	hills
björn	medvjed
björn	björn
code	kod
nationella	nacionalni
nationella	nacionalna
bygger	gradi
alpes	alpes
domare	kadiluk
domare	sudaca
domare	sudije
domare	suci
domare	sudija
premiär	premijeru
premiär	premijerno
journalist	novinar
journalist	novinar
journalist	reporter
ridge	greben
bukit	bukit
följer	povode
följer	slijede
följer	slijedi
följer	slijedi
estland	estonija
saknar	mis
saknar	miss
saknar	nestala
saknar	nestale
saknar	missing
saknar	nestao
saknar	nestali
saknar	nedostaje
myror	ants
försökte	pokušao
zagreb	zagreb
tour	turneja
tour	tour
arbeten	jobs
arbeten	poslovi
ferdinand	ferdinand
indian	indijska
indian	indijanac
indian	indijski
slog	hit
slog	pogođena
slog	udario
slog	pogodio
png	png
bodde	živjela
bodde	živjeli
bodde	živio
svarta	crni
svarta	crna
svarta	crnci
haute	haute
baserad	based
baserad	bazirana
baserad	osnovu
spår	track
spår	stazi
spår	trag
spår	tragovi
spår	trag
spår	tragovi
kraft	kraft
kraft	sila
kraft	power
kraft	vlast
jack	jack
idaho	idaho
kategori	kategoriju
kategori	kategorija
franz	franz
skapad	kreirana
skapad	stvoreno
skapad	stvorena
skapad	stvoren
skapad	stvorio
unga	mladi
unga	mlada
unga	young
unga	mladić
relativt	relativna
relativt	relativno
våren	proljeće
våren	proleće
bana	pisti
bana	bana
bana	orbitu
bana	orbiti
francisco	francisco
eva	eva
eva	hava
beslut	odlukom
beslut	odluka
beslut	odluke
beslut	odlukama
beslut	odluka
gabon	gabona
georgien	georgia
georgien	džordžija
georgien	gruzija
scott	scott
ifk	ifk
lunds	lund
american	američki
american	amerikanac
hustru	supruga
hustru	žena
ndt	ndt
moskva	moskva
guvernör	guverner
dos	dos
dos	dozi
dos	doza
jackson	jackson
slutligen	konačno
olsson	olsson
vanlig	zajednički
vanlig	zajedničkim
vanlig	zajedničku
utgiven	objavljenog
utgiven	objavljen
utgiven	objavljene
utgiven	objavljeni
utgiven	objavljena
italiensk	italijanski
range	domet
range	dometa
hitta	pronalaženje
hitta	nalaženje
hitta	nalaz
hitta	nalaz
hitta	nađe
hitta	pronalaze
hitta	pronaći
hitta	find
hitta	naći
forskning	istraživanje
forskning	istraživanja
jonas	jonas
klart	jasni
klart	jasnih
klart	jasno
klart	jasna
klart	jasan
klart	jasno
öppna	otvorene
öppna	otvorena
öppna	otvoren
öppna	otvoreno
öppna	open
grundade	osnovana
grundade	osnovan
grundade	utemeljena
grundade	osnovano
haiti	haiti
viktigaste	glavne
viktigaste	glavna
viktigaste	glavno
viktigaste	glavni
följde	praćen
följde	slijede
följde	slijedili
skola	škola
hertig	vojvoda
tidiga	ranim
ledning	menadžment
litteratur	književnost
rysk	ruski
metal	metal
viktiga	važnom
viktiga	važna
viktiga	važno
viktiga	bitan
viktiga	važnih
viktiga	bitno
upplagan	izdanje
nio	devet
fungerar	radna
fungerar	radi
fungerar	radeći
fungerar	radio
fungerar	radnu
fungerar	radovi
fungerar	funkcioniše
fungerar	radi
läkare	ljekar
läkare	doktori
läkare	ljekari
läkare	doktor
vunnit	osvojen
vunnit	pobijedio
vunnit	pobijedila
vunnit	osvojena
vunnit	pobjedio
lago	lago
warren	warren
hot	prijetnje
hot	prijetnjama
hot	prijetnji
hot	hot
hot	vrelo
hot	prijetnju
hot	prijetnja
resultatet	rezultat
försöker	pokušava
försöker	pokušava
yrke	profesiji
yrke	struke
yrke	profesije
yrke	okupacije
yrke	okupacija
katanga	katanga
fartyg	brod
fartyg	brod
fartyg	brodovi
fartyg	brodove
fartyg	brodovima
fartyg	plovila
västerås	västerås
japanska	japanski
västergötland	västergötland
universitetet	univerzitet
begreppet	pojam
svt	svt
cape	rt
arbetar	radovi
arbetar	funkcioniše
arbetar	radi
arbetar	radna
arbetar	radi
arbetar	radeći
arbetar	radio
arbetar	radnu
motsvarande	ekvivalentni
motsvarande	ekvivalent
motsvarande	odgovarajući
motsvarande	odgovarajućeg
riksdagen	parlament
klass	predavanje
fru	gospođa
fru	supruga
fru	žena
filippinerna	filipini
royal	royal
royal	kraljevska
royal	kraljevsko
royal	kraljevski
rapids	rapids
euphorbia	euphorbia
saknas	nestala
saknas	nestale
saknas	missing
saknas	nestao
saknas	nestali
saknas	nedostaje
cypern	kipar
herrar	gospoda
herrar	lords
herrar	masters
françois	francois
françois	françois
antonio	antonio
politisk	politička
politisk	politički
speciellt	posebno
speciellt	naročito
speciellt	posebna
speciellt	specijalno
speciellt	specijalni
speciellt	specijalno
höll	održano
höll	držala
höll	održana
höll	održan
höll	zadržala
ghana	gana
bad	molio
bad	loše
bad	bad
bad	loš
bad	kupanje
media	media
media	mediji
damaskus	damask
paulo	paulo
manus	scenarij
manus	scenarije
manus	manus
manus	rukopis
manus	scenario
skapade	kreirana
skapade	stvoreno
skapade	stvorena
skapade	stvoren
skapade	stvorio
pass	pasoša
pass	pasoše
pass	pasoš
gått	nestao
gått	nestali
gått	otišli
gått	otišla
gått	usvojen
press	press
press	štampa
tränare	treneri
tränare	trener
tränare	selektor
kultur	kultura
blå	plava
intresse	kamata
tävling	trka
tävling	rasa
tävling	takmičenje
tävling	konkurs
tävling	takmičenje
walter	valter
walter	walter
sändes	emitiran
lägre	donjem
lägre	niže
lägre	niži
författaren	autor
inklusive	uključujući
omgivningen	okolina
omgivningen	okolini
bestående	trajni
bestående	trajnim
bestående	stalna
bestående	stalne
bestående	trajnog
bestående	trajnu
kvinna	žena
kvinna	ženka
andreas	andreas
andreas	andrew
nunavut	nunavut
ersattes	zamijenio
ersattes	zamijenjeni
victor	viktor
victor	victor
baie	baie
uppgift	zadatak
air	vazduh
persiska	perzijski
översatt	prevedene
översatt	preveden
översatt	prevedena
baker	baker
georgia	georgia
georgia	džordžija
georgia	gruzija
döda	ubiju
döda	ubistvo
döda	kill
döda	ubi
döda	ubiti
döda	mrtva
döda	mrtvi
döda	mrtvo
döda	mrtav
döda	ubistvo
döda	ubijanje
samuel	samuel
teater	theater
teater	pozorište
teater	pozorište
rosa	ružičasta
rosa	rosa
loire	loara
kvinnliga	ženka
sid	sida
sid	sid
hamilton	hamilton
vice	zamjenik
vice	potpredsednik
vice	potpredsjednik
vice	vice
aik	aik
anne	anne
ekonomisk	ekonomske
ekonomisk	ekonomska
ekonomisk	ekonomski
betydande	značajne
betydande	značajni
betydande	značajne
betydande	značajnom
betydande	značajna
betydande	značajan
betydande	značajno
betydande	značajnu
veckor	sedmica
resa	putovanje
resa	putovanje
resa	putovanja
resa	putovanju
resa	trip
resa	putovanje
resa	putujući
moore	moore
moore	mur
öppen	otvorene
öppen	otvorena
öppen	otvoren
öppen	otvoreno
öppen	open
deltagare	prisutnima
deltagare	učesnici
deltagare	učesnik
gruva	rudniku
gruva	moje
gruva	rudnik
gruva	rudnici
gruva	mina
gruva	mine
lämna	napustiti
lämna	ostavi
lämna	napusti
illinois	illinois
pengar	novac
julius	julije
priser	cijene
priser	nagrade
din	din
din	vaš
din	tvoje
din	your
din	tvoje
din	tvoj
slag	bitaka
persson	persson
alfabetisk	alphabetical
ägare	vlasnik
ägare	vlasnici
ägare	vlasnike
ägare	vlasništva
ägare	vlasništvo
kasai	kasai
azerbajdzjan	azerbejdžan
norrbotten	norrbotten
taylor	taylor
museet	muzej
vänster	lijevo
spelas	igrala
spelas	odigrana
spelas	igrao
spelas	svirao
spelas	odigrano
spelas	odigrali
regissör	režiser
regissör	direktor
storlek	veličina
storlek	veličine
sweden	švedska
grad	stepenu
grad	stepen
grad	stepena
oslo	oslo
lån	kredit
lån	pozajmice
lån	krediti
lån	kredita
extra	dodatni
halvtid	poluvrijeme
valley	dolina
levde	živjela
levde	živjeli
levde	živio
rid	prevoz
kategorin	kategoriju
kategorin	kategorija
delta	učestvuju
delta	učestvovati
delta	delta
göran	goran
kör	izvrši
kör	run
kör	vozeći
kör	vožnje
kör	drive
kör	vozi
kör	vođenje
funnits	postojala
funnits	postojalo
funnits	postojao
funnits	postojale
albanien	albanija
kritik	kritika
kritik	kritike
kritik	critique
maja	maja
högt	visoko
högt	visoki
högt	glasno
åke	ake
image	imidžu
image	imidž
image	slika
stark	jaka
stark	jaki
morne	morne
katolska	katolici
katolska	katolički
katolska	katolička
katolska	katolik
minas	minas
militära	vojska
bangladesh	bangladeš
regering	vlast
kristna	hrišćanski
kristna	christian
kristna	hrišćanska
kristna	kršćanska
kristna	hrišćanin
kristna	kristijan
kristna	hrišćani
språket	jezik
douglas	douglas
rubriken	headline
spelaren	igrač
vitryssland	bjelorusija
vitryssland	bjeloruski
okänt	nepoznata
okänt	nepoznat
okänt	nepoznati
yaoundé	yaoundé
utvecklades	razvijao
utvecklades	razvijene
utvecklades	razvio
utvecklades	razvio
utvecklades	evoluirala
utvecklades	evoluirao
utvecklades	evoluirali
utvecklades	razvijen
lewis	lewis
romersk	rimski
romersk	rimsko
romersk	roman
syster	sestra
syster	nurse
münchen	münchen
ludvig	louis
skiljer	razlikuje
skiljer	odvaja
enkelt	jednostavna
enkelt	jednostavne
enkelt	jednostavan
enkelt	jednostavni
enkelt	jednostavnih
enkelt	jednostavno
enkelt	lako
enkelt	lak
enkelt	lako
enkelt	lahko
enkelt	polahko
vän	prijatelj
vän	drug
young	mladi
young	mlada
young	young
young	mladić
not	napomena
house	kuća
vit	bijela
vit	bijeli
aux	aux
puerto	puerto
syfte	svrha
typer	tipovi
typer	vrste
slottet	dvorac
rowspan	rowspan
arbeta	rad
arbeta	radna
arbeta	radi
arbeta	radeći
arbeta	radio
arbeta	radnu
andré	andre
andré	andré
slätt	ravnica
slätt	glatki
slätt	glatka
slätt	glatke
fallet	slučaj
framgång	uspjeh
exemplar	kopija
exemplar	kopije
college	fakultet
college	koledž
ash	pepeo
ash	ash
wisconsin	wisconsin
jacob	jakov
davis	davis
officiellt	zvanična
officiellt	zvaničnik
officiellt	zvanične
officiellt	zvanični
officiellt	službeni
officiellt	zvanicno
officiellt	službeno
officiellt	zvanično
afrika	afrika
systemet	sistem
prins	princ
prins	prince
bank	bankarstvo
bank	bankarske
bank	banka
drog	izvukao
drog	droga
eau	eau
professionell	profesionalne
professionell	profesionalna
professionell	profesionalni
professionell	professional
rollen	uloga
femte	petom
femte	peta
femte	peto
femte	peti
anton	anton
ung	mladi
ung	mlada
ung	young
ung	mladić
nicaragua	nikaragve
ton	tona
ton	tone
ton	tona
ton	tone
ton	tona
ton	ton
ton	ton
ton	tona
doktor	doktor
marken	terenu
marken	tlo
marken	kopnena
marken	tlu
marken	ground
inflytande	uticaja
inflytande	utjecaj
inflytande	uticaj
mile	mile
fria	free
fri	free
serier	strip
serier	serija
serier	seriji
fred	mira
fred	fred
bakgrund	pozadinu
bakgrund	pozadina
linné	linné
seger	pobjeda
höger	pravo
höger	desno
mina	mina
mina	rudniku
mina	moje
mina	rudnik
maine	maine
plan	avion
plan	plan
plan	avioni
day	dan
litet	male
litet	mali
litet	malu
litet	malo
litet	mali
litet	mala
vanligtvis	obično
vanligtvis	obično
gott	dobro
gott	dobar
gott	dobre
gott	gott
bou	bou
data	podatak
betydligt	značajno
steg	korak
steg	koraka
steg	koraci
svensson	svensson
svensson	smith
hugo	hugo
rör	dodir
rör	cijev
rör	cevi
rör	cijev
infördes	uvedeno
infördes	uveo
infördes	uveden
infördes	uvedena
status	status
fort	utvrđenje
fort	fort
ljus	svjetlost
ljus	svijeće
möjlighet	mogućnost
möjlighet	prilika
möjlighet	priliku
möjlighet	prilike
möjlighet	opcija
charlotte	charlotte
satt	sjedio
satt	sat
ponta	ponta
make	muž
romerska	rimski
romerska	rimsko
romerska	roman
high	visoko
high	visoki
bois	bois
biskop	biskup
sådant	takva
sådant	takvih
sådant	takve
sådant	takav
tillstånd	dozvole
tillstånd	dozvola
tillstånd	dozvolu
tillstånd	dozvole
tillstånd	dozvolu
inledde	inicirala
inledde	pokrenuo
inledde	pokrenut
inledde	pokrenula
inledde	pokrenut
inledde	lansirana
inledde	pokrenuta
sitter	sjede
real	real
real	pravi
organisation	organizacija
organisation	organizacija
högst	najviša
vecka	sedmica
vecka	sedmični
vecka	sedmičnjak
normandie	normandie
normandie	normandija
släppte	opao
släppte	odustalo
karlsson	karlsson
anges	naveden
dan	dan
dan	den
bob	boba
skapades	kreirana
skapades	stvoreno
skapades	stvorena
skapades	stvoren
skapades	stvorio
normalt	obično
normalt	normalno
normalt	normalan
normalt	normalni
normalt	normalne
normalt	normalna
ställning	status
ställning	pozicija
ställning	položaj
direktör	režiser
direktör	direktor
kap	rt
funktion	funkcija
sachsen	saksonija
administrativa	upravna
israel	izrael
stanley	stanley
major	major
utmärkelser	počasti
utmärkelser	nagrade
utmärkelser	odlikovanja
vinna	pobjeda
vinna	pobijedi
vinna	osvoji
vinna	osvojivši
vinna	pobjednički
vinna	dobijanje
målare	slikara
målare	slikar
saker	stvari
bureau	biro
projektet	projekt
projektet	projekat
verkade	izgledalo
motor	motor
motor	motor
bildar	formiranje
bildar	formirajući
användning	upotreba
användning	koristimo
användning	upotreba
användning	iskoristi
användning	koristi
användning	koriste
brunswick	braunschweiga
vänner	prijatelji
vänner	friends
joe	joe
roger	roger
förenade	ujedinjene
förenade	united
förenade	ujedinjena
förenade	ujedinjeni
hälsingland	hälsingland
medeltiden	srednjovjekovna
medeltiden	srednjevjekovna
versionen	verzija
greve	računaju
greve	grof
greve	broji
internet	internet
huvudstad	kapital
emil	emil
ilha	ilha
polska	poljski
tecken	znak
tecken	karaktera
tecken	karakter
tecken	lik
tecken	likovi
föräldrar	roditelji
tillräckligt	dovoljno
tillräckligt	dovoljan
tillräckligt	dosta
tillräckligt	dovoljan
open	otvorene
open	otvorena
open	otvoren
open	otvoreno
open	open
teatern	pozorište
lägger	stavi
lägger	stavila
lägger	staviti
lägger	stavio
lägger	stavljen
shi	shi
sjöar	jezera
sjöar	jezero
ämnen	teme
ämnen	subjekti
ämnen	supstanci
ämnen	supstance
forskare	istraživač
forskare	naučnik
forskare	istraživači
forskare	naučnici
barcelona	barcelona
väst	zapadu
väst	zapad
väst	vest
permanent	trajni
permanent	trajnim
permanent	stalna
permanent	stalne
permanent	trajno
sånger	pesama
sånger	pjesme
sånger	pesme
sånger	pjesmama
sånger	pjesama
politiskt	politički
politiskt	politička
politiskt	politički
theodor	theodor
theodor	theodore
theodor	teodor
anledning	razum
etc	etc
etc	itd
