gibson	깁슨
bros	브라더스
jensen	jensen
centimetrov	센티미터
centimetrov	센티미터
strategické	전략적
kôl	라운드
interval	구간
interval	간격
bielkoviny	단백질
bielkoviny	단백질
zbytočné	무의미한
zbytočné	쓸모없는
zbytočné	쓸데없는
zbytočné	불필요한
zbytočné	불필요
kostry	뼈대
počty	카운트
počty	수치
počty	피규어
počty	숫자
líška	폭스
líška	여우
valec	실린더
valec	롤러
walesu	웨일스
poľnohospodársky	농업
poľnohospodársky	농지
kvet	꽃이
kvet	플라워
zvyky	습관
pohreb	매장
pohreb	장례
pohreb	장례식장
pohreb	장례식
pohreb	장례
hliny	클레이
marketing	마케팅
knižnicu	라이브러리
knižnicu	도서관
zachytiť	캡쳐
zachytiť	캡처
nevhodné	부적절한
liečivá	제약
liečivá	의약품
liečivá	약품
starostu	시장
pohonu	추진
pohonu	추진력
baden	바덴
horúce	덥다
horúce	hot
horúce	뜨겁다
horúce	뜨거운
vražda	살인
vražda	치사
vražda	암살
vražda	살인사건
vražda	살인죄
vražda	살인
ellen	엘런
ellen	엘렌
jap	jap
inžinierstva	공학
inžinierstva	엔지니어링
egypťania	이집트인
oslavy	축하
oslavy	축하
tvorcov	작성자
tvorcov	제작자
dosah	영향
dosah	영향력
dosah	임팩트
dosah	도달
dosah	도달하기
africká	아프리카
admin	운영자
admin	관리자
predmestí	교외
poraziť	beat
poraziť	이겨
poraziť	비트
poraziť	패배
diskov	디스크
diskov	디스크
zrkadlo	거울
zrkadlo	미러
roztok	해결책
roztok	솔루션
powell	파월
nemožné	impossible
nemožné	불가능하다
nemožné	불가능
nemožné	불가능한
vydatá	결혼
disco	디스코
tragédia	비극
hniezdo	둥지
vitamín	비타민
styk	성교
styk	성관계
špecificky	구체적으로
diana	diana
skrátený	단축
mýtus	신화
waterloo	워털루
jazdcov	라이더스
jazdcov	라이더
intenzita	강도
intenzita	강조
superstar	슈퍼스타
official	공식
official	official
subjektu	주제
subjektu	제목
obchodov	상점
obchodov	가게
mitsubishi	미쓰비시
lekárska	의학
lekárska	의료
zväčšenie	확대
brigáda	여단
funk	펑크
prehliadač	시청자
prehliadač	뷰어
prehliadač	브라우저
oznámené	발표
priemerné	평균
priemerné	평균
priemerné	avg
vojaka	군인
vojaka	병사
spodný	아래쪽
spodný	밑바닥
spodný	아래
spodný	하단
spodný	바닥
športovec	운동선수
športovec	육상선수
športovec	스포츠맨
jedinečný	고유
jedinečný	독특한
ukladanie	저장소
ukladanie	스토리지
ukladanie	저장
ukladanie	절약
ukladanie	저장
nepokoje	폭동
nepokoje	폭동
zranený	부상
zranený	부상당한
povinné	필수
iff	iff
eurovision	유로비전
orientovaná	지향
litve	리투아니아
vertikálne	수직
vertikálne	수직으로
vertikálne	수직
vertikálne	세로로
vertikálne	세로
kvapalina	수분
kvapalina	수액
kvapalina	액체
kvapalina	액체
kvapalina	리퀴드
skutočná	진짜
skutočná	리얼
skutočná	레알
skutočná	실제
oprava	수리
oprava	보정
oprava	교정
dramatické	극적
inštrukcie	명령어
inštrukcie	지침
inštrukcie	지시
inštrukcie	안내
minimálny	최소
minimálny	최소
oleja	오일
oleja	석유
oleja	기름
limited	한정
limited	제한된
pokoja	평온
rám	액자
rám	프레임
tyler	타일러
duchovného	정신적
dobra	좋다
mach	이끼
mach	mach
dôveru	신뢰
dôveru	자신감
dôveru	신뢰
dôveru	신탁
vinci	다빈치
zajac	토끼
zajac	산토끼
zajac	토끼
generáciu	세대
pozemkov	플롯
našlo	찾았다
našlo	찾았습니다
našlo	발견됨
alain	알랭
brooklyn	브루클린
brooklyn	브룩클린
fat	뚱뚱한
fat	지방
fat	살찐
morálne	도덕
diplom	디플로마
diplom	수료
svätyne	신사
odporúčania	추천
výhodu	혜택
výhodu	장점
napíš	쓰기
napíš	글쓰기
guadeloupe	과들루프
guadeloupe	과달루페
manga	만화
manga	만화가
súboj	전투
súboj	배틀
súboj	결투
mladšia	어려
reformácie	개혁
vodcovia	리더
vodcovia	지도자
vládnuť	법칙
vládnuť	규칙
ôsmy	여덟번째
postoje	태도
večný	영원
večný	영원한
odrody	다양체
odrody	버라이어티
síry	유황
veľvyslanec	대사
pakistan	파키스탄
autá	자동차
autá	차량
profile	프로파일
profile	프로필
zemetrasenia	지진
zemetrasenia	지진
zemetrasenia	대지진
rámec	프레임워크
rámec	액자
rámec	프레임
deklarácie	선언
strediská	리조트
marx	마르크스
trans	트랜스
trans	트랜스월드
trans	트랜스포트
holandská	네덜란드
holandská	네덜란드인
holandská	네덜란드령
holandská	네덜란드어
britney	브리트니
britney	britney
mor	전염병
mor	흑사병
mor	페스트
negatívny	부정적
negatívny	음수
negatívny	음성
tkanivo	조직
tibetu	티베트
cestujúci	승객
cestujúci	여행객
cestujúci	여행자
cestujúci	여객
cestujúci	승객
komét	혜성
pôsobnosti	범위
pôsobnosti	스코프
sedí	앉은
lebka	두개골
lebka	해골
priznal	자백
priznal	인정
tvorcovia	작성자
tvorcovia	제작자
secret	시크릿
secret	비밀
nosič	항공사
nosič	통신사
nosič	캐리어
zločin	범죄
publikácia	출판물
publikácia	출판
prejavov	연설
forever	영원
forever	영원히
forever	forever
forever	영원한
právnici	변호사
aero	에어로
icao	icao
rotácia	회전
letom	항공편
letom	비행
letom	항공편
letom	비행
bull	황소
byte	바이트
byte	아파트
spojencom	앨리
manželia	남편
manželia	배우자
manželia	결혼
fisher	피셔
piate	fifth
piate	다섯번째
geforce	지포스
denné	일일
denné	데일리
denné	일간
denné	일상
hrany	모서리
hrany	가장자리
hrany	엣지
hrany	모서리
hrany	edge
nočné	밤에
nočné	나이트
samoa	사모아
rogers	로저스
organista	오르가니스트
operátor	작용소
operátor	연산자
operátor	운영자
operátor	항공사
operátor	통신사
operátor	캐리어
signály	신호
madison	매디슨
lincoln	링컨
úradný	공식
úradný	official
mexico	멕시코
singapur	싱가포르가
singapur	싱가폴
singapur	싱가포르
oilers	오일러스
falls	폭포
technológiu	기술
modlitba	기도
golf	골프
odev	의류
guvernéra	주지사
ted	테드
ted	ted
puška	소총
žijúce	생활
zimbabwe	짐바브웨
uránu	우라늄
oznámili	발표
potreboval	필요함
draselný	칼륨
dohovor	조약
dohovor	협약
dohovor	컨벤션
matematický	수학
hoteli	호텔
cat	고양이
filter	필터링
filter	필터
pozemku	플롯
kopci	언덕
munície	탄약
ward	워드
diaľnicu	고속도로
diaľnicu	하이웨이
mastering	마스터링
trvalý	영구적
trvalý	영구
strop	천장
piesku	모래
piesku	모래시계
inžinierstvo	공학
inžinierstvo	엔지니어링
požiadavka	요구사항
požiadavka	요청
požiadavka	요청하기
stabilitu	안정성
stabilitu	안정
drog	마약
drog	약물
drog	의약품
kópia	복사
kópia	카피
kópia	복사본
kópia	사본
jemne	부드럽게
súpravy	키트
súpravy	세트
phillips	필립스
rumunská	루마니아
rumunská	루마니아인
rumunská	루마니아어
spin	스핀
riasy	녹조류
riasy	조류
belehrade	베오그라드
mariner	매리너
impérium	엠파이어
impérium	제국
edwin	에드윈
uzatvára	닫기
uzatvára	닫습니다
slávnosť	의식
radar	레이더
získavanie	습득
získavanie	획득
získavanie	인수
získavanie	수집
slávnostné	축제
živá	alive
jadier	커널
strát	손해
strát	손실
mozart	모차르트
reťazca	사슬
reťazca	연쇄
reťazca	체인
valencia	발렌시아
tvrdo	열심히
tvrdo	하드
tvrdo	어려워
turbíny	터빈
lcd	lcd
lcd	액정
archívu	아카이브
archívu	보관
techník	테크닉
techník	기법
platné	유효합니다
platné	유효
platné	유효한
break	브레이크
break	휴식
break	break
biológie	생물학
atletike	육상
veľmajster	그랜드마스터
pekný	나이스
pruhy	스트라이프스
pruhy	줄무늬
louvre	루브르
jorge	호르헤
brzdy	브레이크
brzdy	브레이크
pevná	단색
pevná	고체
pevná	입체
pevná	솔리드
act	act
utečencov	난민
utečencov	피난민
utečencov	난민
volebný	선거
minulosť	과거
minulosť	배경색
minulosť	배경
investície	투자
investície	투자
aktuálna	현재
aktuálna	전류
kritérium	기준
skratky	단축키
skratky	바로가기
skratky	약어
skratky	약자
skratky	약어
biblické	성경
nadobudol	습득
nadobudol	획득
pochopil	이해
tahiti	타히티
preložený	번역
neformálne	비공식
neformálne	캐쥬얼
neformálne	캐주얼
terra	테라
pondelok	월요일부터
pondelok	월요
pondelok	먼데이
pondelok	월요일
caroline	캐럴라인
caroline	캐롤라인
panelov	패널
neprítomnosti	부재
prijatí	영수증
poistenia	보험
púšte	사막
púšte	사막
filipíny	필리핀
dary	선물
dary	기부
dary	기부금
nadol	다운
nadol	아래로
nadol	아래로
volebného	선거
gif	gif
exile	망명
exile	exile
zero	제로
podklad	든든한
bluetooth	블루투스
jeremy	제레미
stručný	간결
vykonané	완료
kruhoch	서클
priateľstvo	우정
cameron	캐머런
cameron	카메론
pomeru	비율
arabsky	아라비아어
arabsky	아라비아
arabsky	아랍어
prieskumné	정찰
čaj	홍차
realizmus	현실주의
veriaci	종교
veriaci	신자
haas	하스
smeroch	방향
administrátor	운영자
administrátor	관리자
administrátor	운영자
administrátor	관리자
čokoľvek	무엇이든
čokoľvek	뭐든
čokoľvek	아무거나
čokoľvek	무엇이든지
čokoľvek	무엇이든
čokoľvek	whatever
poschodia	바닥
talk	talk
santos	산토스
zaujímavá	흥미롭다
zaujímavá	흥미로운
zaujímavá	재미있는
dávky	혜택
dávky	이득
roma	로마
fiktívne	허구
obrazovky	화면
obrazovky	스크린
obrazovky	화면
obrazovky	스크린
prežiť	생존
prežiť	살아남기
small	작아
small	소작
originálne	원본
originálne	오리지널
kandidáti	후보
kandidáti	후보자
konžskej	콩고
násilia	폭력
zahrňuje	포함
zahrňuje	포함됨
nedeľa	일요일
číta	읽기
prebral	깨어
maroko	모로코
trpaslík	난쟁이
trpaslík	왜소은하
nápoj	음료
nápoj	음료수
nápoj	음료
nápoj	음료수
nemčina	독일
nemčina	독일인
nemčina	독일어
royce	로이스
skúmať	탐험
skúmať	탐색
skúmať	둘러보기
zaútočil	습격
guľa	스피어
guľa	orb
ankete	설문
nákladná	화물
nákladná	운송
operu	opera
operu	오페라
pokojne	차분히
právna	법률
právna	합법적인
táboroch	캠프
zväzky	번들
mira	미라
spencer	스펜서
kvantová	양자
chlapci	소년
chlapci	소년들
chlapci	boys
chlapci	보이즈
chlapci	보이스
emisie	배기가스
emisie	배출권
emisie	배출량
emisie	배출
emisie	방출
emisie	배출
kúsok	piece
kúsok	조각
kúsok	슬라이스
athletic	애슬레틱
becker	becker
ovládať	통제
ovládať	제어
ovládať	제어하기
ovládať	컨트롤
objavenie	디스커버리
objavenie	발견
ultra	울트라
antropológia	인류학
kovový	금속
spojencami	연합군
spojencami	연합국
obeťou	희생자
obeťou	피해자
mod	mod
školstvo	교육학
školstvo	교육
školstvo	학력
radoch	계급
židom	유대인
spoje	관절
trénoval	훈련
tech	기술
tech	테크
cene	가격
cene	프라이스
povinností	의무
princeton	프린스턴
publikum	타겟
publikum	관객
pesničky	노래
pesničky	songs
vykazuje	전시회
objektívne	목적
objektívne	목표
satelitov	인공위성
satelitov	위성
vystupovať	수행
oklahoma	오클라호마
koeficient	계수
zručnosti	스킬
zručnosti	솜씨
zručnosti	능력
zručnosti	기술
zručnosti	실력
zručnosti	스킬
zručnosti	솜씨
klímy	기후학
klímy	기후
kolmo	수직
reforma	개혁개방
reforma	개혁
zaplatiť	지불
zaplatiť	결제
veliteľov	지휘관
tango	탱고
markus	마르쿠스
podporiť	지원
podporiť	지지
podporiť	후원
súdne	사법
tucker	터커
richter	리히터
tresku	대구
sezónne	계절
držať	유지
navonok	외부
inn	inn
inn	여관
podporované	지원합니다
podporované	지원
podporované	지원함
nicholas	니컬러스
nicholas	니콜라스
nicholas	니콜라우스
kruhy	서클
kruhy	반지
kruhy	고리
intenzity	강도
intenzity	강조
daily	일일
daily	데일리
daily	일간
daily	일상
sestier	시스터스
sestier	자매들
sestier	자매
komunistov	공산주의자
zhodné	동일한
zhodné	동일
zhodné	동일함
zhodné	매칭
zhodné	일치하는
zhodné	일치
sprievod	퍼레이드
sprievod	행진
sprievod	행진
sprievod	행렬
lisabon	리스본
američanov	미국인
africký	아프리카
pušky	소총
réunion	레위니옹
sullivan	설리번
kresba	그리기
ukrajinské	우크라이나
ukrajinské	우크라이나어
kontrolovať	통제
kontrolovať	제어
kontrolovať	제어하기
kontrolovať	컨트롤
zvoliť	opt
preložiť	번역하기
preložiť	번역
vypadol	떨어짐
fungovanie	작동
fungovanie	작전
čosi	무엇인가
čosi	something
čosi	뭔가
čosi	무언가
ponuka	쿠폰
ponuka	메뉴
ponuka	입찰
hrdinom	히어로
hrdinom	영웅
výrazná	발음
ustúpiť	후퇴
rozchod	해체
rozchod	궤간
zobrazenia	견해
zobrazenia	조회
zobrazenia	조회수
zobrazenia	디스플레이
zobrazenia	그림
zobrazenia	이미지
zobrazenia	노출
ústup	후퇴
uruguaj	우루과이
príručka	안내서
príručka	도움말
príručka	수동
príručka	설명서
príručka	매뉴얼
príručka	안내서
príručka	가이드
príručka	안내
interpretácie	해석
nastavenie	조정
nastavenie	설정
nastavenie	설정하기
nastavenie	설정
nastavenie	설정
alžírsko	알제리
seven	세븐
seven	일곱
záhrad	낙원
záhrad	정원
vlákno	섬유
vlákno	스레드
vlákno	대화
ženeve	제네바
panama	파나마
poklad	소중한
poklad	보물
stiahol	다운로드
svalov	근육
svalov	근육
para	증기
para	증기
para	스팀
para	증기
sneh	스노우
neptún	해왕성
neptún	넵튠
obnovy	복구
obnovy	회복
chodníku	도로
ana	ana
ana	아나
levy	라이온스
levy	라이언스
levy	사자
bern	베른
máp	지도
žralok	상어
sedenie	좌석
sedenie	세션
sedenie	앉은
opravu	수리
novinárka	기자
novinárka	언론인
novinárka	저널리스트
semená	씨앗
konfigurácia	설정
konfigurácia	구성
výslovne	명시적으로
regulácia	규제
regulácia	규정
tlačiarne	프린터
tlačiarne	프린터
očakáva	예상
czech	체코
czech	체코어
otvoriť	오픈
otvoriť	열기
česi	체코인
padli	타락
abba	abba
korytnačky	거북
korytnačky	거북이
paradox	역설
velmi	아주
velmi	매우
pomôže	도움
pomôže	도움말
bulharská	불가리아어
bulharská	불가리아
bulharská	불가리아인
štatistické	통계학
financovanie	금융
financovanie	자금
financovanie	재무
financovanie	재정
financovanie	금융
blaho	bliss
blaho	웰빙
blaho	복지
tendencie	경향
tendencie	트렌드
tendencie	경향
storm	폭풍
storm	폭풍우
storm	스톰
žiari	빛나고
žiari	빛나
žiari	빛나는
konzervatórium	음악원
riadiaci	스티어링
riadiaci	핸들링
lou	루키
jednotu	통일
jednotu	단결
jednotu	유니티
jednotu	unity
horizontálne	수평
horizontálne	수평으로
horizontálne	수평
alpha	알파
judaizmus	유대교
návod	복음
návod	안내서
návod	가이드
návod	안내
návod	튜토리얼
návod	지침
návod	지시
návod	안내
letná	여름
kent	켄트
presvedčil	설득
studená	춥다
studená	감기
studená	추위
studená	차가운
socializmus	사회주의
žiaľ	불행히도
nehody	사고
nehody	교통사고
nehody	사고
leon	레온
leon	리온
protokolu	프로토콜
bratovi	오빠
bratovi	아우
česť	명예
česť	영광
česť	명예
poháňané	전원
požiadavku	요구사항
signálov	신호
aliancia	동맹
aliancia	얼라이언스
joel	조엘
pekne	나이스
zatmenie	일식
zatmenie	이클립스
zistené	감지
zistené	발견됨
vostok	보스토크
hektárov	헥타르
vyslovuje	발음
vyslovuje	발음
čakať	기다림
synovec	조카
príbuzní	친척
kompletné	완료
kompletné	완성
zlepšiť	보정
zlepšiť	향상
zlepšiť	개선하기
zlepšiť	향상
zlepšiť	개선
martinik	마르티니크
alabama	앨라배마
prezentuje	선물
čela	이마
sklad	창고
sklad	웨어하우스
vyvinúť	진화
chladenie	냉각
chladenie	냉방
chladenie	냉각
chladenie	냉동
chladenie	냉장
ruža	장미
ruža	로즈
meď	구리
huslista	바이올리니스트
pripojenia	커넥션
pripojenia	연결
havárie	사고
spustená	시작됨
heslá	비밀번호
heslá	암호
sivý	회색
sivý	그레이
sivý	회색
sivý	그레이
mlieka	우유
mlieka	밀크
janet	재닛
janet	자넷
húb	버섯
miles	마일스
miles	마일리지
miles	마일
miles	마일리
miles	마일즈
porota	배심원
zmenené	변경되었습니다
zmenené	바꿨다
zmenené	변경됨
dinosaurus	공룡
frankov	프랑
jerome	제롬
pozitívny	긍정
pozitívny	양수
pozitívny	긍정적
pozitívny	긍정적인
slávni	유명한
slávni	유명해
slávni	유명인
slávni	유명하다
slávni	유명
rovnosť	패리티
rovnosť	평등
rovnosť	평등주의
pomáhať	돕기
stiahnutie	다운로드
stiahnutie	철수
stiahnutie	금단
stiahnutie	다운로드
baba	바바
louise	루이즈
predkovia	조상
zobrazené	표시됨
zobrazené	표시된
zobrazené	표시됨
zobrazené	조회
poslucháčov	청취
poslucháčov	청취자
globálne	글로벌
globálne	전역
mexický	멕시코인
mexický	멕시코
simpson	심슨
motorové	모터
motorové	전동기
delfín	돌고래
indiánov	인디언스
indiánov	인디언
rozdielu	차이
rozdielu	차이점
dunlop	던롭
stratené	분실
stratené	로스트
stratené	잃어버린
plazy	파충류
plazy	파충류
tmavá	어둡게
tmavá	다크
tmavá	어두운
tmavá	어둠
zjavne	명백히
zjavne	명백하게
stu	스튜
mechanizmy	메커니즘
doklady	문서
poliaci	폴란드인
odpovedal	답글
odpovedal	답변
povaha	자연
nízko	낮은
nízko	낮음
nízko	low
kontinente	대륙
púšť	사막
ideológie	이데올로기
ideológie	이념
umelých	인조
umelých	인공
strechu	옥상
strechu	옥상
strechu	지붕
podozrenie	의심
podozrenie	용의자
podozrenie	의심
perzský	페르시아
perzský	페르시아인
perzský	페르시안
perzský	페르시아어
pentium	펜티엄
deklarácia	선언
kedykoľvek	언제든지
kedykoľvek	언제라도
kedykoľvek	언제든
rozširovanie	팽창
rozširovanie	급팽창
rozširovanie	전개
rozširovanie	확장
obliehanie	포위전
teriér	테리어
mathieu	마티외
položiek	상품
položiek	항목
položiek	품목
položiek	아이템
uniknúť	탈출
jazdí	드라이브
jazdí	놀이기구
minerálnych	미네랄
minerálnych	광물
kremíka	규소
kremíka	실리콘
wallace	월리스
vegetácie	식물
saudská	사우디아
simone	시몬
simone	시모네
nba	nba
zastupuje	나타냅니다
distribúcia	분포
distribúcia	분배
distribúcia	배포
distribúcia	배포판
baltského	발트
stereo	스테레오
stereo	stereo
sklonu	경사
sklonu	틸트
sklonu	기울기
sklonu	기울여
guyana	가이아나
uloženie	저장하기
uloženie	저장
sap	sap
vyvíjať	진화
porazení	패자
diaľnic	고속도로
dôchodok	연금
zdôrazňuje	하이라이트
užívateľ	사용자
umelá	인조
umelá	인공
majitelia	소유자
klarinet	클라리넷
giorgio	조르지오
oddelená	분리됨
oddelená	별거
návštevníci	방문자
návštevníci	방문객
šľachtici	귀족
zistenie	탐지
zistenie	감지
zistenie	탐지
zistenie	감지
zistenie	검출
zistenie	찾기
útočníka	공격자가
námorný	해군
námorný	네이비
povolenia	권한
povolenia	허가
nintendo	닌텐도
nadpis	헤드라인
nadpis	제목
nadpis	자막
nadpis	문구
nadpis	설명
pridelené	할당된
holandskej	네덜란드
holandskej	네덜란드인
holandskej	네덜란드령
holandskej	네덜란드어
dohľad	감시
sabres	세이버스
porýnie	라인
porýnie	라인란트
kúpiť	사기
moslimov	무슬림
predĺžená	확장
predĺžená	연장
stolica	대변
stolica	변이
zlá	bad
zlá	나쁜
zlá	나쁘다
zlá	사악한
zlá	위키드
dopĺňa	보완
odvolaný	해산
lieky	약물
lieky	의약품
lieky	약품
lieky	마약
lieky	의학
lieky	의약품
lieky	약물
mann	mann
mys	케이프
priateľstva	우정
zrušiť	취소
zrušiť	박탈
zrušiť	취소
theodore	시어도어
tureckých	터키식
tureckých	터키어
tureckých	터키
slabá	약한
slabá	약해
pobrežné	연안
pobrežné	해안
ska	ska
ska	스카
ska	스카우터
seattle	시애틀
vynikajúce	맛있는
vynikajúce	훌륭한
kid	키드
kvarteto	콰르텟
kvarteto	사중주
huba	곰팡이
huba	허브
huba	버섯
konrad	콘라트
zahrnuté	포함
zahrnuté	포함됨
kreslené	만화
kreslené	카툰
vpred	전진
vpred	전달
vpred	앞으로
vpred	ahead
anjelov	천사
anjelov	천사들
pos	pos
vista	비스타
realizované	구현
ovce	양양
mágia	마술
mágia	마법
mágia	magic
mágia	매직
winston	윈스턴
odpočinku	휴식
odpočinku	쉬어
odpočinku	휴식
proteíny	단백질
proteíny	단백질
stupnica	스케일
stupnica	축척
stupnica	척도
stupnica	규모
trinásť	thirteen
záležitosť	물질
rozloženie	분포
rozloženie	분배
rozloženie	배포
rozloženie	배포판
rozloženie	배치
rozloženie	layout
rozloženie	레이아웃
medzery	띄어쓰기
medzery	간격
medzery	공간
medzery	공백
medzery	틈새
medzery	간격
dialekt	방언
prázdny	비어
prázdny	비어
carmen	카르멘
evolúcie	에볼루션
evolúcie	진화
evolúcie	진화론
silnejšie	stronger
fly	날아라
fly	플라이
alternatíva	대안
alternatíva	얼터너티브
arménsko	아르메니아
arménsko	아르메니아인
motto	좌우명
schodisko	계단
schodisko	계단
postupovať	진행하기
postupovať	진행
večera	저녁식사
večera	저녁
večera	만찬
energy	에너지
cíti	느낌
prehliadka	투어
prehliadka	관광
prehliadka	둘러보기
prehliadka	구경
prehliadka	여행
cash	캐시
cash	현금
cash	cash
väzeň	포로
umb	umb
pracovisko	워크스테이션
pracovisko	직장
spider	거미
spider	스파이더
vývojové	발달
križiaci	크루세이더
prorok	예언자
irc	irc
návšteva	방문
návšteva	방문하기
náplň	카트리지
kópie	복사
kópie	복사본
kópie	사본
sudcov	판사
srbov	세르비아인
velvet	벨벳
teritórium	영토
teritórium	준주
súdy	법원
jesus	예수
mzdy	임금
mzdy	임금
koncentrácie	농도
koncentrácie	농도
učitelia	교사들
učitelia	교사
juventus	유벤투스
horúčka	열이
štíty	방패
štíty	방패
odhadov	추정치
odhadov	추정
ssp	ssp
tridsať	삼십
tridsať	서른
vily	빌라
útokmi	공격
hrobov	무덤
výstavu	전시
výstavu	전시회
výstavu	전람회
výstavu	전시관
výstavu	박람회
výstavu	전시회
