天花	pokke
女高音	sopraan
鈔票	banknote
陌生	vreemdeling
素食	vegetariese
素食	vegan
包容	inklusiewe
包容	insluiting
清算	likwidasie
海藻	kelp
海藻	seewier
海藻	alg
褲	broek
胡蜂	wasp
胡蜂	hornet
望月	mochizuki
考古學	argeologiese
考古學	argeologie
火化	verassing
嵌入式	ingebedde
嵌入式	ingelegde
嵌入式	ingebed
宴會	party
宴會	feesvieringe
宴會	partytjie
打電話	oproep
打電話	bel
打電話	roep
打電話	skakel
海鮮	seekos
飄	swewende
飄	wissel
雙眼	oë
車輪	wiel
車輪	wiele
悲痛	grief
頭腦	gedagte
嚴肅	ernstige
嚴肅	ernstig
笑話	joke
笑話	grappies
花冠	corolla
吸煙	rook
吸煙	smoke
控訴	klagtes
仁慈	mercy
愚蠢	dom
科長	chief
標準化	standardisering
緊湊	kompakte
緊湊	kompak
村子	village
村子	dorpie
海浪	golwe
趨向	trend
趨向	tendens
趨向	neiging
概要	buitelyn
概要	synopsis
性愛	seks
性愛	geslag
性愛	sex
哈爾濱	harbin
不朽	immortal
鼠疫	plaag
餅乾	koekie
餅乾	koekies
音標	fonetiese
焊	welding
劑量	hoeveelhede
劑量	dose
觸控	touch
觸控	aanraking
壽司	sushi
田地	velde
骷髏	geraamte
骷髏	skelet
骷髏	skedel
骷髏	skull
船尾	stern
寶藏	treasures
寶藏	treasure
鷸	snip
加西亞	garcia
加西亞	garcía
麥加	mekka
麥加	mecca
不公	onregverdig
開賽	kasai
蜻蜓	naaldekoker
里拉	lira
散步	loop
木板	plank
稅收	belasting
稅收	belastings
稅收	inkomste
肩膀	skouer
搬家	beweeg
謠言	gerugte
謠言	gerugte
橄欖	olive
橄欖	olyf
紫外	ultraviolet
價錢	prys
學徒	leerling
學徒	apprentice
毛皮	pels
鄰國	bure
感冒	flu
借款	lenings
借款	lening
位數	syfers
僵局	pat
股本	equity
失業率	werkloosheid
軍火	arms
備用	rugsteun
核桃	okkerneut
龍捲風	tornado
線條	reëls
無形	onsigbaar
無形	onsigbare
珍寶	jumbo
珍寶	precious
珍寶	treasure
椰子	kokospalm
滲透	penetrasie
滲透	osmose
鶇	lyster
復活節	paasfees
床上	bed
胸罩	bras
胸罩	bra
賄賂	omkoopgeld
教員	instrukteurs
教員	instrukteur
座談會	simposium
肝臟	lewer
醜	lelik
槌	hamer
槌	hammer
腰帶	gordel
腰帶	belt
咖啡廳	cafe
咖啡廳	kafee
咖啡廳	café
大赦	amnestie
張貼	plasing
張貼	plaas
張貼	geplaas
張貼	posted
盜版	piracy
傳球	verbygaan
套裝	kleed
足跡	voetspore
尿液	urine
洗衣	wasgoed
蔚山	ulsan
半數	half
安培	amber
據稱	beweerde
花粉	stuifmeel
芒果	mango
紅豆	cherie
反面	sterte
假裝	verbeel
假裝	voorgee
假裝	boots
救護車	ambulans
學術界	academia
動脈	arteries
好玩	pret
頻譜	spektrum
尊嚴	waardigheid
尊嚴	oorkom
尊嚴	menswaardigheid
洩漏	lekkasies
浮動	swewende
浮動	wissel
浮動	float
浮動	dryf
拼寫	spelling
驚奇	verrassing
驚奇	verras
驚奇	verbaas
毀壞	vernietiging
轉世	reïnkarnasie
惠美	emi
墊	bordjie
開端	beginnings
黃帝	huangdi
胎兒	fetus
演算	calculus
危急	kritieke
危急	krities
危急	kritiese
危急	kritiek
蕭條	depressie
單數	onewe
大宗	grootmaat
無辜	onskuldige
無辜	onskuldig
無辜	innocentius
無辜	innocent
生還者	oorlewendes
生還者	survivor
共鳴	empatie
圓頂	dome
終端	terminaal
終端	terminale
聲譽	reputasie
汽水	soda
相思	acacia
檢舉	rapporteer
視線	sight
木乃伊	mummy
木乃伊	mummie
木乃伊	mummies
訪客	besoekers
訪客	besoeker
傳真	faks
情人節	valentyn
情人節	valentine
私營	privaat
阿拉伯文	arabies
阿拉伯文	arabiese
阿拉伯文	arabic
推遲	vertraging
推遲	uitgestel
浪子	zorro
突擊隊	commando
並行	gelyklopende
並行	parallel
並行	parallelle
並行	parallelism
驕傲	pride
驕傲	trots
驕傲	trots
盜賊	diewe
盜賊	rowers
環流	sirkulasie
暈	dizzy
暈	halo
薄荷	mint
肺部	longe
弦樂	stringe
樂手	musikante
難得	skaars
閉幕	afsluiting
折衷	benadeel
蒸發	verdamping
餐館	restaurante
餐館	restourant
餐館	restaurant
驚喜	verrassing
聲望	prestige
聲望	reputasie
完整性	integriteit
墮落	bedorwe
有意義	betekenisvolle
有意義	betekenisvol
強壯	sterk
創世紀	genesis
偏見	bias
偏見	prejudice
騎馬	rit
騎馬	ride
緩和	détente
英明	gebeur
英明	wise
芭蕾	ballet
裸體	naked
裸體	naaktheid
裸體	naak
介質	medium
捨棄	weggooi
捨棄	verwerp
禮貌	maniere
仙子	barry
仙子	fairy
大腿	dye
最年長	oudste
齒輪	toerusting
齒輪	gear
齒輪	ratte
大汗	khan
平靜	kalm
命題	thesis
高尚	noble
高尚	edel
高尚	nobility
乾旱	droogte
不等式	ongelykheid
窗戶	venster
窗戶	kykers
每星期	daagliks
每星期	weekliks
每星期	weeklikse
套用	toegepas
套用	aangewend
天賦	talent
天賦	geskenk
巢穴	nes
負債	aanspreeklikheid
負債	laste
尼羅河	nyl
地平線	horizons
橋梁	brug
橋梁	bridges
橋梁	brûe
刑期	sinne
刑期	sin
欺負	boelie
補習	onderrig
王宮	paleis
店鋪	winkel
店鋪	winkels
店鋪	shops
肘	elmboog
農作物	snoei
隱形	onsigbaar
隱形	onsigbare
半球	halfrond
序曲	overture
蒙特婁	montreal
封包	packet
跑步	hardloop
跑步	hardloop
立方體	cube
立方體	kubus
青春期	adolescent
瓜地馬拉	guatemala
剪刀	skêr
振動	vibrasies
電晶體	transistor
胡桃	okkerneut
混血兒	hibried
混血兒	hybrid
閃亮	skitter
閃亮	blink
海葵	anemone
地理學	geografie
手掌	palms
不可避免	onvermydelike
拍手	klap
微粒	deeltjies
微粒	deeltjie
面試	interview
面試	interviews
回饋	terugvoer
節慶	fees
作文	opstel
作文	essays
太空梭	shuttle
頭骨	skedel
頭骨	skull
多樣化	verskeidenheid
多樣化	diversifiseer
陌生人	vreemdelinge
陌生人	vreemdeling
肢體	ledemate
煙霧	smoke
最大值	maksimum
名氣	bekendheid
名氣	fame
夕陽	sonsondergang
子宮	uterus
簡短	kort
簡短	kortliks
簡短	sorteer
水底	onderwater
昨日	yesterday
昨日	gister
拇指	duim
千禧年	millennium
話語	discourse
管線	pyplyn
振幅	amplitude
感官	sintuie
弱化	verswak
棺材	coffin
呼應	eggo
往下	ondertoe
往下	neer
往下	af
走路	loop
幫派	bende
臭氧	osoon
納米比亞	namibia
納米比亞	namibië
慈悲	mercy
薪金	loon
薪金	salaris
薪金	salarisse
傷殘	gestremdheid
初等	elementêre
互換	ruil
互換	uitruil
互換	swap
後悔	berou
後悔	verwyte
古董	antique
古董	vintage
古董	verouderde
古董	outydse
古董	oudhede
繼母	stiefma
打架	bakleiery
打架	fighting
打架	veg
奇跡	miracles
奇跡	miracle
奇跡	wonders
精緻	delicate
比值	ratio
比值	verhouding
半夜	middernag
阿嬤	ouma
男高音	tenoor
男高音	tenor
發燒	koors
物價	pryse
平裝	sagteband
病床	beddens
小麥	koring
橡	oak
感性	sensibility
導覽	toer
導覽	tour
明信片	poskaart
明信片	poskaarte
遺囑	testamente
經營者	operator
經營者	operateurs
經營者	draers
天狼星	sirius
提琴	viool
引文	aanhalings
引文	aanhaling
引文	aanhalings
恐怖主義	terrorisme
恐怖主義	terroriste
謀殺案	moord
寧靜	serenity
散播	sprei
陰莖	penis
納粹黨	nazis
舞會	prom
照相機	camera
照相機	kamera
照相機	kameras
利茲	leeds
優雅	elegant
優雅	elegante
肋骨	ribbes
肋骨	rib
蚊子	mosquito
臀部	hip
臀部	heupe
深層	diep
隱私	privaat
隱私	privaatheid
專制	diktatorskap
專制	outokrasie
救世主	verlosser
取樣	voorbeeld
簡潔	eenvoud
簡潔	concise
床位	beddens
魔法師	towenaar
魔法師	assistent
魔法師	towenaar
腎臟	nier
磋商	samesprekings
奴役	slawerny
職工	werknemer
工程學	ingenieurswese
轉速	rpm
萊茵河	ryn
糾正	regstelling
補貼	subsidie
補貼	subsidies
溫莎	windsor
難忘	unforgettable
氣質	temperament
劍術	fencing
肥皂	seep
盧比	roepee
臉部	gesiggie
臉部	gesig
英畝	acres
英畝	akkers
英畝	akker
奢侈	luukse
奢侈	luxury
斯拉夫人	slawiërs
才華	talent
渥太華	ottawa
船隊	fleet
海牛	lamantyn
外套	jacket
外套	geskeur
外套	jas
外套	coats
閱兵	parade
閱兵	parades
極光	aurora
輪廓	buitelyn
因數	factor
因數	faktor
戳	por
鉻	chroom
保佑	bless
土匪	bandit
撒旦	satan
密謀	stip
退休金	pensioen
益智	puzzles
益智	raaisels
益智	raaisel
益智	legkaart
衝動	impulse
技藝	vaardigheid
作弊	kul
預告片	sleepwa
預告片	lokprent
轉錄	transkripsie
儲蓄	besparings
咖哩	kerrie
咖哩	curry
口頭	mondelinge
口頭	verbale
口頭	verbaal
論證	betoog
論證	argument
論證	argumente
沙龍	sharon
沙龍	salon
果汁	sap
慷慨	vrygewigheid
靜脈	aar
單詞	woord
金髮	blonde
總之	elkgeval
總之	anyway
總之	nogtans
聲樂	vocal
正午	noon
迷人	charming
專賣	monopolie
專賣	monopoly
笨蛋	dom
凱旋	triumph
試鏡	oudisie
油漆	verf
扭轉	omgekeer
扭轉	reverse
扭轉	agteruit
違憲	ongrondwetlik
狂想曲	rhapsody
威望	prestige
奧斯陸	oslo
發球	dien
發球	bedien
觀光客	toeriste
觀光客	tourists
犯規	oortreding
鄭州	zhengzhou
茶葉	tee
櫟	quercus
櫟	oak
督導	toesig
雷電	donderweer
鎮長	burgemeester
下一步	volgende
怒火	woede
怒火	woede
怒火	rage
縱向	vertikaal
氣味	ruik
透視	perspektief
玄武岩	basalt
釐米	sentimeters
釐米	sentimeter
釐米	sentimeter
稀疏	sparse
政體	polity
餘額	saldo
餘額	balans
演戲	toneelspel
演戲	waarnemende
演戲	optree
螳螂	hottentotsgot
腦袋	brain
腦袋	brein
木制	wooden
制約	constraint
陸路	overland
粘土	clay
鐘錶	horlosies
片假名	katakana
綠地	groen
綠地	greenfield
中樞	spil
看中	spoggerige
看中	fancy
看中	deftige
配對	gepaar
配對	ooreenstemmend
鐮刀	sekel
椰	kokospalm
保齡球	rolbal
保齡球	gloei
螃蟹	krappe
懸崖	cliffs
懸崖	cliff
拆毀	demolition
師兄	broer
大砲	cannon
大砲	kanon
賓館	hotel
孕婦	swanger
報刊	koerante
瞳孔	pupil
密西西比	mississippi
寶物	treasures
火器	vuurwapens
火器	vuurwapen
今晚	vanaand
盟國	allied
盟國	allies
健二	kenji
專欄作家	rubriekskrywer
留下來	bly
賺	verwerf
橡樹	oak
信箱	posbusse
信箱	posbus
甜點	nagereg
甜點	woestyn
甜點	nageregte
甜點	nageregte
有效性	doeltreffendheid
有效性	geldigheid
虛假	vals
虛假	valse
虛假	fake
快遞	courier
快遞	koerier
高貴	noble
高貴	edel
球體	sfeer
球體	sfere
房客	huurders
房客	tenant
盲目	blind
奏鳴曲	sonata
浦東	pudong
刺青	tattoo
聯誼會	koshuis
會堂	sinagoge
攤位	booth
帝國主義	imperialism
洞口	gat
傲慢	arrogant
匕首	dagger
圍繞著	rond
方丈	ab
傑作	masterpiece
尖叫	gil
通貨膨脹	inflasie
